Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY60101365,,-1.25E-08,0.0300216618925333,0.198323742020875,
Firmware Version:,07.31.2020012900,,-1.21875E-08,0.0132852643728256,0.198156377999112,
Start Time:,2023-04-12 12:57:34.226,,-1.1875E-08,0.046758059412241,0.198156377999112,
Capture#:,24,,-1.15625E-08,0.0132852643728256,0.198156377999112,
,,,-1.125E-08,0.0132852643728256,0.198491106042638,
Analog Sample Count:,640,,-1.09375E-08,0.0132852643728256,0.198323742020875,
Function Sample Count:,0,,-1.0625E-08,0.0132852643728256,0.197989013977349,
Waveform Memory Sample Count:,0,,-1.03125E-08,0.0132852643728256,0.198145917747752,
Digital Sample Count:,0,,-1E-08,0.046758059412241,0.198323742020875,
,,,-9.6875E-09,0.0132852643728256,0.198491106042638,
Setup Text Information:,,,-9.375E-09,-0.0201875306665897,0.198156377999112,
ANALOG,,,-9.0625E-09,0.046758059412241,0.198250520261354,
Channel 1,,,-8.75E-09,0.0802308544516563,0.198323742020875,
Scale,1 V/,,-8.4375E-09,0.046758059412241,0.198323742020875,
Pos,2.825 V,,-8.125E-09,0.0593103575520217,0.198323742020875,
Coup,,,-7.8125E-09,0.0802308544516563,0.198156377999112,
BW,Off,,-7.5E-09,0.0802308544516563,0.19806223573687,
Inv,Off,,-7.1875E-09,0.113703649491072,0.197989013977349,
Imp,1M Ohm,,-6.875E-09,0.113703649491072,0.198491106042638,
Trace Label,1,,-6.5625E-09,0.113703649491072,0.198156377999112,
Probe,1,,-6.25E-09,0.180649239569902,0.198156377999112,
Skew,0 s,,-5.9375E-09,0.113703649491072,0.198156377999112,
,,,-5.625E-09,0.180649239569902,0.198156377999112,
Channel 2,,,-5.3125E-09,0.193201537709683,0.198323742020875,
Scale,5 mV/,,-5E-09,0.214122034609318,0.198491106042638,
Pos,190.63 mV,,-4.6875E-09,0.214122034609318,0.198491106042638,
Coup,,,-4.375E-09,0.247594829648733,0.198491106042638,
BW,Off,,-4.0625E-09,0.209937935229391,0.198156377999112,
Inv,Off,,-3.75E-09,0.180649239569902,0.198156377999112,
Imp,1M Ohm,,-3.4375E-09,0.281067624688149,0.198156377999112,
Trace Label,2,,-3.125E-09,0.281067624688149,0.198156377999112,
Probe,1,,-2.8125E-09,0.348013214766979,0.198156377999112,
Skew,0 s,,-2.5E-09,0.348013214766979,0.198156377999112,
,,,-2.1875E-09,0.348013214766979,0.198323742020875,
MATH,,,-1.875E-09,0.348013214766979,0.198219139507273,
REFERENCE WAVEFORM,,,-1.5625E-09,0.381486009806395,0.198156377999112,
DIGITAL,,,-1.25E-09,0.440063401125371,0.198323742020875,
TRIGGER,,,-9.37499999999999E-10,0.481904394924641,0.198323742020875,
Sweep Mode,AUTO,,-6.24999999999999E-10,0.481904394924641,0.198323742020875,
Coup,DC,,-3.12499999999999E-10,0.515377189964056,0.198323742020875,
Noise Rej,Off,,0,0.582322780042887,0.198323742020875,
HF Rej,Off,,3.125E-10,0.596967127872631,0.198156377999112,
Holdoff,40.0 ns,,6.25000000000001E-10,0.615795575082302,0.198491106042638,
Mode,EDGE,,9.37500000000001E-10,0.582322780042887,0.198281901015434,
Source,CHAN1,,1.25E-09,0.649268370121717,0.198156377999112,
Slope,POS,,1.5625E-09,0.716213960200548,0.198323742020875,
Level,437.5 mV V,,1.875E-09,0.74131855648011,0.198491106042638,
,,,2.1875E-09,0.783159550279379,0.198156377999112,
HORIZONTAL,,,2.5E-09,0.816632345318794,0.198323742020875,
Mode,MAIN,,2.8125E-09,0.883577935397625,0.198491106042638,
Ref,CENT,,3.125E-09,0.900314332917333,0.198491106042638,
Main Scale,20 ns/,,3.4375E-09,0.91705073043704,0.198323742020875,
Main Delay,88 ns,,3.75E-09,0.983996320515871,0.198491106042638,
,,,4.0625E-09,1.0509419105947,0.198491106042638,
ACQUISITION,,,4.375E-09,1.0509419105947,0.198491106042638,
Mode,HRES,,4.6875E-09,1.07813855656423,0.198491106042638,
RealTime,On,,5E-09,1.11788750067353,0.198323742020875,
Vectors,On,,5.3125E-09,1.21830588579178,0.198323742020875,
Persistence,Off,,5.625E-09,1.25177868083119,0.198323742020875,
,,,5.9375E-09,1.28734352556057,0.198658470064402,
MEASUREMENTS,,,6.25E-09,1.31872427091002,0.198323742020875,
X at Max Y(4),,,6.5625E-09,1.38566986098886,0.198323742020875,
Cur,No signal,,6.875E-09,1.45261545106769,0.198396963780397,
Mean,,,7.1875E-09,1.4860882461071,0.198491106042638,
Min,,,7.5E-09,1.50073259393685,0.198658470064402,
Max,,,7.8125E-09,1.51956104114652,0.198658470064402,
Std Dev,,,8.125E-09,1.58650663122535,0.198658470064402,
Count,0,,8.4375E-09,1.61997942626476,0.198658470064402,
,,,8.75E-09,1.65763632068411,0.198491106042638,
X at Max Y(1),,,9.0625E-09,1.68692501634359,0.198658470064402,
Cur,3.38E-08 ,,9.375E-09,1.78734340146184,0.198491106042638,
Mean,35 n,,9.6875E-09,1.75387060642242,0.198491106042638,
Min,32 n,,1E-08,1.82081619650126,0.198491106042638,
Max,38 n,,1.03125E-08,1.86893333937041,0.198491106042638,
Std Dev,8 n,,1.0625E-08,1.9212345816195,0.198658470064402,
Count,1010,,1.09375E-08,1.95470737665892,0.198658470064402,
,,,1.125E-08,1.98818017169833,0.198658470064402,
Minimum(4),,,1.15625E-08,2.05512576177716,0.198491106042638,
Cur,No signal,,1.1875E-08,2.06767805991694,0.198491106042638,
Mean,,,1.21875E-08,2.08859855681658,0.198658470064402,
Min,,,1.25E-08,2.15554414689541,0.198658470064402,
Max,,,1.28125E-08,2.25596253201365,0.198658470064402,
Std Dev,,,1.3125E-08,2.25596253201365,0.198658470064402,
Count,0,,1.34375E-08,2.25596253201365,0.198825834086165,
,,,1.375E-08,2.28943532705307,0.198323742020875,
Minimum(1),,,1.40625E-08,2.32290812209249,0.198459725288558,
Cur,-0.0871 V,,1.4375E-08,2.42332650721073,0.198658470064402,
Mean,-70 mV,,1.46875E-08,2.40868215938099,0.198825834086165,
Min,-121 mV,,1.5E-08,2.38985371217132,0.198323742020875,
Max,-54 mV,,1.53125E-08,2.49027209728956,0.198501566293999,
Std Dev,17 mV,,1.5625E-08,2.49027209728956,0.198658470064402,
Count,1010,,1.59375E-08,2.49027209728956,0.198658470064402,
,,,1.625E-08,2.49027209728956,0.198491106042638,
Maximum(1),,,1.65625E-08,2.62416327744722,0.198658470064402,
Cur,3.7288 V,,1.6875E-08,2.65763607248664,0.198658470064402,
Mean,3.74 V,,1.71875E-08,2.62416327744722,0.198658470064402,
Min,47 mV,,1.75E-08,2.65345197310671,0.198491106042638,
Max,3.796 V,,1.78125E-08,2.69110886752605,0.198323742020875,
Std Dev,118 mV,,1.8125E-08,2.72458166256547,0.198417884283117,
Count,1010,,1.84375E-08,2.75805445760489,0.198491106042638,
,,,1.875E-08,2.77688290481456,0.198658470064402,
Maximum(4),,,1.90625E-08,2.7915272526443,0.198323742020875,
Cur,No signal,,1.9375E-08,2.85847284272313,0.198491106042638,
Mean,,,1.96875E-08,2.85847284272313,0.198491106042638,
Min,,,2E-08,2.85847284272313,0.198491106042638,
Max,,,2.03125E-08,2.88985358807258,0.198658470064402,
Std Dev,,,2.0625E-08,2.92541843280196,0.198658470064402,
Count,0,,2.09375E-08,2.92541843280196,0.198658470064402,
,,,2.125E-08,2.99236402288079,0.198658470064402,
Amplitude(2),,,2.15625E-08,2.99236402288079,0.198156377999112,
Cur,0.0106276 V,,2.1875E-08,3.00491632102057,0.198491106042638,
Mean,11 mV,,2.21875E-08,3.02583681792021,0.198658470064402,
Min,9 mV,,2.25E-08,3.05930961295962,0.19856432780216,
Max,13 mV,,2.28125E-08,3.05930961295962,0.198491106042638,
Std Dev,531 µV,,2.3125E-08,3.09278240799904,0.198323742020875,
Count,1010,,2.34375E-08,3.12625520303845,0.198825834086165,
,,,2.375E-08,3.12625520303845,0.198658470064402,
Base(2),,,2.40625E-08,3.19320079311728,0.198512026545359,
Cur,0.1879472 V,,2.4375E-08,3.19320079311728,0.198323742020875,
Mean,188 mV,,2.46875E-08,3.19320079311728,0.198825834086165,
Min,186 mV,,2.5E-08,3.19320079311728,0.198658470064402,
Max,189 mV,,2.53125E-08,3.26014638319612,0.19856432780216,
Std Dev,531 µV,,2.5625E-08,3.32709197327495,0.198491106042638,
Count,1010,,2.59375E-08,3.30826352606528,0.198491106042638,
,,,2.625E-08,3.29361917823553,0.198491106042638,
Maximum(2),,,2.65625E-08,3.32709197327495,0.198491106042638,
Cur,0.1989932 V,,2.6875E-08,3.36056476831436,0.198710771321203,
Mean,199 mV,,2.71875E-08,3.39403756335378,0.198993198107928,
Min,198 mV,,2.75E-08,3.40868191118352,0.198491106042638,
Max,199 mV,,2.78125E-08,3.42751035839319,0.198323742020875,
