Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY60101365,,-1.25E-08,0.0153773140627891,0.198825834086165,
Firmware Version:,07.31.2020012900,,-1.21875E-08,-0.0201875306665897,0.198658470064402,
Start Time:,2023-04-12 12:48:22.692,,-1.1875E-08,0.0132852643728256,0.198658470064402,
Capture#:,51,,-1.15625E-08,0.0132852643728256,0.198658470064402,
,,,-1.125E-08,0.0509421587921679,0.198825834086165,
Analog Sample Count:,640,,-1.09375E-08,0.0802308544516563,0.198825834086165,
Function Sample Count:,0,,-1.0625E-08,0.046758059412241,0.198658470064402,
Waveform Memory Sample Count:,0,,-1.03125E-08,0.0802308544516563,0.198658470064402,
Digital Sample Count:,0,,-1E-08,0.046758059412241,0.198658470064402,
,,,-9.6875E-09,0.0300216618925333,0.198825834086165,
Setup Text Information:,,,-9.375E-09,0.0132852643728256,0.198658470064402,
ANALOG,,,-9.0625E-09,0.0802308544516563,0.198658470064402,
Channel 1,,,-8.75E-09,0.113703649491072,0.198658470064402,
Scale,1 V/,,-8.4375E-09,0.0718626556918025,0.198993198107928,
Pos,2.825 V,,-8.125E-09,0.046758059412241,0.198658470064402,
Coup,,,-7.8125E-09,0.0802308544516563,0.198658470064402,
BW,Off,,-7.5E-09,0.0802308544516563,0.19857478805352,
Inv,Off,,-7.1875E-09,0.113703649491072,0.198491106042638,
Imp,1M Ohm,,-6.875E-09,0.0948752022814006,0.198658470064402,
Trace Label,1,,-6.5625E-09,0.0802308544516563,0.198658470064402,
Probe,1,,-6.25E-09,0.147176444530487,0.198658470064402,
Skew,0 s,,-5.9375E-09,0.147176444530487,0.198658470064402,
,,,-5.625E-09,0.147176444530487,0.198658470064402,
Channel 2,,,-5.3125E-09,0.159728742670268,0.198491106042638,
Scale,5 mV/,,-5E-09,0.180649239569902,0.198825834086165,
Pos,190.63 mV,,-4.6875E-09,0.214122034609318,0.198825834086165,
Coup,,,-4.375E-09,0.247594829648733,0.198825834086165,
BW,Off,,-4.0625E-09,0.228766382439062,0.198658470064402,
Inv,Off,,-3.75E-09,0.214122034609318,0.198491106042638,
Imp,1M Ohm,,-3.4375E-09,0.281067624688149,0.198491106042638,
Trace Label,2,,-3.125E-09,0.247594829648733,0.1985538675508,
Probe,1,,-2.8125E-09,0.314540419727564,0.198658470064402,
Skew,0 s,,-2.5E-09,0.329184767557308,0.198825834086165,
,,,-2.1875E-09,0.348013214766979,0.198323742020875,
MATH,,,-1.875E-09,0.348013214766979,0.19859570855624,
REFERENCE WAVEFORM,,,-1.5625E-09,0.381486009806395,0.198825834086165,
DIGITAL,,,-1.25E-09,0.419142904225737,0.198491106042638,
TRIGGER,,,-9.37499999999999E-10,0.448431599885225,0.198491106042638,
Sweep Mode,AUTO,,-6.24999999999999E-10,0.481904394924641,0.198491106042638,
Coup,DC,,-3.12499999999999E-10,0.515377189964056,0.198491106042638,
Noise Rej,Off,,0,0.582322780042887,0.198491106042638,
HF Rej,Off,,3.125E-10,0.596967127872631,0.198323742020875,
Holdoff,40.0 ns,,6.25000000000001E-10,0.615795575082302,0.198491106042638,
Mode,EDGE,,9.37500000000001E-10,0.649268370121717,0.19858524830488,
Source,CHAN1,,1.25E-09,0.682741165161133,0.198658470064402,
Slope,POS,,1.5625E-09,0.701569612370804,0.198658470064402,
Level,437.5 mV V,,1.875E-09,0.716213960200548,0.198323742020875,
,,,2.1875E-09,0.816632345318794,0.198323742020875,
HORIZONTAL,,,2.5E-09,0.816632345318794,0.198240060009994,
Mode,MAIN,,2.8125E-09,0.883577935397625,0.198156377999112,
Ref,CENT,,3.125E-09,0.900314332917333,0.198658470064402,
Main Scale,20 ns/,,3.4375E-09,0.91705073043704,0.198323742020875,
Main Delay,88 ns,,3.75E-09,0.983996320515871,0.198323742020875,
,,,4.0625E-09,1.08441470563412,0.198323742020875,
ACQUISITION,,,4.375E-09,1.01746911555529,0.198491106042638,
Mode,HRES,,4.6875E-09,1.04466576152481,0.198323742020875,
RealTime,On,,5E-09,1.08441470563412,0.198491106042638,
Vectors,On,,5.3125E-09,1.18483309075236,0.198396963780397,
Persistence,Off,,5.625E-09,1.25177868083119,0.198323742020875,
,,,5.9375E-09,1.25177868083119,0.198323742020875,
MEASUREMENTS,,,6.25E-09,1.25177868083119,0.198323742020875,
X at Max Y(4),,,6.5625E-09,1.38566986098886,0.198491106042638,
Cur,No signal,,6.875E-09,1.41914265602827,0.198491106042638,
Mean,,,7.1875E-09,1.41914265602827,0.198491106042638,
Min,,,7.5E-09,1.44843135168776,0.198323742020875,
Max,,,7.8125E-09,1.4860882461071,0.198491106042638,
Std Dev,,,8.125E-09,1.55303383618593,0.198302821518155,
Count,0,,8.4375E-09,1.65345222130418,0.198156377999112,
,,,8.75E-09,1.67228066851385,0.198156377999112,
X at Max Y(1),,,9.0625E-09,1.68692501634359,0.198156377999112,
Cur,3.38E-08 ,,9.375E-09,1.72039781138301,0.198491106042638,
Mean,35 n,,9.6875E-09,1.78734340146184,0.198260980512714,
Min,32 n,,1E-08,1.82081619650126,0.197989013977349,
Max,38 n,,1.03125E-08,1.86684128968045,0.198323742020875,
Std Dev,8 n,,1.0625E-08,1.9212345816195,0.198323742020875,
Count,1010,,1.09375E-08,1.95470737665892,0.198323742020875,
,,,1.125E-08,1.98818017169833,0.198323742020875,
Minimum(4),,,1.15625E-08,2.007008618908,0.198323742020875,
Cur,No signal,,1.1875E-08,2.02165296673775,0.197989013977349,
Mean,,,1.21875E-08,2.08859855681658,0.198491106042638,
Min,,,1.25E-08,2.15554414689541,0.198407424031757,
Max,,,1.28125E-08,2.25596253201365,0.198323742020875,
Std Dev,,,1.3125E-08,2.23713408480398,0.198156377999112,
Count,0,,1.34375E-08,2.22248973697424,0.198156377999112,
,,,1.375E-08,2.25596253201365,0.198250520261354,
Minimum(1),,,1.40625E-08,2.3563809171319,0.198323742020875,
Cur,-0.0537 V,,1.4375E-08,2.3563809171319,0.198491106042638,
Mean,-68 mV,,1.46875E-08,2.38357756310143,0.198491106042638,
Min,-121 mV,,1.5E-08,2.42332650721073,0.197989013977349,
Max,-54 mV,,1.53125E-08,2.45679930225015,0.19807269598823,
Std Dev,17 mV,,1.5625E-08,2.52374489232898,0.198156377999112,
Count,1010,,1.59375E-08,2.50491644511931,0.198491106042638,
,,,1.625E-08,2.49027209728956,0.198323742020875,
Maximum(1),,,1.65625E-08,2.59069048240781,0.198156377999112,
Cur,3.7957 V,,1.6875E-08,2.62416327744722,0.198292361266795,
Mean,3.729 V,,1.71875E-08,2.62416327744722,0.198491106042638,
Min,47 mV,,1.75E-08,2.63880762527697,0.198323742020875,
Max,3.796 V,,1.78125E-08,2.65763607248664,0.198156377999112,
Std Dev,232 mV,,1.8125E-08,2.72458166256547,0.198156377999112,
Count,1010,,1.84375E-08,2.75805445760489,0.198156377999112,
,,,1.875E-08,2.77688290481456,0.198323742020875,
Maximum(4),,,1.90625E-08,2.7915272526443,0.198323742020875,
Cur,No signal,,1.9375E-08,2.89194563776255,0.198156377999112,
Mean,,,1.96875E-08,2.85847284272313,0.198229599758633,
Min,,,2E-08,2.85847284272313,0.198323742020875,
Max,,,2.03125E-08,2.87311719055288,0.198323742020875,
Std Dev,,,2.0625E-08,2.89194563776255,0.198323742020875,
Count,0,,2.09375E-08,2.95889122784138,0.198417884283117,
,,,2.125E-08,2.99236402288079,0.198491106042638,
Amplitude(2),,,2.15625E-08,2.99236402288079,0.198156377999112,
Cur,0.0138912 V,,2.1875E-08,2.99236402288079,0.197989013977349,
Mean,11 mV,,2.21875E-08,3.05930961295962,0.198323742020875,
Min,1 mV,,2.25E-08,3.05930961295962,0.198323742020875,
Max,17 mV,,2.28125E-08,3.12625520303845,0.198323742020875,
Std Dev,1 mV,,2.3125E-08,3.12625520303845,0.198323742020875,
Count,1010,,2.34375E-08,3.12625520303845,0.198323742020875,
,,,2.375E-08,3.12625520303845,0.198323742020875,
Base(2),,,2.40625E-08,3.19320079311728,0.198323742020875,
Cur,0.1871104 V,,2.4375E-08,3.2266735881567,0.198156377999112,
Mean,188 mV,,2.46875E-08,3.2266735881567,0.198323742020875,
Min,183 mV,,2.5E-08,3.2266735881567,0.198323742020875,
Max,198 mV,,2.53125E-08,3.26014638319612,0.198323742020875,
Std Dev,1 mV,,2.5625E-08,3.29361917823553,0.198323742020875,
Count,1010,,2.59375E-08,3.29361917823553,0.198156377999112,
,,,2.625E-08,3.29361917823553,0.198323742020875,
