Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),3 (VOLT),4 (VOLT),
Serial Number:,MY60101365,,-1.4375E-06,1.94749999046326,1.96283475495875,
Firmware Version:,07.31.2020012900,,-1.4355E-06,1.94749999046326,1.96618203422986,
Start Time:,2022-12-06 16:37:10.131,,-1.4335E-06,1.96423638681881,1.97287659277208,
Capture#:,100,,-1.4315E-06,1.94749999046326,1.96952931350097,
,,,-1.4295E-06,1.94080543192104,1.96283475495875,
Analog Sample Count:,1000,,-1.4275E-06,1.93745815264992,1.96618203422986,
Function Sample Count:,0,,-1.4255E-06,1.94080543192104,1.96618203422986,
Waveform Memory Sample Count:,0,,-1.4235E-06,1.94749999046326,1.97287659277208,
Digital Sample Count:,0,,-1.4215E-06,1.9608891075477,1.98291843058541,
,,,-1.4195E-06,1.94749999046326,1.9795711513143,
Setup Text Information:,,,-1.4175E-06,1.94415271119215,1.97622387204319,
ANALOG,,,-1.4155E-06,1.95754182827659,1.9795711513143,
Channel 3,,,-1.4135E-06,1.95754182827659,1.97287659277208,
Scale,100 mV/,,-1.4115E-06,1.95754182827659,1.97622387204319,
Pos,1.9475 V,,-1.4095E-06,1.9608891075477,1.97622387204319,
Coup,,,-1.4075E-06,1.95754182827659,1.97622387204319,
BW,Off,,-1.4055E-06,1.95419454900548,1.96952931350097,
Inv,Off,,-1.4035E-06,1.95419454900548,1.97622387204319,
Imp,1M Ohm,,-1.4015E-06,1.95084726973437,1.97622387204319,
Trace Label,3,,-1.3995E-06,1.94415271119215,1.96952931350097,
Probe,10,,-1.3975E-06,1.95084726973437,1.96618203422986,
Skew,0 s,,-1.3955E-06,1.94749999046326,1.96618203422986,
,,,-1.3935E-06,1.94749999046326,1.96618203422986,
Channel 4,,,-1.3915E-06,1.95419454900548,1.97622387204319,
Scale,100 mV/,,-1.3895E-06,1.95419454900548,1.96952931350097,
Pos,1.8825 V,,-1.3875E-06,1.94749999046326,1.96618203422986,
