Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-24 09:56:50.939,-0.01841
Serial Number:,MY60101365,,2022-11-24 09:56:51.440,-0.026778
Firmware Version:,07.31.2020012900,,2022-11-24 09:56:51.939,-0.01841
Start Time:,2022-11-24 09:56:50.939,,2022-11-24 09:56:52.440,-0.020084
Stop Time:,2022-11-24 10:06:50.939,,2022-11-24 09:56:52.939,-0.006695
Sample Period:,0.5,,2022-11-24 09:56:53.439,-0.011715
,,,2022-11-24 09:56:53.940,-0.03682
,,,2022-11-24 09:56:54.439,-0.006695
,,,2022-11-24 09:56:54.940,-0.010042
,,,2022-11-24 09:56:55.440,-0.030126
,,,2022-11-24 09:56:55.940,-0.030126
,,,2022-11-24 09:56:56.439,-0.01841
,,,2022-11-24 09:56:56.939,-0.011715
,,,2022-11-24 09:56:57.440,-0.031799
,,,2022-11-24 09:56:57.940,-0.01841
,,,2022-11-24 09:56:58.440,-0.025105
,,,2022-11-24 09:56:58.939,-0.006695
,,,2022-11-24 09:56:59.440,-0.011715
,,,2022-11-24 09:56:59.940,-0.010042
,,,2022-11-24 09:57:00.439,-0.005021
,,,2022-11-24 09:57:00.939,-0.031799
,,,2022-11-24 09:57:01.440,-0.025105
,,,2022-11-24 09:57:01.939,-0.026778
,,,2022-11-24 09:57:02.439,-0.010042
,,,2022-11-24 09:57:02.939,-0.020084
,,,2022-11-24 09:57:03.439,-0.025105
,,,2022-11-24 09:57:03.940,-0.025105
,,,2022-11-24 09:57:04.438,-0.01841
,,,2022-11-24 09:57:04.938,-0.010042
,,,2022-11-24 09:57:05.438,-0.011715
,,,2022-11-24 09:57:05.938,-0.031799
,,,2022-11-24 09:57:06.439,-0.026778
,,,2022-11-24 09:57:06.939,-0.025105
,,,2022-11-24 09:57:07.438,-0.026778
,,,2022-11-24 09:57:07.939,-0.006695
,,,2022-11-24 09:57:08.439,-0.051883
,,,2022-11-24 09:57:08.939,-0.033473
,,,2022-11-24 09:57:09.440,-0.013389
,,,2022-11-24 09:57:09.939,-0.031799
,,,2022-11-24 09:57:10.439,-0.01841
,,,2022-11-24 09:57:10.940,-0.013389
,,,2022-11-24 09:57:11.440,-0.031799
,,,2022-11-24 09:57:11.939,-0.015063
,,,2022-11-24 09:57:12.439,-0.023431
,,,2022-11-24 09:57:12.940,-0.01841
,,,2022-11-24 09:57:13.440,-0.035146
,,,2022-11-24 09:57:13.939,-0.028452
,,,2022-11-24 09:57:14.438,-0.011715
,,,2022-11-24 09:57:14.938,-0.01841
,,,2022-11-24 09:57:15.439,-0.006695
,,,2022-11-24 09:57:15.939,-0.023431
,,,2022-11-24 09:57:16.438,-0.005021
,,,2022-11-24 09:57:16.940,-0.030126
,,,2022-11-24 09:57:17.442,-0.016736
,,,2022-11-24 09:57:17.939,-0.01841
,,,2022-11-24 09:57:18.440,-0.011715
,,,2022-11-24 09:57:18.942,-0.070293
,,,2022-11-24 09:57:19.440,-0.006695
,,,2022-11-24 09:57:19.941,-0.016736
,,,2022-11-24 09:57:20.440,-0.011715
,,,2022-11-24 09:57:20.940,-0.010042
,,,2022-11-24 09:57:21.440,-0.006695
,,,2022-11-24 09:57:21.939,-0.028452
,,,2022-11-24 09:57:22.440,-0.026778
,,,2022-11-24 09:57:22.941,-0.01841
,,,2022-11-24 09:57:23.439,-0.038494
,,,2022-11-24 09:57:23.939,-0.011715
,,,2022-11-24 09:57:24.439,-0.03682
,,,2022-11-24 09:57:24.940,-0.006695
,,,2022-11-24 09:57:25.440,-0.010042
,,,2022-11-24 09:57:25.940,-0.011715
,,,2022-11-24 09:57:26.439,-0.011715
,,,2022-11-24 09:57:26.940,-0.01841
,,,2022-11-24 09:57:27.440,-0.01841
,,,2022-11-24 09:57:27.940,-0.025105
,,,2022-11-24 09:57:28.439,-0.016736
,,,2022-11-24 09:57:28.940,-0.025105
,,,2022-11-24 09:57:29.439,-0.030126
,,,2022-11-24 09:57:29.940,-0.013389
,,,2022-11-24 09:57:30.440,-0.025105
,,,2022-11-24 09:57:30.940,-0.023431
,,,2022-11-24 09:57:31.440,-0.011715
,,,2022-11-24 09:57:31.939,-0.013389
,,,2022-11-24 09:57:32.439,-0.030126
,,,2022-11-24 09:57:32.939,-0.023431
,,,2022-11-24 09:57:33.440,-0.011715
,,,2022-11-24 09:57:33.940,-0.011715
,,,2022-11-24 09:57:34.440,-0.033473
,,,2022-11-24 09:57:34.940,-0.020084
,,,2022-11-24 09:57:35.440,-0.01841
