Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-11-23 16:19:48.192,-0.022139
Serial Number:,MY60101365,,2022-11-23 16:19:48.694,-0.013771
Firmware Version:,07.31.2020012900,,2022-11-23 16:19:49.193,-0.015445
Start Time:,2022-11-23 16:19:48.192,,2022-11-23 16:19:49.693,-0.023813
Stop Time:,2022-11-23 16:29:48.193,,2022-11-23 16:19:50.193,-0.022139
Sample Period:,0.5,,2022-11-23 16:19:50.694,-0.013771
,,,2022-11-23 16:19:51.193,-0.010424
,,,2022-11-23 16:19:51.693,-0.042223
,,,2022-11-23 16:19:52.192,-0.035528
,,,2022-11-23 16:19:52.692,-0.033855
,,,2022-11-23 16:19:53.193,-0.013771
,,,2022-11-23 16:19:53.692,-0.022139
,,,2022-11-23 16:19:54.193,-0.037202
,,,2022-11-23 16:19:54.692,-0.00875
,,,2022-11-23 16:19:55.192,-0.028834
,,,2022-11-23 16:19:55.692,-0.015445
,,,2022-11-23 16:19:56.192,-0.028834
,,,2022-11-23 16:19:56.692,-0.033855
,,,2022-11-23 16:19:57.192,-0.020465
,,,2022-11-23 16:19:57.692,-0.013771
,,,2022-11-23 16:19:58.192,-0.028834
,,,2022-11-23 16:19:58.692,-0.022139
,,,2022-11-23 16:19:59.193,-0.00875
,,,2022-11-23 16:19:59.693,-0.040549
,,,2022-11-23 16:20:00.193,-0.020465
,,,2022-11-23 16:20:00.693,-0.033855
,,,2022-11-23 16:20:01.192,-0.022139
,,,2022-11-23 16:20:01.692,-0.032181
,,,2022-11-23 16:20:02.192,-0.02716
,,,2022-11-23 16:20:02.693,-0.033855
,,,2022-11-23 16:20:03.193,-0.010424
,,,2022-11-23 16:20:03.693,-0.022139
,,,2022-11-23 16:20:04.192,-0.02716
,,,2022-11-23 16:20:04.692,-0.02716
,,,2022-11-23 16:20:05.193,-0.043896
,,,2022-11-23 16:20:05.693,-0.022139
,,,2022-11-23 16:20:06.193,-0.022139
,,,2022-11-23 16:20:06.692,-0.070675
,,,2022-11-23 16:20:07.193,-0.020465
,,,2022-11-23 16:20:07.692,-0.020465
,,,2022-11-23 16:20:08.192,-0.022139
,,,2022-11-23 16:20:08.693,-0.017118
,,,2022-11-23 16:20:09.192,-0.013771
,,,2022-11-23 16:20:09.692,-0.015445
,,,2022-11-23 16:20:10.192,-0.013771
,,,2022-11-23 16:20:10.692,-0.00875
,,,2022-11-23 16:20:11.192,-0.02716
,,,2022-11-23 16:20:11.692,-0.02716
,,,2022-11-23 16:20:12.192,-0.042223
,,,2022-11-23 16:20:12.693,-0.020465
,,,2022-11-23 16:20:13.193,-0.020465
,,,2022-11-23 16:20:13.692,-0.035528
,,,2022-11-23 16:20:14.193,-0.013771
,,,2022-11-23 16:20:14.692,-0.022139
,,,2022-11-23 16:20:15.192,-0.013771
,,,2022-11-23 16:20:15.693,-0.020465
,,,2022-11-23 16:20:16.193,-0.025486
,,,2022-11-23 16:20:16.693,-0.020465
,,,2022-11-23 16:20:17.193,-0.040549
,,,2022-11-23 16:20:17.692,-0.032181
,,,2022-11-23 16:20:18.192,-0.022139
,,,2022-11-23 16:20:18.692,-0.042223
,,,2022-11-23 16:20:19.192,-0.018792
,,,2022-11-23 16:20:19.693,-0.02716
,,,2022-11-23 16:20:20.193,-0.020465
,,,2022-11-23 16:20:20.694,-0.015445
,,,2022-11-23 16:20:21.192,-0.020465
,,,2022-11-23 16:20:21.692,-0.013771
,,,2022-11-23 16:20:22.192,-0.00875
,,,2022-11-23 16:20:22.692,-0.013771
,,,2022-11-23 16:20:23.192,-0.02716
,,,2022-11-23 16:20:23.692,-0.042223
,,,2022-11-23 16:20:24.192,-0.015445
,,,2022-11-23 16:20:24.692,-0.017118
,,,2022-11-23 16:20:25.192,-0.020465
,,,2022-11-23 16:20:25.692,-0.055612
,,,2022-11-23 16:20:26.192,-0.035528
,,,2022-11-23 16:20:26.692,-0.020465
,,,2022-11-23 16:20:27.192,-0.037202
,,,2022-11-23 16:20:27.692,-0.00875
,,,2022-11-23 16:20:28.194,-0.042223
,,,2022-11-23 16:20:28.694,-0.038876
,,,2022-11-23 16:20:29.194,-0.013771
,,,2022-11-23 16:20:29.692,-0.013771
,,,2022-11-23 16:20:30.194,-0.035528
,,,2022-11-23 16:20:30.693,-0.00875
,,,2022-11-23 16:20:31.194,-0.060633
,,,2022-11-23 16:20:31.694,-0.013771
,,,2022-11-23 16:20:32.193,-0.022139
,,,2022-11-23 16:20:32.693,-0.025486
,,,2022-11-23 16:20:33.193,-0.023813
,,,2022-11-23 16:20:33.693,-0.032181
,,,2022-11-23 16:20:34.194,-0.013771
,,,2022-11-23 16:20:34.693,-0.020465
,,,2022-11-23 16:20:35.193,-0.020465
,,,2022-11-23 16:20:35.694,-0.018792
,,,2022-11-23 16:20:36.193,-0.020465
,,,2022-11-23 16:20:36.693,-0.013771
,,,2022-11-23 16:20:37.192,-0.013771
,,,2022-11-23 16:20:37.693,-0.020465
,,,2022-11-23 16:20:38.194,-0.013771
,,,2022-11-23 16:20:38.693,-0.010424
,,,2022-11-23 16:20:39.193,-0.013771
,,,2022-11-23 16:20:39.693,-0.028834
,,,2022-11-23 16:20:40.192,-0.037202
,,,2022-11-23 16:20:40.692,-0.048917
,,,2022-11-23 16:20:41.193,-0.015445
,,,2022-11-23 16:20:41.693,-0.013771
,,,2022-11-23 16:20:42.192,-0.013771
,,,2022-11-23 16:20:42.692,-0.015445
,,,2022-11-23 16:20:43.193,-0.00875
,,,2022-11-23 16:20:43.693,-0.013771
,,,2022-11-23 16:20:44.192,-0.015445
,,,2022-11-23 16:20:44.693,-0.018792
,,,2022-11-23 16:20:45.193,-0.042223
,,,2022-11-23 16:20:45.694,-0.033855
,,,2022-11-23 16:20:46.193,-0.043896
,,,2022-11-23 16:20:46.693,-0.023813
,,,2022-11-23 16:20:47.193,-0.020465
,,,2022-11-23 16:20:47.694,-0.010424
,,,2022-11-23 16:20:48.192,-0.022139
,,,2022-11-23 16:20:48.692,-0.015445
,,,2022-11-23 16:20:49.192,-0.062306
,,,2022-11-23 16:20:49.692,-0.020465
,,,2022-11-23 16:20:50.192,-0.022139
,,,2022-11-23 16:20:50.693,-0.035528
,,,2022-11-23 16:20:51.193,-0.035528
,,,2022-11-23 16:20:51.693,-0.015445
,,,2022-11-23 16:20:52.194,-0.015445
,,,2022-11-23 16:20:52.692,-0.013771
,,,2022-11-23 16:20:53.192,-0.013771
,,,2022-11-23 16:20:53.693,-0.040549
,,,2022-11-23 16:20:54.193,-0.010424
,,,2022-11-23 16:20:54.694,-0.033855
,,,2022-11-23 16:20:55.193,-0.010424
,,,2022-11-23 16:20:55.694,-0.042223
,,,2022-11-23 16:20:56.192,-0.012097
,,,2022-11-23 16:20:56.693,-0.033855
,,,2022-11-23 16:20:57.193,-0.040549
,,,2022-11-23 16:20:57.694,-0.035528
,,,2022-11-23 16:20:58.192,-0.050591
,,,2022-11-23 16:20:58.692,-0.050591
,,,2022-11-23 16:20:59.193,-0.020465
,,,2022-11-23 16:20:59.693,-0.030507
,,,2022-11-23 16:21:00.193,-0.02716
,,,2022-11-23 16:21:00.693,-0.022139
,,,2022-11-23 16:21:01.192,-0.015445
,,,2022-11-23 16:21:01.692,-0.00875
,,,2022-11-23 16:21:02.192,-0.020465
,,,2022-11-23 16:21:02.692,-0.00875
,,,2022-11-23 16:21:03.192,-0.032181
,,,2022-11-23 16:21:03.692,-0.015445
,,,2022-11-23 16:21:04.193,-0.025486
,,,2022-11-23 16:21:04.694,-0.028834
,,,2022-11-23 16:21:05.193,-0.013771
,,,2022-11-23 16:21:05.693,-0.010424
,,,2022-11-23 16:21:06.193,-0.015445
,,,2022-11-23 16:21:06.693,-0.022139
,,,2022-11-23 16:21:07.193,-0.028834
,,,2022-11-23 16:21:07.693,-0.038876
,,,2022-11-23 16:21:08.193,-0.00875
,,,2022-11-23 16:21:08.691,-0.013771
,,,2022-11-23 16:21:09.192,-0.010424
,,,2022-11-23 16:21:09.691,-0.048917
,,,2022-11-23 16:21:10.192,-0.02716
,,,2022-11-23 16:21:10.692,-0.023813
,,,2022-11-23 16:21:11.192,-0.02716
,,,2022-11-23 16:21:11.692,-0.02716
,,,2022-11-23 16:21:12.192,-0.022139
,,,2022-11-23 16:21:12.693,-0.013771
,,,2022-11-23 16:21:13.193,-0.032181
,,,2022-11-23 16:21:13.693,-0.042223
,,,2022-11-23 16:21:14.193,-0.015445
,,,2022-11-23 16:21:14.694,-0.013771
,,,2022-11-23 16:21:15.192,-0.02716
,,,2022-11-23 16:21:15.693,-0.013771
,,,2022-11-23 16:21:16.194,-0.013771
,,,2022-11-23 16:21:16.695,-0.025486
,,,2022-11-23 16:21:17.192,-0.028834
,,,2022-11-23 16:21:17.692,-0.035528
,,,2022-11-23 16:21:18.192,-0.018792
,,,2022-11-23 16:21:18.692,-0.00875
,,,2022-11-23 16:21:19.194,-0.033855
,,,2022-11-23 16:21:19.695,-0.013771
