Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 16:47:12.050,-0.056904
Serial Number:,MY60101365,,2022-11-15 16:47:12.683,-0.046862
Firmware Version:,07.31.2020012900,,2022-11-15 16:47:13.332,-0.05523
Start Time:,2022-11-15 16:47:12.050,,2022-11-15 16:47:13.996,-0.040167
Stop Time:,2022-11-15 16:57:11.868,,2022-11-15 16:47:14.657,-0.040167
Sample Period:,0.5,,2022-11-15 16:47:15.318,-0.061925
,,,2022-11-15 16:47:15.971,-0.040167
,,,2022-11-15 16:47:16.630,-0.046862
,,,2022-11-15 16:47:17.257,-0.038494
,,,2022-11-15 16:47:17.908,-0.031799
,,,2022-11-15 16:47:18.564,-0.068619
,,,2022-11-15 16:47:19.215,-0.033473
,,,2022-11-15 16:47:19.879,-0.046862
,,,2022-11-15 16:47:20.540,-0.053556
,,,2022-11-15 16:47:21.196,-0.045188
,,,2022-11-15 16:47:21.848,-0.025105
,,,2022-11-15 16:47:22.502,-0.050209
,,,2022-11-15 16:47:23.160,-0.05523
,,,2022-11-15 16:47:23.826,-0.053556
,,,2022-11-15 16:47:24.478,-0.025105
,,,2022-11-15 16:47:25.122,-0.061925
,,,2022-11-15 16:47:25.767,-0.013389
,,,2022-11-15 16:47:26.421,-0.046862
,,,2022-11-15 16:47:27.077,-0.053556
,,,2022-11-15 16:47:27.735,-0.053556
,,,2022-11-15 16:47:28.388,-0.035146
,,,2022-11-15 16:47:29.028,-0.030126
,,,2022-11-15 16:47:29.677,-0.083682
,,,2022-11-15 16:47:30.322,-0.020084
,,,2022-11-15 16:47:30.968,-0.061925
,,,2022-11-15 16:47:31.649,-0.088703
,,,2022-11-15 16:47:32.310,-0.023431
,,,2022-11-15 16:47:32.955,-0.075314
,,,2022-11-15 16:47:33.622,-0.05523
,,,2022-11-15 16:47:34.270,-0.031799
,,,2022-11-15 16:47:34.924,-0.060251
,,,2022-11-15 16:47:35.554,-0.01841
,,,2022-11-15 16:47:36.216,-0.07364
,,,2022-11-15 16:47:36.874,-0.013389
,,,2022-11-15 16:47:37.520,-0.090377
,,,2022-11-15 16:47:38.170,-0.082008
