Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-16 09:48:23.452,-0.031464
Serial Number:,MY60101365,,2022-11-16 09:48:24.080,-0.009372
Firmware Version:,07.31.2020012900,,2022-11-16 09:48:24.706,-0.038828
Start Time:,2022-11-16 09:48:23.452,,2022-11-16 09:48:25.409,-0.018075
Stop Time:,2022-11-16 09:58:22.885,,2022-11-16 09:48:26.033,-0.023431
Sample Period:,0.5,,2022-11-16 09:48:26.734,-0.025439
,,,2022-11-16 09:48:27.392,-0.007364
,,,2022-11-16 09:48:28.053,-0.010042
,,,2022-11-16 09:48:28.708,-0.064268
,,,2022-11-16 09:48:29.399,-0.022762
,,,2022-11-16 09:48:30.047,-0.016067
,,,2022-11-16 09:48:30.705,-0.017406
,,,2022-11-16 09:48:31.385,-0.010042
,,,2022-11-16 09:48:32.041,-0.031464
,,,2022-11-16 09:48:32.753,-0.041506
,,,2022-11-16 09:48:33.419,-0.040837
,,,2022-11-16 09:48:34.060,-0.020084
,,,2022-11-16 09:48:34.715,9.9E+37
,,,2022-11-16 09:48:35.348,-0.017406
,,,2022-11-16 09:48:36.036,-0.051548
,,,2022-11-16 09:48:36.715,-0.02477
,,,2022-11-16 09:48:37.393,-0.017406
,,,2022-11-16 09:48:38.160,-0.0241
,,,2022-11-16 09:48:38.800,-0.010042
,,,2022-11-16 09:48:39.441,-0.018075
,,,2022-11-16 09:48:40.104,-0.0241
,,,2022-11-16 09:48:40.751,-0.046862
,,,2022-11-16 09:48:41.418,-0.017406
,,,2022-11-16 09:48:42.095,-0.036151
,,,2022-11-16 09:48:42.744,-0.010042
,,,2022-11-16 09:48:43.381,-0.052887
,,,2022-11-16 09:48:44.043,-0.026109
,,,2022-11-16 09:48:44.781,-0.038828
,,,2022-11-16 09:48:45.406,-0.036151
,,,2022-11-16 09:48:46.049,-0.016736
,,,2022-11-16 09:48:46.707,-0.016736
,,,2022-11-16 09:48:47.372,-0.01272
,,,2022-11-16 09:48:48.029,-0.053556
,,,2022-11-16 09:48:48.691,-0.018745
,,,2022-11-16 09:48:49.355,-0.038159
,,,2022-11-16 09:48:50.012,-0.046862
,,,2022-11-16 09:48:50.728,-0.052218
,,,2022-11-16 09:48:51.378,-0.010711
,,,2022-11-16 09:48:52.032,-0.030795
,,,2022-11-16 09:48:52.698,-0.018075
,,,2022-11-16 09:48:53.347,-0.010042
,,,2022-11-16 09:48:54.012,-0.031464
,,,2022-11-16 09:48:54.676,-0.044854
,,,2022-11-16 09:48:55.339,-0.053556
,,,2022-11-16 09:48:55.998,-0.052218
,,,2022-11-16 09:48:56.650,-0.040167
,,,2022-11-16 09:48:57.304,-0.019414
,,,2022-11-16 09:48:57.970,-0.052887
,,,2022-11-16 09:48:58.622,-0.047531
,,,2022-11-16 09:48:59.271,-0.031464
,,,2022-11-16 09:48:59.955,-0.016736
,,,2022-11-16 09:49:00.614,-0.023431
,,,2022-11-16 09:49:01.272,-0.059582
,,,2022-11-16 09:49:01.922,-0.017406
,,,2022-11-16 09:49:02.569,-0.010042
,,,2022-11-16 09:49:03.244,-0.008703
,,,2022-11-16 09:49:03.907,-0.03749
,,,2022-11-16 09:49:04.578,-0.016736
,,,2022-11-16 09:49:05.290,-0.042845
,,,2022-11-16 09:49:05.953,-0.016067
