Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-19 17:29:36.933,1.298E-08,1.29E-09
Serial Number:,MY60101365,,2022-09-19 17:29:37.431,1.375E-08,3.09E-09
Firmware Version:,07.31.2020012900,,2022-09-19 17:29:37.932,1.547E-08,2.23E-09
Start Time:,2022-09-19 17:29:36.933,,2022-09-19 17:29:38.430,1.504E-08,4.64E-09
Stop Time:,2022-09-19 17:39:36.929,,2022-09-19 17:29:38.931,1.667E-08,2.58E-09
Sample Period:,0.5,,2022-09-19 17:29:39.430,1.676E-08,1.29E-09
,,,2022-09-19 17:29:39.930,1.444E-08,2.15E-09
,,,2022-09-19 17:29:40.430,1.616E-08,3.44E-09
,,,2022-09-19 17:29:40.932,1.624E-08,2.06E-09
,,,2022-09-19 17:29:41.431,1.53E-08,1.46E-09
,,,2022-09-19 17:29:41.930,1.573E-08,4.64E-09
,,,2022-09-19 17:29:42.431,1.444E-08,1.55E-09
,,,2022-09-19 17:29:42.931,1.547E-08,2.58E-09
,,,2022-09-19 17:29:43.430,1.624E-08,2.84E-09
,,,2022-09-19 17:29:43.931,1.659E-08,2.41E-09
,,,2022-09-19 17:29:44.430,1.461E-08,2.23E-09
,,,2022-09-19 17:29:44.930,1.616E-08,3.61E-09
,,,2022-09-19 17:29:45.431,1.435E-08,3.27E-09
,,,2022-09-19 17:29:45.930,1.598E-08,3.18E-09
,,,2022-09-19 17:29:46.430,1.444E-08,1.63E-09
,,,2022-09-19 17:29:46.930,1.59E-08,2.49E-09
,,,2022-09-19 17:29:47.430,1.693E-08,1.98E-09
,,,2022-09-19 17:29:47.931,1.452E-08,3.44E-09
,,,2022-09-19 17:29:48.430,1.521E-08,3.78E-09
,,,2022-09-19 17:29:48.931,1.409E-08,2.06E-09
,,,2022-09-19 17:29:49.431,1.555E-08,2.06E-09
,,,2022-09-19 17:29:49.931,1.555E-08,2.92E-09
,,,2022-09-19 17:29:50.430,1.573E-08,4.64E-09
,,,2022-09-19 17:29:50.931,1.555E-08,4.38E-09
,,,2022-09-19 17:29:51.431,1.573E-08,4.3E-09
,,,2022-09-19 17:29:51.930,1.452E-08,4.04E-09
,,,2022-09-19 17:29:52.430,1.47E-08,2.15E-09
,,,2022-09-19 17:29:52.930,1.805E-08,4.98E-09
,,,2022-09-19 17:29:53.430,1.684E-08,3.78E-09
,,,2022-09-19 17:29:53.930,1.65E-08,2.75E-09
,,,2022-09-19 17:29:54.430,1.444E-08,1.63E-09
,,,2022-09-19 17:29:54.930,1.427E-08,2.32E-09
,,,2022-09-19 17:29:55.430,1.65E-08,4.38E-09
,,,2022-09-19 17:29:55.930,1.753E-08,2.92E-09
,,,2022-09-19 17:29:56.430,1.452E-08,1.38E-09
,,,2022-09-19 17:29:56.931,1.624E-08,2.58E-09
,,,2022-09-19 17:29:57.432,1.538E-08,2.75E-09
,,,2022-09-19 17:29:57.930,1.839E-08,4.81E-09
,,,2022-09-19 17:29:58.430,1.676E-08,1.63E-09
,,,2022-09-19 17:29:58.931,1.487E-08,2.23E-09
,,,2022-09-19 17:29:59.432,1.616E-08,1.89E-09
,,,2022-09-19 17:29:59.931,1.504E-08,3.27E-09
,,,2022-09-19 17:30:00.430,1.452E-08,2.06E-09
,,,2022-09-19 17:30:00.931,1.53E-08,1.98E-09
,,,2022-09-19 17:30:01.430,1.418E-08,3.27E-09
,,,2022-09-19 17:30:01.930,1.564E-08,3.95E-09
,,,2022-09-19 17:30:02.430,1.547E-08,2.06E-09
,,,2022-09-19 17:30:02.931,1.71E-08,2.92E-09
,,,2022-09-19 17:30:03.430,1.65E-08,4.73E-09
,,,2022-09-19 17:30:03.934,1.865E-08,1.8E-09
,,,2022-09-19 17:30:04.433,1.358E-08,2.32E-09
,,,2022-09-19 17:30:04.933,1.65E-08,3.95E-09
,,,2022-09-19 17:30:05.433,1.418E-08,2.06E-09
,,,2022-09-19 17:30:05.936,1.598E-08,1.29E-09
,,,2022-09-19 17:30:06.434,1.641E-08,1.72E-09
,,,2022-09-19 17:30:06.932,1.538E-08,3.01E-09
,,,2022-09-19 17:30:07.432,1.47E-08,3.44E-09
,,,2022-09-19 17:30:07.935,1.53E-08,3.44E-09
,,,2022-09-19 17:30:08.433,1.504E-08,2.41E-09
,,,2022-09-19 17:30:08.932,1.478E-08,4.47E-09
,,,2022-09-19 17:30:09.435,1.616E-08,2.15E-09
,,,2022-09-19 17:30:09.934,1.53E-08,2.84E-09
,,,2022-09-19 17:30:10.433,1.873E-08,3.78E-09
,,,2022-09-19 17:30:10.933,1.444E-08,1.98E-09
,,,2022-09-19 17:30:11.433,1.418E-08,2.49E-09
,,,2022-09-19 17:30:11.931,1.555E-08,3.61E-09
,,,2022-09-19 17:30:12.431,1.547E-08,2.32E-09
,,,2022-09-19 17:30:12.931,1.495E-08,3.61E-09
,,,2022-09-19 17:30:13.432,1.513E-08,2.23E-09
,,,2022-09-19 17:30:13.931,1.607E-08,2.58E-09
,,,2022-09-19 17:30:14.431,1.822E-08,3.09E-09
,,,2022-09-19 17:30:14.933,1.495E-08,3.87E-09
,,,2022-09-19 17:30:15.432,1.444E-08,2.92E-09
,,,2022-09-19 17:30:15.931,1.538E-08,3.09E-09
,,,2022-09-19 17:30:16.431,1.47E-08,2.15E-09
,,,2022-09-19 17:30:16.931,1.444E-08,3.7E-09
,,,2022-09-19 17:30:17.432,1.521E-08,3.44E-09
,,,2022-09-19 17:30:17.930,1.736E-08,3.87E-09
,,,2022-09-19 17:30:18.431,1.555E-08,1.8E-09
,,,2022-09-19 17:30:18.931,1.427E-08,3.35E-09
,,,2022-09-19 17:30:19.431,1.375E-08,1.2E-09
,,,2022-09-19 17:30:19.936,1.65E-08,2.66E-09
,,,2022-09-19 17:30:20.431,1.538E-08,2.49E-09
,,,2022-09-19 17:30:20.931,1.435E-08,2.66E-09
,,,2022-09-19 17:30:21.430,1.53E-08,2.75E-09
,,,2022-09-19 17:30:21.931,1.392E-08,2.92E-09
