Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-16 13:05:48.617,1.781E-08,3.91E-09
Serial Number:,MY60101365,,2022-09-16 13:05:49.246,1.57E-08,5.47E-09
Firmware Version:,07.31.2020012900,,2022-09-16 13:05:49.888,1.625E-08,3.75E-09
Start Time:,2022-09-16 13:05:48.617,,2022-09-16 13:05:50.573,1.438E-08,3.13E-09
Stop Time:,2022-09-16 13:15:47.977,,2022-09-16 13:05:51.222,1.727E-08,3.98E-09
Sample Period:,0.5,,2022-09-16 13:05:51.928,1.547E-08,2.27E-09
,,,2022-09-16 13:05:52.588,1.594E-08,2.66E-09
,,,2022-09-16 13:05:53.233,1.539E-08,2.11E-09
,,,2022-09-16 13:05:53.942,1.648E-08,1.72E-09
,,,2022-09-16 13:05:54.590,1.445E-08,4.22E-09
,,,2022-09-16 13:05:55.240,1.641E-08,2.34E-09
,,,2022-09-16 13:05:55.913,1.539E-08,2.89E-09
,,,2022-09-16 13:05:56.599,1.734E-08,2.19E-09
,,,2022-09-16 13:05:57.252,1.406E-08,4.61E-09
,,,2022-09-16 13:05:57.895,9.9E+37,9.9E+37
,,,2022-09-16 13:05:58.535,1.594E-08,2.03E-09
,,,2022-09-16 13:05:59.200,1.594E-08,2.5E-09
,,,2022-09-16 13:05:59.845,1.563E-08,3.28E-09
,,,2022-09-16 13:06:00.496,1.375E-08,3.59E-09
,,,2022-09-16 13:06:01.141,1.484E-08,1.72E-09
,,,2022-09-16 13:06:01.900,1.602E-08,2.27E-09
,,,2022-09-16 13:06:02.560,1.688E-08,1.8E-09
,,,2022-09-16 13:06:03.210,1.719E-08,3.67E-09
,,,2022-09-16 13:06:03.854,1.461E-08,3.59E-09
,,,2022-09-16 13:06:04.531,1.586E-08,2.66E-09
,,,2022-09-16 13:06:05.155,1.656E-08,3.67E-09
,,,2022-09-16 13:06:05.808,1.617E-08,3.2E-09
,,,2022-09-16 13:06:06.442,1.469E-08,2.03E-09
,,,2022-09-16 13:06:07.103,1.563E-08,3.67E-09
,,,2022-09-16 13:06:07.752,1.898E-08,3.83E-09
,,,2022-09-16 13:06:08.402,1.523E-08,3.44E-09
,,,2022-09-16 13:06:09.058,1.789E-08,1.33E-09
,,,2022-09-16 13:06:09.706,1.625E-08,1.33E-09
,,,2022-09-16 13:06:10.351,1.602E-08,2.97E-09
,,,2022-09-16 13:06:11.007,1.758E-08,2.03E-09
,,,2022-09-16 13:06:11.656,1.5E-08,3.36E-09
,,,2022-09-16 13:06:12.310,1.484E-08,2.5E-09
,,,2022-09-16 13:06:12.961,1.539E-08,2.11E-09
,,,2022-09-16 13:06:13.618,1.758E-08,3.75E-09
,,,2022-09-16 13:06:14.271,1.516E-08,2.27E-09
,,,2022-09-16 13:06:14.918,1.43E-08,2.11E-09
,,,2022-09-16 13:06:15.562,1.578E-08,3.83E-09
,,,2022-09-16 13:06:16.207,1.617E-08,2.66E-09
,,,2022-09-16 13:06:16.857,1.352E-08,2.19E-09
