Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-23 13:58:05.197,1.656E-08,2.66E-09
Serial Number:,MY60101365,,2022-09-23 13:58:05.698,1.852E-08,2.81E-09
Firmware Version:,07.31.2020012900,,2022-09-23 13:58:06.198,1.664E-08,1.88E-09
Start Time:,2022-09-23 13:58:05.197,,2022-09-23 13:58:06.697,1.547E-08,1.48E-09
Stop Time:,2022-09-23 14:08:05.197,,2022-09-23 13:58:07.197,1.805E-08,1.95E-09
Sample Period:,0.5,,2022-09-23 13:58:07.698,1.492E-08,3.52E-09
,,,2022-09-23 13:58:08.198,1.711E-08,2.73E-09
,,,2022-09-23 13:58:08.698,1.609E-08,1.64E-09
,,,2022-09-23 13:58:09.197,1.75E-08,1.8E-09
,,,2022-09-23 13:58:09.697,1.734E-08,3.44E-09
,,,2022-09-23 13:58:10.197,1.586E-08,3.13E-09
,,,2022-09-23 13:58:10.697,1.93E-08,2.27E-09
,,,2022-09-23 13:58:11.198,1.68E-08,2.81E-09
,,,2022-09-23 13:58:11.697,1.805E-08,3.2E-09
,,,2022-09-23 13:58:12.197,1.813E-08,1.88E-09
,,,2022-09-23 13:58:12.698,1.609E-08,1.8E-09
,,,2022-09-23 13:58:13.197,1.805E-08,4.45E-09
,,,2022-09-23 13:58:13.697,1.461E-08,1.64E-09
,,,2022-09-23 13:58:14.198,1.531E-08,3.83E-09
,,,2022-09-23 13:58:14.697,1.773E-08,2.66E-09
,,,2022-09-23 13:58:15.196,1.516E-08,2.42E-09
,,,2022-09-23 13:58:15.696,1.828E-08,4.45E-09
,,,2022-09-23 13:58:16.197,1.406E-08,2.73E-09
,,,2022-09-23 13:58:16.697,1.625E-08,3.83E-09
,,,2022-09-23 13:58:17.197,1.5E-08,3.52E-09
,,,2022-09-23 13:58:17.697,1.82E-08,2.58E-09
,,,2022-09-23 13:58:18.198,1.586E-08,2.42E-09
,,,2022-09-23 13:58:18.697,1.438E-08,4.53E-09
,,,2022-09-23 13:58:19.197,1.711E-08,1.72E-09
,,,2022-09-23 13:58:19.698,1.797E-08,2.34E-09
,,,2022-09-23 13:58:20.197,1.602E-08,2.42E-09
,,,2022-09-23 13:58:20.696,1.469E-08,3.75E-09
,,,2022-09-23 13:58:21.197,1.672E-08,1.72E-09
,,,2022-09-23 13:58:21.698,1.734E-08,4.14E-09
,,,2022-09-23 13:58:22.196,1.625E-08,1.95E-09
,,,2022-09-23 13:58:22.696,1.648E-08,2.81E-09
,,,2022-09-23 13:58:23.196,1.633E-08,3.59E-09
,,,2022-09-23 13:58:23.697,1.641E-08,2.73E-09
,,,2022-09-23 13:58:24.198,1.664E-08,3.28E-09
,,,2022-09-23 13:58:24.697,2.039E-08,3.05E-09
,,,2022-09-23 13:58:25.197,1.563E-08,4.53E-09
,,,2022-09-23 13:58:25.697,1.727E-08,3.59E-09
,,,2022-09-23 13:58:26.197,1.508E-08,2.5E-09
,,,2022-09-23 13:58:26.698,1.758E-08,2.5E-09
,,,2022-09-23 13:58:27.197,1.648E-08,4.84E-09
,,,2022-09-23 13:58:27.698,1.703E-08,3.05E-09
,,,2022-09-23 13:58:28.197,1.742E-08,9.4E-10
,,,2022-09-23 13:58:28.696,1.617E-08,2.19E-09
,,,2022-09-23 13:58:29.196,1.688E-08,2.34E-09
,,,2022-09-23 13:58:29.697,1.727E-08,3.28E-09
,,,2022-09-23 13:58:30.197,1.578E-08,1.88E-09
,,,2022-09-23 13:58:30.697,1.633E-08,2.5E-09
,,,2022-09-23 13:58:31.198,1.656E-08,1.09E-09
,,,2022-09-23 13:58:31.697,1.875E-08,2.89E-09
,,,2022-09-23 13:58:32.198,1.57E-08,3.13E-09
,,,2022-09-23 13:58:32.697,1.93E-08,2.42E-09
,,,2022-09-23 13:58:33.196,1.492E-08,3.28E-09
,,,2022-09-23 13:58:33.697,1.57E-08,1.48E-09
,,,2022-09-23 13:58:34.196,1.852E-08,1.95E-09
,,,2022-09-23 13:58:34.697,1.438E-08,3.2E-09
,,,2022-09-23 13:58:35.197,1.633E-08,2.11E-09
,,,2022-09-23 13:58:35.698,1.672E-08,5.47E-09
,,,2022-09-23 13:58:36.197,1.703E-08,2.03E-09
,,,2022-09-23 13:58:36.697,1.844E-08,2.97E-09
,,,2022-09-23 13:58:37.198,1.75E-08,2.19E-09
,,,2022-09-23 13:58:37.699,1.672E-08,2.89E-09
,,,2022-09-23 13:58:38.197,1.602E-08,2.89E-09
,,,2022-09-23 13:58:38.697,1.602E-08,2.5E-09
,,,2022-09-23 13:58:39.196,1.695E-08,1.72E-09
,,,2022-09-23 13:58:39.697,1.586E-08,1.8E-09
,,,2022-09-23 13:58:40.198,1.844E-08,3.2E-09
,,,2022-09-23 13:58:40.696,1.844E-08,2.11E-09
,,,2022-09-23 13:58:41.196,1.648E-08,1.72E-09
,,,2022-09-23 13:58:41.697,1.648E-08,4.45E-09
,,,2022-09-23 13:58:42.197,1.664E-08,2.11E-09
,,,2022-09-23 13:58:42.698,1.516E-08,2.58E-09
,,,2022-09-23 13:58:43.197,1.555E-08,1.56E-09
,,,2022-09-23 13:58:43.697,1.742E-08,3.28E-09
,,,2022-09-23 13:58:44.196,1.641E-08,2.66E-09
,,,2022-09-23 13:58:44.697,1.352E-08,2.5E-09
,,,2022-09-23 13:58:45.197,1.547E-08,2.81E-09
,,,2022-09-23 13:58:45.697,1.594E-08,2.27E-09
,,,2022-09-23 13:58:46.197,1.703E-08,3.75E-09
,,,2022-09-23 13:58:46.697,1.734E-08,2.27E-09
,,,2022-09-23 13:58:47.198,1.563E-08,1.72E-09
,,,2022-09-23 13:58:47.697,1.461E-08,1.48E-09
,,,2022-09-23 13:58:48.198,1.766E-08,2.42E-09
,,,2022-09-23 13:58:48.699,1.523E-08,1.8E-09
,,,2022-09-23 13:58:49.198,1.797E-08,2.66E-09
,,,2022-09-23 13:58:49.698,1.734E-08,1.64E-09
,,,2022-09-23 13:58:50.196,1.563E-08,3.28E-09
,,,2022-09-23 13:58:50.696,1.695E-08,2.89E-09
