Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-23 14:12:33.379,1.625E-08,4.3E-09
Serial Number:,MY60101365,,2022-09-23 14:12:33.880,1.625E-08,1.88E-09
Firmware Version:,07.31.2020012900,,2022-09-23 14:12:34.379,1.609E-08,1.41E-09
Start Time:,2022-09-23 14:12:33.379,,2022-09-23 14:12:34.879,1.578E-08,1.41E-09
Stop Time:,2022-09-23 14:22:33.380,,2022-09-23 14:12:35.379,1.766E-08,2.97E-09
Sample Period:,0.5,,2022-09-23 14:12:35.879,1.398E-08,1.8E-09
,,,2022-09-23 14:12:36.379,1.539E-08,2.5E-09
,,,2022-09-23 14:12:36.879,1.82E-08,2.58E-09
,,,2022-09-23 14:12:37.379,1.563E-08,1.41E-09
,,,2022-09-23 14:12:37.880,1.633E-08,2.11E-09
,,,2022-09-23 14:12:38.380,1.797E-08,1.88E-09
,,,2022-09-23 14:12:38.880,1.555E-08,1.64E-09
,,,2022-09-23 14:12:39.380,1.438E-08,1.02E-09
,,,2022-09-23 14:12:39.881,1.633E-08,6.3E-10
,,,2022-09-23 14:12:40.379,1.672E-08,2.11E-09
,,,2022-09-23 14:12:40.879,1.766E-08,2.5E-09
,,,2022-09-23 14:12:41.378,1.586E-08,2.11E-09
,,,2022-09-23 14:12:41.878,1.43E-08,1.8E-09
,,,2022-09-23 14:12:42.378,1.797E-08,2.5E-09
,,,2022-09-23 14:12:42.878,1.422E-08,1.33E-09
,,,2022-09-23 14:12:43.378,1.469E-08,3.98E-09
,,,2022-09-23 14:12:43.880,1.398E-08,1.72E-09
,,,2022-09-23 14:12:44.381,1.695E-08,2.5E-09
,,,2022-09-23 14:12:44.879,1.656E-08,1.64E-09
,,,2022-09-23 14:12:45.379,1.5E-08,1.8E-09
,,,2022-09-23 14:12:45.879,1.773E-08,2.34E-09
,,,2022-09-23 14:12:46.379,1.805E-08,1.41E-09
,,,2022-09-23 14:12:46.879,1.68E-08,4.38E-09
,,,2022-09-23 14:12:47.379,1.555E-08,2.66E-09
,,,2022-09-23 14:12:47.880,1.891E-08,1.64E-09
,,,2022-09-23 14:12:48.381,1.813E-08,3.91E-09
,,,2022-09-23 14:12:48.880,1.531E-08,3.05E-09
,,,2022-09-23 14:12:49.379,1.703E-08,3.1E-10
,,,2022-09-23 14:12:49.880,1.859E-08,8.6E-10
,,,2022-09-23 14:12:50.380,1.758E-08,2.58E-09
,,,2022-09-23 14:12:50.880,1.555E-08,1.95E-09
,,,2022-09-23 14:12:51.379,1.422E-08,2.42E-09
,,,2022-09-23 14:12:51.880,1.414E-08,2.19E-09
,,,2022-09-23 14:12:52.379,1.664E-08,2.03E-09
,,,2022-09-23 14:12:52.880,1.297E-08,1.33E-09
,,,2022-09-23 14:12:53.380,1.578E-08,2.3E-10
,,,2022-09-23 14:12:53.879,1.672E-08,2.97E-09
,,,2022-09-23 14:12:54.379,1.633E-08,2.58E-09
,,,2022-09-23 14:12:54.879,1.508E-08,1.25E-09
,,,2022-09-23 14:12:55.379,1.688E-08,1.48E-09
,,,2022-09-23 14:12:55.879,1.844E-08,3.2E-09
,,,2022-09-23 14:12:56.379,1.438E-08,4.3E-09
,,,2022-09-23 14:12:56.879,1.578E-08,2.5E-09
,,,2022-09-23 14:12:57.379,1.602E-08,1.8E-09
,,,2022-09-23 14:12:57.879,1.438E-08,1.17E-09
,,,2022-09-23 14:12:58.379,1.563E-08,2.66E-09
,,,2022-09-23 14:12:58.879,1.914E-08,3.52E-09
,,,2022-09-23 14:12:59.380,1.555E-08,2.19E-09
