Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-23 10:41:41.523,1.5E-08,1.41E-09
Serial Number:,MY60101365,,2022-09-23 10:41:42.023,1.656E-08,2.19E-09
Firmware Version:,07.31.2020012900,,2022-09-23 10:41:42.524,1.844E-08,4.14E-09
Start Time:,2022-09-23 10:41:41.523,,2022-09-23 10:41:43.025,1.664E-08,3.98E-09
Stop Time:,2022-09-23 10:51:41.524,,2022-09-23 10:41:43.523,1.539E-08,9.4E-10
Sample Period:,0.5,,2022-09-23 10:41:44.023,1.516E-08,1.48E-09
,,,2022-09-23 10:41:44.524,1.852E-08,3.91E-09
,,,2022-09-23 10:41:45.024,1.391E-08,1.17E-09
,,,2022-09-23 10:41:45.523,1.477E-08,1.48E-09
,,,2022-09-23 10:41:46.023,1.453E-08,2.27E-09
,,,2022-09-23 10:41:46.523,1.492E-08,2.19E-09
,,,2022-09-23 10:41:47.025,1.719E-08,1.25E-09
,,,2022-09-23 10:41:47.523,1.508E-08,3.28E-09
,,,2022-09-23 10:41:48.024,1.625E-08,3.59E-09
,,,2022-09-23 10:41:48.524,1.969E-08,2.03E-09
,,,2022-09-23 10:41:49.023,1.555E-08,1.72E-09
,,,2022-09-23 10:41:49.523,1.75E-08,2.19E-09
,,,2022-09-23 10:41:50.024,1.484E-08,2.42E-09
,,,2022-09-23 10:41:50.523,1.547E-08,1.48E-09
,,,2022-09-23 10:41:51.023,1.578E-08,2.19E-09
,,,2022-09-23 10:41:51.523,1.797E-08,3.83E-09
,,,2022-09-23 10:41:52.023,1.82E-08,2.81E-09
,,,2022-09-23 10:41:52.523,1.484E-08,4.38E-09
,,,2022-09-23 10:41:53.022,1.742E-08,2.89E-09
,,,2022-09-23 10:41:53.523,1.75E-08,3.28E-09
,,,2022-09-23 10:41:54.022,1.602E-08,1.02E-09
,,,2022-09-23 10:41:54.523,1.813E-08,3.52E-09
,,,2022-09-23 10:41:55.023,1.695E-08,2.73E-09
,,,2022-09-23 10:41:55.523,1.664E-08,6.3E-10
,,,2022-09-23 10:41:56.023,1.625E-08,2.42E-09
,,,2022-09-23 10:41:56.523,1.484E-08,2.5E-09
,,,2022-09-23 10:41:57.023,1.672E-08,9.4E-10
,,,2022-09-23 10:41:57.524,1.617E-08,2.97E-09
,,,2022-09-23 10:41:58.023,1.602E-08,8.6E-10
,,,2022-09-23 10:41:58.523,1.555E-08,8.6E-10
,,,2022-09-23 10:41:59.023,1.633E-08,2.89E-09
,,,2022-09-23 10:41:59.523,1.672E-08,2.5E-09
,,,2022-09-23 10:42:00.023,1.648E-08,3.2E-09
,,,2022-09-23 10:42:00.523,1.383E-08,1.95E-09
,,,2022-09-23 10:42:01.023,1.539E-08,1.41E-09
,,,2022-09-23 10:42:01.523,1.555E-08,8.6E-10
,,,2022-09-23 10:42:02.024,1.484E-08,1.64E-09
,,,2022-09-23 10:42:02.523,1.57E-08,4.06E-09
,,,2022-09-23 10:42:03.023,1.742E-08,3.83E-09
,,,2022-09-23 10:42:03.523,1.547E-08,2.58E-09
,,,2022-09-23 10:42:04.024,1.461E-08,2.42E-09
,,,2022-09-23 10:42:04.524,1.695E-08,2.73E-09
,,,2022-09-23 10:42:05.023,1.5E-08,1.64E-09
,,,2022-09-23 10:42:05.523,1.695E-08,2.81E-09
,,,2022-09-23 10:42:06.023,1.672E-08,2.81E-09
,,,2022-09-23 10:42:06.522,1.68E-08,1.8E-09
,,,2022-09-23 10:42:07.022,1.734E-08,2.89E-09
,,,2022-09-23 10:42:07.523,1.672E-08,2.11E-09
,,,2022-09-23 10:42:08.023,1.742E-08,2.66E-09
,,,2022-09-23 10:42:08.524,1.531E-08,3.2E-09
,,,2022-09-23 10:42:09.024,1.469E-08,1.56E-09
,,,2022-09-23 10:42:09.524,1.563E-08,1.41E-09
,,,2022-09-23 10:42:10.026,1.531E-08,3.83E-09
,,,2022-09-23 10:42:10.525,1.531E-08,1.95E-09
,,,2022-09-23 10:42:11.024,1.633E-08,3.67E-09
,,,2022-09-23 10:42:11.524,1.625E-08,2.03E-09
,,,2022-09-23 10:42:12.024,1.523E-08,9.4E-10
,,,2022-09-23 10:42:12.526,1.711E-08,2.58E-09
,,,2022-09-23 10:42:13.024,1.547E-08,2.11E-09
,,,2022-09-23 10:42:13.525,1.594E-08,3.83E-09
