Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-23 11:31:41.308,1.359E-08,4.22E-09
Serial Number:,MY60101365,,2022-09-23 11:31:41.806,1.5E-08,4.06E-09
Firmware Version:,07.31.2020012900,,2022-09-23 11:31:42.305,1.164E-08,3.36E-09
Start Time:,2022-09-23 11:31:41.308,,2022-09-23 11:31:42.806,1.188E-08,1.41E-09
Stop Time:,2022-09-23 11:41:41.306,,2022-09-23 11:31:43.306,1.18E-08,4.3E-09
Sample Period:,0.5,,2022-09-23 11:31:43.806,1.094E-08,3.05E-09
,,,2022-09-23 11:31:44.305,1.43E-08,2.11E-09
,,,2022-09-23 11:31:44.806,1.383E-08,3.59E-09
,,,2022-09-23 11:31:45.307,1.375E-08,2.5E-09
,,,2022-09-23 11:31:45.806,1.383E-08,2.66E-09
,,,2022-09-23 11:31:46.305,1.25E-08,2.19E-09
,,,2022-09-23 11:31:46.806,1.383E-08,3.13E-09
,,,2022-09-23 11:31:47.306,1.18E-08,3.83E-09
,,,2022-09-23 11:31:47.805,1.117E-08,2.58E-09
,,,2022-09-23 11:31:48.305,1.43E-08,3.44E-09
,,,2022-09-23 11:31:48.805,1.375E-08,3.44E-09
,,,2022-09-23 11:31:49.304,1.367E-08,2.42E-09
,,,2022-09-23 11:31:49.805,1.344E-08,2.11E-09
,,,2022-09-23 11:31:50.306,1.219E-08,3.2E-09
,,,2022-09-23 11:31:50.807,1.25E-08,2.34E-09
,,,2022-09-23 11:31:51.305,1.227E-08,3.52E-09
,,,2022-09-23 11:31:51.805,1.086E-08,3.83E-09
,,,2022-09-23 11:31:52.305,1.297E-08,2.27E-09
,,,2022-09-23 11:31:52.805,1.359E-08,3.28E-09
,,,2022-09-23 11:31:53.306,1.367E-08,2.03E-09
,,,2022-09-23 11:31:53.804,1.289E-08,2.27E-09
,,,2022-09-23 11:31:54.305,1.211E-08,1.48E-09
,,,2022-09-23 11:31:54.805,1.383E-08,2.58E-09
,,,2022-09-23 11:31:55.305,1.289E-08,3.05E-09
,,,2022-09-23 11:31:55.806,1.133E-08,2.42E-09
,,,2022-09-23 11:31:56.305,1.156E-08,3.75E-09
,,,2022-09-23 11:31:56.806,1.07E-08,2.19E-09
,,,2022-09-23 11:31:57.305,1.391E-08,3.98E-09
,,,2022-09-23 11:31:57.805,1.133E-08,1.56E-09
,,,2022-09-23 11:31:58.307,1.313E-08,2.89E-09
,,,2022-09-23 11:31:58.806,1.242E-08,1.95E-09
,,,2022-09-23 11:31:59.305,1.211E-08,2.58E-09
,,,2022-09-23 11:31:59.806,1.125E-08,4.38E-09
,,,2022-09-23 11:32:00.306,1.141E-08,4.06E-09
,,,2022-09-23 11:32:00.805,1.273E-08,4.92E-09
,,,2022-09-23 11:32:01.305,1.18E-08,1.95E-09
,,,2022-09-23 11:32:01.806,1.227E-08,3.91E-09
,,,2022-09-23 11:32:02.306,1.438E-08,2.73E-09
,,,2022-09-23 11:32:02.805,1.336E-08,3.67E-09
,,,2022-09-23 11:32:03.307,1.5E-08,2.19E-09
,,,2022-09-23 11:32:03.805,1.375E-08,4.53E-09
,,,2022-09-23 11:32:04.309,1.18E-08,2.19E-09
,,,2022-09-23 11:32:04.806,1.227E-08,4.45E-09
,,,2022-09-23 11:32:05.307,1.539E-08,3.75E-09
,,,2022-09-23 11:32:05.805,1.258E-08,1.56E-09
,,,2022-09-23 11:32:06.306,1.367E-08,2.5E-09
,,,2022-09-23 11:32:06.806,1.281E-08,1.8E-09
