Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-23 12:05:16.482,3.91E-09,2.11E-09
Serial Number:,MY60101365,,2022-09-23 12:05:16.983,5.47E-09,1.95E-09
Firmware Version:,07.31.2020012900,,2022-09-23 12:05:17.482,5.08E-09,2.89E-09
Start Time:,2022-09-23 12:05:16.482,,2022-09-23 12:05:17.983,5.94E-09,9.4E-10
Stop Time:,2022-09-23 12:15:16.482,,2022-09-23 12:05:18.482,5.08E-09,2.73E-09
Sample Period:,0.5,,2022-09-23 12:05:18.981,5.86E-09,3.36E-09
,,,2022-09-23 12:05:19.482,3.67E-09,1.8E-09
,,,2022-09-23 12:05:19.982,4.69E-09,2.19E-09
,,,2022-09-23 12:05:20.482,6.48E-09,4.45E-09
,,,2022-09-23 12:05:20.981,4.45E-09,3.52E-09
,,,2022-09-23 12:05:21.481,6.88E-09,1.72E-09
,,,2022-09-23 12:05:21.982,3.67E-09,2.5E-09
,,,2022-09-23 12:05:22.482,5.47E-09,8.6E-10
,,,2022-09-23 12:05:22.981,3.67E-09,1.95E-09
,,,2022-09-23 12:05:23.482,6.02E-09,3.13E-09
,,,2022-09-23 12:05:23.982,5.31E-09,3.05E-09
,,,2022-09-23 12:05:24.481,3.05E-09,1.88E-09
,,,2022-09-23 12:05:24.982,4.77E-09,1.8E-09
,,,2022-09-23 12:05:25.482,4.77E-09,7.8E-10
,,,2022-09-23 12:05:25.983,5.39E-09,2.66E-09
,,,2022-09-23 12:05:26.481,6.8E-09,4.22E-09
,,,2022-09-23 12:05:26.982,4.84E-09,2.11E-09
,,,2022-09-23 12:05:27.482,6.41E-09,2.73E-09
,,,2022-09-23 12:05:27.982,6.8E-09,2.42E-09
,,,2022-09-23 12:05:28.481,7.66E-09,7E-10
,,,2022-09-23 12:05:28.981,5.39E-09,2.81E-09
,,,2022-09-23 12:05:29.481,4.77E-09,1.25E-09
,,,2022-09-23 12:05:29.981,6.25E-09,3.98E-09
,,,2022-09-23 12:05:30.482,3.44E-09,1.48E-09
,,,2022-09-23 12:05:30.982,6.17E-09,2.81E-09
,,,2022-09-23 12:05:31.483,4.3E-09,1.33E-09
,,,2022-09-23 12:05:31.982,6.02E-09,5.5E-10
,,,2022-09-23 12:05:32.482,7.73E-09,1.8E-09
,,,2022-09-23 12:05:32.982,6.17E-09,1.09E-09
,,,2022-09-23 12:05:33.482,4.45E-09,1.02E-09
,,,2022-09-23 12:05:33.982,4.53E-09,1.72E-09
,,,2022-09-23 12:05:34.482,6.56E-09,2.27E-09
,,,2022-09-23 12:05:34.982,3.36E-09,6.3E-10
,,,2022-09-23 12:05:35.480,3.98E-09,1.02E-09
,,,2022-09-23 12:05:35.981,6.02E-09,2.11E-09
,,,2022-09-23 12:05:36.482,7.58E-09,2.11E-09
,,,2022-09-23 12:05:36.983,5.7E-09,2.03E-09
,,,2022-09-23 12:05:37.482,6.17E-09,3.36E-09
,,,2022-09-23 12:05:37.981,5E-09,1.48E-09
,,,2022-09-23 12:05:38.482,6.17E-09,1.95E-09
,,,2022-09-23 12:05:38.981,4.77E-09,2.34E-09
,,,2022-09-23 12:05:39.481,5.16E-09,1.02E-09
,,,2022-09-23 12:05:39.982,3.59E-09,1.64E-09
,,,2022-09-23 12:05:40.483,5.63E-09,3.52E-09
,,,2022-09-23 12:05:40.982,5.16E-09,6.3E-10
,,,2022-09-23 12:05:41.482,4.84E-09,2.11E-09
,,,2022-09-23 12:05:41.981,3.28E-09,2.03E-09
,,,2022-09-23 12:05:42.480,4.06E-09,2.66E-09
,,,2022-09-23 12:05:42.981,3.67E-09,2.5E-09
,,,2022-09-23 12:05:43.482,5.31E-09,2.73E-09
,,,2022-09-23 12:05:43.982,4.77E-09,1.72E-09
,,,2022-09-23 12:05:44.482,5.23E-09,3.83E-09
,,,2022-09-23 12:05:44.982,6.8E-09,1.64E-09
,,,2022-09-23 12:05:45.483,7.19E-09,2.66E-09
,,,2022-09-23 12:05:45.982,5.47E-09,2.42E-09
,,,2022-09-23 12:05:46.482,5.7E-09,2.19E-09
,,,2022-09-23 12:05:46.983,5.08E-09,3.05E-09
,,,2022-09-23 12:05:47.482,4.3E-09,2.58E-09
,,,2022-09-23 12:05:47.982,5.94E-09,1.56E-09
,,,2022-09-23 12:05:48.481,6.25E-09,2.11E-09
,,,2022-09-23 12:05:48.981,4.38E-09,2.89E-09
,,,2022-09-23 12:05:49.482,3.44E-09,1.8E-09
,,,2022-09-23 12:05:49.982,5.78E-09,4.38E-09
,,,2022-09-23 12:05:50.482,1.48E-09,7.8E-10
,,,2022-09-23 12:05:50.982,6.48E-09,1.56E-09
,,,2022-09-23 12:05:51.482,7.27E-09,3.05E-09
,,,2022-09-23 12:05:51.983,4.84E-09,2.11E-09
,,,2022-09-23 12:05:52.482,4.61E-09,3.9E-10
,,,2022-09-23 12:05:52.981,6.41E-09,3.36E-09
,,,2022-09-23 12:05:53.481,3.91E-09,1.88E-09
,,,2022-09-23 12:05:53.982,3.13E-09,2.19E-09
,,,2022-09-23 12:05:54.483,6.09E-09,2.5E-09
,,,2022-09-23 12:05:54.982,4.92E-09,2.19E-09
,,,2022-09-23 12:05:55.482,6.33E-09,9.4E-10
,,,2022-09-23 12:05:55.982,4.53E-09,2.5E-09
