Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-09 16:31:00.795,-0.23096,-0.13724
Serial Number:,MY60101365,,2022-11-09 16:31:01.477,-0.25774,-0.17741
Firmware Version:,07.31.2020012900,,2022-11-09 16:31:02.127,-0.23766,-0.20084
Start Time:,2022-11-09 16:31:00.795,,2022-11-09 16:31:02.836,-0.16736,-0.1205
Stop Time:,2022-11-09 16:41:00.581,,2022-11-09 16:31:03.502,-0.26444,-0.15732
Sample Period:,0.5,,2022-11-09 16:31:04.153,-0.1841,-0.11381
,,,2022-11-09 16:31:04.835,-0.22427,-0.15397
,,,2022-11-09 16:31:05.490,-0.18075,-0.17741
,,,2022-11-09 16:31:06.138,-0.22762,-0.13389
,,,2022-11-09 16:31:06.795,-0.16736,-0.1205
,,,2022-11-09 16:31:07.446,-0.16067,-0.13054
,,,2022-11-09 16:31:08.092,-0.35816,-0.16736
,,,2022-11-09 16:31:08.743,-0.20084,-0.11715
,,,2022-11-09 16:31:09.392,-0.02343,-0.0569
,,,2022-11-09 16:31:10.046,-0.16067,-0.12385
,,,2022-11-09 16:31:10.697,-0.20084,-0.19079
,,,2022-11-09 16:31:11.339,-0.241,-0.20418
,,,2022-11-09 16:31:11.997,-0.20753,-0.12385
,,,2022-11-09 16:31:12.638,-0.13054,-0.15063
,,,2022-11-09 16:31:13.314,-0.16067,-0.17406
,,,2022-11-09 16:31:13.970,-0.20418,-0.16736
,,,2022-11-09 16:31:14.617,-0.27113,-0.16402
,,,2022-11-09 16:31:15.260,-0.24435,-0.14393
,,,2022-11-09 16:31:15.938,-0.21088,-0.11715
,,,2022-11-09 16:31:16.593,-0.14059,-0.18745
,,,2022-11-09 16:31:17.242,-0.26778,-0.14059
,,,2022-11-09 16:31:18.020,-0.21757,-0.11381
,,,2022-11-09 16:31:18.672,-0.24435,-0.13389
,,,2022-11-09 16:31:19.325,-0.20753,-0.10042
,,,2022-11-09 16:31:19.981,-0.19079,-0.17071
,,,2022-11-09 16:31:20.638,-0.14059,-0.11381
,,,2022-11-09 16:31:21.276,-0.31464,-0.17071
,,,2022-11-09 16:31:21.925,-0.18075,-0.16736
,,,2022-11-09 16:31:22.564,-0.26109,-0.18745
,,,2022-11-09 16:31:23.212,-0.17406,-0.11046
,,,2022-11-09 16:31:23.863,-0.21088,-0.11715
,,,2022-11-09 16:31:24.515,-0.16402,-0.08703
,,,2022-11-09 16:31:25.164,-0.16736,-0.10711
,,,2022-11-09 16:31:25.816,-0.21757,-0.15732
,,,2022-11-09 16:31:26.472,-0.18075,-0.13054
,,,2022-11-09 16:31:27.120,-0.21088,-0.12385
,,,2022-11-09 16:31:27.770,-0.25774,-0.11715
,,,2022-11-09 16:31:28.424,-0.13389,-0.14393
,,,2022-11-09 16:31:29.071,-0.22427,-0.14393
,,,2022-11-09 16:31:29.724,-0.21423,-0.13054
,,,2022-11-09 16:31:30.373,-0.15732,-0.15063
,,,2022-11-09 16:31:31.020,-0.2477,-0.16736
,,,2022-11-09 16:31:31.671,-0.01674,-0.0569
,,,2022-11-09 16:31:32.323,-0.23766,-0.13054
,,,2022-11-09 16:31:32.955,-0.17071,-0.1841
,,,2022-11-09 16:31:33.618,-0.13054,-0.23096
,,,2022-11-09 16:31:34.264,-0.25105,-0.13389
,,,2022-11-09 16:31:34.914,-0.26444,-0.16402
,,,2022-11-09 16:31:35.581,-0.21088,-0.17071
,,,2022-11-09 16:31:36.246,-0.20084,-0.1205
,,,2022-11-09 16:31:36.902,-0.20084,-0.1205
,,,2022-11-09 16:31:37.553,-0.22762,-0.11046
,,,2022-11-09 16:31:38.204,-0.17406,-0.07029
,,,2022-11-09 16:31:38.862,-0.21757,-0.1205
,,,2022-11-09 16:31:39.515,-0.21423,-0.09707
,,,2022-11-09 16:31:40.173,-0.27448,-0.21423
,,,2022-11-09 16:31:40.834,-0.29121,-0.13054
,,,2022-11-09 16:31:41.487,-0.24435,-0.08368
,,,2022-11-09 16:31:42.143,-0.25774,-0.14059
,,,2022-11-09 16:31:42.801,-0.19079,-0.12385
,,,2022-11-09 16:31:43.465,-0.26444,-0.16736
,,,2022-11-09 16:31:44.115,-0.17741,-0.13054
,,,2022-11-09 16:31:44.762,-0.14393,-0.17071
,,,2022-11-09 16:31:45.414,-0.28452,-0.14393
,,,2022-11-09 16:31:46.081,-0.24435,-0.14059
,,,2022-11-09 16:31:46.733,-0.23096,-0.12385
,,,2022-11-09 16:31:47.389,-0.17741,-0.10711
,,,2022-11-09 16:31:48.042,-0.22762,-0.13724
,,,2022-11-09 16:31:48.717,-0.16736,-0.15732
,,,2022-11-09 16:31:49.370,-0.16736,-0.16402
,,,2022-11-09 16:31:50.023,-0.28452,-0.19079
,,,2022-11-09 16:31:50.679,-0.241,-0.11715
,,,2022-11-09 16:31:51.345,-0.22427,-0.1205
,,,2022-11-09 16:31:52.000,-0.21088,-0.1205
,,,2022-11-09 16:31:52.656,-0.21423,-0.13724
,,,2022-11-09 16:31:53.322,-0.15063,-0.16067
,,,2022-11-09 16:31:53.976,-0.15732,-0.08033
,,,2022-11-09 16:31:54.630,-0.20418,-0.08033
,,,2022-11-09 16:31:55.285,-0.20084,-0.12385
,,,2022-11-09 16:31:55.946,-0.25105,-0.241
,,,2022-11-09 16:31:56.607,-0.20753,-0.18075
,,,2022-11-09 16:31:57.254,-0.15732,-0.10042
,,,2022-11-09 16:31:57.918,-0.2477,-0.16067
,,,2022-11-09 16:31:58.564,-0.20418,-0.17071
,,,2022-11-09 16:31:59.239,-0.26109,-0.15063
,,,2022-11-09 16:31:59.909,-0.23431,-0.18745
