Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-09 16:53:35.819,-0.26444,-0.15732
Serial Number:,MY60101365,,2022-11-09 16:53:36.451,-0.19749,-0.10042
Firmware Version:,07.31.2020012900,,2022-11-09 16:53:37.116,-0.17741,-0.14728
Start Time:,2022-11-09 16:53:35.819,,2022-11-09 16:53:37.807,-0.21088,-0.09372
Stop Time:,2022-11-09 17:03:35.265,,2022-11-09 16:53:38.485,-0.22427,-0.14393
Sample Period:,0.5,,2022-11-09 16:53:39.156,-0.22427,-0.1205
,,,2022-11-09 16:53:39.813,-0.27782,-0.16736
,,,2022-11-09 16:53:40.467,-0.27113,-0.1272
,,,2022-11-09 16:53:41.126,-0.12385,-0.14728
,,,2022-11-09 16:53:41.794,-0.15397,-0.09038
,,,2022-11-09 16:53:42.458,-0.25439,-0.20418
,,,2022-11-09 16:53:43.118,-0.241,-0.08033
,,,2022-11-09 16:53:43.782,-0.29456,-0.17406
,,,2022-11-09 16:53:44.447,-0.28452,-0.13389
,,,2022-11-09 16:53:45.097,-0.19079,-0.16067
,,,2022-11-09 16:53:45.757,-0.27113,-0.11046
,,,2022-11-09 16:53:46.415,-0.19079,-0.11381
,,,2022-11-09 16:53:47.076,-0.20753,-0.13389
,,,2022-11-09 16:53:47.732,-0.23096,-0.13724
,,,2022-11-09 16:53:48.390,-0.241,-0.08703
,,,2022-11-09 16:53:49.035,-0.30126,-0.15397
,,,2022-11-09 16:53:49.679,-0.21088,-0.11046
,,,2022-11-09 16:53:50.331,-0.18075,-0.18075
,,,2022-11-09 16:53:50.990,-0.22762,-0.10711
,,,2022-11-09 16:53:51.657,-0.16736,-0.14728
,,,2022-11-09 16:53:52.324,-0.23096,-0.07699
,,,2022-11-09 16:53:52.985,-0.26109,-0.09372
,,,2022-11-09 16:53:53.644,-0.241,-0.09038
,,,2022-11-09 16:53:54.292,-0.36485,-0.10042
,,,2022-11-09 16:53:54.953,-0.19749,-0.15063
,,,2022-11-09 16:53:55.602,-0.15397,-0.11046
,,,2022-11-09 16:53:56.263,-0.1272,-0.14059
,,,2022-11-09 16:53:56.913,-0.26778,-0.10711
,,,2022-11-09 16:53:57.581,-0.19414,-0.11715
