Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-14 16:29:58.028,-0.17406,-0.19414
Serial Number:,MY60101365,,2022-11-14 16:29:58.528,-0.18745,-0.14728
Firmware Version:,07.31.2020012900,,2022-11-14 16:29:59.028,-0.14728,-0.17406
Start Time:,2022-11-14 16:29:58.028,,2022-11-14 16:29:59.528,-0.18745,-0.14059
Stop Time:,2022-11-14 16:39:58.029,,2022-11-14 16:30:00.028,-0.241,-0.17406
Sample Period:,0.5,,2022-11-14 16:30:00.528,-0.17406,-0.14728
,,,2022-11-14 16:30:01.029,-0.21423,-0.16067
,,,2022-11-14 16:30:01.529,-0.18075,-0.17406
,,,2022-11-14 16:30:02.029,-0.14059,-0.17406
,,,2022-11-14 16:30:02.529,-0.17406,-0.13389
,,,2022-11-14 16:30:03.029,-0.23431,-0.15397
,,,2022-11-14 16:30:03.529,-0.22762,-0.14728
,,,2022-11-14 16:30:04.031,-0.19414,-0.14728
,,,2022-11-14 16:30:04.529,-0.16736,-0.15397
,,,2022-11-14 16:30:05.028,-0.10711,-0.17406
,,,2022-11-14 16:30:05.529,-0.21423,-0.16067
,,,2022-11-14 16:30:06.028,-0.18745,-0.17406
,,,2022-11-14 16:30:06.528,-0.19414,-0.20084
,,,2022-11-14 16:30:07.028,-0.22762,-0.20084
,,,2022-11-14 16:30:07.528,-0.20753,-0.14728
,,,2022-11-14 16:30:08.027,-0.2477,-0.18075
,,,2022-11-14 16:30:08.527,-0.29456,-0.18075
,,,2022-11-14 16:30:09.027,-0.31464,-0.11381
,,,2022-11-14 16:30:09.529,-0.22092,-0.18075
,,,2022-11-14 16:30:10.029,-0.26778,-0.10711
,,,2022-11-14 16:30:10.531,-0.14728,-0.15397
,,,2022-11-14 16:30:11.030,-0.19414,-0.15397
,,,2022-11-14 16:30:11.529,-0.20753,-0.1272
,,,2022-11-14 16:30:12.030,-0.17406,-0.18075
,,,2022-11-14 16:30:12.530,-0.22762,-0.16736
,,,2022-11-14 16:30:13.028,-0.22092,-0.17406
,,,2022-11-14 16:30:13.529,-0.14059,-0.11381
,,,2022-11-14 16:30:14.028,-0.1272,-0.16067
,,,2022-11-14 16:30:14.529,-0.14728,-0.14728
,,,2022-11-14 16:30:15.029,-0.241,-0.18075
,,,2022-11-14 16:30:15.529,-0.20084,-0.20084
,,,2022-11-14 16:30:16.029,-0.20084,-0.14059
,,,2022-11-14 16:30:16.529,-0.22762,-0.11381
,,,2022-11-14 16:30:17.029,-0.16736,-0.18075
,,,2022-11-14 16:30:17.529,-0.27448,-0.14728
,,,2022-11-14 16:30:18.029,-0.2477,-0.1272
,,,2022-11-14 16:30:18.529,-0.241,-0.15397
,,,2022-11-14 16:30:19.029,-0.241,-0.19414
,,,2022-11-14 16:30:19.528,-0.16067,-0.19414
,,,2022-11-14 16:30:20.028,-0.15397,-0.16736
,,,2022-11-14 16:30:20.528,-0.16067,-0.16736
,,,2022-11-14 16:30:21.029,-0.16736,-0.20753
,,,2022-11-14 16:30:21.529,-0.18745,-0.1205
,,,2022-11-14 16:30:22.028,-0.15397,-0.14728
,,,2022-11-14 16:30:22.529,-0.18075,-0.16067
,,,2022-11-14 16:30:23.029,-0.15397,-0.19414
,,,2022-11-14 16:30:23.528,-0.20753,-0.14728
,,,2022-11-14 16:30:24.028,-0.20753,-0.17406
,,,2022-11-14 16:30:24.529,-0.16067,-0.16736
,,,2022-11-14 16:30:25.029,-0.14728,-0.1205
,,,2022-11-14 16:30:25.528,-0.19414,-0.15397
,,,2022-11-14 16:30:26.029,-0.18075,-0.16067
,,,2022-11-14 16:30:26.529,-0.21423,-0.1272
,,,2022-11-14 16:30:27.029,-0.2477,-0.18075
,,,2022-11-14 16:30:27.530,-0.17406,-0.16067
,,,2022-11-14 16:30:28.029,-0.14728,-0.19414
,,,2022-11-14 16:30:28.530,-0.21423,-0.18745
,,,2022-11-14 16:30:29.029,-0.18745,-0.15397
,,,2022-11-14 16:30:29.528,-0.18075,-0.16736
,,,2022-11-14 16:30:30.028,-0.20084,-0.16736
,,,2022-11-14 16:30:30.528,-0.19414,-0.18745
,,,2022-11-14 16:30:31.028,-0.14059,-0.13389
,,,2022-11-14 16:30:31.528,-0.20084,-0.14059
,,,2022-11-14 16:30:32.030,-0.19414,-0.17406
,,,2022-11-14 16:30:32.529,-0.18075,-0.17406
,,,2022-11-14 16:30:33.029,-0.18745,-0.16067
,,,2022-11-14 16:30:33.529,-0.2477,-0.22092
,,,2022-11-14 16:30:34.029,-0.14059,-0.16067
,,,2022-11-14 16:30:34.529,-0.14059,-0.14059
,,,2022-11-14 16:30:35.030,-0.18745,-0.15397
,,,2022-11-14 16:30:35.529,-0.19414,-0.18745
,,,2022-11-14 16:30:36.029,-0.23431,-0.16736
,,,2022-11-14 16:30:36.529,-0.18075,-0.15397
,,,2022-11-14 16:30:37.030,-0.22762,-0.16736
,,,2022-11-14 16:30:37.528,-0.26778,-0.25439
,,,2022-11-14 16:30:38.029,-0.18075,-0.16067
,,,2022-11-14 16:30:38.529,-0.20753,-0.15397
,,,2022-11-14 16:30:39.028,-0.20084,-0.16067
,,,2022-11-14 16:30:39.528,-0.241,-0.16736
,,,2022-11-14 16:30:40.029,-0.18075,-0.14059
,,,2022-11-14 16:30:40.530,-0.16067,-0.16736
,,,2022-11-14 16:30:41.028,-0.2477,-0.19414
,,,2022-11-14 16:30:41.528,-0.14059,-0.16736
,,,2022-11-14 16:30:42.029,-0.14728,-0.18075
,,,2022-11-14 16:30:42.529,-0.18745,-0.14059
,,,2022-11-14 16:30:43.029,-0.16067,-0.14059
,,,2022-11-14 16:30:43.529,-0.20084,-0.1272
,,,2022-11-14 16:30:44.028,-0.16067,-0.20084
,,,2022-11-14 16:30:44.529,-0.20753,-0.1272
,,,2022-11-14 16:30:45.030,-0.27448,-0.14728
,,,2022-11-14 16:30:45.529,-0.241,-0.22092
,,,2022-11-14 16:30:46.027,-0.21423,-0.16067
,,,2022-11-14 16:30:46.527,-0.15397,-0.18075
,,,2022-11-14 16:30:47.027,-0.19414,-0.11381
,,,2022-11-14 16:30:47.526,-0.18745,-0.17406
,,,2022-11-14 16:30:48.026,-0.20753,-0.16736
,,,2022-11-14 16:30:48.528,-0.16736,-0.14728
,,,2022-11-14 16:30:49.028,-0.21423,-0.16736
,,,2022-11-14 16:30:49.528,-0.18075,-0.1272
,,,2022-11-14 16:30:50.028,-0.19414,-0.22762
,,,2022-11-14 16:30:50.528,-0.13389,-0.16067
,,,2022-11-14 16:30:51.028,-0.26778,-0.14728
,,,2022-11-14 16:30:51.529,-0.22762,-0.18745
,,,2022-11-14 16:30:52.029,-0.17406,-0.16067
,,,2022-11-14 16:30:52.528,-0.21423,-0.22092
,,,2022-11-14 16:30:53.028,-0.19414,-0.14059
,,,2022-11-14 16:30:53.528,-0.07364,-0.17406
,,,2022-11-14 16:30:54.027,-0.17406,-0.241
,,,2022-11-14 16:30:54.527,-0.26109,-0.11381
,,,2022-11-14 16:30:55.027,-0.27448,-0.21423
,,,2022-11-14 16:30:55.527,-0.21423,-0.17406
,,,2022-11-14 16:30:56.027,-0.26109,-0.15397
,,,2022-11-14 16:30:56.527,-0.21423,-0.17406
,,,2022-11-14 16:30:57.027,-0.28117,-0.18745
,,,2022-11-14 16:30:57.528,-0.2477,-0.14059
,,,2022-11-14 16:30:58.028,-0.16736,-0.16067
,,,2022-11-14 16:30:58.527,-0.13389,-0.16736
,,,2022-11-14 16:30:59.028,-0.18745,-0.1272
,,,2022-11-14 16:30:59.529,-0.25439,-0.18075
,,,2022-11-14 16:31:00.031,-0.26109,-0.16736
,,,2022-11-14 16:31:00.529,-0.2477,-0.16736
,,,2022-11-14 16:31:01.029,-0.241,-0.16736
,,,2022-11-14 16:31:01.529,-0.17406,-0.19414
,,,2022-11-14 16:31:02.028,-0.22092,-0.20084
,,,2022-11-14 16:31:02.529,-0.16736,-0.20753
,,,2022-11-14 16:31:03.029,-0.21423,-0.13389
,,,2022-11-14 16:31:03.529,-0.25439,-0.1272
,,,2022-11-14 16:31:04.028,-0.16736,-0.18075
,,,2022-11-14 16:31:04.529,-0.1205,-0.14059
,,,2022-11-14 16:31:05.029,-0.14059,-0.16736
,,,2022-11-14 16:31:05.529,-0.21423,-0.18075
,,,2022-11-14 16:31:06.029,-0.19414,-0.13389
,,,2022-11-14 16:31:06.528,-0.16067,-0.15397
,,,2022-11-14 16:31:07.029,-0.13389,-0.14728
,,,2022-11-14 16:31:07.530,-0.26778,-0.18075
,,,2022-11-14 16:31:08.029,-0.20084,-0.14728
,,,2022-11-14 16:31:08.529,-0.15397,-0.17406
,,,2022-11-14 16:31:09.028,-0.22762,-0.14059
,,,2022-11-14 16:31:09.529,-0.1205,-0.22762
,,,2022-11-14 16:31:10.029,-0.16736,-0.1272
,,,2022-11-14 16:31:10.528,-0.16736,-0.22092
,,,2022-11-14 16:31:11.029,-0.25439,-0.14728
,,,2022-11-14 16:31:11.530,-0.20753,-0.22092
,,,2022-11-14 16:31:12.030,-0.20753,-0.22762
,,,2022-11-14 16:31:12.527,-0.27448,-0.18745
,,,2022-11-14 16:31:13.028,-0.22092,-0.241
,,,2022-11-14 16:31:13.528,-0.10711,-0.22762
,,,2022-11-14 16:31:14.029,-0.19414,-0.19414
,,,2022-11-14 16:31:14.528,-0.23431,-0.16736
,,,2022-11-14 16:31:15.030,-0.19414,-0.20753
,,,2022-11-14 16:31:15.529,-0.1205,-0.20753
