Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 10:43:00.760,-0.29456,-0.11381
Serial Number:,MY60101365,,2022-11-15 10:43:01.261,-0.32134,-0.15397
Firmware Version:,07.31.2020012900,,2022-11-15 10:43:01.760,-0.27448,-0.11381
Start Time:,2022-11-15 10:43:00.760,,2022-11-15 10:43:02.260,-0.18745,-0.1272
Stop Time:,2022-11-15 10:53:00.760,,2022-11-15 10:43:02.761,-0.26109,-0.15397
Sample Period:,0.5,,2022-11-15 10:43:03.261,-0.2477,-0.15397
,,,2022-11-15 10:43:03.761,-0.20084,-0.16736
,,,2022-11-15 10:43:04.260,-0.30795,-0.10711
,,,2022-11-15 10:43:04.760,-0.31464,-0.14728
,,,2022-11-15 10:43:05.259,-0.26109,-0.14059
,,,2022-11-15 10:43:05.759,-0.32803,-0.16067
,,,2022-11-15 10:43:06.259,-0.25439,-0.16736
,,,2022-11-15 10:43:06.759,-0.25439,-0.11381
,,,2022-11-15 10:43:07.260,-0.14728,-0.16736
,,,2022-11-15 10:43:07.761,-0.23431,-0.16736
,,,2022-11-15 10:43:08.260,-0.22092,-0.19414
,,,2022-11-15 10:43:08.760,-0.25439,-0.14059
,,,2022-11-15 10:43:09.261,-0.18745,-0.13389
,,,2022-11-15 10:43:09.760,-0.29456,-0.11381
,,,2022-11-15 10:43:10.259,-0.30126,-0.1205
,,,2022-11-15 10:43:10.759,-0.25439,-0.1205
,,,2022-11-15 10:43:11.262,-0.25439,-0.1205
,,,2022-11-15 10:43:11.760,-0.32134,-0.18745
,,,2022-11-15 10:43:12.261,-0.25439,-0.14059
,,,2022-11-15 10:43:12.761,-0.30126,-0.11381
,,,2022-11-15 10:43:13.261,-0.2477,-0.14059
,,,2022-11-15 10:43:13.761,-0.23431,-0.14059
,,,2022-11-15 10:43:14.261,-0.32134,-0.11381
,,,2022-11-15 10:43:14.761,-0.14059,-0.11381
,,,2022-11-15 10:43:15.260,-0.31464,-0.1205
,,,2022-11-15 10:43:15.761,-0.26778,-0.18745
,,,2022-11-15 10:43:16.261,-0.38828,-0.14059
,,,2022-11-15 10:43:16.758,-0.2477,-0.14059
,,,2022-11-15 10:43:17.260,-0.19414,-0.13389
,,,2022-11-15 10:43:17.760,-0.27448,-0.11381
,,,2022-11-15 10:43:18.260,-0.32803,-0.13389
,,,2022-11-15 10:43:18.760,-0.20084,-0.13389
,,,2022-11-15 10:43:19.259,-0.26778,-0.13389
,,,2022-11-15 10:43:19.760,-0.29456,-0.1205
,,,2022-11-15 10:43:20.260,-0.28117,-0.13389
,,,2022-11-15 10:43:20.760,-0.26109,-0.15397
,,,2022-11-15 10:43:21.259,-0.241,-0.20084
,,,2022-11-15 10:43:21.760,-0.32134,-0.17406
,,,2022-11-15 10:43:22.261,-0.31464,-0.18745
,,,2022-11-15 10:43:22.761,-0.22762,-0.14728
,,,2022-11-15 10:43:23.261,-0.28787,-0.19414
,,,2022-11-15 10:43:23.760,-0.29456,-0.14728
,,,2022-11-15 10:43:24.261,-0.29456,-0.10711
,,,2022-11-15 10:43:24.760,-0.38159,-0.14059
,,,2022-11-15 10:43:25.260,-0.31464,-0.1205
,,,2022-11-15 10:43:25.760,-0.33473,-0.13389
,,,2022-11-15 10:43:26.260,-0.28787,-0.10711
,,,2022-11-15 10:43:26.760,-0.17406,-0.16067
,,,2022-11-15 10:43:27.261,-0.42176,-0.14728
,,,2022-11-15 10:43:27.759,-0.27448,-0.14059
,,,2022-11-15 10:43:28.259,-0.17406,-0.15397
,,,2022-11-15 10:43:28.760,-0.26778,-0.14059
,,,2022-11-15 10:43:29.261,-0.31464,-0.14728
,,,2022-11-15 10:43:29.761,-0.32803,-0.16067
,,,2022-11-15 10:43:30.260,-0.25439,-0.11381
,,,2022-11-15 10:43:30.760,-0.23431,-0.1205
,,,2022-11-15 10:43:31.260,-0.28117,-0.1205
,,,2022-11-15 10:43:31.760,-0.22092,-0.1205
,,,2022-11-15 10:43:32.261,-0.21423,-0.17406
,,,2022-11-15 10:43:32.760,-0.32134,-0.1272
,,,2022-11-15 10:43:33.260,-0.29456,-0.11381
,,,2022-11-15 10:43:33.761,-0.28117,-0.1272
,,,2022-11-15 10:43:34.259,-0.2477,-0.14059
,,,2022-11-15 10:43:34.760,-0.27448,-0.11381
,,,2022-11-15 10:43:35.260,-0.20753,-0.1205
,,,2022-11-15 10:43:35.760,-0.26109,-0.14059
,,,2022-11-15 10:43:36.261,-0.31464,-0.1272
,,,2022-11-15 10:43:36.762,-0.30126,-0.1205
,,,2022-11-15 10:43:37.260,-0.30795,-0.17406
,,,2022-11-15 10:43:37.760,-0.26109,-0.13389
,,,2022-11-15 10:43:38.260,-0.18075,-0.15397
,,,2022-11-15 10:43:38.761,-0.29456,-0.16067
,,,2022-11-15 10:43:39.260,-0.31464,-0.14728
,,,2022-11-15 10:43:39.761,-0.25439,-0.14059
,,,2022-11-15 10:43:40.260,-0.30126,-0.1272
,,,2022-11-15 10:43:40.761,-0.26109,-0.15397
,,,2022-11-15 10:43:41.259,-0.25439,-0.1272
,,,2022-11-15 10:43:41.759,-0.32134,-0.1272
,,,2022-11-15 10:43:42.260,-0.30795,-0.1205
,,,2022-11-15 10:43:42.760,-0.241,-0.13389
,,,2022-11-15 10:43:43.261,-0.28787,-0.10711
,,,2022-11-15 10:43:43.760,-0.33473,-0.11381
,,,2022-11-15 10:43:44.260,-0.28117,-0.1205
,,,2022-11-15 10:43:44.761,-0.30126,-0.1272
,,,2022-11-15 10:43:45.260,-0.27448,-0.1272
,,,2022-11-15 10:43:45.759,-0.27448,-0.1205
,,,2022-11-15 10:43:46.260,-0.241,-0.11381
,,,2022-11-15 10:43:46.759,-0.26109,-0.13389
,,,2022-11-15 10:43:47.261,-0.18745,-0.2477
,,,2022-11-15 10:43:47.761,-0.29456,-0.18075
,,,2022-11-15 10:43:48.260,-0.26778,-0.15397
,,,2022-11-15 10:43:48.760,-0.26109,-0.11381
,,,2022-11-15 10:43:49.259,-0.22092,-0.14728
,,,2022-11-15 10:43:49.759,-0.26109,-0.13389
,,,2022-11-15 10:43:50.258,-0.27448,-0.15397
,,,2022-11-15 10:43:50.758,-0.30126,-0.19414
,,,2022-11-15 10:43:51.259,-0.28117,-0.13389
,,,2022-11-15 10:43:51.760,-0.27448,-0.14059
,,,2022-11-15 10:43:52.261,-0.26109,-0.11381
,,,2022-11-15 10:43:52.760,-0.22092,-0.11381
,,,2022-11-15 10:43:53.261,-0.27448,-0.1205
,,,2022-11-15 10:43:53.760,-0.25439,-0.15397
,,,2022-11-15 10:43:54.260,-0.34812,-0.16067
,,,2022-11-15 10:43:54.804,-0.32803,-0.16067
,,,2022-11-15 10:43:55.261,-0.2477,-0.14728
,,,2022-11-15 10:43:55.761,-0.26778,-0.1205
,,,2022-11-15 10:43:56.260,-0.241,-0.17406
,,,2022-11-15 10:43:56.760,-0.38828,-0.14059
,,,2022-11-15 10:43:57.261,-0.22092,-0.14728
,,,2022-11-15 10:43:57.760,-0.32803,-0.13389
,,,2022-11-15 10:43:58.260,-0.38828,-0.1272
,,,2022-11-15 10:43:58.760,-0.25439,-0.14059
,,,2022-11-15 10:43:59.261,-0.26109,-0.14059
,,,2022-11-15 10:43:59.760,-0.30126,-0.20753
,,,2022-11-15 10:44:00.262,-0.20753,-0.11381
,,,2022-11-15 10:44:00.760,-0.26778,-0.13389
,,,2022-11-15 10:44:01.260,-0.29456,-0.10711
,,,2022-11-15 10:44:01.761,-0.26778,-0.14059
,,,2022-11-15 10:44:02.260,-0.33473,-0.16067
,,,2022-11-15 10:44:02.760,-0.28117,-0.14728
,,,2022-11-15 10:44:03.261,-0.18745,-0.1272
,,,2022-11-15 10:44:03.761,-0.28117,-0.13389
,,,2022-11-15 10:44:04.262,-0.32134,-0.13389
,,,2022-11-15 10:44:04.761,-0.30795,-0.18745
,,,2022-11-15 10:44:05.260,-0.22092,-0.16067
,,,2022-11-15 10:44:05.761,-0.241,-0.1205
,,,2022-11-15 10:44:06.259,-0.26778,-0.14059
,,,2022-11-15 10:44:06.759,-0.29456,-0.14728
,,,2022-11-15 10:44:07.260,-0.26778,-0.1272
,,,2022-11-15 10:44:07.761,-0.22092,-0.17406
,,,2022-11-15 10:44:08.260,-0.18075,-0.14059
,,,2022-11-15 10:44:08.759,-0.27448,-0.13389
,,,2022-11-15 10:44:09.260,-0.28117,-0.1205
,,,2022-11-15 10:44:09.759,-0.23431,-0.14728
,,,2022-11-15 10:44:10.259,-0.23431,-0.1272
,,,2022-11-15 10:44:10.761,-0.22092,-0.14728
,,,2022-11-15 10:44:11.261,-0.23431,-0.1205
,,,2022-11-15 10:44:11.761,-0.23431,-0.1205
,,,2022-11-15 10:44:12.261,-0.28117,-0.15397
,,,2022-11-15 10:44:12.761,-0.30795,-0.16067
