Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-10 16:34:47.333,-0.0636,-0.09372
Serial Number:,MY60101365,,2022-11-10 16:34:47.833,-0.10711,-0.0636
Firmware Version:,07.31.2020012900,,2022-11-10 16:34:48.333,-0.03013,-0.16402
Start Time:,2022-11-10 16:34:47.333,,2022-11-10 16:34:48.834,-0.05021,-0.15063
Stop Time:,2022-11-10 16:44:47.333,,2022-11-10 16:34:49.334,-0.10377,-0.09372
Sample Period:,0.5,,2022-11-10 16:34:49.832,-0.07364,-0.16736
,,,2022-11-10 16:34:50.332,-0.10377,-0.10042
,,,2022-11-10 16:34:50.833,-0.05356,-0.21423
,,,2022-11-10 16:34:51.334,-0.05356,-0.13389
,,,2022-11-10 16:34:51.834,-0.09707,-0.1205
,,,2022-11-10 16:34:52.333,-0.10042,-0.08033
,,,2022-11-10 16:34:52.833,-0.05021,-0.11046
,,,2022-11-10 16:34:53.333,-0.10711,-0.16402
,,,2022-11-10 16:34:53.833,-0.07029,-0.10377
,,,2022-11-10 16:34:54.333,-0.08368,-0.12385
,,,2022-11-10 16:34:54.833,-0.10377,-0.13054
,,,2022-11-10 16:34:55.335,-0.08368,-0.11715
,,,2022-11-10 16:34:55.835,-0.05021,-0.17406
,,,2022-11-10 16:34:56.334,-0.09707,-0.17071
,,,2022-11-10 16:34:56.834,-0.04686,-0.14393
,,,2022-11-10 16:34:57.333,-0.04686,-0.12385
,,,2022-11-10 16:34:57.834,-0.08368,-0.19079
,,,2022-11-10 16:34:58.332,-0.08033,-0.16736
,,,2022-11-10 16:34:58.833,-0.11046,-0.1272
,,,2022-11-10 16:34:59.334,-0.05021,-0.1205
,,,2022-11-10 16:34:59.834,-0.09372,-0.13054
,,,2022-11-10 16:35:00.335,-0.10042,-0.12385
,,,2022-11-10 16:35:00.833,-0.07029,-0.16067
,,,2022-11-10 16:35:01.333,-0.07364,-0.08033
,,,2022-11-10 16:35:01.834,-0.07699,-0.08033
,,,2022-11-10 16:35:02.333,-0.0636,-0.1205
,,,2022-11-10 16:35:02.833,-0.0636,-0.14059
,,,2022-11-10 16:35:03.333,-0.07364,-0.11715
,,,2022-11-10 16:35:03.832,-0.05021,-0.1272
,,,2022-11-10 16:35:04.333,-0.09038,-0.1272
,,,2022-11-10 16:35:04.833,-0.07029,-0.13389
,,,2022-11-10 16:35:05.334,-0.08368,-0.13389
,,,2022-11-10 16:35:05.834,-0.10711,-0.10377
,,,2022-11-10 16:35:06.333,-0.12385,-0.17406
,,,2022-11-10 16:35:06.834,-0.09038,-0.10711
,,,2022-11-10 16:35:07.333,-0.09707,-0.14728
,,,2022-11-10 16:35:07.833,-0.10377,-0.15397
,,,2022-11-10 16:35:08.333,-0.10377,-0.15732
,,,2022-11-10 16:35:08.834,-0.09038,-0.13724
,,,2022-11-10 16:35:09.333,-0.14059,-0.10711
,,,2022-11-10 16:35:09.832,-0.08703,-0.09038
,,,2022-11-10 16:35:10.333,-0.09038,-0.08033
,,,2022-11-10 16:35:10.834,-0.07364,-0.07364
,,,2022-11-10 16:35:11.332,-0.0569,-0.09707
,,,2022-11-10 16:35:11.833,-0.08368,-0.13724
,,,2022-11-10 16:35:12.333,-0.04351,-0.17406
,,,2022-11-10 16:35:12.834,-0.06695,-0.1272
,,,2022-11-10 16:35:13.332,-0.0636,-0.14393
,,,2022-11-10 16:35:13.833,-0.08368,-0.14393
,,,2022-11-10 16:35:14.333,-0.09707,-0.11046
,,,2022-11-10 16:35:14.833,-0.06025,-0.20084
,,,2022-11-10 16:35:15.333,-0.08033,-0.11381
,,,2022-11-10 16:35:15.832,-0.07029,-0.19079
,,,2022-11-10 16:35:16.332,-0.09707,-0.08368
,,,2022-11-10 16:35:16.832,-0.0569,-0.09707
,,,2022-11-10 16:35:17.331,-0.04351,-0.20084
,,,2022-11-10 16:35:17.831,-0.06695,-0.14393
,,,2022-11-10 16:35:18.332,-0.03682,-0.16736
,,,2022-11-10 16:35:18.831,-0.07029,-0.1272
,,,2022-11-10 16:35:19.331,-0.09372,-0.09707
,,,2022-11-10 16:35:19.831,-0.07364,-0.11715
,,,2022-11-10 16:35:20.333,-0.0569,-0.11046
,,,2022-11-10 16:35:20.834,-0.06025,-0.09707
,,,2022-11-10 16:35:21.333,-0.07364,-0.10377
,,,2022-11-10 16:35:21.832,-0.08033,-0.11381
,,,2022-11-10 16:35:22.333,-0.11715,-0.10377
,,,2022-11-10 16:35:22.833,-0.11381,-0.1272
,,,2022-11-10 16:35:23.333,-0.1205,-0.13054
,,,2022-11-10 16:35:23.832,-0.0636,-0.14059
,,,2022-11-10 16:35:24.333,-0.0636,-0.15063
,,,2022-11-10 16:35:24.833,-0.05356,-0.10711
,,,2022-11-10 16:35:25.333,-0.09707,-0.18075
,,,2022-11-10 16:35:25.833,-0.08368,-0.12385
,,,2022-11-10 16:35:26.334,-0.09372,-0.10377
,,,2022-11-10 16:35:26.833,-0.0569,-0.1272
,,,2022-11-10 16:35:27.333,-0.09707,-0.10377
,,,2022-11-10 16:35:27.834,-0.03682,-0.17406
,,,2022-11-10 16:35:28.333,-0.07029,-0.11381
,,,2022-11-10 16:35:28.832,-0.08368,-0.08368
,,,2022-11-10 16:35:29.332,-0.1205,-0.14393
,,,2022-11-10 16:35:29.832,-0.07699,-0.10377
,,,2022-11-10 16:35:30.333,-0.07364,-0.11046
,,,2022-11-10 16:35:30.834,-0.04686,-0.12385
,,,2022-11-10 16:35:31.333,-0.0636,-0.14728
,,,2022-11-10 16:35:31.833,-0.10042,-0.19749
,,,2022-11-10 16:35:32.333,-0.1205,-0.14393
,,,2022-11-10 16:35:32.833,-0.0636,-0.09707
,,,2022-11-10 16:35:33.333,-0.0636,-0.07699
,,,2022-11-10 16:35:33.833,-0.02008,-0.14728
,,,2022-11-10 16:35:34.334,-0.08033,-0.08703
,,,2022-11-10 16:35:34.834,-0.13054,-0.14728
,,,2022-11-10 16:35:35.334,-0.10377,-0.13724
,,,2022-11-10 16:35:35.832,-0.03682,-0.13724
,,,2022-11-10 16:35:36.332,-0.10042,-0.15397
,,,2022-11-10 16:35:36.833,-0.09372,-0.11381
,,,2022-11-10 16:35:37.332,-0.08368,-0.1205
,,,2022-11-10 16:35:37.833,-0.04686,-0.11046
,,,2022-11-10 16:35:38.333,-0.10377,-0.17406
,,,2022-11-10 16:35:38.833,-0.1272,-0.1205
,,,2022-11-10 16:35:39.333,-0.06695,-0.1272
,,,2022-11-10 16:35:39.833,-0.06695,-0.13389
,,,2022-11-10 16:35:40.333,-0.11046,-0.07364
,,,2022-11-10 16:35:40.833,-0.08033,-0.1841
,,,2022-11-10 16:35:41.333,-0.05356,-0.13389
,,,2022-11-10 16:35:41.833,-0.07699,-0.10711
,,,2022-11-10 16:35:42.332,-0.0569,-0.19414
,,,2022-11-10 16:35:42.833,-0.14059,-0.12385
,,,2022-11-10 16:35:43.333,-0.06695,-0.07699
,,,2022-11-10 16:35:43.834,-0.08368,-0.15397
,,,2022-11-10 16:35:44.333,-0.13054,-0.12385
,,,2022-11-10 16:35:44.833,-0.07029,-0.08368
,,,2022-11-10 16:35:45.333,-0.07364,-0.07364
,,,2022-11-10 16:35:45.833,-0.13389,-0.20418
,,,2022-11-10 16:35:46.333,-0.11046,-0.21423
,,,2022-11-10 16:35:46.833,-0.08703,-0.15397
,,,2022-11-10 16:35:47.335,-0.07364,-0.17406
,,,2022-11-10 16:35:47.834,-0.07699,-0.11381
,,,2022-11-10 16:35:48.334,-0.08368,-0.13054
,,,2022-11-10 16:35:48.831,-0.07364,-0.11381
,,,2022-11-10 16:35:49.331,-0.07364,-0.11046
,,,2022-11-10 16:35:49.832,-0.07364,-0.12385
,,,2022-11-10 16:35:50.332,-0.07699,-0.10711
,,,2022-11-10 16:35:50.833,-0.0569,-0.11046
,,,2022-11-10 16:35:51.333,-0.09707,-0.12385
,,,2022-11-10 16:35:51.834,-0.05021,-0.08368
,,,2022-11-10 16:35:52.333,-0.07364,-0.13724
,,,2022-11-10 16:35:52.833,-0.08703,-0.14728
,,,2022-11-10 16:35:53.334,-0.08703,-0.11046
,,,2022-11-10 16:35:53.833,-0.1205,-0.16736
,,,2022-11-10 16:35:54.333,-0.07029,-0.1272
,,,2022-11-10 16:35:54.834,-0.09372,-0.11715
,,,2022-11-10 16:35:55.334,-0.06025,-0.08703
,,,2022-11-10 16:35:55.834,-0.09038,-0.08703
,,,2022-11-10 16:35:56.333,-0.1272,-0.15732
,,,2022-11-10 16:35:56.832,-0.0569,-0.09372
,,,2022-11-10 16:35:57.333,-0.09038,-0.13724
,,,2022-11-10 16:35:57.834,-0.08033,-0.11715
,,,2022-11-10 16:35:58.333,-0.08368,-0.08368
,,,2022-11-10 16:35:58.833,-0.07364,-0.15397
,,,2022-11-10 16:35:59.332,-0.11715,-0.10711
,,,2022-11-10 16:35:59.833,-0.10711,-0.11381
,,,2022-11-10 16:36:00.333,-0.07699,-0.1272
,,,2022-11-10 16:36:00.833,-0.10377,-0.13054
,,,2022-11-10 16:36:01.334,-0.07029,-0.13389
,,,2022-11-10 16:36:01.833,-0.13389,-0.08703
,,,2022-11-10 16:36:02.333,-0.08033,-0.16067
,,,2022-11-10 16:36:02.833,-0.03682,-0.10711
,,,2022-11-10 16:36:03.334,-0.07699,-0.13389
,,,2022-11-10 16:36:03.833,-0.09707,-0.10711
,,,2022-11-10 16:36:04.333,-0.05356,-0.17741
