Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-11 09:34:36.060,-0.07364,-0.0636
Serial Number:,MY60101365,,2022-11-11 09:34:36.561,-0.08703,-0.09372
Firmware Version:,07.31.2020012900,,2022-11-11 09:34:37.062,-0.0636,-0.11381
Start Time:,2022-11-11 09:34:36.060,,2022-11-11 09:34:37.561,-0.08368,-0.14728
Stop Time:,2022-11-11 09:44:36.061,,2022-11-11 09:34:38.061,-0.08033,-0.09038
Sample Period:,0.5,,2022-11-11 09:34:38.560,-0.12385,-0.11046
,,,2022-11-11 09:34:39.060,-0.0569,-0.14728
,,,2022-11-11 09:34:39.561,-0.04686,-0.07029
,,,2022-11-11 09:34:40.060,-0.05356,-0.09372
,,,2022-11-11 09:34:40.561,-0.05356,-0.10377
,,,2022-11-11 09:34:41.060,-0.11715,-0.1272
,,,2022-11-11 09:34:41.563,-0.13724,-0.13389
,,,2022-11-11 09:34:42.062,-0.07699,-0.0636
,,,2022-11-11 09:34:42.562,-0.07699,-0.10042
,,,2022-11-11 09:34:43.061,-0.09372,-0.10377
,,,2022-11-11 09:34:43.561,-0.0636,-0.11715
,,,2022-11-11 09:34:44.060,-0.07364,-0.10042
,,,2022-11-11 09:34:44.560,-0.09707,-0.10042
,,,2022-11-11 09:34:45.062,-0.11381,-0.08703
,,,2022-11-11 09:34:45.561,-0.08033,-0.08703
,,,2022-11-11 09:34:46.061,-0.08033,-0.07029
,,,2022-11-11 09:34:46.561,-0.09372,-0.10711
,,,2022-11-11 09:34:47.060,-0.10711,-0.14728
,,,2022-11-11 09:34:47.561,-0.11715,-0.07029
,,,2022-11-11 09:34:48.061,-0.10377,-0.07699
,,,2022-11-11 09:34:48.560,-0.10711,-0.12385
,,,2022-11-11 09:34:49.060,-0.1205,-0.09372
,,,2022-11-11 09:34:49.560,-0.08368,-0.08703
,,,2022-11-11 09:34:50.061,-0.09038,-0.11046
,,,2022-11-11 09:34:50.561,-0.0636,-0.11715
,,,2022-11-11 09:34:51.061,-0.0636,-0.11715
,,,2022-11-11 09:34:51.560,-0.10042,-0.09707
,,,2022-11-11 09:34:52.061,-0.13054,-0.19079
,,,2022-11-11 09:34:52.561,-0.12385,-0.07699
,,,2022-11-11 09:34:53.061,-0.15063,-0.10711
,,,2022-11-11 09:34:53.560,-0.13724,-0.10377
,,,2022-11-11 09:34:54.060,-0.06025,-0.0636
,,,2022-11-11 09:34:54.560,-0.11046,-0.13054
,,,2022-11-11 09:34:55.061,-0.09038,-0.1272
,,,2022-11-11 09:34:55.561,-0.09372,-0.09372
,,,2022-11-11 09:34:56.061,-0.13389,-0.07029
,,,2022-11-11 09:34:56.561,-0.04351,-0.11381
,,,2022-11-11 09:34:57.061,-0.10377,-0.11046
,,,2022-11-11 09:34:57.561,-0.06695,-0.07364
,,,2022-11-11 09:34:58.062,-0.13389,-0.09707
,,,2022-11-11 09:34:58.560,-0.10377,-0.08703
,,,2022-11-11 09:34:59.061,-0.08368,-0.08703
,,,2022-11-11 09:34:59.562,-0.08033,-0.13389
,,,2022-11-11 09:35:00.060,-0.10711,-0.08033
,,,2022-11-11 09:35:00.560,-0.07364,-0.06695
,,,2022-11-11 09:35:01.061,-0.08368,-0.07699
,,,2022-11-11 09:35:01.561,-0.1205,-0.15063
,,,2022-11-11 09:35:02.060,-0.08368,-0.08703
