Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-11 09:59:11.507,-0.09372,-0.09372
Serial Number:,MY60101365,,2022-11-11 09:59:12.008,-0.13389,-0.10042
Firmware Version:,07.31.2020012900,,2022-11-11 09:59:12.508,-0.1205,-0.0636
Start Time:,2022-11-11 09:59:11.507,,2022-11-11 09:59:13.008,-0.0636,-0.07699
Stop Time:,2022-11-11 10:09:11.507,,2022-11-11 09:59:13.529,-0.13054,-0.09038
Sample Period:,0.5,,2022-11-11 09:59:14.008,-0.09038,-0.08703
,,,2022-11-11 09:59:14.513,-0.04017,-0.07699
,,,2022-11-11 09:59:15.017,-0.11715,-0.07364
,,,2022-11-11 09:59:15.508,-0.09707,-0.1272
,,,2022-11-11 09:59:16.007,-0.08033,-0.08703
,,,2022-11-11 09:59:16.507,-0.05356,-0.06695
,,,2022-11-11 09:59:17.007,-0.07699,-0.10377
,,,2022-11-11 09:59:17.507,-0.09038,-0.1272
,,,2022-11-11 09:59:18.006,-0.10377,-0.07029
,,,2022-11-11 09:59:18.513,-0.10377,-0.07699
,,,2022-11-11 09:59:19.011,-0.05356,-0.08033
,,,2022-11-11 09:59:19.510,-0.11046,-0.10711
,,,2022-11-11 09:59:20.010,-0.09038,-0.10711
,,,2022-11-11 09:59:20.510,-0.04017,-0.07029
,,,2022-11-11 09:59:21.008,-0.12385,-0.0636
,,,2022-11-11 09:59:21.506,-0.0636,-0.09707
,,,2022-11-11 09:59:22.009,-0.06025,-0.07364
,,,2022-11-11 09:59:22.510,-0.09372,-0.09707
,,,2022-11-11 09:59:23.009,-0.09038,-0.10711
,,,2022-11-11 09:59:23.508,-0.05021,-0.07699
,,,2022-11-11 09:59:24.009,-0.06695,-0.09038
,,,2022-11-11 09:59:24.508,-0.0636,-0.1205
,,,2022-11-11 09:59:25.008,-0.09038,-0.07029
,,,2022-11-11 09:59:25.508,-0.10377,-0.06695
,,,2022-11-11 09:59:26.008,-0.09372,-0.11715
,,,2022-11-11 09:59:26.507,-0.08368,-0.10711
,,,2022-11-11 09:59:27.008,-0.08368,-0.06695
,,,2022-11-11 09:59:27.507,-0.10377,-0.06695
,,,2022-11-11 09:59:28.012,-0.0569,-0.08703
,,,2022-11-11 09:59:28.508,-0.10377,-0.06695
,,,2022-11-11 09:59:29.007,-0.06695,-0.06695
,,,2022-11-11 09:59:29.508,-0.06695,-0.10711
,,,2022-11-11 09:59:30.008,-0.09707,-0.10042
,,,2022-11-11 09:59:30.507,-0.11715,-0.08033
,,,2022-11-11 09:59:31.007,-0.07699,-0.09707
,,,2022-11-11 09:59:31.509,-0.09707,-0.06695
,,,2022-11-11 09:59:32.008,-0.09707,-0.0636
,,,2022-11-11 09:59:32.509,-0.0569,-0.07699
,,,2022-11-11 09:59:33.008,-0.04351,-0.08703
,,,2022-11-11 09:59:33.511,-0.03013,-0.08033
,,,2022-11-11 09:59:34.007,-0.09707,-0.07029
,,,2022-11-11 09:59:34.507,-0.10042,-0.08368
,,,2022-11-11 09:59:35.007,-0.1205,-0.07364
,,,2022-11-11 09:59:35.508,-0.09372,-0.08033
,,,2022-11-11 09:59:36.008,-0.05021,-0.09038
,,,2022-11-11 09:59:36.507,-0.06695,-0.08368
,,,2022-11-11 09:59:37.008,-0.05356,-0.0636
,,,2022-11-11 09:59:37.508,-0.08033,-0.08033
,,,2022-11-11 09:59:38.008,-0.0636,-0.08703
,,,2022-11-11 09:59:38.507,-0.0569,-0.11381
,,,2022-11-11 09:59:39.008,-0.11381,-0.0636
,,,2022-11-11 09:59:39.507,-0.06025,-0.14059
,,,2022-11-11 09:59:40.007,-0.09707,-0.07364
,,,2022-11-11 09:59:40.508,-0.07364,-0.08033
,,,2022-11-11 09:59:41.006,-0.07364,-0.06695
,,,2022-11-11 09:59:41.506,-0.09372,-0.08703
,,,2022-11-11 09:59:42.007,-0.0569,-0.07699
,,,2022-11-11 09:59:42.507,-0.0636,-0.10042
,,,2022-11-11 09:59:43.007,-0.12385,-0.11381
,,,2022-11-11 09:59:43.508,-0.04351,-0.08033
,,,2022-11-11 09:59:44.007,-0.14728,-0.10042
,,,2022-11-11 09:59:44.507,-0.06695,-0.0636
,,,2022-11-11 09:59:45.006,-0.10042,-0.09038
,,,2022-11-11 09:59:45.506,-0.11381,-0.07364
,,,2022-11-11 09:59:46.006,-0.09038,-0.10042
,,,2022-11-11 09:59:46.507,-0.1272,-0.12385
,,,2022-11-11 09:59:47.007,-0.10377,-0.06695
,,,2022-11-11 09:59:47.507,-0.08368,-0.10042
,,,2022-11-11 09:59:48.007,-0.10042,-0.07364
,,,2022-11-11 09:59:48.507,-0.10377,-0.10042
,,,2022-11-11 09:59:49.009,-0.14393,-0.11381
,,,2022-11-11 09:59:49.508,-0.0569,-0.09372
,,,2022-11-11 09:59:50.006,-0.08368,-0.10711
,,,2022-11-11 09:59:50.506,-0.07029,-0.09038
,,,2022-11-11 09:59:51.008,-0.09038,-0.07699
,,,2022-11-11 09:59:51.507,-0.09038,-0.06695
,,,2022-11-11 09:59:52.019,-0.09372,-0.11381
,,,2022-11-11 09:59:52.507,-0.09707,-0.08033
,,,2022-11-11 09:59:53.018,-0.12385,-0.11381
