Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-24 11:57:43.960,0.039328,0.016917
Serial Number:,MY60101365,,2022-10-24 11:57:44.600,0.044684,0.020264
Firmware Version:,07.31.2020012900,,2022-10-24 11:57:45.227,0.046692,0.020264
Start Time:,2022-10-24 11:57:43.960,,2022-10-24 11:57:45.901,0.043345,0.018256
Stop Time:,2022-10-24 12:07:43.809,,2022-10-24 11:57:46.571,0.035981,0.020264
Sample Period:,0.5,,2022-10-24 11:57:47.221,0.03799,0.016247
,,,2022-10-24 11:57:47.869,0.036651,0.020934
,,,2022-10-24 11:57:48.538,0.043345,0.018925
,,,2022-10-24 11:57:49.193,0.041337,0.018256
,,,2022-10-24 11:57:49.873,0.039998,0.019595
,,,2022-10-24 11:57:50.521,0.041337,0.018925
,,,2022-10-24 11:57:51.188,0.040667,0.017586
,,,2022-10-24 11:57:51.838,0.044684,0.018925
,,,2022-10-24 11:57:52.484,0.03732,0.018925
,,,2022-10-24 11:57:53.137,0.045354,0.016917
,,,2022-10-24 11:57:53.789,0.038659,0.014909
,,,2022-10-24 11:57:54.432,0.040667,0.017586
,,,2022-10-24 11:57:55.087,0.045354,0.018925
,,,2022-10-24 11:57:55.737,0.038659,0.018256
,,,2022-10-24 11:57:56.382,0.038659,0.016247
,,,2022-10-24 11:57:57.030,0.042676,0.017586
,,,2022-10-24 11:57:57.673,0.043345,0.017586
,,,2022-10-24 11:57:58.340,0.042006,0.018256
,,,2022-10-24 11:57:58.987,0.040667,0.018256
,,,2022-10-24 11:57:59.636,0.042676,0.016917
,,,2022-10-24 11:58:00.294,0.042006,0.016247
,,,2022-10-24 11:58:00.938,0.038659,0.020264
,,,2022-10-24 11:58:01.584,0.039998,0.016247
,,,2022-10-24 11:58:02.235,0.038659,0.017586
,,,2022-10-24 11:58:02.874,0.044684,0.018256
,,,2022-10-24 11:58:03.535,0.039998,0.015578
,,,2022-10-24 11:58:04.248,0.044015,0.015578
,,,2022-10-24 11:58:04.869,0.039328,0.016917
,,,2022-10-24 11:58:05.511,0.03732,0.017586
,,,2022-10-24 11:58:06.166,0.044684,0.018925
,,,2022-10-24 11:58:06.815,0.046023,0.016917
,,,2022-10-24 11:58:07.466,0.042006,0.018925
,,,2022-10-24 11:58:08.115,0.042006,0.018256
,,,2022-10-24 11:58:08.766,0.042676,0.016917
,,,2022-10-24 11:58:09.415,0.040667,0.018256
,,,2022-10-24 11:58:10.062,0.035312,0.018925
,,,2022-10-24 11:58:10.710,0.044684,0.015578
,,,2022-10-24 11:58:11.356,0.041337,0.016917
,,,2022-10-24 11:58:12.010,0.040667,0.020264
,,,2022-10-24 11:58:12.660,0.040667,0.018256
,,,2022-10-24 11:58:13.310,0.039998,0.015578
,,,2022-10-24 11:58:13.960,0.042006,0.015578
,,,2022-10-24 11:58:14.612,0.039328,0.019595
,,,2022-10-24 11:58:15.262,0.042006,0.018256
,,,2022-10-24 11:58:15.914,0.036651,0.018256
,,,2022-10-24 11:58:16.563,0.039998,0.017586
,,,2022-10-24 11:58:17.218,0.043345,0.020264
,,,2022-10-24 11:58:17.869,0.048031,0.018256
,,,2022-10-24 11:58:18.521,0.036651,0.020264
