Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-24 15:12:24.842,0.028117,0.014603
Serial Number:,MY60101365,,2022-10-24 15:12:25.341,0.026109,0.01795
Firmware Version:,07.31.2020012900,,2022-10-24 15:12:25.840,0.029791,0.016611
Start Time:,2022-10-24 15:12:24.842,,2022-10-24 15:12:26.340,0.03046,0.016946
Stop Time:,2022-10-24 15:22:24.838,,2022-10-24 15:12:26.840,0.026109,0.01862
Sample Period:,0.5,,2022-10-24 15:12:27.339,0.026109,0.015942
,,,2022-10-24 15:12:27.840,0.028452,0.017281
,,,2022-10-24 15:12:28.342,0.029791,0.018954
,,,2022-10-24 15:12:28.841,0.028787,0.016946
,,,2022-10-24 15:12:29.339,0.030126,0.015272
,,,2022-10-24 15:12:29.840,0.032803,0.017616
,,,2022-10-24 15:12:30.339,0.032803,0.019289
,,,2022-10-24 15:12:30.839,0.028452,0.020963
,,,2022-10-24 15:12:31.341,0.029121,0.018954
,,,2022-10-24 15:12:31.841,0.031464,0.014603
,,,2022-10-24 15:12:32.341,0.030795,0.017281
,,,2022-10-24 15:12:32.841,0.028117,0.018285
,,,2022-10-24 15:12:33.340,0.03113,0.019289
,,,2022-10-24 15:12:33.840,0.031799,0.018285
,,,2022-10-24 15:12:34.339,0.028787,0.013934
,,,2022-10-24 15:12:34.840,0.032134,0.015942
,,,2022-10-24 15:12:35.340,0.028452,0.018285
,,,2022-10-24 15:12:35.840,0.025774,0.017616
,,,2022-10-24 15:12:36.339,0.033138,0.016611
,,,2022-10-24 15:12:36.840,0.029456,0.015607
,,,2022-10-24 15:12:37.340,0.029121,0.015272
,,,2022-10-24 15:12:37.840,0.029791,0.017281
,,,2022-10-24 15:12:38.340,0.031464,0.018954
,,,2022-10-24 15:12:38.839,0.029121,0.016277
,,,2022-10-24 15:12:39.340,0.027782,0.016611
,,,2022-10-24 15:12:39.838,0.029121,0.015272
,,,2022-10-24 15:12:40.339,0.027113,0.01862
,,,2022-10-24 15:12:40.840,0.029456,0.017281
,,,2022-10-24 15:12:41.340,0.031799,0.016277
,,,2022-10-24 15:12:41.839,0.033808,0.016946
,,,2022-10-24 15:12:42.340,0.027448,0.01795
,,,2022-10-24 15:12:42.839,0.027448,0.014603
,,,2022-10-24 15:12:43.339,0.030795,0.016277
,,,2022-10-24 15:12:43.840,0.032469,0.015272
,,,2022-10-24 15:12:44.339,0.029791,0.01795
,,,2022-10-24 15:12:44.838,0.029121,0.016611
,,,2022-10-24 15:12:45.339,0.025774,0.01795
,,,2022-10-24 15:12:45.839,0.024435,0.020628
,,,2022-10-24 15:12:46.338,0.028117,0.020293
,,,2022-10-24 15:12:46.839,0.030126,0.016946
,,,2022-10-24 15:12:47.339,0.034142,0.016946
,,,2022-10-24 15:12:47.839,0.027782,0.016946
