Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-24 15:31:25.830,0.026109,0.018285
Serial Number:,MY60101365,,2022-10-24 15:31:26.329,0.025105,0.018285
Firmware Version:,07.31.2020012900,,2022-10-24 15:31:26.829,0.021423,0.017281
Start Time:,2022-10-24 15:31:25.830,,2022-10-24 15:31:27.329,0.029456,0.015942
Stop Time:,2022-10-24 15:41:25.828,,2022-10-24 15:31:27.829,0.022427,0.016611
Sample Period:,0.5,,2022-10-24 15:31:28.329,0.02477,0.018954
,,,2022-10-24 15:31:28.828,0.022427,0.015942
,,,2022-10-24 15:31:29.328,0.022762,0.016946
,,,2022-10-24 15:31:29.828,0.025439,0.016611
,,,2022-10-24 15:31:30.329,0.028787,0.019624
,,,2022-10-24 15:31:30.828,0.024435,0.018285
,,,2022-10-24 15:31:31.328,0.023096,0.016277
,,,2022-10-24 15:31:31.828,0.021757,0.018285
,,,2022-10-24 15:31:32.328,0.022092,0.01862
,,,2022-10-24 15:31:32.829,0.023766,0.015272
,,,2022-10-24 15:31:33.328,0.027448,0.017281
,,,2022-10-24 15:31:33.828,0.022427,0.015272
,,,2022-10-24 15:31:34.329,0.025774,0.01862
,,,2022-10-24 15:31:34.829,0.023431,0.019624
,,,2022-10-24 15:31:35.329,0.023766,0.018954
,,,2022-10-24 15:31:35.829,0.027782,0.01862
,,,2022-10-24 15:31:36.328,0.024435,0.020293
,,,2022-10-24 15:31:36.829,0.020418,0.01795
,,,2022-10-24 15:31:37.330,0.024435,0.017281
,,,2022-10-24 15:31:37.829,0.02477,0.019289
,,,2022-10-24 15:31:38.329,0.022092,0.018954
,,,2022-10-24 15:31:38.829,0.024435,0.019624
,,,2022-10-24 15:31:39.330,0.024435,0.017281
,,,2022-10-24 15:31:39.830,0.020418,0.018954
,,,2022-10-24 15:31:40.330,0.023431,0.019959
,,,2022-10-24 15:31:40.829,0.023431,0.014603
,,,2022-10-24 15:31:41.329,0.022092,0.016611
,,,2022-10-24 15:31:41.828,0.0241,0.01795
,,,2022-10-24 15:31:42.329,0.027448,0.018954
,,,2022-10-24 15:31:42.829,0.024435,0.019624
,,,2022-10-24 15:31:43.330,0.02477,0.014603
,,,2022-10-24 15:31:43.829,0.021423,0.018954
,,,2022-10-24 15:31:44.329,0.023431,0.01862
,,,2022-10-24 15:31:44.828,0.027113,0.01862
,,,2022-10-24 15:31:45.329,0.023096,0.017281
,,,2022-10-24 15:31:45.829,0.025774,0.017616
,,,2022-10-24 15:31:46.329,0.026778,0.019624
,,,2022-10-24 15:31:46.829,0.023766,0.017281
,,,2022-10-24 15:31:47.330,0.026109,0.019624
,,,2022-10-24 15:31:47.829,0.024435,0.017616
,,,2022-10-24 15:31:48.329,0.024435,0.01795
,,,2022-10-24 15:31:48.830,0.026109,0.014268
,,,2022-10-24 15:31:49.329,0.026778,0.018285
,,,2022-10-24 15:31:49.829,0.025105,0.015942
,,,2022-10-24 15:31:50.329,0.0241,0.017281
,,,2022-10-24 15:31:50.829,0.023096,0.019624
,,,2022-10-24 15:31:51.330,0.020753,0.018285
,,,2022-10-24 15:31:51.828,0.02477,0.018285
,,,2022-10-24 15:31:52.329,0.022092,0.01795
,,,2022-10-24 15:31:52.830,0.025439,0.015942
,,,2022-10-24 15:31:53.330,0.026109,0.017616
,,,2022-10-24 15:31:53.829,0.025105,0.019624
,,,2022-10-24 15:31:54.329,0.022092,0.019289
,,,2022-10-24 15:31:54.829,0.0241,0.015942
,,,2022-10-24 15:31:55.328,0.024435,0.01795
,,,2022-10-24 15:31:55.828,0.022762,0.017281
,,,2022-10-24 15:31:56.329,0.02477,0.014938
,,,2022-10-24 15:31:56.829,0.022092,0.020293
,,,2022-10-24 15:31:57.329,0.021757,0.01862
,,,2022-10-24 15:31:57.828,0.025774,0.01862
,,,2022-10-24 15:31:58.328,0.025105,0.01795
,,,2022-10-24 15:31:58.829,0.022762,0.014938
,,,2022-10-24 15:31:59.329,0.023096,0.01795
,,,2022-10-24 15:31:59.828,0.0241,0.015607
,,,2022-10-24 15:32:00.328,0.02477,0.021298
,,,2022-10-24 15:32:00.828,0.025105,0.017281
,,,2022-10-24 15:32:01.328,0.02477,0.019624
,,,2022-10-24 15:32:01.828,0.024435,0.01795
,,,2022-10-24 15:32:02.328,0.025774,0.01795
,,,2022-10-24 15:32:02.829,0.021423,0.015272
,,,2022-10-24 15:32:03.329,0.023431,0.015942
,,,2022-10-24 15:32:03.830,0.025774,0.017616
,,,2022-10-24 15:32:04.330,0.022092,0.016611
,,,2022-10-24 15:32:04.830,0.023096,0.017616
,,,2022-10-24 15:32:05.330,0.022092,0.017281
,,,2022-10-24 15:32:05.828,0.024435,0.018285
,,,2022-10-24 15:32:06.329,0.026109,0.017616
,,,2022-10-24 15:32:06.829,0.023096,0.017616
,,,2022-10-24 15:32:07.328,0.022427,0.015607
,,,2022-10-24 15:32:07.829,0.021423,0.015942
,,,2022-10-24 15:32:08.328,0.025105,0.018285
,,,2022-10-24 15:32:08.828,0.023766,0.015272
,,,2022-10-24 15:32:09.328,0.025439,0.018954
,,,2022-10-24 15:32:09.828,0.024435,0.016946
,,,2022-10-24 15:32:10.328,0.027782,0.01862
,,,2022-10-24 15:32:10.828,0.023431,0.016611
,,,2022-10-24 15:32:11.328,0.028117,0.016946
,,,2022-10-24 15:32:11.827,0.023766,0.015607
,,,2022-10-24 15:32:12.329,0.023431,0.021967
,,,2022-10-24 15:32:12.829,0.022092,0.016277
,,,2022-10-24 15:32:13.328,0.023096,0.016277
,,,2022-10-24 15:32:13.828,0.021757,0.016946
,,,2022-10-24 15:32:14.328,0.023096,0.019624
,,,2022-10-24 15:32:14.829,0.022427,0.015942
,,,2022-10-24 15:32:15.329,0.028117,0.016611
,,,2022-10-24 15:32:15.829,0.027448,0.01795
,,,2022-10-24 15:32:16.328,0.025105,0.017281
,,,2022-10-24 15:32:16.828,0.0241,0.018954
,,,2022-10-24 15:32:17.328,0.02477,0.016946
,,,2022-10-24 15:32:17.829,0.023766,0.019289
,,,2022-10-24 15:32:18.329,0.024435,0.018954
,,,2022-10-24 15:32:18.829,0.027113,0.018285
,,,2022-10-24 15:32:19.328,0.030126,0.018285
,,,2022-10-24 15:32:19.828,0.023766,0.016611
,,,2022-10-24 15:32:20.330,0.0241,0.017616
,,,2022-10-24 15:32:20.828,0.02477,0.01795
,,,2022-10-24 15:32:21.328,0.027782,0.019289
,,,2022-10-24 15:32:21.829,0.026109,0.016277
,,,2022-10-24 15:32:22.329,0.021757,0.018954
,,,2022-10-24 15:32:22.828,0.0241,0.017616
,,,2022-10-24 15:32:23.329,0.023766,0.01862
,,,2022-10-24 15:32:23.828,0.020418,0.017616
,,,2022-10-24 15:32:24.328,0.025105,0.016611
,,,2022-10-24 15:32:24.829,0.022762,0.019959
,,,2022-10-24 15:32:25.328,0.023766,0.015272
,,,2022-10-24 15:32:25.829,0.025105,0.017281
,,,2022-10-24 15:32:26.328,0.025439,0.018954
,,,2022-10-24 15:32:26.829,0.025105,0.018954
,,,2022-10-24 15:32:27.328,0.024435,0.017616
,,,2022-10-24 15:32:27.828,0.023431,0.016946
,,,2022-10-24 15:32:28.331,0.025105,0.016946
,,,2022-10-24 15:32:28.830,0.020084,0.018285
,,,2022-10-24 15:32:29.330,0.023766,0.014268
,,,2022-10-24 15:32:29.829,0.0241,0.020963
,,,2022-10-24 15:32:30.330,0.021423,0.016277
,,,2022-10-24 15:32:30.830,0.026109,0.01795
,,,2022-10-24 15:32:31.329,0.0241,0.015272
,,,2022-10-24 15:32:31.830,0.027113,0.017616
,,,2022-10-24 15:32:32.330,0.020418,0.017281
,,,2022-10-24 15:32:32.829,0.023096,0.018285
,,,2022-10-24 15:32:33.330,0.024435,0.020293
,,,2022-10-24 15:32:33.829,0.023766,0.019624
