Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-24 15:54:18.487,0.025774,0.019289
Serial Number:,MY60101365,,2022-10-24 15:54:18.987,0.024435,0.017616
Firmware Version:,07.31.2020012900,,2022-10-24 15:54:19.488,0.022092,0.01795
Start Time:,2022-10-24 15:54:18.487,,2022-10-24 15:54:19.988,0.023096,0.017616
Stop Time:,2022-10-24 16:04:18.487,,2022-10-24 15:54:20.486,0.023431,0.019959
Sample Period:,0.5,,2022-10-24 15:54:20.986,0.021088,0.016611
,,,2022-10-24 15:54:21.486,0.025774,0.018954
,,,2022-10-24 15:54:21.987,0.019414,0.019959
,,,2022-10-24 15:54:22.488,0.02477,0.019624
,,,2022-10-24 15:54:22.988,0.022427,0.020963
,,,2022-10-24 15:54:23.488,0.026444,0.016611
,,,2022-10-24 15:54:23.988,0.027782,0.016946
,,,2022-10-24 15:54:24.488,0.021757,0.01795
,,,2022-10-24 15:54:24.987,0.023431,0.017616
,,,2022-10-24 15:54:25.487,0.0241,0.019624
,,,2022-10-24 15:54:25.987,0.021088,0.017616
,,,2022-10-24 15:54:26.486,0.025105,0.01795
,,,2022-10-24 15:54:26.988,0.023766,0.019624
,,,2022-10-24 15:54:27.487,0.022092,0.017281
,,,2022-10-24 15:54:27.988,0.023096,0.019289
,,,2022-10-24 15:54:28.489,0.021757,0.017281
,,,2022-10-24 15:54:28.988,0.024435,0.018285
,,,2022-10-24 15:54:29.487,0.024435,0.017281
,,,2022-10-24 15:54:29.987,0.024435,0.020293
,,,2022-10-24 15:54:30.487,0.025105,0.019624
,,,2022-10-24 15:54:30.988,0.022762,0.020628
,,,2022-10-24 15:54:31.488,0.022092,0.016277
,,,2022-10-24 15:54:31.987,0.021757,0.018954
,,,2022-10-24 15:54:32.487,0.021757,0.020963
,,,2022-10-24 15:54:32.988,0.025439,0.019289
,,,2022-10-24 15:54:33.489,0.023766,0.019289
,,,2022-10-24 15:54:33.988,0.021757,0.020963
,,,2022-10-24 15:54:34.488,0.026444,0.018285
,,,2022-10-24 15:54:34.987,0.023096,0.01795
,,,2022-10-24 15:54:35.488,0.025774,0.016946
,,,2022-10-24 15:54:35.988,0.024435,0.019289
,,,2022-10-24 15:54:36.487,0.021088,0.019624
,,,2022-10-24 15:54:36.987,0.026778,0.018285
,,,2022-10-24 15:54:37.487,0.019414,0.018285
,,,2022-10-24 15:54:37.987,0.022092,0.01795
,,,2022-10-24 15:54:38.487,0.021088,0.021298
,,,2022-10-24 15:54:38.987,0.021423,0.019624
,,,2022-10-24 15:54:39.487,0.020753,0.018285
,,,2022-10-24 15:54:39.987,0.025439,0.020628
,,,2022-10-24 15:54:40.487,0.023096,0.01795
,,,2022-10-24 15:54:40.988,0.022427,0.019289
,,,2022-10-24 15:54:41.487,0.022427,0.01862
,,,2022-10-24 15:54:41.986,0.02477,0.020293
,,,2022-10-24 15:54:42.487,0.027113,0.019289
,,,2022-10-24 15:54:42.987,0.023096,0.015942
,,,2022-10-24 15:54:43.488,0.0241,0.016611
,,,2022-10-24 15:54:43.988,0.020084,0.018285
,,,2022-10-24 15:54:44.487,0.026109,0.016946
,,,2022-10-24 15:54:44.987,0.025105,0.018954
,,,2022-10-24 15:54:45.486,0.02477,0.019624
,,,2022-10-24 15:54:45.986,0.019414,0.01795
,,,2022-10-24 15:54:46.487,0.022092,0.016946
,,,2022-10-24 15:54:46.987,0.021088,0.01795
,,,2022-10-24 15:54:47.488,0.022762,0.019959
,,,2022-10-24 15:54:47.989,0.022092,0.018954
,,,2022-10-24 15:54:48.487,0.026778,0.018954
,,,2022-10-24 15:54:48.987,0.02477,0.016946
,,,2022-10-24 15:54:49.489,0.0241,0.017616
,,,2022-10-24 15:54:49.989,0.025774,0.01795
,,,2022-10-24 15:54:50.489,0.022762,0.016277
,,,2022-10-24 15:54:50.989,0.021088,0.01862
,,,2022-10-24 15:54:51.489,0.027113,0.020963
,,,2022-10-24 15:54:51.988,0.024435,0.01862
,,,2022-10-24 15:54:52.489,0.024435,0.018285
,,,2022-10-24 15:54:52.987,0.023096,0.021967
,,,2022-10-24 15:54:53.488,0.019749,0.020628
,,,2022-10-24 15:54:53.989,0.020084,0.017281
,,,2022-10-24 15:54:54.488,0.021757,0.015942
,,,2022-10-24 15:54:54.988,0.023096,0.021967
,,,2022-10-24 15:54:55.488,0.025774,0.016946
,,,2022-10-24 15:54:55.987,0.022092,0.019624
,,,2022-10-24 15:54:56.488,0.021423,0.018285
,,,2022-10-24 15:54:56.988,0.020753,0.018285
,,,2022-10-24 15:54:57.488,0.019079,0.019624
,,,2022-10-24 15:54:57.988,0.023431,0.01862
,,,2022-10-24 15:54:58.487,0.0241,0.019624
,,,2022-10-24 15:54:58.987,0.02477,0.020963
,,,2022-10-24 15:54:59.488,0.025774,0.017616
,,,2022-10-24 15:54:59.988,0.021088,0.016277
,,,2022-10-24 15:55:00.488,0.020753,0.019624
,,,2022-10-24 15:55:00.987,0.022092,0.019624
,,,2022-10-24 15:55:01.487,0.021088,0.01862
,,,2022-10-24 15:55:01.988,0.020418,0.019624
,,,2022-10-24 15:55:02.489,0.025774,0.020293
,,,2022-10-24 15:55:02.988,0.021088,0.019289
,,,2022-10-24 15:55:03.488,0.022762,0.017616
,,,2022-10-24 15:55:03.988,0.022427,0.016611
,,,2022-10-24 15:55:04.487,0.027448,0.020293
,,,2022-10-24 15:55:04.987,0.022427,0.018954
,,,2022-10-24 15:55:05.487,0.02477,0.020628
,,,2022-10-24 15:55:05.987,0.023431,0.020963
,,,2022-10-24 15:55:06.487,0.02477,0.018285
,,,2022-10-24 15:55:06.988,0.02477,0.019959
,,,2022-10-24 15:55:07.488,0.022427,0.01795
,,,2022-10-24 15:55:07.987,0.02477,0.021632
,,,2022-10-24 15:55:08.487,0.023096,0.020293
,,,2022-10-24 15:55:08.987,0.022762,0.018285
,,,2022-10-24 15:55:09.488,0.022762,0.018285
,,,2022-10-24 15:55:09.987,0.025105,0.020293
,,,2022-10-24 15:55:10.487,0.023096,0.015607
,,,2022-10-24 15:55:10.987,0.022092,0.016611
,,,2022-10-24 15:55:11.487,0.023766,0.017281
,,,2022-10-24 15:55:11.987,0.020753,0.016611
,,,2022-10-24 15:55:12.487,0.023766,0.019289
,,,2022-10-24 15:55:12.987,0.021757,0.016611
,,,2022-10-24 15:55:13.487,0.023096,0.017616
,,,2022-10-24 15:55:13.987,0.020418,0.020293
,,,2022-10-24 15:55:14.487,0.0241,0.017616
,,,2022-10-24 15:55:14.988,0.026109,0.019289
,,,2022-10-24 15:55:15.487,0.022092,0.018954
,,,2022-10-24 15:55:15.987,0.022092,0.017281
,,,2022-10-24 15:55:16.488,0.021757,0.020293
,,,2022-10-24 15:55:16.988,0.024435,0.01862
,,,2022-10-24 15:55:17.487,0.025439,0.019289
,,,2022-10-24 15:55:17.988,0.024435,0.019289
,,,2022-10-24 15:55:18.488,0.023096,0.018285
,,,2022-10-24 15:55:18.987,0.025105,0.020293
,,,2022-10-24 15:55:19.487,0.021757,0.019959
,,,2022-10-24 15:55:19.987,0.022427,0.016611
,,,2022-10-24 15:55:20.487,0.023096,0.018954
,,,2022-10-24 15:55:20.987,0.020753,0.020963
,,,2022-10-24 15:55:21.488,0.026109,0.020293
,,,2022-10-24 15:55:21.988,0.022762,0.018954
,,,2022-10-24 15:55:22.488,0.021423,0.01862
,,,2022-10-24 15:55:22.988,0.024435,0.01795
,,,2022-10-24 15:55:23.487,0.025439,0.015942
,,,2022-10-24 15:55:23.987,0.021088,0.019624
,,,2022-10-24 15:55:24.487,0.0241,0.018285
,,,2022-10-24 15:55:24.988,0.027113,0.015272
,,,2022-10-24 15:55:25.488,0.025105,0.015942
,,,2022-10-24 15:55:25.987,0.024435,0.018954
,,,2022-10-24 15:55:26.487,0.024435,0.020628
,,,2022-10-24 15:55:26.988,0.025105,0.019289
,,,2022-10-24 15:55:27.487,0.025439,0.019289
,,,2022-10-24 15:55:27.987,0.025774,0.016277
,,,2022-10-24 15:55:28.487,0.026109,0.015272
,,,2022-10-24 15:55:28.987,0.021088,0.016277
,,,2022-10-24 15:55:29.488,0.021423,0.017281
,,,2022-10-24 15:55:29.987,0.020753,0.01862
,,,2022-10-24 15:55:30.488,0.027448,0.015942
,,,2022-10-24 15:55:30.988,0.021423,0.019289
,,,2022-10-24 15:55:31.487,0.024435,0.018285
,,,2022-10-24 15:55:31.986,0.025105,0.020628
,,,2022-10-24 15:55:32.488,0.023431,0.019289
,,,2022-10-24 15:55:32.987,0.023096,0.020628
,,,2022-10-24 15:55:33.487,0.023431,0.015942
,,,2022-10-24 15:55:33.987,0.022092,0.020963
,,,2022-10-24 15:55:34.487,0.020753,0.019289
,,,2022-10-24 15:55:34.987,0.020418,0.021632
,,,2022-10-24 15:55:35.487,0.022092,0.016946
,,,2022-10-24 15:55:35.988,0.023766,0.017281
,,,2022-10-24 15:55:36.488,0.022427,0.016946
,,,2022-10-24 15:55:36.987,0.020753,0.015607
,,,2022-10-24 15:55:37.487,0.0241,0.015272
,,,2022-10-24 15:55:37.987,0.020418,0.01862
,,,2022-10-24 15:55:38.487,0.025105,0.01795
,,,2022-10-24 15:55:38.987,0.021757,0.01795
,,,2022-10-24 15:55:39.487,0.02477,0.019624
,,,2022-10-24 15:55:39.987,0.020084,0.017281
,,,2022-10-24 15:55:40.487,0.023766,0.017281
,,,2022-10-24 15:55:40.987,0.023096,0.022302
,,,2022-10-24 15:55:41.487,0.020084,0.019624
,,,2022-10-24 15:55:41.986,0.0241,0.01795
,,,2022-10-24 15:55:42.489,0.022092,0.01795
,,,2022-10-24 15:55:42.986,0.020753,0.019624
,,,2022-10-24 15:55:43.486,0.020084,0.016611
,,,2022-10-24 15:55:43.988,0.023431,0.017616
,,,2022-10-24 15:55:44.488,0.021088,0.018285
,,,2022-10-24 15:55:44.988,0.021757,0.020293
,,,2022-10-24 15:55:45.489,0.023431,0.019624
,,,2022-10-24 15:55:45.988,0.022427,0.018285
,,,2022-10-24 15:55:46.487,0.023431,0.017281
,,,2022-10-24 15:55:46.988,0.022762,0.016277
,,,2022-10-24 15:55:47.488,0.024435,0.01795
,,,2022-10-24 15:55:47.988,0.025774,0.017616
,,,2022-10-24 15:55:48.487,0.026109,0.01862
,,,2022-10-24 15:55:48.988,0.021088,0.017616
,,,2022-10-24 15:55:49.487,0.022092,0.016277
,,,2022-10-24 15:55:49.988,0.023431,0.01795
,,,2022-10-24 15:55:50.487,0.023096,0.017616
,,,2022-10-24 15:55:50.988,0.021088,0.016277
,,,2022-10-24 15:55:51.487,0.023096,0.019289
,,,2022-10-24 15:55:51.987,0.02477,0.015942
,,,2022-10-24 15:55:52.488,0.024435,0.01795
,,,2022-10-24 15:55:52.987,0.023766,0.01795
,,,2022-10-24 15:55:53.488,0.021088,0.017616
,,,2022-10-24 15:55:53.988,0.022427,0.015942
,,,2022-10-24 15:55:54.487,0.01841,0.01862
,,,2022-10-24 15:55:54.987,0.022762,0.018285
,,,2022-10-24 15:55:55.487,0.021088,0.016611
,,,2022-10-24 15:55:55.987,0.022427,0.019289
,,,2022-10-24 15:55:56.487,0.021088,0.018285
,,,2022-10-24 15:55:56.988,0.020418,0.019289
,,,2022-10-24 15:55:57.489,0.025105,0.017281
,,,2022-10-24 15:55:57.987,0.019749,0.017616
,,,2022-10-24 15:55:58.486,0.022762,0.020293
,,,2022-10-24 15:55:58.986,0.021757,0.018285
,,,2022-10-24 15:55:59.486,0.023431,0.017616
,,,2022-10-24 15:55:59.988,0.0241,0.017616
,,,2022-10-24 15:56:00.487,0.022762,0.019959
,,,2022-10-24 15:56:00.986,0.020084,0.016277
,,,2022-10-24 15:56:01.487,0.023096,0.016277
,,,2022-10-24 15:56:01.987,0.020753,0.01862
,,,2022-10-24 15:56:02.488,0.021757,0.018954
,,,2022-10-24 15:56:02.988,0.023096,0.020293
,,,2022-10-24 15:56:03.488,0.025105,0.017616
,,,2022-10-24 15:56:03.987,0.02477,0.01795
,,,2022-10-24 15:56:04.488,0.015397,0.018954
,,,2022-10-24 15:56:04.987,0.021088,0.016277
,,,2022-10-24 15:56:05.488,0.024435,0.01795
,,,2022-10-24 15:56:05.988,0.026109,0.015942
,,,2022-10-24 15:56:06.487,0.023766,0.016946
,,,2022-10-24 15:56:06.986,0.026444,0.01862
,,,2022-10-24 15:56:07.485,0.020753,0.019624
,,,2022-10-24 15:56:07.985,0.019414,0.017281
