Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-24 16:08:00.064,0.029121,0.019624
Serial Number:,MY60101365,,2022-10-24 16:08:00.565,0.028452,0.021632
Firmware Version:,07.31.2020012900,,2022-10-24 16:08:01.064,0.028452,0.021967
Start Time:,2022-10-24 16:08:00.064,,2022-10-24 16:08:01.563,0.025439,0.017616
Stop Time:,2022-10-24 16:18:00.065,,2022-10-24 16:08:02.064,0.026778,0.015607
Sample Period:,0.5,,2022-10-24 16:08:02.565,0.0241,0.016946
,,,2022-10-24 16:08:03.065,0.027782,0.01795
,,,2022-10-24 16:08:03.564,0.034477,0.018954
,,,2022-10-24 16:08:04.063,0.027448,0.022302
,,,2022-10-24 16:08:04.563,0.027113,0.018285
,,,2022-10-24 16:08:05.063,0.026778,0.016946
,,,2022-10-24 16:08:05.563,0.025774,0.019289
,,,2022-10-24 16:08:06.064,0.026109,0.016946
,,,2022-10-24 16:08:06.564,0.028452,0.018954
,,,2022-10-24 16:08:07.065,0.026444,0.01862
,,,2022-10-24 16:08:07.564,0.026444,0.019289
,,,2022-10-24 16:08:08.064,0.023766,0.019624
,,,2022-10-24 16:08:08.563,0.0241,0.01795
,,,2022-10-24 16:08:09.063,0.030795,0.019624
,,,2022-10-24 16:08:09.563,0.02477,0.022302
,,,2022-10-24 16:08:10.062,0.03113,0.019289
,,,2022-10-24 16:08:10.563,0.029456,0.018954
,,,2022-10-24 16:08:11.063,0.028452,0.01795
,,,2022-10-24 16:08:11.563,0.026778,0.01862
,,,2022-10-24 16:08:12.063,0.027113,0.01862
,,,2022-10-24 16:08:12.562,0.024435,0.016946
,,,2022-10-24 16:08:13.063,0.023431,0.018954
,,,2022-10-24 16:08:13.563,0.024435,0.01795
,,,2022-10-24 16:08:14.063,0.028117,0.015272
,,,2022-10-24 16:08:14.563,0.027113,0.017281
,,,2022-10-24 16:08:15.063,0.0241,0.018285
