Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-24 16:22:29.020,0.023431,0.020293
Serial Number:,MY60101365,,2022-10-24 16:22:29.520,0.022762,0.020628
Firmware Version:,07.31.2020012900,,2022-10-24 16:22:30.020,0.027448,0.019289
Start Time:,2022-10-24 16:22:29.020,,2022-10-24 16:22:30.520,0.017741,0.019289
Stop Time:,2022-10-24 16:32:29.018,,2022-10-24 16:22:31.019,0.022427,0.020293
Sample Period:,0.5,,2022-10-24 16:22:31.520,0.021757,0.016946
,,,2022-10-24 16:22:32.019,0.021757,0.019289
,,,2022-10-24 16:22:32.519,0.020753,0.020628
,,,2022-10-24 16:22:33.019,0.020418,0.01795
,,,2022-10-24 16:22:33.520,0.021088,0.020628
,,,2022-10-24 16:22:34.020,0.029456,0.019959
,,,2022-10-24 16:22:34.519,0.024435,0.020293
,,,2022-10-24 16:22:35.019,0.022427,0.019289
,,,2022-10-24 16:22:35.519,0.021757,0.016946
,,,2022-10-24 16:22:36.019,0.022092,0.019624
,,,2022-10-24 16:22:36.518,0.022092,0.018954
,,,2022-10-24 16:22:37.018,0.021088,0.017616
,,,2022-10-24 16:22:37.518,0.022427,0.019624
,,,2022-10-24 16:22:38.018,0.020753,0.019624
,,,2022-10-24 16:22:38.518,0.020753,0.015942
,,,2022-10-24 16:22:39.018,0.022427,0.019959
,,,2022-10-24 16:22:39.518,0.0241,0.018954
,,,2022-10-24 16:22:40.018,0.022762,0.020293
,,,2022-10-24 16:22:40.520,0.021088,0.018954
,,,2022-10-24 16:22:41.021,0.024435,0.019959
,,,2022-10-24 16:22:41.519,0.0241,0.016611
,,,2022-10-24 16:22:42.019,0.021757,0.015607
,,,2022-10-24 16:22:42.518,0.017071,0.01862
,,,2022-10-24 16:22:43.018,0.021757,0.018285
,,,2022-10-24 16:22:43.518,0.021088,0.020628
,,,2022-10-24 16:22:44.018,0.027113,0.019959
,,,2022-10-24 16:22:44.517,0.023096,0.01795
,,,2022-10-24 16:22:45.017,0.022092,0.020293
,,,2022-10-24 16:22:45.518,0.0241,0.01795
,,,2022-10-24 16:22:46.018,0.020418,0.019624
,,,2022-10-24 16:22:46.518,0.022092,0.017281
,,,2022-10-24 16:22:47.018,0.022092,0.019289
,,,2022-10-24 16:22:47.519,0.023766,0.021298
,,,2022-10-24 16:22:48.021,0.021757,0.019959
,,,2022-10-24 16:22:48.520,0.021423,0.019289
,,,2022-10-24 16:22:49.021,0.023096,0.01795
,,,2022-10-24 16:22:49.520,0.021757,0.020628
,,,2022-10-24 16:22:50.020,0.021088,0.019959
,,,2022-10-24 16:22:50.519,0.017741,0.018954
,,,2022-10-24 16:22:51.020,0.021088,0.01862
,,,2022-10-24 16:22:51.521,0.020084,0.019959
,,,2022-10-24 16:22:52.019,0.0241,0.01862
,,,2022-10-24 16:22:52.520,0.020084,0.019289
,,,2022-10-24 16:22:53.021,0.020084,0.01795
,,,2022-10-24 16:22:53.521,0.018745,0.020293
,,,2022-10-24 16:22:54.020,0.021088,0.017281
,,,2022-10-24 16:22:54.520,0.023431,0.015942
,,,2022-10-24 16:22:55.020,0.019414,0.021632
,,,2022-10-24 16:22:55.519,0.021088,0.01862
,,,2022-10-24 16:22:56.020,0.025439,0.019289
,,,2022-10-24 16:22:56.520,0.023766,0.020628
,,,2022-10-24 16:22:57.019,0.02477,0.020293
,,,2022-10-24 16:22:57.519,0.020753,0.021298
,,,2022-10-24 16:22:58.019,0.022762,0.019624
,,,2022-10-24 16:22:58.520,0.02477,0.020963
,,,2022-10-24 16:22:59.020,0.019414,0.019289
,,,2022-10-24 16:22:59.519,0.019079,0.019624
,,,2022-10-24 16:23:00.020,0.022427,0.017616
,,,2022-10-24 16:23:00.521,0.020753,0.020628
,,,2022-10-24 16:23:01.019,0.020753,0.018954
,,,2022-10-24 16:23:01.519,0.021088,0.018285
,,,2022-10-24 16:23:02.019,0.022762,0.021632
,,,2022-10-24 16:23:02.520,0.020753,0.019624
,,,2022-10-24 16:23:03.020,0.024435,0.020628
,,,2022-10-24 16:23:03.521,0.021757,0.021632
,,,2022-10-24 16:23:04.019,0.01841,0.018285
,,,2022-10-24 16:23:04.519,0.020084,0.019624
,,,2022-10-24 16:23:05.020,0.020753,0.017281
,,,2022-10-24 16:23:05.520,0.025774,0.018285
,,,2022-10-24 16:23:06.019,0.023766,0.018954
,,,2022-10-24 16:23:06.519,0.022762,0.019624
,,,2022-10-24 16:23:07.018,0.02477,0.022302
,,,2022-10-24 16:23:07.519,0.023431,0.014603
,,,2022-10-24 16:23:08.019,0.021423,0.018285
,,,2022-10-24 16:23:08.519,0.019079,0.018954
,,,2022-10-24 16:23:09.019,0.023431,0.020628
,,,2022-10-24 16:23:09.519,0.020418,0.020963
,,,2022-10-24 16:23:10.019,0.02477,0.01862
,,,2022-10-24 16:23:10.519,0.019079,0.020293
,,,2022-10-24 16:23:11.019,0.0241,0.019289
,,,2022-10-24 16:23:11.519,0.023096,0.020628
,,,2022-10-24 16:23:12.019,0.01841,0.019624
,,,2022-10-24 16:23:12.519,0.022092,0.019624
,,,2022-10-24 16:23:13.018,0.0241,0.01795
,,,2022-10-24 16:23:13.518,0.023766,0.021967
,,,2022-10-24 16:23:14.018,0.026444,0.016611
,,,2022-10-24 16:23:14.518,0.020084,0.01862
,,,2022-10-24 16:23:15.018,0.022762,0.018954
,,,2022-10-24 16:23:15.518,0.019079,0.016946
,,,2022-10-24 16:23:16.019,0.020084,0.020963
,,,2022-10-24 16:23:16.519,0.020753,0.022971
,,,2022-10-24 16:23:17.019,0.016067,0.020293
,,,2022-10-24 16:23:17.520,0.020753,0.018954
,,,2022-10-24 16:23:18.020,0.0241,0.01862
,,,2022-10-24 16:23:18.519,0.023096,0.017616
,,,2022-10-24 16:23:19.018,0.020418,0.020963
,,,2022-10-24 16:23:19.518,0.020753,0.022637
,,,2022-10-24 16:23:20.018,0.018745,0.018285
