Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-26 14:18:59.074,0.002378,0.002678
Serial Number:,MY60101365,,2022-10-26 14:18:59.573,0.034512,0.014728
Firmware Version:,07.31.2020012900,,2022-10-26 14:19:00.074,0.031164,0.01205
Start Time:,2022-10-26 14:18:59.074,,2022-10-26 14:19:00.574,0.031834,0.010711
Stop Time:,2022-10-26 14:28:59.073,,2022-10-26 14:19:01.073,0.035851,0.010042
Sample Period:,0.5,,2022-10-26 14:19:01.574,0.032503,0.013389
,,,2022-10-26 14:19:02.073,0.033173,0.013389
,,,2022-10-26 14:19:02.572,0.030495,0.013389
,,,2022-10-26 14:19:03.072,0.033173,0.014059
,,,2022-10-26 14:19:03.572,0.031834,0.010711
,,,2022-10-26 14:19:04.073,0.030495,0.01272
,,,2022-10-26 14:19:04.573,0.031834,0.014059
,,,2022-10-26 14:19:05.073,0.030495,0.011381
,,,2022-10-26 14:19:05.573,0.028487,0.010711
,,,2022-10-26 14:19:06.074,0.032503,0.014059
,,,2022-10-26 14:19:06.573,0.034512,0.013389
,,,2022-10-26 14:19:07.074,0.032503,0.01272
,,,2022-10-26 14:19:07.573,0.032503,0.011381
,,,2022-10-26 14:19:08.074,0.029826,0.011381
,,,2022-10-26 14:19:08.573,0.033173,0.01272
,,,2022-10-26 14:19:09.074,0.031164,0.015397
,,,2022-10-26 14:19:09.573,0.035181,0.014728
,,,2022-10-26 14:19:10.074,0.032503,0.01272
,,,2022-10-26 14:19:10.573,0.032503,0.013389
,,,2022-10-26 14:19:11.075,0.035181,0.015397
,,,2022-10-26 14:19:11.575,0.035851,0.01205
,,,2022-10-26 14:19:12.074,0.032503,0.014059
,,,2022-10-26 14:19:12.573,0.031834,0.008033
,,,2022-10-26 14:19:13.075,0.033173,0.01272
,,,2022-10-26 14:19:13.574,0.033173,0.01205
,,,2022-10-26 14:19:14.074,0.032503,0.01205
,,,2022-10-26 14:19:14.575,0.03719,0.014059
,,,2022-10-26 14:19:15.073,0.035181,0.01205
,,,2022-10-26 14:19:15.574,0.033842,0.01205
,,,2022-10-26 14:19:16.075,0.032503,0.01205
,,,2022-10-26 14:19:16.573,0.033173,0.01205
,,,2022-10-26 14:19:17.075,0.035181,0.016067
