Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-26 12:23:48.479,0.035181,0.008033
Serial Number:,MY60101365,,2022-10-26 12:23:49.122,0.031834,0.006695
Firmware Version:,07.31.2020012900,,2022-10-26 12:23:49.775,0.038528,0.007364
Start Time:,2022-10-26 12:23:48.479,,2022-10-26 12:23:50.487,0.03652,0.008033
Stop Time:,2022-10-26 12:33:48.332,,2022-10-26 12:23:51.196,0.031164,0.006695
Sample Period:,0.5,,2022-10-26 12:23:51.892,0.027817,0.008703
,,,2022-10-26 12:23:52.553,0.031164,0.008033
,,,2022-10-26 12:23:53.211,0.032503,0.008033
,,,2022-10-26 12:23:53.885,0.030495,0.006695
,,,2022-10-26 12:23:54.558,0.037859,0.008033
,,,2022-10-26 12:23:55.238,0.033173,0.006025
,,,2022-10-26 12:23:55.903,0.033173,0.006025
,,,2022-10-26 12:23:56.572,0.035181,0.008033
,,,2022-10-26 12:23:57.234,0.033173,0.006695
,,,2022-10-26 12:23:57.905,0.032503,0.006695
,,,2022-10-26 12:23:58.574,0.033842,0.006025
,,,2022-10-26 12:23:59.221,0.033173,0.007364
,,,2022-10-26 12:23:59.903,0.033842,0.007364
,,,2022-10-26 12:24:00.569,0.035181,0.007364
,,,2022-10-26 12:24:01.243,0.035181,0.008033
,,,2022-10-26 12:24:01.920,0.033173,0.007364
,,,2022-10-26 12:24:02.597,0.035181,0.006695
,,,2022-10-26 12:24:03.269,0.03719,0.005356
,,,2022-10-26 12:24:03.927,0.032503,0.009372
,,,2022-10-26 12:24:04.585,0.031164,0.007364
,,,2022-10-26 12:24:05.252,0.033842,0.007364
,,,2022-10-26 12:24:05.912,0.03719,0.007364
,,,2022-10-26 12:24:06.566,0.035851,0.006695
,,,2022-10-26 12:24:07.208,0.033173,0.008033
,,,2022-10-26 12:24:07.866,0.03652,0.009372
,,,2022-10-26 12:24:08.585,0.035181,0.008033
,,,2022-10-26 12:24:09.384,0.03652,0.007364
,,,2022-10-26 12:24:10.041,0.033842,0.006695
,,,2022-10-26 12:24:10.716,0.031834,0.008033
,,,2022-10-26 12:24:11.387,0.033173,0.008033
,,,2022-10-26 12:24:12.060,0.033842,0.007364
,,,2022-10-26 12:24:12.716,0.035181,0.006695
,,,2022-10-26 12:24:13.366,0.035181,0.005356
,,,2022-10-26 12:24:14.033,0.033842,0.008033
,,,2022-10-26 12:24:14.721,0.029826,0.006695
,,,2022-10-26 12:24:15.432,0.032503,0.008703
