Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 12:39:29.880,0.002008,0.007945
Serial Number:,MY60101365,,2022-10-31 12:39:30.379,0.019414,0.061501
Firmware Version:,07.31.2020012900,,2022-10-31 12:39:30.879,0.023431,0.068196
Start Time:,2022-10-31 12:39:29.880,,2022-10-31 12:39:31.379,0.016736,0.063175
Stop Time:,2022-10-31 12:49:29.878,,2022-10-31 12:39:31.879,0.016067,0.064848
Sample Period:,0.5,,2022-10-31 12:39:32.379,0.022092,0.059827
,,,2022-10-31 12:39:32.879,0.018745,0.064848
,,,2022-10-31 12:39:33.379,0.026109,0.063175
,,,2022-10-31 12:39:33.880,0.020084,0.063175
,,,2022-10-31 12:39:34.378,0.018745,0.069869
,,,2022-10-31 12:39:34.879,0.023431,0.069869
,,,2022-10-31 12:39:35.380,0.021423,0.064848
,,,2022-10-31 12:39:35.878,0.019414,0.061501
,,,2022-10-31 12:39:36.379,0.016736,0.066522
,,,2022-10-31 12:39:36.879,0.022762,0.063175
,,,2022-10-31 12:39:37.379,0.0241,0.066522
,,,2022-10-31 12:39:37.879,0.022092,0.063175
,,,2022-10-31 12:39:38.380,0.022762,0.066522
,,,2022-10-31 12:39:38.879,0.025439,0.069869
,,,2022-10-31 12:39:39.378,0.022092,0.068196
,,,2022-10-31 12:39:39.878,0.022762,0.064848
,,,2022-10-31 12:39:40.378,0.020753,0.063175
,,,2022-10-31 12:39:40.879,0.018745,0.066522
,,,2022-10-31 12:39:41.379,0.020753,0.058154
,,,2022-10-31 12:39:41.878,0.016067,0.054806
,,,2022-10-31 12:39:42.379,0.020084,0.063175
,,,2022-10-31 12:39:42.879,0.021423,0.063175
,,,2022-10-31 12:39:43.380,0.022762,0.061501
,,,2022-10-31 12:39:43.879,0.019414,0.063175
,,,2022-10-31 12:39:44.380,0.022092,0.063175
,,,2022-10-31 12:39:44.879,0.0241,0.063175
,,,2022-10-31 12:39:45.379,0.019414,0.066522
,,,2022-10-31 12:39:45.879,0.021423,0.068196
,,,2022-10-31 12:39:46.379,0.018075,0.063175
,,,2022-10-31 12:39:46.880,0.022092,0.068196
,,,2022-10-31 12:39:47.380,0.020753,0.063175
,,,2022-10-31 12:39:47.878,0.022092,0.064848
,,,2022-10-31 12:39:48.378,0.020753,0.066522
,,,2022-10-31 12:39:48.878,0.020753,0.064848
,,,2022-10-31 12:39:49.378,0.021423,0.061501
,,,2022-10-31 12:39:49.878,0.020753,0.064848
,,,2022-10-31 12:39:50.378,0.019414,0.066522
,,,2022-10-31 12:39:50.878,0.026109,0.069869
,,,2022-10-31 12:39:51.378,0.018745,0.059827
,,,2022-10-31 12:39:51.879,0.026109,0.066522
,,,2022-10-31 12:39:52.379,0.017406,0.059827
,,,2022-10-31 12:39:52.880,0.016736,0.068196
,,,2022-10-31 12:39:53.378,0.02477,0.063175
,,,2022-10-31 12:39:53.879,0.022092,0.063175
,,,2022-10-31 12:39:54.380,0.020753,0.066522
,,,2022-10-31 12:39:54.879,0.021423,0.063175
,,,2022-10-31 12:39:55.380,0.023431,0.064848
,,,2022-10-31 12:39:55.879,0.020753,0.066522
,,,2022-10-31 12:39:56.379,0.023431,0.063175
,,,2022-10-31 12:39:56.879,0.018745,0.068196
,,,2022-10-31 12:39:57.379,0.022092,0.069869
,,,2022-10-31 12:39:57.880,0.023431,0.068196
,,,2022-10-31 12:39:58.379,0.020753,0.063175
,,,2022-10-31 12:39:58.879,0.018745,0.064848
,,,2022-10-31 12:39:59.379,0.020084,0.061501
,,,2022-10-31 12:39:59.879,0.016067,0.054806
,,,2022-10-31 12:40:00.379,0.020084,0.064848
,,,2022-10-31 12:40:00.879,0.021423,0.061501
,,,2022-10-31 12:40:01.379,0.020753,0.066522
,,,2022-10-31 12:40:01.881,0.019414,0.063175
,,,2022-10-31 12:40:02.379,0.020084,0.061501
,,,2022-10-31 12:40:02.879,0.02477,0.064848
,,,2022-10-31 12:40:03.379,0.020084,0.066522
,,,2022-10-31 12:40:03.878,0.018075,0.063175
,,,2022-10-31 12:40:04.379,0.022762,0.063175
,,,2022-10-31 12:40:04.879,0.018745,0.059827
,,,2022-10-31 12:40:05.380,0.022092,0.068196
,,,2022-10-31 12:40:05.878,0.015397,0.068196
,,,2022-10-31 12:40:06.379,0.026109,0.058154
,,,2022-10-31 12:40:06.878,0.021423,0.063175
,,,2022-10-31 12:40:07.378,0.022092,0.069869
,,,2022-10-31 12:40:07.878,0.022092,0.064848
,,,2022-10-31 12:40:08.378,0.021423,0.063175
,,,2022-10-31 12:40:08.879,0.022092,0.061501
,,,2022-10-31 12:40:09.379,0.020753,0.068196
,,,2022-10-31 12:40:09.878,0.020753,0.063175
,,,2022-10-31 12:40:10.377,0.022092,0.066522
,,,2022-10-31 12:40:10.877,0.021423,0.066522
,,,2022-10-31 12:40:11.377,0.02477,0.063175
,,,2022-10-31 12:40:11.878,0.022762,0.066522
,,,2022-10-31 12:40:12.378,0.018075,0.064848
,,,2022-10-31 12:40:12.878,0.022762,0.063175
,,,2022-10-31 12:40:13.378,0.020084,0.064848
,,,2022-10-31 12:40:13.878,0.022092,0.061501
,,,2022-10-31 12:40:14.379,0.022092,0.064848
,,,2022-10-31 12:40:14.878,0.021423,0.063175
,,,2022-10-31 12:40:15.379,0.020084,0.063175
,,,2022-10-31 12:40:15.879,0.023431,0.068196
,,,2022-10-31 12:40:16.378,0.020084,0.063175
,,,2022-10-31 12:40:16.878,0.019414,0.061501
,,,2022-10-31 12:40:17.378,0.023431,0.061501
,,,2022-10-31 12:40:17.878,0.022762,0.064848
,,,2022-10-31 12:40:18.378,0.027448,0.059827
,,,2022-10-31 12:40:18.879,0.022092,0.064848
,,,2022-10-31 12:40:19.378,0.017406,0.061501
,,,2022-10-31 12:40:19.879,0.022092,0.061501
,,,2022-10-31 12:40:20.380,0.020753,0.064848
,,,2022-10-31 12:40:20.879,0.022762,0.063175
,,,2022-10-31 12:40:21.379,0.022092,0.064848
,,,2022-10-31 12:40:21.878,0.021423,0.061501
,,,2022-10-31 12:40:22.379,0.020753,0.064848
,,,2022-10-31 12:40:22.879,0.02477,0.063175
,,,2022-10-31 12:40:23.378,0.022762,0.063175
,,,2022-10-31 12:40:23.878,0.019414,0.063175
,,,2022-10-31 12:40:24.378,0.023431,0.063175
,,,2022-10-31 12:40:24.878,0.021423,0.068196
,,,2022-10-31 12:40:25.378,0.0241,0.063175
,,,2022-10-31 12:40:25.878,0.022092,0.061501
,,,2022-10-31 12:40:26.378,0.020753,0.066522
,,,2022-10-31 12:40:26.879,0.018745,0.063175
,,,2022-10-31 12:40:27.379,0.020753,0.061501
,,,2022-10-31 12:40:27.878,0.02477,0.064848
,,,2022-10-31 12:40:28.379,0.021423,0.066522
,,,2022-10-31 12:40:28.879,0.020753,0.058154
,,,2022-10-31 12:40:29.378,0.018075,0.068196
,,,2022-10-31 12:40:29.878,0.019414,0.061501
,,,2022-10-31 12:40:30.378,0.022762,0.066522
,,,2022-10-31 12:40:30.879,0.018745,0.063175
,,,2022-10-31 12:40:31.379,0.022092,0.063175
,,,2022-10-31 12:40:31.879,0.019414,0.058154
,,,2022-10-31 12:40:32.378,0.02477,0.064848
,,,2022-10-31 12:40:32.879,0.023431,0.068196
,,,2022-10-31 12:40:33.380,0.020753,0.064848
,,,2022-10-31 12:40:33.879,0.020753,0.061501
,,,2022-10-31 12:40:34.379,0.0241,0.064848
,,,2022-10-31 12:40:34.879,0.018075,0.066522
,,,2022-10-31 12:40:35.378,0.019414,0.061501
,,,2022-10-31 12:40:35.879,0.023431,0.068196
,,,2022-10-31 12:40:36.380,0.020084,0.066522
,,,2022-10-31 12:40:36.878,0.02477,0.063175
,,,2022-10-31 12:40:37.379,0.019414,0.064848
,,,2022-10-31 12:40:37.879,0.015397,0.061501
,,,2022-10-31 12:40:38.378,0.019414,0.063175
,,,2022-10-31 12:40:38.879,0.020084,0.058154
,,,2022-10-31 12:40:39.381,0.028117,0.066522
,,,2022-10-31 12:40:39.879,0.019414,0.061501
,,,2022-10-31 12:40:40.382,0.023431,0.061501
