Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 14:10:09.525,0.031464,0.054726
Serial Number:,MY60101365,,2022-10-31 14:10:10.024,0.028117,0.051379
Firmware Version:,07.31.2020012900,,2022-10-31 14:10:10.525,0.027448,0.050709
Start Time:,2022-10-31 14:10:09.525,,2022-10-31 14:10:11.024,0.029456,0.055395
Stop Time:,2022-10-31 14:20:09.524,,2022-10-31 14:10:11.524,0.030126,0.056734
Sample Period:,0.5,,2022-10-31 14:10:12.024,0.033473,0.054726
,,,2022-10-31 14:10:12.524,0.032803,0.053387
,,,2022-10-31 14:10:13.024,0.026778,0.051379
,,,2022-10-31 14:10:13.523,0.029456,0.052718
,,,2022-10-31 14:10:14.023,0.031464,0.052048
,,,2022-10-31 14:10:14.523,0.031464,0.054726
,,,2022-10-31 14:10:15.023,0.030126,0.048701
,,,2022-10-31 14:10:15.523,0.028117,0.056734
,,,2022-10-31 14:10:16.024,0.027448,0.052718
,,,2022-10-31 14:10:16.524,0.030126,0.054056
,,,2022-10-31 14:10:17.024,0.027448,0.055395
,,,2022-10-31 14:10:17.523,0.032803,0.044684
,,,2022-10-31 14:10:18.023,0.026109,0.056734
,,,2022-10-31 14:10:18.523,0.027448,0.04937
,,,2022-10-31 14:10:19.023,0.025439,0.050709
,,,2022-10-31 14:10:19.524,0.025439,0.055395
,,,2022-10-31 14:10:20.024,0.031464,0.054726
,,,2022-10-31 14:10:20.523,0.031464,0.058073
,,,2022-10-31 14:10:21.023,0.031464,0.053387
,,,2022-10-31 14:10:21.524,0.030126,0.054056
,,,2022-10-31 14:10:22.024,0.032134,0.048701
,,,2022-10-31 14:10:22.525,0.032134,0.054726
,,,2022-10-31 14:10:23.024,0.031464,0.04937
,,,2022-10-31 14:10:23.523,0.028787,0.058073
,,,2022-10-31 14:10:24.024,0.032803,0.053387
,,,2022-10-31 14:10:24.526,0.033473,0.056065
,,,2022-10-31 14:10:25.023,0.032803,0.052048
,,,2022-10-31 14:10:25.524,0.028787,0.052048
,,,2022-10-31 14:10:26.025,0.025439,0.05004
,,,2022-10-31 14:10:26.526,0.028117,0.056734
,,,2022-10-31 14:10:27.025,0.031464,0.054726
,,,2022-10-31 14:10:27.523,0.029456,0.054056
,,,2022-10-31 14:10:28.023,0.028787,0.052718
,,,2022-10-31 14:10:28.523,0.030795,0.053387
,,,2022-10-31 14:10:29.023,0.031464,0.050709
,,,2022-10-31 14:10:29.523,0.032134,0.054726
,,,2022-10-31 14:10:30.024,0.030795,0.05004
,,,2022-10-31 14:10:30.525,0.028787,0.054726
,,,2022-10-31 14:10:31.026,0.032803,0.052718
,,,2022-10-31 14:10:31.524,0.034142,0.058073
,,,2022-10-31 14:10:32.025,0.030795,0.054056
,,,2022-10-31 14:10:32.525,0.031464,0.05004
,,,2022-10-31 14:10:33.025,0.028117,0.056734
,,,2022-10-31 14:10:33.524,0.032803,0.05004
,,,2022-10-31 14:10:34.024,0.031464,0.048701
,,,2022-10-31 14:10:34.525,0.027448,0.054726
,,,2022-10-31 14:10:35.024,0.0241,0.054056
,,,2022-10-31 14:10:35.525,0.026109,0.052718
,,,2022-10-31 14:10:36.024,0.030795,0.052048
,,,2022-10-31 14:10:36.524,0.031464,0.058073
,,,2022-10-31 14:10:37.025,0.033473,0.051379
,,,2022-10-31 14:10:37.525,0.028117,0.048701
,,,2022-10-31 14:10:38.024,0.027448,0.052718
,,,2022-10-31 14:10:38.524,0.035481,0.054726
,,,2022-10-31 14:10:39.025,0.030795,0.056065
,,,2022-10-31 14:10:39.525,0.026778,0.054726
,,,2022-10-31 14:10:40.024,0.031464,0.054726
,,,2022-10-31 14:10:40.524,0.034142,0.052048
,,,2022-10-31 14:10:41.024,0.033473,0.051379
,,,2022-10-31 14:10:41.524,0.030126,0.052718
,,,2022-10-31 14:10:42.024,0.028117,0.056065
,,,2022-10-31 14:10:42.525,0.030795,0.054056
,,,2022-10-31 14:10:43.023,0.032803,0.052718
,,,2022-10-31 14:10:43.523,0.034142,0.053387
,,,2022-10-31 14:10:44.023,0.030126,0.055395
,,,2022-10-31 14:10:44.523,0.029456,0.053387
,,,2022-10-31 14:10:45.024,0.027448,0.052718
,,,2022-10-31 14:10:45.524,0.032803,0.054726
,,,2022-10-31 14:10:46.023,0.027448,0.051379
,,,2022-10-31 14:10:46.523,0.030126,0.054726
,,,2022-10-31 14:10:47.023,0.030795,0.052718
,,,2022-10-31 14:10:47.522,0.030795,0.054056
,,,2022-10-31 14:10:48.023,0.027448,0.052718
,,,2022-10-31 14:10:48.523,0.026109,0.052718
,,,2022-10-31 14:10:49.023,0.030795,0.053387
,,,2022-10-31 14:10:49.523,0.0241,0.051379
,,,2022-10-31 14:10:50.023,0.030795,0.050709
,,,2022-10-31 14:10:50.523,0.032134,0.052718
,,,2022-10-31 14:10:51.024,0.028117,0.054726
,,,2022-10-31 14:10:51.524,0.030126,0.054056
,,,2022-10-31 14:10:52.024,0.032134,0.058073
,,,2022-10-31 14:10:52.523,0.029456,0.055395
,,,2022-10-31 14:10:53.023,0.026109,0.056065
,,,2022-10-31 14:10:53.523,0.032803,0.054726
,,,2022-10-31 14:10:54.024,0.030126,0.056734
,,,2022-10-31 14:10:54.524,0.029456,0.05004
,,,2022-10-31 14:10:55.024,0.027448,0.054726
,,,2022-10-31 14:10:55.523,0.027448,0.050709
,,,2022-10-31 14:10:56.023,0.026778,0.052718
,,,2022-10-31 14:10:56.523,0.028787,0.053387
,,,2022-10-31 14:10:57.024,0.027448,0.053387
,,,2022-10-31 14:10:57.524,0.031464,0.052048
,,,2022-10-31 14:10:58.024,0.027448,0.060082
,,,2022-10-31 14:10:58.524,0.034142,0.052048
,,,2022-10-31 14:10:59.024,0.031464,0.060082
,,,2022-10-31 14:10:59.525,0.032803,0.053387
,,,2022-10-31 14:11:00.025,0.033473,0.055395
,,,2022-10-31 14:11:00.523,0.030126,0.057404
,,,2022-10-31 14:11:01.024,0.032134,0.054056
,,,2022-10-31 14:11:01.525,0.028117,0.055395
,,,2022-10-31 14:11:02.024,0.028787,0.054726
,,,2022-10-31 14:11:02.524,0.031464,0.055395
,,,2022-10-31 14:11:03.024,0.026778,0.056065
,,,2022-10-31 14:11:03.524,0.027448,0.055395
,,,2022-10-31 14:11:04.025,0.028117,0.053387
