Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 14:37:29.201,0.034812,0.052718
Serial Number:,MY60101365,,2022-10-31 14:37:29.701,0.025439,0.048031
Firmware Version:,07.31.2020012900,,2022-10-31 14:37:30.200,0.032134,0.050709
Start Time:,2022-10-31 14:37:29.201,,2022-10-31 14:37:30.700,0.032134,0.052718
Stop Time:,2022-10-31 14:47:29.203,,2022-10-31 14:37:31.199,0.032803,0.048701
Sample Period:,0.5,,2022-10-31 14:37:31.699,0.034142,0.054726
,,,2022-10-31 14:37:32.199,0.034142,0.05004
,,,2022-10-31 14:37:32.699,0.033473,0.052048
,,,2022-10-31 14:37:33.199,0.036151,0.05004
,,,2022-10-31 14:37:33.700,0.033473,0.05004
,,,2022-10-31 14:37:34.200,0.034142,0.055395
,,,2022-10-31 14:37:34.709,0.032134,0.051379
,,,2022-10-31 14:37:35.203,0.030126,0.056734
,,,2022-10-31 14:37:35.714,0.030126,0.054056
,,,2022-10-31 14:37:36.200,0.030795,0.048701
,,,2022-10-31 14:37:36.700,0.033473,0.054056
,,,2022-10-31 14:37:37.211,0.032134,0.052718
,,,2022-10-31 14:37:37.710,0.035481,0.052718
,,,2022-10-31 14:37:38.202,0.033473,0.051379
,,,2022-10-31 14:37:38.701,0.030126,0.052048
,,,2022-10-31 14:37:39.199,0.034142,0.048701
,,,2022-10-31 14:37:39.709,0.032134,0.056734
,,,2022-10-31 14:37:40.201,0.032134,0.051379
,,,2022-10-31 14:37:40.700,0.033473,0.058743
,,,2022-10-31 14:37:41.200,0.034812,0.054056
,,,2022-10-31 14:37:41.700,0.036151,0.057404
,,,2022-10-31 14:37:42.200,0.034812,0.054726
,,,2022-10-31 14:37:42.700,0.031464,0.051379
,,,2022-10-31 14:37:43.200,0.033473,0.048701
,,,2022-10-31 14:37:43.701,0.032134,0.056065
,,,2022-10-31 14:37:44.201,0.032803,0.052048
,,,2022-10-31 14:37:44.700,0.031464,0.054056
,,,2022-10-31 14:37:45.199,0.030126,0.052048
,,,2022-10-31 14:37:45.704,0.035481,0.054056
,,,2022-10-31 14:37:46.202,0.029456,0.052048
,,,2022-10-31 14:37:46.701,0.035481,0.051379
,,,2022-10-31 14:37:47.200,0.03682,0.056065
,,,2022-10-31 14:37:47.700,0.030126,0.050709
,,,2022-10-31 14:37:48.200,0.034812,0.051379
,,,2022-10-31 14:37:48.702,0.032803,0.047362
,,,2022-10-31 14:37:49.201,0.034142,0.050709
,,,2022-10-31 14:37:49.701,0.032803,0.04937
,,,2022-10-31 14:37:50.201,0.029456,0.050709
,,,2022-10-31 14:37:50.701,0.033473,0.053387
,,,2022-10-31 14:37:51.201,0.030795,0.050709
,,,2022-10-31 14:37:51.700,0.031464,0.053387
,,,2022-10-31 14:37:52.201,0.025439,0.048031
,,,2022-10-31 14:37:52.700,0.029456,0.055395
,,,2022-10-31 14:37:53.202,0.030795,0.056065
,,,2022-10-31 14:37:53.701,0.034812,0.052048
,,,2022-10-31 14:37:54.200,0.028117,0.05004
,,,2022-10-31 14:37:54.700,0.032134,0.05004
,,,2022-10-31 14:37:55.200,0.028787,0.048031
,,,2022-10-31 14:37:55.700,0.034142,0.054726
,,,2022-10-31 14:37:56.200,0.034812,0.057404
