Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 14:50:24.231,0.038828,0.05004
Serial Number:,MY60101365,,2022-10-31 14:50:24.732,0.036151,0.052048
Firmware Version:,07.31.2020012900,,2022-10-31 14:50:25.234,0.032803,0.056734
Start Time:,2022-10-31 14:50:24.231,,2022-10-31 14:50:25.732,0.03749,0.053387
Stop Time:,2022-10-31 15:00:24.232,,2022-10-31 14:50:26.232,0.036151,0.054726
Sample Period:,0.5,,2022-10-31 14:50:26.737,0.038828,0.055395
,,,2022-10-31 14:50:27.233,0.032134,0.054726
,,,2022-10-31 14:50:27.732,0.030126,0.051379
,,,2022-10-31 14:50:28.232,0.034812,0.051379
,,,2022-10-31 14:50:28.732,0.034812,0.052048
,,,2022-10-31 14:50:29.232,0.030795,0.054726
,,,2022-10-31 14:50:29.738,0.036151,0.052048
,,,2022-10-31 14:50:30.239,0.031464,0.054056
,,,2022-10-31 14:50:30.732,0.036151,0.056734
,,,2022-10-31 14:50:31.243,0.030126,0.056065
,,,2022-10-31 14:50:31.736,0.033473,0.055395
,,,2022-10-31 14:50:32.237,0.032134,0.052048
,,,2022-10-31 14:50:32.736,0.03749,0.057404
,,,2022-10-31 14:50:33.292,0.032803,0.04937
,,,2022-10-31 14:50:33.756,0.038159,0.054056
,,,2022-10-31 14:50:34.238,0.035481,0.054726
,,,2022-10-31 14:50:34.772,0.032803,0.052718
,,,2022-10-31 14:50:35.254,0.031464,0.056065
,,,2022-10-31 14:50:37.039,0.031464,0.056065
,,,2022-10-31 14:50:37.039,0.031464,0.056065
,,,2022-10-31 14:50:37.039,0.03682,0.051379
,,,2022-10-31 14:50:37.274,0.030126,0.054726
,,,2022-10-31 14:50:37.971,0.034812,0.058073
,,,2022-10-31 14:50:38.262,0.035481,0.057404
,,,2022-10-31 14:50:38.957,0.034812,0.052718
,,,2022-10-31 14:50:39.238,0.032803,0.054726
,,,2022-10-31 14:50:39.909,0.035481,0.057404
,,,2022-10-31 14:50:40.246,0.032134,0.051379
,,,2022-10-31 14:50:40.917,0.028787,0.051379
,,,2022-10-31 14:50:41.251,0.032803,0.053387
,,,2022-10-31 14:50:41.783,0.03682,0.058743
,,,2022-10-31 14:50:42.271,0.036151,0.051379
,,,2022-10-31 14:50:42.750,0.032134,0.056734
,,,2022-10-31 14:50:43.237,0.034142,0.050709
,,,2022-10-31 14:50:43.751,0.034142,0.052718
,,,2022-10-31 14:50:44.232,0.032134,0.053387
,,,2022-10-31 14:50:44.773,0.03749,0.058073
,,,2022-10-31 14:50:45.234,0.031464,0.054056
,,,2022-10-31 14:50:45.733,0.036151,0.053387
,,,2022-10-31 14:50:46.237,0.034142,0.04937
,,,2022-10-31 14:50:46.752,0.034142,0.056065
,,,2022-10-31 14:50:47.243,0.034812,0.053387
,,,2022-10-31 14:50:47.735,0.033473,0.050709
,,,2022-10-31 14:50:48.235,0.033473,0.055395
,,,2022-10-31 14:50:48.752,0.03682,0.056065
,,,2022-10-31 14:50:49.253,0.031464,0.050709
,,,2022-10-31 14:50:49.733,0.02477,0.056065
,,,2022-10-31 14:50:50.233,0.034142,0.054056
,,,2022-10-31 14:50:50.741,0.032803,0.053387
,,,2022-10-31 14:50:51.235,0.032134,0.052718
,,,2022-10-31 14:50:51.731,0.034142,0.054726
,,,2022-10-31 14:50:52.232,0.028117,0.052718
,,,2022-10-31 14:50:52.731,0.032803,0.053387
,,,2022-10-31 14:50:53.251,0.036151,0.054726
,,,2022-10-31 14:50:53.736,0.03749,0.055395
,,,2022-10-31 14:50:54.234,0.030126,0.054726
,,,2022-10-31 14:50:54.732,0.035481,0.051379
,,,2022-10-31 14:50:55.232,0.040167,0.053387
,,,2022-10-31 14:50:55.754,0.035481,0.052718
,,,2022-10-31 14:50:56.298,0.031464,0.052718
,,,2022-10-31 14:50:56.732,0.034812,0.056065
,,,2022-10-31 14:50:57.231,0.03682,0.053387
,,,2022-10-31 14:50:57.733,0.034142,0.057404
,,,2022-10-31 14:50:58.231,0.03749,0.053387
,,,2022-10-31 14:50:58.731,0.03749,0.054056
,,,2022-10-31 14:50:59.231,0.038828,0.057404
,,,2022-10-31 14:50:59.731,0.035481,0.056734
,,,2022-10-31 14:51:00.232,0.038159,0.058073
,,,2022-10-31 14:51:00.732,0.03682,0.058743
,,,2022-10-31 14:51:01.230,0.028117,0.045354
,,,2022-10-31 14:51:01.730,0.033473,0.050709
,,,2022-10-31 14:51:02.231,0.038828,0.054056
,,,2022-10-31 14:51:02.731,0.03682,0.056065
,,,2022-10-31 14:51:03.232,0.033473,0.057404
,,,2022-10-31 14:51:03.730,0.034142,0.046692
,,,2022-10-31 14:51:04.231,0.036151,0.051379
,,,2022-10-31 14:51:04.731,0.03682,0.054726
,,,2022-10-31 14:51:05.231,0.031464,0.052718
,,,2022-10-31 14:51:05.732,0.032803,0.057404
,,,2022-10-31 14:51:06.232,0.038159,0.054726
,,,2022-10-31 14:51:06.731,0.040837,0.053387
,,,2022-10-31 14:51:07.232,0.034142,0.055395
,,,2022-10-31 14:51:07.732,0.032803,0.056065
,,,2022-10-31 14:51:08.231,0.030126,0.053387
,,,2022-10-31 14:51:08.731,0.033473,0.053387
,,,2022-10-31 14:51:09.231,0.035481,0.051379
,,,2022-10-31 14:51:09.733,0.031464,0.05004
,,,2022-10-31 14:51:10.232,0.034812,0.052718
