Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 15:06:32.176,0.030795,0.045354
Serial Number:,MY60101365,,2022-10-31 15:06:32.677,0.030126,0.050709
Firmware Version:,07.31.2020012900,,2022-10-31 15:06:33.178,0.030795,0.048031
Start Time:,2022-10-31 15:06:32.176,,2022-10-31 15:06:33.677,0.025439,0.048701
Stop Time:,2022-10-31 15:16:32.175,,2022-10-31 15:06:34.177,0.03749,0.04937
Sample Period:,0.5,,2022-10-31 15:06:34.677,0.029456,0.052718
,,,2022-10-31 15:06:35.178,0.030795,0.048031
,,,2022-10-31 15:06:35.676,0.033473,0.047362
,,,2022-10-31 15:06:36.177,0.032134,0.046023
,,,2022-10-31 15:06:36.678,0.032803,0.046692
,,,2022-10-31 15:06:37.176,0.030126,0.04937
,,,2022-10-31 15:06:37.676,0.033473,0.046692
,,,2022-10-31 15:06:38.176,0.026109,0.047362
,,,2022-10-31 15:06:38.677,0.030795,0.047362
,,,2022-10-31 15:06:39.177,0.033473,0.048701
,,,2022-10-31 15:06:39.677,0.031464,0.04937
,,,2022-10-31 15:06:40.176,0.031464,0.04937
,,,2022-10-31 15:06:40.676,0.033473,0.050709
,,,2022-10-31 15:06:41.176,0.032134,0.046692
,,,2022-10-31 15:06:41.677,0.026778,0.045354
,,,2022-10-31 15:06:42.176,0.030126,0.045354
,,,2022-10-31 15:06:42.677,0.027448,0.048031
,,,2022-10-31 15:06:43.176,0.030126,0.047362
,,,2022-10-31 15:06:43.676,0.034812,0.047362
,,,2022-10-31 15:06:44.176,0.034142,0.050709
,,,2022-10-31 15:06:44.677,0.034812,0.05004
,,,2022-10-31 15:06:45.176,0.036151,0.045354
,,,2022-10-31 15:06:45.676,0.03749,0.05004
,,,2022-10-31 15:06:46.176,0.032134,0.04937
,,,2022-10-31 15:06:46.676,0.029456,0.045354
,,,2022-10-31 15:06:47.177,0.032134,0.04937
,,,2022-10-31 15:06:47.675,0.03682,0.048701
,,,2022-10-31 15:06:48.175,0.03749,0.053387
,,,2022-10-31 15:06:48.675,0.030126,0.05004
,,,2022-10-31 15:06:49.175,0.035481,0.047362
,,,2022-10-31 15:06:49.676,0.033473,0.05004
,,,2022-10-31 15:06:50.176,0.034812,0.05004
,,,2022-10-31 15:06:50.677,0.033473,0.05004
,,,2022-10-31 15:06:51.177,0.033473,0.050709
,,,2022-10-31 15:06:51.677,0.033473,0.046023
,,,2022-10-31 15:06:52.177,0.033473,0.04937
,,,2022-10-31 15:06:52.676,0.033473,0.047362
,,,2022-10-31 15:06:53.176,0.031464,0.047362
,,,2022-10-31 15:06:53.677,0.035481,0.05004
,,,2022-10-31 15:06:54.176,0.030795,0.053387
,,,2022-10-31 15:06:54.677,0.029456,0.054056
,,,2022-10-31 15:06:55.177,0.032134,0.052718
,,,2022-10-31 15:06:55.677,0.032134,0.05004
,,,2022-10-31 15:06:56.177,0.029456,0.048701
,,,2022-10-31 15:06:56.676,0.033473,0.053387
,,,2022-10-31 15:06:57.177,0.028787,0.050709
,,,2022-10-31 15:06:57.677,0.03682,0.048701
,,,2022-10-31 15:06:58.175,0.033473,0.04937
,,,2022-10-31 15:06:58.676,0.036151,0.050709
,,,2022-10-31 15:06:59.177,0.029456,0.050709
,,,2022-10-31 15:06:59.679,0.031464,0.04937
,,,2022-10-31 15:07:00.178,0.032803,0.04937
,,,2022-10-31 15:07:00.677,0.033473,0.050709
,,,2022-10-31 15:07:01.177,0.031464,0.04937
,,,2022-10-31 15:07:01.677,0.032134,0.046692
,,,2022-10-31 15:07:02.177,0.03682,0.048701
,,,2022-10-31 15:07:02.677,0.034142,0.04937
,,,2022-10-31 15:07:03.178,0.031464,0.05004
,,,2022-10-31 15:07:03.678,0.036151,0.05004
,,,2022-10-31 15:07:04.176,0.034142,0.054726
,,,2022-10-31 15:07:04.677,0.032134,0.054056
,,,2022-10-31 15:07:05.177,0.028117,0.046023
,,,2022-10-31 15:07:05.675,0.030795,0.048031
,,,2022-10-31 15:07:06.176,0.030795,0.048701
,,,2022-10-31 15:07:06.676,0.035481,0.046692
,,,2022-10-31 15:07:07.177,0.034142,0.048031
,,,2022-10-31 15:07:07.677,0.030795,0.055395
,,,2022-10-31 15:07:08.176,0.035481,0.052048
,,,2022-10-31 15:07:08.676,0.032803,0.053387
,,,2022-10-31 15:07:09.176,0.033473,0.048031
,,,2022-10-31 15:07:09.677,0.030795,0.048031
,,,2022-10-31 15:07:10.176,0.030795,0.051379
,,,2022-10-31 15:07:10.677,0.034812,0.05004
,,,2022-10-31 15:07:11.177,0.033473,0.05004
,,,2022-10-31 15:07:11.677,0.033473,0.051379
,,,2022-10-31 15:07:12.177,0.038159,0.050709
,,,2022-10-31 15:07:12.676,0.03682,0.052048
,,,2022-10-31 15:07:13.176,0.032803,0.05004
,,,2022-10-31 15:07:13.676,0.032134,0.048031
,,,2022-10-31 15:07:14.177,0.031464,0.04937
,,,2022-10-31 15:07:14.677,0.032803,0.050709
,,,2022-10-31 15:07:15.178,0.032803,0.050709
,,,2022-10-31 15:07:15.677,0.029456,0.044684
,,,2022-10-31 15:07:16.176,0.028787,0.048031
,,,2022-10-31 15:07:16.677,0.032803,0.048701
,,,2022-10-31 15:07:17.176,0.034142,0.05004
,,,2022-10-31 15:07:17.675,0.032803,0.048031
,,,2022-10-31 15:07:18.175,0.030126,0.051379
,,,2022-10-31 15:07:18.675,0.033473,0.044015
,,,2022-10-31 15:07:19.176,0.034812,0.051379
,,,2022-10-31 15:07:19.676,0.033473,0.050709
,,,2022-10-31 15:07:20.176,0.038159,0.047362
,,,2022-10-31 15:07:20.676,0.030795,0.051379
,,,2022-10-31 15:07:21.176,0.032803,0.05004
,,,2022-10-31 15:07:21.677,0.030126,0.051379
,,,2022-10-31 15:07:22.177,0.031464,0.051379
,,,2022-10-31 15:07:22.675,0.030126,0.047362
,,,2022-10-31 15:07:23.175,0.031464,0.046692
,,,2022-10-31 15:07:23.675,0.030126,0.050709
,,,2022-10-31 15:07:24.175,0.030795,0.048701
,,,2022-10-31 15:07:24.676,0.029456,0.04937
,,,2022-10-31 15:07:25.176,0.032134,0.045354
,,,2022-10-31 15:07:25.676,0.030126,0.043345
,,,2022-10-31 15:07:26.177,0.028117,0.048031
,,,2022-10-31 15:07:26.677,0.033473,0.053387
,,,2022-10-31 15:07:27.177,0.029456,0.050709
,,,2022-10-31 15:07:27.677,0.032803,0.050709
,,,2022-10-31 15:07:28.175,0.032134,0.044015
,,,2022-10-31 15:07:28.676,0.030795,0.048701
,,,2022-10-31 15:07:29.177,0.028117,0.05004
,,,2022-10-31 15:07:29.676,0.032134,0.048701
,,,2022-10-31 15:07:30.177,0.032134,0.048031
,,,2022-10-31 15:07:30.677,0.031464,0.048031
,,,2022-10-31 15:07:31.177,0.035481,0.048701
,,,2022-10-31 15:07:31.675,0.030795,0.054726
,,,2022-10-31 15:07:32.175,0.030795,0.04937
,,,2022-10-31 15:07:32.675,0.030795,0.052048
,,,2022-10-31 15:07:33.176,0.032134,0.045354
,,,2022-10-31 15:07:33.676,0.030126,0.052718
,,,2022-10-31 15:07:34.176,0.031464,0.052718
,,,2022-10-31 15:07:34.676,0.028117,0.052718
,,,2022-10-31 15:07:35.177,0.032803,0.050709
,,,2022-10-31 15:07:35.677,0.028117,0.048701
,,,2022-10-31 15:07:36.177,0.034812,0.048031
,,,2022-10-31 15:07:36.677,0.029456,0.044015
,,,2022-10-31 15:07:37.177,0.030126,0.052718
,,,2022-10-31 15:07:37.679,0.030795,0.050709
,,,2022-10-31 15:07:38.177,0.034142,0.046692
,,,2022-10-31 15:07:38.676,0.032134,0.047362
,,,2022-10-31 15:07:39.176,0.032803,0.052048
,,,2022-10-31 15:07:39.677,0.033473,0.04937
,,,2022-10-31 15:07:40.176,0.038159,0.04937
,,,2022-10-31 15:07:40.676,0.033473,0.047362
,,,2022-10-31 15:07:41.176,0.030126,0.05004
,,,2022-10-31 15:07:41.676,0.036151,0.052718
,,,2022-10-31 15:07:42.177,0.031464,0.04937
,,,2022-10-31 15:07:42.676,0.032134,0.04937
,,,2022-10-31 15:07:43.176,0.031464,0.051379
,,,2022-10-31 15:07:43.677,0.026778,0.046692
,,,2022-10-31 15:07:44.176,0.030795,0.052048
,,,2022-10-31 15:07:44.675,0.034142,0.052718
,,,2022-10-31 15:07:45.175,0.028787,0.047362
,,,2022-10-31 15:07:45.676,0.038828,0.04937
,,,2022-10-31 15:07:46.176,0.038159,0.048701
,,,2022-10-31 15:07:46.676,0.036151,0.04937
,,,2022-10-31 15:07:47.178,0.034812,0.046023
,,,2022-10-31 15:07:47.678,0.032803,0.050709
,,,2022-10-31 15:07:48.178,0.032803,0.050709
,,,2022-10-31 15:07:48.677,0.035481,0.046692
,,,2022-10-31 15:07:49.177,0.030795,0.051379
,,,2022-10-31 15:07:49.677,0.030795,0.04937
,,,2022-10-31 15:07:50.178,0.034812,0.050709
,,,2022-10-31 15:07:50.677,0.031464,0.055395
,,,2022-10-31 15:07:51.176,0.032134,0.04937
,,,2022-10-31 15:07:51.677,0.032134,0.048701
,,,2022-10-31 15:07:52.177,0.029456,0.048031
,,,2022-10-31 15:07:52.677,0.034812,0.051379
,,,2022-10-31 15:07:53.178,0.028117,0.044684
,,,2022-10-31 15:07:53.677,0.029456,0.044015
,,,2022-10-31 15:07:54.177,0.028787,0.052718
,,,2022-10-31 15:07:54.677,0.032134,0.051379
,,,2022-10-31 15:07:55.177,0.034812,0.050709
,,,2022-10-31 15:07:55.676,0.036151,0.046692
,,,2022-10-31 15:07:56.177,0.030126,0.047362
,,,2022-10-31 15:07:56.676,0.035481,0.048031
,,,2022-10-31 15:07:57.176,0.034812,0.047362
,,,2022-10-31 15:07:57.675,0.030126,0.053387
,,,2022-10-31 15:07:58.176,0.030795,0.051379
,,,2022-10-31 15:07:58.676,0.028117,0.046692
,,,2022-10-31 15:07:59.176,0.030795,0.046023
