Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 15:19:37.890,0.040167,0.054726
Serial Number:,MY60101365,,2022-10-31 15:19:38.391,0.034812,0.048031
Firmware Version:,07.31.2020012900,,2022-10-31 15:19:38.890,0.038828,0.04937
Start Time:,2022-10-31 15:19:37.890,,2022-10-31 15:19:39.390,0.03682,0.046692
Stop Time:,2022-10-31 15:29:37.889,,2022-10-31 15:19:39.889,0.034142,0.051379
Sample Period:,0.5,,2022-10-31 15:19:40.390,0.034142,0.048031
,,,2022-10-31 15:19:40.889,0.029456,0.05004
,,,2022-10-31 15:19:41.390,0.034142,0.050709
,,,2022-10-31 15:19:41.889,0.03682,0.048701
,,,2022-10-31 15:19:42.390,0.03682,0.052718
,,,2022-10-31 15:19:42.889,0.032803,0.047362
,,,2022-10-31 15:19:43.390,0.034142,0.05004
,,,2022-10-31 15:19:43.889,0.034812,0.048031
,,,2022-10-31 15:19:44.390,0.035481,0.048701
,,,2022-10-31 15:19:44.889,0.035481,0.051379
,,,2022-10-31 15:19:45.389,0.030126,0.052048
,,,2022-10-31 15:19:45.889,0.034812,0.04937
,,,2022-10-31 15:19:46.390,0.03749,0.04937
,,,2022-10-31 15:19:46.890,0.035481,0.052048
,,,2022-10-31 15:19:47.389,0.035481,0.046023
,,,2022-10-31 15:19:47.889,0.034812,0.053387
,,,2022-10-31 15:19:48.390,0.036151,0.04937
,,,2022-10-31 15:19:48.888,0.032803,0.051379
,,,2022-10-31 15:19:49.390,0.03749,0.048031
,,,2022-10-31 15:19:49.893,0.032134,0.054726
,,,2022-10-31 15:19:50.390,0.034142,0.047362
,,,2022-10-31 15:19:50.892,0.038159,0.048031
,,,2022-10-31 15:19:51.390,0.040837,0.052048
,,,2022-10-31 15:19:51.890,0.035481,0.050709
,,,2022-10-31 15:19:52.389,0.034812,0.052718
,,,2022-10-31 15:19:52.891,0.030795,0.05004
,,,2022-10-31 15:19:53.390,0.034812,0.048031
,,,2022-10-31 15:19:53.889,0.038828,0.052048
,,,2022-10-31 15:19:54.389,0.033473,0.051379
,,,2022-10-31 15:19:54.889,0.029456,0.054726
,,,2022-10-31 15:19:55.390,0.036151,0.05004
,,,2022-10-31 15:19:55.890,0.031464,0.048701
,,,2022-10-31 15:19:56.389,0.034812,0.052048
,,,2022-10-31 15:19:56.890,0.039498,0.047362
,,,2022-10-31 15:19:57.389,0.028787,0.047362
,,,2022-10-31 15:19:57.891,0.033473,0.047362
,,,2022-10-31 15:19:58.389,0.030795,0.051379
,,,2022-10-31 15:19:58.889,0.035481,0.053387
,,,2022-10-31 15:19:59.388,0.032134,0.04937
,,,2022-10-31 15:19:59.889,0.034812,0.051379
,,,2022-10-31 15:20:00.390,0.034812,0.047362
,,,2022-10-31 15:20:00.891,0.032134,0.052048
,,,2022-10-31 15:20:01.388,0.034812,0.054056
,,,2022-10-31 15:20:01.889,0.035481,0.052048
,,,2022-10-31 15:20:02.389,0.035481,0.048701
,,,2022-10-31 15:20:02.890,0.035481,0.053387
,,,2022-10-31 15:20:03.390,0.036151,0.046023
,,,2022-10-31 15:20:03.890,0.032134,0.054726
,,,2022-10-31 15:20:04.389,0.032803,0.046692
,,,2022-10-31 15:20:04.888,0.032803,0.048031
,,,2022-10-31 15:20:05.389,0.033473,0.052048
,,,2022-10-31 15:20:05.890,0.035481,0.048031
,,,2022-10-31 15:20:06.389,0.03749,0.050709
,,,2022-10-31 15:20:06.888,0.033473,0.048701
,,,2022-10-31 15:20:07.389,0.030126,0.04937
,,,2022-10-31 15:20:07.889,0.040167,0.05004
,,,2022-10-31 15:20:08.388,0.034812,0.048031
,,,2022-10-31 15:20:08.888,0.030126,0.056065
,,,2022-10-31 15:20:09.388,0.03749,0.04937
,,,2022-10-31 15:20:09.888,0.033473,0.052718
,,,2022-10-31 15:20:10.388,0.038828,0.047362
,,,2022-10-31 15:20:10.889,0.036151,0.047362
,,,2022-10-31 15:20:11.389,0.033473,0.050709
,,,2022-10-31 15:20:11.889,0.034142,0.05004
,,,2022-10-31 15:20:12.390,0.035481,0.05004
,,,2022-10-31 15:20:12.888,0.040837,0.053387
,,,2022-10-31 15:20:13.389,0.035481,0.05004
,,,2022-10-31 15:20:13.890,0.034812,0.053387
,,,2022-10-31 15:20:14.388,0.036151,0.053387
,,,2022-10-31 15:20:14.889,0.030126,0.052048
,,,2022-10-31 15:20:15.390,0.035481,0.05004
,,,2022-10-31 15:20:15.889,0.034812,0.050709
,,,2022-10-31 15:20:16.389,0.038159,0.052048
,,,2022-10-31 15:20:16.888,0.03682,0.05004
,,,2022-10-31 15:20:17.389,0.03682,0.051379
,,,2022-10-31 15:20:17.889,0.034142,0.050709
,,,2022-10-31 15:20:18.389,0.032803,0.054056
,,,2022-10-31 15:20:18.889,0.034812,0.053387
,,,2022-10-31 15:20:19.389,0.03682,0.04937
,,,2022-10-31 15:20:19.889,0.034812,0.052718
,,,2022-10-31 15:20:20.388,0.032134,0.05004
,,,2022-10-31 15:20:20.889,0.03682,0.052048
,,,2022-10-31 15:20:21.389,0.035481,0.05004
,,,2022-10-31 15:20:21.889,0.036151,0.050709
