Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 15:44:46.175,0.041506,0.055395
Serial Number:,MY60101365,,2022-10-31 15:44:46.675,0.042176,0.052048
Firmware Version:,07.31.2020012900,,2022-10-31 15:44:47.175,0.046192,0.054726
Start Time:,2022-10-31 15:44:46.175,,2022-10-31 15:44:47.675,0.040837,0.052718
Stop Time:,2022-10-31 15:54:46.175,,2022-10-31 15:44:48.175,0.044854,0.057404
Sample Period:,0.5,,2022-10-31 15:44:48.675,0.042845,0.04937
,,,2022-10-31 15:44:49.175,0.03682,0.051379
,,,2022-10-31 15:44:49.675,0.034142,0.048031
,,,2022-10-31 15:44:50.175,0.038159,0.054056
,,,2022-10-31 15:44:50.675,0.036151,0.050709
,,,2022-10-31 15:44:51.176,0.03749,0.047362
,,,2022-10-31 15:44:51.675,0.038159,0.052048
,,,2022-10-31 15:44:52.175,0.036151,0.052048
,,,2022-10-31 15:44:52.676,0.03749,0.05004
,,,2022-10-31 15:44:53.176,0.03749,0.050709
,,,2022-10-31 15:44:53.675,0.040167,0.052048
,,,2022-10-31 15:44:54.175,0.038828,0.054726
,,,2022-10-31 15:44:54.675,0.034142,0.050709
,,,2022-10-31 15:44:55.175,0.038159,0.052048
,,,2022-10-31 15:44:55.676,0.038159,0.050709
,,,2022-10-31 15:44:56.175,0.038828,0.054726
,,,2022-10-31 15:44:56.676,0.040167,0.051379
,,,2022-10-31 15:44:57.175,0.039498,0.051379
,,,2022-10-31 15:44:57.675,0.03749,0.053387
,,,2022-10-31 15:44:58.175,0.034812,0.052048
,,,2022-10-31 15:44:58.675,0.036151,0.054726
,,,2022-10-31 15:44:59.177,0.039498,0.051379
,,,2022-10-31 15:44:59.677,0.036151,0.052048
,,,2022-10-31 15:45:00.177,0.038159,0.05004
,,,2022-10-31 15:45:00.678,0.03682,0.052048
,,,2022-10-31 15:45:01.174,0.042845,0.05004
,,,2022-10-31 15:45:01.675,0.034142,0.054056
,,,2022-10-31 15:45:02.175,0.039498,0.052718
,,,2022-10-31 15:45:02.676,0.035481,0.05004
,,,2022-10-31 15:45:03.176,0.040167,0.051379
,,,2022-10-31 15:45:03.675,0.044184,0.051379
,,,2022-10-31 15:45:04.176,0.036151,0.052048
,,,2022-10-31 15:45:04.676,0.035481,0.05004
,,,2022-10-31 15:45:05.176,0.035481,0.050709
,,,2022-10-31 15:45:05.675,0.038828,0.055395
,,,2022-10-31 15:45:06.176,0.034812,0.054726
,,,2022-10-31 15:45:06.676,0.040167,0.056065
,,,2022-10-31 15:45:07.177,0.039498,0.054726
,,,2022-10-31 15:45:07.676,0.034812,0.053387
,,,2022-10-31 15:45:08.175,0.03749,0.053387
,,,2022-10-31 15:45:08.676,0.034142,0.054726
,,,2022-10-31 15:45:09.176,0.034142,0.04937
,,,2022-10-31 15:45:09.675,0.033473,0.052718
,,,2022-10-31 15:45:10.176,0.040167,0.054056
,,,2022-10-31 15:45:10.676,0.036151,0.054726
,,,2022-10-31 15:45:11.175,0.03682,0.048701
,,,2022-10-31 15:45:11.675,0.03749,0.052718
,,,2022-10-31 15:45:12.176,0.039498,0.053387
,,,2022-10-31 15:45:12.676,0.035481,0.051379
,,,2022-10-31 15:45:13.175,0.041506,0.050709
,,,2022-10-31 15:45:13.675,0.03682,0.050709
,,,2022-10-31 15:45:14.176,0.036151,0.053387
,,,2022-10-31 15:45:14.675,0.032134,0.055395
,,,2022-10-31 15:45:15.176,0.03749,0.052048
,,,2022-10-31 15:45:15.675,0.040167,0.053387
,,,2022-10-31 15:45:16.175,0.041506,0.054726
,,,2022-10-31 15:45:16.675,0.03682,0.051379
,,,2022-10-31 15:45:17.176,0.039498,0.055395
,,,2022-10-31 15:45:17.675,0.038828,0.051379
,,,2022-10-31 15:45:18.176,0.035481,0.052718
,,,2022-10-31 15:45:18.676,0.034812,0.060082
,,,2022-10-31 15:45:19.177,0.042845,0.05004
,,,2022-10-31 15:45:19.674,0.042845,0.054726
,,,2022-10-31 15:45:20.174,0.03682,0.052048
,,,2022-10-31 15:45:20.673,0.040167,0.054056
,,,2022-10-31 15:45:21.174,0.03682,0.054726
,,,2022-10-31 15:45:21.674,0.045523,0.054056
,,,2022-10-31 15:45:22.174,0.038828,0.055395
,,,2022-10-31 15:45:22.674,0.038828,0.053387
,,,2022-10-31 15:45:23.174,0.038159,0.052718
,,,2022-10-31 15:45:23.674,0.040167,0.056734
,,,2022-10-31 15:45:24.174,0.040837,0.055395
,,,2022-10-31 15:45:24.674,0.036151,0.052718
,,,2022-10-31 15:45:25.173,0.040837,0.055395
,,,2022-10-31 15:45:25.673,0.040167,0.057404
,,,2022-10-31 15:45:26.173,0.032134,0.055395
,,,2022-10-31 15:45:26.673,0.03682,0.052718
,,,2022-10-31 15:45:27.174,0.039498,0.050709
,,,2022-10-31 15:45:27.674,0.039498,0.050709
,,,2022-10-31 15:45:28.174,0.038159,0.051379
,,,2022-10-31 15:45:28.675,0.033473,0.056065
,,,2022-10-31 15:45:29.176,0.036151,0.054726
,,,2022-10-31 15:45:29.676,0.033473,0.053387
,,,2022-10-31 15:45:30.175,0.03749,0.056065
,,,2022-10-31 15:45:30.675,0.033473,0.052718
,,,2022-10-31 15:45:31.176,0.038828,0.051379
,,,2022-10-31 15:45:31.675,0.040167,0.05004
,,,2022-10-31 15:45:32.175,0.035481,0.055395
,,,2022-10-31 15:45:32.675,0.043515,0.054056
,,,2022-10-31 15:45:33.175,0.038159,0.052718
,,,2022-10-31 15:45:33.675,0.03682,0.050709
,,,2022-10-31 15:45:34.174,0.03682,0.054726
,,,2022-10-31 15:45:34.675,0.041506,0.058073
,,,2022-10-31 15:45:35.176,0.03682,0.056734
,,,2022-10-31 15:45:35.675,0.032134,0.05004
,,,2022-10-31 15:45:36.176,0.038159,0.057404
,,,2022-10-31 15:45:36.676,0.042176,0.053387
,,,2022-10-31 15:45:37.174,0.03682,0.056065
,,,2022-10-31 15:45:37.675,0.042176,0.052048
,,,2022-10-31 15:45:38.175,0.040167,0.054726
,,,2022-10-31 15:45:38.676,0.028787,0.046692
,,,2022-10-31 15:45:39.175,0.03749,0.052718
,,,2022-10-31 15:45:39.675,0.03682,0.048031
,,,2022-10-31 15:45:40.175,0.039498,0.054726
,,,2022-10-31 15:45:40.675,0.035481,0.050709
,,,2022-10-31 15:45:41.175,0.041506,0.052718
,,,2022-10-31 15:45:41.675,0.03682,0.051379
,,,2022-10-31 15:45:42.175,0.040837,0.056734
,,,2022-10-31 15:45:42.675,0.038828,0.051379
,,,2022-10-31 15:45:43.176,0.03682,0.054056
,,,2022-10-31 15:45:43.676,0.035481,0.050709
,,,2022-10-31 15:45:44.175,0.036151,0.055395
,,,2022-10-31 15:45:44.675,0.042176,0.053387
,,,2022-10-31 15:45:45.176,0.03749,0.052718
,,,2022-10-31 15:45:45.675,0.035481,0.046692
,,,2022-10-31 15:45:46.175,0.038159,0.055395
,,,2022-10-31 15:45:46.676,0.03682,0.052048
,,,2022-10-31 15:45:47.175,0.039498,0.053387
,,,2022-10-31 15:45:47.676,0.03682,0.048031
,,,2022-10-31 15:45:48.175,0.03749,0.052718
,,,2022-10-31 15:45:48.675,0.038828,0.053387
,,,2022-10-31 15:45:49.176,0.039498,0.05004
,,,2022-10-31 15:45:49.677,0.040837,0.056065
,,,2022-10-31 15:45:50.176,0.034142,0.05004
,,,2022-10-31 15:45:50.676,0.03682,0.048701
,,,2022-10-31 15:45:51.177,0.034142,0.054056
,,,2022-10-31 15:45:51.677,0.040837,0.052048
,,,2022-10-31 15:45:52.177,0.042176,0.052048
,,,2022-10-31 15:45:52.677,0.033473,0.050709
,,,2022-10-31 15:45:53.174,0.03682,0.053387
,,,2022-10-31 15:45:53.676,0.039498,0.051379
,,,2022-10-31 15:45:54.177,0.039498,0.047362
,,,2022-10-31 15:45:54.675,0.032134,0.04937
,,,2022-10-31 15:45:55.176,0.03749,0.054056
,,,2022-10-31 15:45:55.675,0.033473,0.056065
,,,2022-10-31 15:45:56.178,0.041506,0.051379
,,,2022-10-31 15:45:56.677,0.035481,0.052048
,,,2022-10-31 15:45:57.176,0.036151,0.047362
,,,2022-10-31 15:45:57.675,0.036151,0.054056
,,,2022-10-31 15:45:58.175,0.039498,0.052718
,,,2022-10-31 15:45:58.675,0.038159,0.054056
,,,2022-10-31 15:45:59.175,0.040167,0.054726
,,,2022-10-31 15:45:59.676,0.034812,0.048701
