Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 15:56:40.654,0.040167,0.054056
Serial Number:,MY60101365,,2022-10-31 15:56:41.154,0.034812,0.052048
Firmware Version:,07.31.2020012900,,2022-10-31 15:56:41.654,0.039498,0.056065
Start Time:,2022-10-31 15:56:40.654,,2022-10-31 15:56:42.154,0.03682,0.053387
Stop Time:,2022-10-31 16:06:40.653,,2022-10-31 15:56:42.654,0.039498,0.054726
Sample Period:,0.5,,2022-10-31 15:56:43.154,0.032134,0.055395
,,,2022-10-31 15:56:43.655,0.041506,0.050709
,,,2022-10-31 15:56:44.155,0.03682,0.056734
,,,2022-10-31 15:56:44.654,0.043515,0.052718
,,,2022-10-31 15:56:45.154,0.040837,0.052048
,,,2022-10-31 15:56:45.654,0.034142,0.053387
,,,2022-10-31 15:56:46.155,0.043515,0.053387
,,,2022-10-31 15:56:46.654,0.042176,0.055395
,,,2022-10-31 15:56:47.154,0.034812,0.048031
,,,2022-10-31 15:56:47.654,0.043515,0.055395
,,,2022-10-31 15:56:48.154,0.039498,0.055395
,,,2022-10-31 15:56:48.655,0.035481,0.053387
,,,2022-10-31 15:56:49.155,0.042845,0.056065
,,,2022-10-31 15:56:49.654,0.040837,0.054726
,,,2022-10-31 15:56:50.155,0.043515,0.052048
,,,2022-10-31 15:56:50.654,0.038159,0.054056
,,,2022-10-31 15:56:51.154,0.03749,0.052718
,,,2022-10-31 15:56:51.655,0.038828,0.053387
,,,2022-10-31 15:56:52.154,0.040167,0.047362
,,,2022-10-31 15:56:52.655,0.041506,0.052048
,,,2022-10-31 15:56:53.154,0.039498,0.055395
,,,2022-10-31 15:56:53.654,0.036151,0.05004
,,,2022-10-31 15:56:54.154,0.03682,0.052048
,,,2022-10-31 15:56:54.655,0.038159,0.050709
,,,2022-10-31 15:56:55.156,0.039498,0.052718
,,,2022-10-31 15:56:55.655,0.042176,0.055395
,,,2022-10-31 15:56:56.155,0.039498,0.057404
,,,2022-10-31 15:56:56.654,0.043515,0.052718
,,,2022-10-31 15:56:57.155,0.043515,0.050709
,,,2022-10-31 15:56:57.654,0.035481,0.054726
,,,2022-10-31 15:56:58.155,0.040167,0.057404
,,,2022-10-31 15:56:58.654,0.040167,0.054056
,,,2022-10-31 15:56:59.155,0.034142,0.05004
,,,2022-10-31 15:56:59.654,0.041506,0.054056
,,,2022-10-31 15:57:00.154,0.043515,0.054726
,,,2022-10-31 15:57:00.654,0.039498,0.052718
,,,2022-10-31 15:57:01.155,0.03749,0.052718
,,,2022-10-31 15:57:01.655,0.042845,0.054726
,,,2022-10-31 15:57:02.155,0.040167,0.053387
,,,2022-10-31 15:57:02.655,0.044184,0.052718
,,,2022-10-31 15:57:03.156,0.038828,0.050709
,,,2022-10-31 15:57:03.655,0.040167,0.055395
,,,2022-10-31 15:57:04.156,0.038828,0.054726
,,,2022-10-31 15:57:04.655,0.040167,0.048701
,,,2022-10-31 15:57:05.155,0.03749,0.052718
,,,2022-10-31 15:57:05.656,0.041506,0.051379
,,,2022-10-31 15:57:06.156,0.042176,0.048701
,,,2022-10-31 15:57:06.654,0.040167,0.051379
,,,2022-10-31 15:57:07.155,0.036151,0.054056
,,,2022-10-31 15:57:07.655,0.039498,0.052718
,,,2022-10-31 15:57:08.154,0.038159,0.053387
,,,2022-10-31 15:57:08.655,0.040837,0.04937
,,,2022-10-31 15:57:09.155,0.038159,0.052048
,,,2022-10-31 15:57:09.655,0.039498,0.053387
,,,2022-10-31 15:57:10.154,0.042845,0.052048
,,,2022-10-31 15:57:10.655,0.03682,0.051379
,,,2022-10-31 15:57:11.156,0.038828,0.052718
,,,2022-10-31 15:57:11.654,0.034142,0.052718
,,,2022-10-31 15:57:12.155,0.042176,0.048701
,,,2022-10-31 15:57:12.655,0.039498,0.056065
,,,2022-10-31 15:57:13.155,0.038828,0.053387
,,,2022-10-31 15:57:13.655,0.040837,0.054726
,,,2022-10-31 15:57:14.154,0.038159,0.05004
,,,2022-10-31 15:57:14.655,0.041506,0.05004
,,,2022-10-31 15:57:15.154,0.042845,0.054726
,,,2022-10-31 15:57:15.655,0.040167,0.052048
,,,2022-10-31 15:57:16.156,0.039498,0.050709
,,,2022-10-31 15:57:16.654,0.039498,0.050709
,,,2022-10-31 15:57:17.155,0.038828,0.054056
,,,2022-10-31 15:57:17.654,0.042176,0.052718
,,,2022-10-31 15:57:18.155,0.042845,0.051379
,,,2022-10-31 15:57:18.653,0.038828,0.052048
,,,2022-10-31 15:57:19.153,0.040837,0.04937
,,,2022-10-31 15:57:19.653,0.041506,0.048701
,,,2022-10-31 15:57:20.152,0.040167,0.057404
,,,2022-10-31 15:57:20.654,0.034812,0.048701
,,,2022-10-31 15:57:21.154,0.042176,0.054726
,,,2022-10-31 15:57:21.653,0.03682,0.056065
,,,2022-10-31 15:57:22.154,0.041506,0.052718
,,,2022-10-31 15:57:22.653,0.035481,0.054726
,,,2022-10-31 15:57:23.154,0.03749,0.056065
,,,2022-10-31 15:57:23.654,0.039498,0.048031
,,,2022-10-31 15:57:24.154,0.040167,0.048031
,,,2022-10-31 15:57:24.653,0.03749,0.054726
,,,2022-10-31 15:57:25.153,0.035481,0.055395
,,,2022-10-31 15:57:25.654,0.034142,0.051379
,,,2022-10-31 15:57:26.154,0.040167,0.056734
,,,2022-10-31 15:57:26.654,0.038159,0.055395
,,,2022-10-31 15:57:27.154,0.040167,0.053387
,,,2022-10-31 15:57:27.655,0.040167,0.058073
,,,2022-10-31 15:57:28.155,0.042176,0.052718
,,,2022-10-31 15:57:28.655,0.035481,0.04937
,,,2022-10-31 15:57:29.154,0.038828,0.052718
,,,2022-10-31 15:57:29.654,0.03682,0.054726
,,,2022-10-31 15:57:30.154,0.03682,0.04937
,,,2022-10-31 15:57:30.654,0.042845,0.056065
,,,2022-10-31 15:57:31.153,0.042845,0.04937
,,,2022-10-31 15:57:31.654,0.046192,0.050709
,,,2022-10-31 15:57:32.155,0.038159,0.056734
,,,2022-10-31 15:57:32.655,0.040837,0.056065
,,,2022-10-31 15:57:33.155,0.03749,0.054056
,,,2022-10-31 15:57:33.654,0.038828,0.056065
,,,2022-10-31 15:57:34.155,0.044184,0.050709
,,,2022-10-31 15:57:34.655,0.039498,0.054726
,,,2022-10-31 15:57:35.154,0.042176,0.050709
,,,2022-10-31 15:57:35.655,0.03749,0.053387
,,,2022-10-31 15:57:36.156,0.038828,0.048701
,,,2022-10-31 15:57:36.655,0.039498,0.054726
,,,2022-10-31 15:57:37.155,0.044184,0.051379
,,,2022-10-31 15:57:37.654,0.040167,0.052718
,,,2022-10-31 15:57:38.155,0.038828,0.053387
,,,2022-10-31 15:57:38.655,0.03749,0.053387
,,,2022-10-31 15:57:39.154,0.041506,0.047362
,,,2022-10-31 15:57:39.655,0.040837,0.054726
,,,2022-10-31 15:57:40.155,0.03749,0.052718
,,,2022-10-31 15:57:40.656,0.039498,0.05004
,,,2022-10-31 15:57:41.154,0.039498,0.051379
,,,2022-10-31 15:57:41.655,0.044854,0.053387
,,,2022-10-31 15:57:42.155,0.045523,0.054726
,,,2022-10-31 15:57:42.655,0.041506,0.055395
,,,2022-10-31 15:57:43.156,0.041506,0.058073
,,,2022-10-31 15:57:43.654,0.038828,0.054726
,,,2022-10-31 15:57:44.154,0.042845,0.054726
,,,2022-10-31 15:57:44.654,0.034812,0.052048
,,,2022-10-31 15:57:45.155,0.039498,0.052718
,,,2022-10-31 15:57:45.655,0.03682,0.054056
,,,2022-10-31 15:57:46.155,0.040837,0.052048
,,,2022-10-31 15:57:46.654,0.043515,0.052048
,,,2022-10-31 15:57:47.154,0.036151,0.052048
,,,2022-10-31 15:57:47.655,0.044184,0.052048
,,,2022-10-31 15:57:48.155,0.033473,0.054056
,,,2022-10-31 15:57:48.655,0.040167,0.054726
,,,2022-10-31 15:57:49.157,0.033473,0.052718
,,,2022-10-31 15:57:49.654,0.035481,0.052048
,,,2022-10-31 15:57:50.155,0.034812,0.055395
,,,2022-10-31 15:57:50.654,0.035481,0.051379
,,,2022-10-31 15:57:51.156,0.042176,0.048701
,,,2022-10-31 15:57:51.655,0.038828,0.05004
,,,2022-10-31 15:57:52.154,0.040837,0.052718
,,,2022-10-31 15:57:52.654,0.039498,0.054056
,,,2022-10-31 15:57:53.154,0.041506,0.050709
,,,2022-10-31 15:57:53.654,0.03749,0.050709
,,,2022-10-31 15:57:54.156,0.03682,0.052718
,,,2022-10-31 15:57:54.655,0.038828,0.048031
,,,2022-10-31 15:57:55.154,0.039498,0.052718
,,,2022-10-31 15:57:55.656,0.040167,0.054726
,,,2022-10-31 15:57:56.155,0.040167,0.053387
,,,2022-10-31 15:57:56.656,0.042845,0.052718
,,,2022-10-31 15:57:57.156,0.032803,0.048701
,,,2022-10-31 15:57:57.654,0.036151,0.051379
,,,2022-10-31 15:57:58.155,0.032803,0.058073
,,,2022-10-31 15:57:58.655,0.040837,0.053387
,,,2022-10-31 15:57:59.156,0.03749,0.052048
,,,2022-10-31 15:57:59.654,0.038159,0.052048
,,,2022-10-31 15:58:00.155,0.036151,0.052048
,,,2022-10-31 15:58:00.654,0.039498,0.054056
,,,2022-10-31 15:58:01.154,0.036151,0.051379
,,,2022-10-31 15:58:01.655,0.040167,0.059412
,,,2022-10-31 15:58:02.155,0.03682,0.047362
,,,2022-10-31 15:58:02.655,0.040167,0.052718
,,,2022-10-31 15:58:03.155,0.038159,0.050709
,,,2022-10-31 15:58:03.653,0.036151,0.054726
,,,2022-10-31 15:58:04.154,0.040837,0.054056
,,,2022-10-31 15:58:04.655,0.036151,0.053387
,,,2022-10-31 15:58:05.155,0.03749,0.052718
,,,2022-10-31 15:58:05.655,0.03749,0.052718
,,,2022-10-31 15:58:06.154,0.041506,0.048031
,,,2022-10-31 15:58:06.654,0.03749,0.052048
,,,2022-10-31 15:58:07.154,0.041506,0.053387
,,,2022-10-31 15:58:07.654,0.03682,0.050709
,,,2022-10-31 15:58:08.155,0.035481,0.053387
,,,2022-10-31 15:58:08.655,0.038828,0.053387
,,,2022-10-31 15:58:09.154,0.039498,0.052718
,,,2022-10-31 15:58:09.655,0.044854,0.051379
,,,2022-10-31 15:58:10.155,0.039498,0.04937
,,,2022-10-31 15:58:10.654,0.041506,0.050709
,,,2022-10-31 15:58:11.155,0.034812,0.052718
,,,2022-10-31 15:58:11.656,0.03749,0.054056
,,,2022-10-31 15:58:12.154,0.039498,0.053387
,,,2022-10-31 15:58:12.654,0.032134,0.047362
,,,2022-10-31 15:58:13.153,0.03682,0.052048
,,,2022-10-31 15:58:13.653,0.034812,0.052048
,,,2022-10-31 15:58:14.153,0.03749,0.05004
,,,2022-10-31 15:58:14.653,0.033473,0.048701
,,,2022-10-31 15:58:15.154,0.041506,0.056065
,,,2022-10-31 15:58:15.653,0.040167,0.052048
,,,2022-10-31 15:58:16.153,0.03682,0.051379
,,,2022-10-31 15:58:16.653,0.035481,0.051379
,,,2022-10-31 15:58:17.154,0.041506,0.05004
,,,2022-10-31 15:58:17.655,0.036151,0.056065
,,,2022-10-31 15:58:18.156,0.040837,0.054726
,,,2022-10-31 15:58:18.654,0.044854,0.055395
,,,2022-10-31 15:58:19.154,0.046192,0.054056
,,,2022-10-31 15:58:19.654,0.039498,0.050709
,,,2022-10-31 15:58:20.155,0.041506,0.054726
,,,2022-10-31 15:58:20.656,0.038828,0.051379
,,,2022-10-31 15:58:21.155,0.038828,0.05004
,,,2022-10-31 15:58:21.654,0.040167,0.052048
,,,2022-10-31 15:58:22.154,0.038159,0.054056
,,,2022-10-31 15:58:22.654,0.03749,0.05004
,,,2022-10-31 15:58:23.154,0.040167,0.051379
,,,2022-10-31 15:58:23.654,0.042845,0.05004
,,,2022-10-31 15:58:24.155,0.03682,0.054056
,,,2022-10-31 15:58:24.654,0.035481,0.052718
,,,2022-10-31 15:58:25.153,0.038828,0.052048
,,,2022-10-31 15:58:25.653,0.041506,0.054726
,,,2022-10-31 15:58:26.154,0.048201,0.054726
,,,2022-10-31 15:58:26.654,0.035481,0.04937
,,,2022-10-31 15:58:27.154,0.039498,0.044684
,,,2022-10-31 15:58:27.654,0.038159,0.051379
,,,2022-10-31 15:58:28.155,0.03749,0.050709
,,,2022-10-31 15:58:28.655,0.040167,0.055395
,,,2022-10-31 15:58:29.155,0.036151,0.052048
,,,2022-10-31 15:58:29.656,0.038828,0.054056
,,,2022-10-31 15:58:30.154,0.038828,0.055395
,,,2022-10-31 15:58:30.654,0.040167,0.04937
,,,2022-10-31 15:58:31.154,0.036151,0.050709
,,,2022-10-31 15:58:31.654,0.03749,0.052718
,,,2022-10-31 15:58:32.154,0.035481,0.048701
,,,2022-10-31 15:58:32.655,0.042176,0.054726
,,,2022-10-31 15:58:33.156,0.036151,0.053387
,,,2022-10-31 15:58:33.654,0.034142,0.054726
,,,2022-10-31 15:58:34.153,0.040837,0.05004
,,,2022-10-31 15:58:34.654,0.042176,0.054056
,,,2022-10-31 15:58:35.155,0.038828,0.04937
,,,2022-10-31 15:58:35.655,0.036151,0.050709
,,,2022-10-31 15:58:36.156,0.03682,0.051379
,,,2022-10-31 15:58:36.655,0.038159,0.054056
,,,2022-10-31 15:58:37.154,0.042176,0.051379
,,,2022-10-31 15:58:37.654,0.041506,0.056734
,,,2022-10-31 15:58:38.154,0.046862,0.053387
,,,2022-10-31 15:58:38.654,0.040167,0.052718
,,,2022-10-31 15:58:39.154,0.044184,0.052048
,,,2022-10-31 15:58:39.654,0.038828,0.055395
,,,2022-10-31 15:58:40.155,0.035481,0.047362
,,,2022-10-31 15:58:40.654,0.039498,0.051379
,,,2022-10-31 15:58:41.154,0.03749,0.052718
,,,2022-10-31 15:58:41.655,0.041506,0.052718
,,,2022-10-31 15:58:42.154,0.042845,0.058073
,,,2022-10-31 15:58:42.654,0.039498,0.05004
,,,2022-10-31 15:58:43.154,0.038159,0.055395
,,,2022-10-31 15:58:43.654,0.035481,0.04937
,,,2022-10-31 15:58:44.155,0.040167,0.050709
,,,2022-10-31 15:58:44.655,0.039498,0.054056
,,,2022-10-31 15:58:45.156,0.03682,0.053387
,,,2022-10-31 15:58:45.656,0.034142,0.04937
,,,2022-10-31 15:58:46.155,0.038828,0.056065
,,,2022-10-31 15:58:46.655,0.03682,0.053387
,,,2022-10-31 15:58:47.156,0.044184,0.04937
,,,2022-10-31 15:58:47.654,0.038159,0.052718
,,,2022-10-31 15:58:48.156,0.03749,0.056734
,,,2022-10-31 15:58:48.655,0.043515,0.052048
,,,2022-10-31 15:58:49.155,0.043515,0.04937
,,,2022-10-31 15:58:49.654,0.041506,0.056734
,,,2022-10-31 15:58:50.155,0.03749,0.050709
,,,2022-10-31 15:58:50.655,0.042176,0.053387
,,,2022-10-31 15:58:51.154,0.040167,0.052048
,,,2022-10-31 15:58:51.655,0.038828,0.056065
,,,2022-10-31 15:58:52.155,0.030795,0.053387
,,,2022-10-31 15:58:52.655,0.035481,0.04937
,,,2022-10-31 15:58:53.155,0.039498,0.050709
,,,2022-10-31 15:58:53.654,0.039498,0.056065
,,,2022-10-31 15:58:54.154,0.042176,0.050709
,,,2022-10-31 15:58:54.654,0.038828,0.052048
,,,2022-10-31 15:58:55.155,0.030795,0.05004
,,,2022-10-31 15:58:55.655,0.040837,0.056734
,,,2022-10-31 15:58:56.154,0.040167,0.052048
,,,2022-10-31 15:58:56.654,0.03682,0.04937
,,,2022-10-31 15:58:57.155,0.042845,0.056065
,,,2022-10-31 15:58:57.655,0.03749,0.051379
,,,2022-10-31 15:58:58.155,0.038159,0.050709
,,,2022-10-31 15:58:58.654,0.040167,0.058743
,,,2022-10-31 15:58:59.154,0.03749,0.051379
,,,2022-10-31 15:58:59.655,0.038159,0.054056
,,,2022-10-31 15:59:00.154,0.038159,0.053387
,,,2022-10-31 15:59:00.654,0.040837,0.054056
,,,2022-10-31 15:59:01.154,0.039498,0.051379
,,,2022-10-31 15:59:01.654,0.040837,0.04937
,,,2022-10-31 15:59:02.154,0.039498,0.052048
,,,2022-10-31 15:59:02.654,0.042176,0.054726
,,,2022-10-31 15:59:03.155,0.041506,0.052048
,,,2022-10-31 15:59:03.653,0.039498,0.054056
,,,2022-10-31 15:59:04.154,0.040167,0.052718
,,,2022-10-31 15:59:04.655,0.03682,0.052048
,,,2022-10-31 15:59:05.154,0.03749,0.054056
,,,2022-10-31 15:59:05.654,0.042176,0.054056
,,,2022-10-31 15:59:06.154,0.03682,0.052048
,,,2022-10-31 15:59:06.654,0.035481,0.055395
,,,2022-10-31 15:59:07.154,0.038828,0.051379
,,,2022-10-31 15:59:07.654,0.038828,0.053387
,,,2022-10-31 15:59:08.155,0.043515,0.053387
,,,2022-10-31 15:59:08.654,0.036151,0.04937
,,,2022-10-31 15:59:09.155,0.03682,0.050709
,,,2022-10-31 15:59:09.656,0.040167,0.051379
,,,2022-10-31 15:59:10.154,0.039498,0.04937
,,,2022-10-31 15:59:10.653,0.040167,0.051379
,,,2022-10-31 15:59:11.154,0.040837,0.054726
,,,2022-10-31 15:59:11.654,0.03682,0.04937
,,,2022-10-31 15:59:12.154,0.03682,0.052048
,,,2022-10-31 15:59:12.655,0.035481,0.054056
,,,2022-10-31 15:59:13.155,0.044184,0.052048
,,,2022-10-31 15:59:13.653,0.035481,0.054056
,,,2022-10-31 15:59:14.153,0.038159,0.053387
,,,2022-10-31 15:59:14.654,0.039498,0.051379
,,,2022-10-31 15:59:15.153,0.039498,0.054726
,,,2022-10-31 15:59:15.653,0.042176,0.04937
,,,2022-10-31 15:59:16.153,0.040837,0.050709
,,,2022-10-31 15:59:16.654,0.041506,0.054726
,,,2022-10-31 15:59:17.154,0.03749,0.050709
,,,2022-10-31 15:59:17.654,0.036151,0.051379
,,,2022-10-31 15:59:18.155,0.039498,0.052718
,,,2022-10-31 15:59:18.656,0.035481,0.055395
,,,2022-10-31 15:59:19.155,0.042176,0.054056
,,,2022-10-31 15:59:19.654,0.040837,0.050709
,,,2022-10-31 15:59:20.154,0.042176,0.05004
,,,2022-10-31 15:59:20.654,0.03749,0.051379
,,,2022-10-31 15:59:21.154,0.040167,0.053387
,,,2022-10-31 15:59:21.654,0.042176,0.05004
,,,2022-10-31 15:59:22.155,0.040167,0.052048
,,,2022-10-31 15:59:22.655,0.03682,0.052048
,,,2022-10-31 15:59:23.154,0.03749,0.050709
,,,2022-10-31 15:59:23.655,0.034142,0.057404
,,,2022-10-31 15:59:24.153,0.036151,0.045354
,,,2022-10-31 15:59:24.653,0.03749,0.052718
,,,2022-10-31 15:59:25.153,0.040167,0.056065
,,,2022-10-31 15:59:25.653,0.040167,0.052718
,,,2022-10-31 15:59:26.153,0.044854,0.051379
,,,2022-10-31 15:59:26.654,0.038828,0.050709
,,,2022-10-31 15:59:27.153,0.040837,0.052718
,,,2022-10-31 15:59:27.653,0.038828,0.051379
,,,2022-10-31 15:59:28.153,0.036151,0.04937
,,,2022-10-31 15:59:28.653,0.040837,0.050709
,,,2022-10-31 15:59:29.153,0.040837,0.051379
,,,2022-10-31 15:59:29.653,0.03682,0.05004
,,,2022-10-31 15:59:30.153,0.039498,0.047362
,,,2022-10-31 15:59:30.653,0.038828,0.053387
,,,2022-10-31 15:59:31.152,0.038828,0.053387
,,,2022-10-31 15:59:31.653,0.035481,0.051379
,,,2022-10-31 15:59:32.154,0.040837,0.057404
,,,2022-10-31 15:59:32.654,0.040167,0.055395
,,,2022-10-31 15:59:33.155,0.036151,0.05004
,,,2022-10-31 15:59:33.654,0.043515,0.050709
,,,2022-10-31 15:59:34.154,0.038828,0.052718
,,,2022-10-31 15:59:35.898,0.038828,0.052718
,,,2022-10-31 15:59:35.898,0.038828,0.052718
,,,2022-10-31 15:59:35.898,0.040837,0.054056
,,,2022-10-31 15:59:36.154,0.035481,0.053387
,,,2022-10-31 15:59:36.655,0.040837,0.053387
,,,2022-10-31 15:59:37.155,0.042845,0.051379
,,,2022-10-31 15:59:37.655,0.038159,0.056734
,,,2022-10-31 15:59:39.114,0.038159,0.056734
,,,2022-10-31 15:59:39.114,0.038828,0.052718
,,,2022-10-31 15:59:39.154,0.040837,0.052718
,,,2022-10-31 15:59:39.654,0.042845,0.05004
,,,2022-10-31 15:59:40.155,0.041506,0.058073
,,,2022-10-31 15:59:40.654,0.034812,0.056065
,,,2022-10-31 15:59:41.155,0.040167,0.04937
,,,2022-10-31 15:59:41.655,0.041506,0.048701
,,,2022-10-31 15:59:42.154,0.038828,0.056065
,,,2022-10-31 15:59:42.654,0.039498,0.052718
,,,2022-10-31 15:59:43.155,0.040837,0.050709
,,,2022-10-31 15:59:43.654,0.040167,0.047362
,,,2022-10-31 15:59:44.155,0.040837,0.054056
,,,2022-10-31 15:59:44.654,0.041506,0.054726
,,,2022-10-31 15:59:45.153,0.038828,0.052048
,,,2022-10-31 15:59:45.654,0.040167,0.052718
,,,2022-10-31 15:59:46.154,0.036151,0.054726
,,,2022-10-31 15:59:46.654,0.043515,0.053387
,,,2022-10-31 15:59:47.154,0.042845,0.052048
,,,2022-10-31 15:59:47.654,0.038159,0.052048
,,,2022-10-31 15:59:48.154,0.03749,0.053387
