Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 16:08:39.146,0.002678,0.002508
Serial Number:,MY60101365,,2022-10-31 16:08:39.646,0.044854,0.052718
Firmware Version:,07.31.2020012900,,2022-10-31 16:08:40.146,0.034142,0.048031
Start Time:,2022-10-31 16:08:39.146,,2022-10-31 16:08:40.647,0.034812,0.051379
Stop Time:,2022-10-31 16:18:39.147,,2022-10-31 16:08:41.146,0.035481,0.050709
Sample Period:,0.5,,2022-10-31 16:08:41.646,0.032134,0.04937
,,,2022-10-31 16:08:42.145,0.038828,0.046692
,,,2022-10-31 16:08:42.646,0.036151,0.044684
,,,2022-10-31 16:08:43.145,0.042176,0.048031
,,,2022-10-31 16:08:43.645,0.035481,0.053387
,,,2022-10-31 16:08:44.145,0.038828,0.048031
,,,2022-10-31 16:08:44.645,0.038828,0.046692
,,,2022-10-31 16:08:45.145,0.035481,0.053387
,,,2022-10-31 16:08:45.645,0.040167,0.050709
,,,2022-10-31 16:08:46.146,0.042176,0.051379
,,,2022-10-31 16:08:46.647,0.035481,0.052048
,,,2022-10-31 16:08:47.147,0.036151,0.05004
,,,2022-10-31 16:08:47.645,0.038159,0.046692
,,,2022-10-31 16:08:48.146,0.03682,0.050709
,,,2022-10-31 16:08:48.646,0.03682,0.05004
,,,2022-10-31 16:08:49.146,0.035481,0.05004
,,,2022-10-31 16:08:49.646,0.038828,0.047362
,,,2022-10-31 16:08:50.147,0.036151,0.048701
,,,2022-10-31 16:08:50.645,0.038828,0.044684
,,,2022-10-31 16:08:51.144,0.039498,0.047362
,,,2022-10-31 16:08:51.645,0.026109,0.044684
,,,2022-10-31 16:08:52.145,0.03749,0.051379
,,,2022-10-31 16:08:52.645,0.038159,0.048031
,,,2022-10-31 16:08:53.146,0.036151,0.051379
,,,2022-10-31 16:08:53.646,0.039498,0.053387
,,,2022-10-31 16:08:54.146,0.03682,0.052048
,,,2022-10-31 16:08:54.645,0.03682,0.051379
,,,2022-10-31 16:08:55.145,0.042176,0.048701
,,,2022-10-31 16:08:55.645,0.039498,0.048701
,,,2022-10-31 16:08:56.144,0.040167,0.048701
,,,2022-10-31 16:08:56.645,0.032134,0.04937
,,,2022-10-31 16:08:57.145,0.040167,0.051379
,,,2022-10-31 16:08:57.646,0.039498,0.05004
,,,2022-10-31 16:08:58.146,0.038828,0.051379
,,,2022-10-31 16:08:58.646,0.040167,0.04937
,,,2022-10-31 16:08:59.145,0.038159,0.052718
,,,2022-10-31 16:08:59.645,0.041506,0.052718
,,,2022-10-31 16:09:00.145,0.038828,0.057404
,,,2022-10-31 16:09:00.645,0.039498,0.04937
,,,2022-10-31 16:09:01.145,0.044854,0.048701
,,,2022-10-31 16:09:01.645,0.03682,0.056734
,,,2022-10-31 16:09:02.145,0.03749,0.04937
,,,2022-10-31 16:09:02.646,0.033473,0.053387
,,,2022-10-31 16:09:03.145,0.041506,0.051379
,,,2022-10-31 16:09:03.645,0.039498,0.046023
,,,2022-10-31 16:09:04.146,0.038159,0.052048
,,,2022-10-31 16:09:04.647,0.033473,0.048031
,,,2022-10-31 16:09:05.146,0.03682,0.048031
,,,2022-10-31 16:09:05.645,0.042176,0.055395
,,,2022-10-31 16:09:06.146,0.042845,0.051379
,,,2022-10-31 16:09:06.646,0.038828,0.048701
,,,2022-10-31 16:09:07.146,0.040837,0.052048
,,,2022-10-31 16:09:07.647,0.03749,0.04937
,,,2022-10-31 16:09:08.146,0.040837,0.04937
,,,2022-10-31 16:09:08.646,0.040167,0.046023
,,,2022-10-31 16:09:09.145,0.040837,0.052048
,,,2022-10-31 16:09:09.645,0.038159,0.048701
,,,2022-10-31 16:09:10.145,0.041506,0.052048
,,,2022-10-31 16:09:10.645,0.041506,0.052048
,,,2022-10-31 16:09:11.146,0.043515,0.046023
,,,2022-10-31 16:09:11.645,0.03749,0.048701
,,,2022-10-31 16:09:12.145,0.038828,0.047362
,,,2022-10-31 16:09:12.645,0.038828,0.050709
,,,2022-10-31 16:09:13.145,0.035481,0.05004
,,,2022-10-31 16:09:13.645,0.035481,0.04937
,,,2022-10-31 16:09:14.145,0.03682,0.048031
,,,2022-10-31 16:09:14.645,0.035481,0.05004
,,,2022-10-31 16:09:15.145,0.038828,0.051379
,,,2022-10-31 16:09:15.645,0.040837,0.05004
,,,2022-10-31 16:09:16.146,0.03749,0.047362
,,,2022-10-31 16:09:16.645,0.034142,0.046692
,,,2022-10-31 16:09:17.145,0.038159,0.05004
,,,2022-10-31 16:09:17.646,0.040837,0.048031
