Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 16:20:13.907,0.040167,0.050709
Serial Number:,MY60101365,,2022-10-31 16:20:14.407,0.032803,0.048701
Firmware Version:,07.31.2020012900,,2022-10-31 16:20:14.907,0.041506,0.053387
Start Time:,2022-10-31 16:20:13.907,,2022-10-31 16:20:15.407,0.039498,0.051379
Stop Time:,2022-10-31 16:30:13.906,,2022-10-31 16:20:15.908,0.039498,0.052048
Sample Period:,0.5,,2022-10-31 16:20:16.407,0.038828,0.04937
,,,2022-10-31 16:20:16.906,0.040837,0.048031
,,,2022-10-31 16:20:17.407,0.040167,0.050709
,,,2022-10-31 16:20:17.907,0.034812,0.051379
,,,2022-10-31 16:20:18.407,0.03682,0.045354
,,,2022-10-31 16:20:18.907,0.038159,0.048031
,,,2022-10-31 16:20:19.406,0.036151,0.048701
,,,2022-10-31 16:20:19.907,0.040837,0.05004
,,,2022-10-31 16:20:20.407,0.040837,0.048701
,,,2022-10-31 16:20:20.908,0.042176,0.051379
,,,2022-10-31 16:20:21.407,0.040837,0.05004
,,,2022-10-31 16:20:21.906,0.032803,0.050709
,,,2022-10-31 16:20:22.406,0.03749,0.04937
,,,2022-10-31 16:20:22.906,0.039498,0.047362
,,,2022-10-31 16:20:23.407,0.042845,0.056065
,,,2022-10-31 16:20:23.907,0.03749,0.04937
,,,2022-10-31 16:20:24.407,0.039498,0.048701
,,,2022-10-31 16:20:24.907,0.042845,0.048701
,,,2022-10-31 16:20:25.408,0.040167,0.048701
,,,2022-10-31 16:20:25.906,0.043515,0.047362
,,,2022-10-31 16:20:26.408,0.041506,0.048701
,,,2022-10-31 16:20:26.907,0.038828,0.050709
,,,2022-10-31 16:20:27.407,0.038828,0.052048
,,,2022-10-31 16:20:27.907,0.03749,0.048031
,,,2022-10-31 16:20:28.407,0.044184,0.04937
,,,2022-10-31 16:20:28.907,0.038828,0.052048
,,,2022-10-31 16:20:29.407,0.042176,0.051379
,,,2022-10-31 16:20:29.907,0.038159,0.050709
,,,2022-10-31 16:20:30.407,0.038159,0.050709
,,,2022-10-31 16:20:30.906,0.038828,0.054726
,,,2022-10-31 16:20:31.407,0.039498,0.04937
,,,2022-10-31 16:20:31.909,0.041506,0.054726
,,,2022-10-31 16:20:32.406,0.041506,0.04937
,,,2022-10-31 16:20:32.906,0.040167,0.054726
,,,2022-10-31 16:20:33.409,0.040167,0.052718
,,,2022-10-31 16:20:33.907,0.034812,0.052718
,,,2022-10-31 16:20:34.407,0.03682,0.04937
,,,2022-10-31 16:20:34.907,0.03749,0.05004
,,,2022-10-31 16:20:35.409,0.043515,0.048701
,,,2022-10-31 16:20:35.908,0.041506,0.052718
,,,2022-10-31 16:20:36.407,0.036151,0.051379
,,,2022-10-31 16:20:36.906,0.03682,0.050709
,,,2022-10-31 16:20:37.406,0.042176,0.05004
,,,2022-10-31 16:20:37.906,0.038159,0.052718
,,,2022-10-31 16:20:38.407,0.040167,0.048031
,,,2022-10-31 16:20:38.908,0.038828,0.051379
,,,2022-10-31 16:20:39.407,0.041506,0.047362
,,,2022-10-31 16:20:39.906,0.03682,0.04937
,,,2022-10-31 16:20:40.407,0.036151,0.05004
,,,2022-10-31 16:20:40.908,0.040167,0.052048
,,,2022-10-31 16:20:41.407,0.045523,0.052048
,,,2022-10-31 16:20:41.907,0.035481,0.050709
,,,2022-10-31 16:20:42.407,0.036151,0.050709
,,,2022-10-31 16:20:42.907,0.038828,0.048701
,,,2022-10-31 16:20:43.407,0.035481,0.050709
,,,2022-10-31 16:20:43.907,0.042176,0.048701
,,,2022-10-31 16:20:44.408,0.03682,0.050709
,,,2022-10-31 16:20:44.907,0.042176,0.050709
,,,2022-10-31 16:20:45.407,0.03749,0.047362
,,,2022-10-31 16:20:45.906,0.03749,0.047362
,,,2022-10-31 16:20:46.406,0.040837,0.048031
,,,2022-10-31 16:20:46.906,0.038828,0.05004
,,,2022-10-31 16:20:47.406,0.038828,0.04937
,,,2022-10-31 16:20:47.906,0.042845,0.047362
,,,2022-10-31 16:20:48.407,0.034812,0.051379
,,,2022-10-31 16:20:48.908,0.044184,0.051379
,,,2022-10-31 16:20:49.406,0.040837,0.046023
,,,2022-10-31 16:20:49.907,0.034812,0.048031
,,,2022-10-31 16:20:50.407,0.044184,0.04937
,,,2022-10-31 16:20:50.906,0.035481,0.047362
,,,2022-10-31 16:20:51.406,0.038159,0.053387
,,,2022-10-31 16:20:51.906,0.041506,0.051379
