Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 16:31:57.043,0.038159,0.05004
Serial Number:,MY60101365,,2022-10-31 16:31:57.541,0.032134,0.048701
Firmware Version:,07.31.2020012900,,2022-10-31 16:31:58.041,0.03749,0.046023
Start Time:,2022-10-31 16:31:57.043,,2022-10-31 16:31:58.541,0.036151,0.046023
Stop Time:,2022-10-31 16:41:57.041,,2022-10-31 16:31:59.041,0.035481,0.042006
Sample Period:,0.5,,2022-10-31 16:31:59.542,0.038828,0.046692
,,,2022-10-31 16:32:00.042,0.03682,0.042676
,,,2022-10-31 16:32:00.541,0.03749,0.046692
,,,2022-10-31 16:32:01.041,0.036151,0.048031
,,,2022-10-31 16:32:01.540,0.032803,0.050709
,,,2022-10-31 16:32:02.041,0.039498,0.050709
,,,2022-10-31 16:32:02.541,0.035481,0.048701
,,,2022-10-31 16:32:03.041,0.039498,0.048031
,,,2022-10-31 16:32:03.540,0.03749,0.042676
,,,2022-10-31 16:32:04.040,0.042845,0.046023
,,,2022-10-31 16:32:04.540,0.034812,0.045354
,,,2022-10-31 16:32:05.041,0.03749,0.046692
,,,2022-10-31 16:32:05.540,0.040837,0.04937
,,,2022-10-31 16:32:06.040,0.040837,0.044684
,,,2022-10-31 16:32:06.540,0.034812,0.048031
,,,2022-10-31 16:32:07.040,0.032134,0.05004
,,,2022-10-31 16:32:07.540,0.038159,0.04937
,,,2022-10-31 16:32:08.040,0.039498,0.044015
,,,2022-10-31 16:32:08.540,0.036151,0.042006
,,,2022-10-31 16:32:09.041,0.034812,0.046692
,,,2022-10-31 16:32:09.542,0.03749,0.048701
,,,2022-10-31 16:32:10.042,0.042845,0.048701
,,,2022-10-31 16:32:10.541,0.045523,0.048701
,,,2022-10-31 16:32:11.041,0.039498,0.044015
,,,2022-10-31 16:32:11.541,0.03749,0.051379
,,,2022-10-31 16:32:12.041,0.036151,0.046692
,,,2022-10-31 16:32:12.542,0.038828,0.048701
,,,2022-10-31 16:32:13.041,0.041506,0.046692
,,,2022-10-31 16:32:13.541,0.040167,0.050709
,,,2022-10-31 16:32:14.042,0.03682,0.048701
,,,2022-10-31 16:32:14.541,0.041506,0.046023
,,,2022-10-31 16:32:15.041,0.036151,0.045354
,,,2022-10-31 16:32:15.542,0.038159,0.045354
,,,2022-10-31 16:32:16.041,0.040167,0.050709
,,,2022-10-31 16:32:16.541,0.032803,0.046692
,,,2022-10-31 16:32:17.041,0.040837,0.044684
,,,2022-10-31 16:32:17.541,0.032134,0.045354
,,,2022-10-31 16:32:18.041,0.038159,0.048031
,,,2022-10-31 16:32:18.541,0.036151,0.044684
,,,2022-10-31 16:32:19.041,0.03749,0.046023
,,,2022-10-31 16:32:19.543,0.038159,0.046692
,,,2022-10-31 16:32:20.042,0.039498,0.047362
,,,2022-10-31 16:32:20.543,0.041506,0.04937
,,,2022-10-31 16:32:21.041,0.043515,0.042676
,,,2022-10-31 16:32:21.542,0.035481,0.052048
,,,2022-10-31 16:32:22.042,0.03749,0.04937
,,,2022-10-31 16:32:22.542,0.035481,0.04937
,,,2022-10-31 16:32:23.041,0.03682,0.048031
,,,2022-10-31 16:32:23.542,0.042176,0.04937
,,,2022-10-31 16:32:24.042,0.03749,0.045354
,,,2022-10-31 16:32:24.541,0.034812,0.046692
,,,2022-10-31 16:32:25.041,0.038159,0.048701
,,,2022-10-31 16:32:25.542,0.045523,0.04937
,,,2022-10-31 16:32:26.042,0.036151,0.044015
,,,2022-10-31 16:32:26.541,0.03682,0.043345
,,,2022-10-31 16:32:27.042,0.039498,0.045354
,,,2022-10-31 16:32:27.541,0.038828,0.048031
,,,2022-10-31 16:32:28.040,0.039498,0.048031
,,,2022-10-31 16:32:28.541,0.042176,0.05004
,,,2022-10-31 16:32:29.041,0.038159,0.048031
,,,2022-10-31 16:32:29.541,0.040837,0.046023
,,,2022-10-31 16:32:30.042,0.038828,0.046692
,,,2022-10-31 16:32:30.542,0.038828,0.046023
,,,2022-10-31 16:32:31.042,0.038159,0.047362
,,,2022-10-31 16:32:31.540,0.038828,0.046023
,,,2022-10-31 16:32:32.041,0.03682,0.048031
,,,2022-10-31 16:32:32.542,0.03749,0.048701
,,,2022-10-31 16:32:33.043,0.035481,0.048701
,,,2022-10-31 16:32:33.541,0.036151,0.046692
,,,2022-10-31 16:32:34.042,0.036151,0.052048
,,,2022-10-31 16:32:34.541,0.038159,0.046023
,,,2022-10-31 16:32:35.041,0.038828,0.048701
,,,2022-10-31 16:32:35.542,0.040167,0.048031
,,,2022-10-31 16:32:36.041,0.038828,0.048701
,,,2022-10-31 16:32:36.541,0.039498,0.050709
,,,2022-10-31 16:32:37.042,0.038159,0.048701
,,,2022-10-31 16:32:37.541,0.044184,0.047362
,,,2022-10-31 16:32:38.041,0.038159,0.046023
,,,2022-10-31 16:32:38.543,0.041506,0.052718
,,,2022-10-31 16:32:39.042,0.039498,0.046023
,,,2022-10-31 16:32:39.542,0.03682,0.050709
,,,2022-10-31 16:32:40.042,0.032803,0.048701
,,,2022-10-31 16:32:40.541,0.034142,0.048031
,,,2022-10-31 16:32:41.040,0.040167,0.048701
,,,2022-10-31 16:32:41.540,0.038159,0.050709
,,,2022-10-31 16:32:42.040,0.038159,0.046023
,,,2022-10-31 16:32:42.539,0.033473,0.046692
,,,2022-10-31 16:32:43.040,0.042176,0.046023
,,,2022-10-31 16:32:43.540,0.034142,0.046692
,,,2022-10-31 16:32:44.041,0.046192,0.052048
,,,2022-10-31 16:32:44.541,0.042176,0.048031
,,,2022-10-31 16:32:45.042,0.03682,0.046023
,,,2022-10-31 16:32:45.542,0.03749,0.046692
,,,2022-10-31 16:32:46.041,0.041506,0.048701
,,,2022-10-31 16:32:46.541,0.040837,0.047362
,,,2022-10-31 16:32:47.041,0.034812,0.043345
,,,2022-10-31 16:32:47.542,0.032134,0.048031
,,,2022-10-31 16:32:48.041,0.034142,0.048701
,,,2022-10-31 16:32:48.541,0.038159,0.046692
,,,2022-10-31 16:32:49.041,0.038828,0.047362
,,,2022-10-31 16:32:49.541,0.038828,0.044684
,,,2022-10-31 16:32:50.042,0.038828,0.046692
,,,2022-10-31 16:32:50.541,0.034142,0.047362
,,,2022-10-31 16:32:51.043,0.034812,0.048031
,,,2022-10-31 16:32:51.541,0.036151,0.042006
,,,2022-10-31 16:32:52.040,0.03749,0.048031
,,,2022-10-31 16:32:52.540,0.040167,0.050709
,,,2022-10-31 16:32:53.041,0.033473,0.044684
,,,2022-10-31 16:32:53.541,0.034142,0.045354
,,,2022-10-31 16:32:54.041,0.039498,0.048031
,,,2022-10-31 16:32:54.541,0.039498,0.045354
,,,2022-10-31 16:32:55.040,0.03682,0.048701
,,,2022-10-31 16:32:55.541,0.036151,0.046692
,,,2022-10-31 16:32:56.041,0.040167,0.050709
,,,2022-10-31 16:32:56.543,0.039498,0.048701
,,,2022-10-31 16:32:57.041,0.039498,0.046023
,,,2022-10-31 16:32:57.542,0.036151,0.050709
,,,2022-10-31 16:32:58.041,0.042176,0.048701
,,,2022-10-31 16:32:58.542,0.033473,0.046023
,,,2022-10-31 16:32:59.042,0.038828,0.046692
,,,2022-10-31 16:32:59.542,0.038159,0.047362
,,,2022-10-31 16:33:00.041,0.040167,0.047362
,,,2022-10-31 16:33:00.541,0.03749,0.046023
,,,2022-10-31 16:33:01.041,0.038828,0.051379
,,,2022-10-31 16:33:01.542,0.038828,0.048701
,,,2022-10-31 16:33:02.041,0.044184,0.04937
,,,2022-10-31 16:33:02.541,0.040167,0.04937
,,,2022-10-31 16:33:03.042,0.036151,0.044015
