Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 16:43:57.092,0.03682,0.041337
Serial Number:,MY60101365,,2022-10-31 16:43:57.592,0.036151,0.039328
Firmware Version:,07.31.2020012900,,2022-10-31 16:43:58.091,0.03749,0.044684
Start Time:,2022-10-31 16:43:57.092,,2022-10-31 16:43:58.591,0.039498,0.045354
Stop Time:,2022-10-31 16:53:57.089,,2022-10-31 16:43:59.091,0.034142,0.045354
Sample Period:,0.5,,2022-10-31 16:43:59.590,0.032134,0.041337
,,,2022-10-31 16:44:00.091,0.032803,0.039998
,,,2022-10-31 16:44:00.591,0.034142,0.042676
,,,2022-10-31 16:44:01.092,0.035481,0.039328
,,,2022-10-31 16:44:01.591,0.035481,0.045354
,,,2022-10-31 16:44:02.090,0.034812,0.038659
,,,2022-10-31 16:44:02.590,0.033473,0.039328
,,,2022-10-31 16:44:03.090,0.033473,0.043345
,,,2022-10-31 16:44:03.590,0.038159,0.044684
,,,2022-10-31 16:44:04.091,0.03749,0.039998
,,,2022-10-31 16:44:04.590,0.031464,0.042676
,,,2022-10-31 16:44:05.090,0.035481,0.044684
,,,2022-10-31 16:44:05.590,0.040837,0.040667
,,,2022-10-31 16:44:06.089,0.027448,0.042676
,,,2022-10-31 16:44:06.589,0.038159,0.03732
,,,2022-10-31 16:44:07.089,0.034812,0.03799
,,,2022-10-31 16:44:07.589,0.034142,0.038659
,,,2022-10-31 16:44:08.089,0.035481,0.046023
,,,2022-10-31 16:44:08.588,0.033473,0.042006
,,,2022-10-31 16:44:09.088,0.03682,0.040667
,,,2022-10-31 16:44:09.589,0.038159,0.044015
,,,2022-10-31 16:44:10.090,0.028787,0.043345
,,,2022-10-31 16:44:10.590,0.034142,0.044684
,,,2022-10-31 16:44:11.090,0.035481,0.042006
,,,2022-10-31 16:44:11.590,0.029456,0.042006
,,,2022-10-31 16:44:12.091,0.035481,0.044015
,,,2022-10-31 16:44:12.591,0.035481,0.043345
,,,2022-10-31 16:44:13.092,0.03749,0.048701
,,,2022-10-31 16:44:13.590,0.032134,0.042676
,,,2022-10-31 16:44:14.093,0.036151,0.044015
,,,2022-10-31 16:44:14.591,0.030126,0.042006
,,,2022-10-31 16:44:15.092,0.039498,0.044015
,,,2022-10-31 16:44:15.592,0.036151,0.045354
,,,2022-10-31 16:44:16.090,0.033473,0.042676
,,,2022-10-31 16:44:16.592,0.039498,0.044684
,,,2022-10-31 16:44:17.091,0.032134,0.044684
,,,2022-10-31 16:44:17.592,0.030126,0.039328
,,,2022-10-31 16:44:18.091,0.03682,0.041337
,,,2022-10-31 16:44:18.592,0.032803,0.044015
,,,2022-10-31 16:44:19.092,0.035481,0.046692
,,,2022-10-31 16:44:19.591,0.03749,0.042006
,,,2022-10-31 16:44:20.091,0.035481,0.042006
,,,2022-10-31 16:44:20.590,0.033473,0.042006
,,,2022-10-31 16:44:21.090,0.033473,0.041337
,,,2022-10-31 16:44:21.591,0.03749,0.042006
,,,2022-10-31 16:44:22.092,0.032803,0.044015
,,,2022-10-31 16:44:22.591,0.032134,0.039998
,,,2022-10-31 16:44:23.092,0.035481,0.042676
,,,2022-10-31 16:44:23.591,0.032134,0.042676
,,,2022-10-31 16:44:24.091,0.03682,0.040667
,,,2022-10-31 16:44:24.591,0.038828,0.045354
,,,2022-10-31 16:44:25.092,0.030126,0.039328
,,,2022-10-31 16:44:25.592,0.034812,0.044684
,,,2022-10-31 16:44:26.090,0.034142,0.041337
,,,2022-10-31 16:44:26.591,0.031464,0.042006
,,,2022-10-31 16:44:27.091,0.034142,0.041337
,,,2022-10-31 16:44:27.591,0.032134,0.041337
,,,2022-10-31 16:44:28.092,0.038159,0.040667
,,,2022-10-31 16:44:28.592,0.033473,0.044015
,,,2022-10-31 16:44:29.091,0.032134,0.044684
,,,2022-10-31 16:44:29.591,0.035481,0.045354
,,,2022-10-31 16:44:30.090,0.036151,0.043345
,,,2022-10-31 16:44:30.590,0.034142,0.042676
,,,2022-10-31 16:44:31.089,0.031464,0.039328
,,,2022-10-31 16:44:31.590,0.03682,0.044015
,,,2022-10-31 16:44:32.089,0.032134,0.042006
,,,2022-10-31 16:44:32.589,0.040167,0.043345
,,,2022-10-31 16:44:33.089,0.03749,0.042676
,,,2022-10-31 16:44:33.589,0.031464,0.040667
,,,2022-10-31 16:44:34.089,0.032803,0.041337
,,,2022-10-31 16:44:34.590,0.034142,0.039328
,,,2022-10-31 16:44:35.091,0.033473,0.035312
,,,2022-10-31 16:44:35.591,0.034812,0.040667
,,,2022-10-31 16:44:36.091,0.028787,0.042006
,,,2022-10-31 16:44:36.591,0.028117,0.042676
,,,2022-10-31 16:44:37.091,0.03682,0.039998
,,,2022-10-31 16:44:37.592,0.035481,0.041337
,,,2022-10-31 16:44:38.090,0.035481,0.042676
,,,2022-10-31 16:44:38.591,0.030795,0.044015
,,,2022-10-31 16:44:39.092,0.033473,0.043345
,,,2022-10-31 16:44:39.590,0.028787,0.038659
,,,2022-10-31 16:44:40.090,0.039498,0.042006
,,,2022-10-31 16:44:40.591,0.039498,0.044015
