Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 17:07:46.152,0.034812,0.046023
Serial Number:,MY60101365,,2022-10-31 17:07:46.653,0.042845,0.048031
Firmware Version:,07.31.2020012900,,2022-10-31 17:07:47.153,0.03682,0.045354
Start Time:,2022-10-31 17:07:46.152,,2022-10-31 17:07:47.652,0.036151,0.047362
Stop Time:,2022-10-31 17:17:46.153,,2022-10-31 17:07:48.152,0.038159,0.042676
Sample Period:,0.5,,2022-10-31 17:07:48.653,0.038828,0.043345
,,,2022-10-31 17:07:49.152,0.041506,0.047362
,,,2022-10-31 17:07:49.652,0.03682,0.045354
,,,2022-10-31 17:07:50.153,0.03682,0.044015
,,,2022-10-31 17:07:50.653,0.035481,0.047362
,,,2022-10-31 17:07:51.153,0.039498,0.044015
,,,2022-10-31 17:07:51.651,0.039498,0.04937
,,,2022-10-31 17:07:52.152,0.039498,0.044684
,,,2022-10-31 17:07:52.653,0.03749,0.039328
,,,2022-10-31 17:07:53.152,0.03682,0.042676
,,,2022-10-31 17:07:53.652,0.043515,0.047362
,,,2022-10-31 17:07:54.152,0.036151,0.045354
,,,2022-10-31 17:07:54.652,0.040167,0.048701
,,,2022-10-31 17:07:55.152,0.03749,0.046023
,,,2022-10-31 17:07:55.653,0.03749,0.047362
,,,2022-10-31 17:07:56.154,0.039498,0.045354
,,,2022-10-31 17:07:56.653,0.041506,0.046023
,,,2022-10-31 17:07:57.153,0.040167,0.050709
,,,2022-10-31 17:07:57.654,0.038159,0.042006
,,,2022-10-31 17:07:58.152,0.035481,0.043345
,,,2022-10-31 17:07:58.652,0.042176,0.047362
,,,2022-10-31 17:07:59.152,0.032134,0.047362
,,,2022-10-31 17:07:59.652,0.042176,0.047362
,,,2022-10-31 17:08:00.152,0.039498,0.047362
,,,2022-10-31 17:08:00.652,0.03749,0.045354
,,,2022-10-31 17:08:01.152,0.038828,0.046023
,,,2022-10-31 17:08:01.651,0.040167,0.046023
,,,2022-10-31 17:08:02.151,0.040837,0.045354
,,,2022-10-31 17:08:02.651,0.036151,0.044684
,,,2022-10-31 17:08:03.152,0.042176,0.046023
,,,2022-10-31 17:08:03.652,0.038159,0.046692
,,,2022-10-31 17:08:04.152,0.038159,0.044684
,,,2022-10-31 17:08:04.652,0.040167,0.048031
,,,2022-10-31 17:08:05.152,0.039498,0.048031
,,,2022-10-31 17:08:05.652,0.034142,0.042006
,,,2022-10-31 17:08:06.153,0.040167,0.046023
,,,2022-10-31 17:08:06.654,0.038828,0.045354
,,,2022-10-31 17:08:07.152,0.042845,0.045354
,,,2022-10-31 17:08:07.654,0.043515,0.048031
,,,2022-10-31 17:08:08.153,0.042176,0.045354
,,,2022-10-31 17:08:08.653,0.038159,0.048701
,,,2022-10-31 17:08:09.153,0.040167,0.044015
,,,2022-10-31 17:08:09.653,0.038159,0.046692
,,,2022-10-31 17:08:10.152,0.040167,0.043345
,,,2022-10-31 17:08:10.652,0.035481,0.044015
,,,2022-10-31 17:08:11.152,0.036151,0.047362
,,,2022-10-31 17:08:11.652,0.034812,0.045354
,,,2022-10-31 17:08:12.153,0.03682,0.045354
,,,2022-10-31 17:08:12.653,0.038159,0.047362
,,,2022-10-31 17:08:13.153,0.03749,0.048701
,,,2022-10-31 17:08:13.652,0.038159,0.040667
,,,2022-10-31 17:08:14.152,0.040167,0.04937
,,,2022-10-31 17:08:14.652,0.034142,0.046692
,,,2022-10-31 17:08:15.152,0.038828,0.044015
,,,2022-10-31 17:08:15.653,0.040167,0.044684
,,,2022-10-31 17:08:16.152,0.042845,0.048031
,,,2022-10-31 17:08:16.651,0.046862,0.044015
,,,2022-10-31 17:08:17.151,0.034812,0.043345
,,,2022-10-31 17:08:17.652,0.036151,0.044684
,,,2022-10-31 17:08:18.152,0.038828,0.044015
,,,2022-10-31 17:08:18.653,0.043515,0.048031
,,,2022-10-31 17:08:19.151,0.039498,0.048031
,,,2022-10-31 17:08:19.651,0.038828,0.048701
,,,2022-10-31 17:08:20.151,0.032803,0.046692
,,,2022-10-31 17:08:20.651,0.039498,0.043345
,,,2022-10-31 17:08:21.151,0.039498,0.047362
