Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-31 17:20:05.624,0.038828,0.048031
Serial Number:,MY60101365,,2022-10-31 17:20:06.124,0.036151,0.048031
Firmware Version:,07.31.2020012900,,2022-10-31 17:20:06.622,0.032803,0.043345
Start Time:,2022-10-31 17:20:05.624,,2022-10-31 17:20:07.122,0.03749,0.048031
Stop Time:,2022-10-31 17:30:05.633,,2022-10-31 17:20:07.623,0.036151,0.043345
Sample Period:,0.5,,2022-10-31 17:20:08.122,0.041506,0.044684
,,,2022-10-31 17:20:08.623,0.042176,0.042676
,,,2022-10-31 17:20:09.123,0.041506,0.044684
,,,2022-10-31 17:20:09.622,0.039498,0.047362
,,,2022-10-31 17:20:10.123,0.041506,0.043345
,,,2022-10-31 17:20:10.623,0.044184,0.043345
,,,2022-10-31 17:20:11.123,0.041506,0.044015
,,,2022-10-31 17:20:11.623,0.041506,0.046692
,,,2022-10-31 17:20:12.123,0.035481,0.047362
,,,2022-10-31 17:20:12.623,0.044184,0.044015
,,,2022-10-31 17:20:13.123,0.035481,0.042006
,,,2022-10-31 17:20:13.623,0.03749,0.044684
,,,2022-10-31 17:20:14.123,0.039498,0.043345
,,,2022-10-31 17:20:14.623,0.038828,0.042006
,,,2022-10-31 17:20:15.123,0.03749,0.043345
,,,2022-10-31 17:20:15.623,0.036151,0.042676
,,,2022-10-31 17:20:16.124,0.038828,0.042006
,,,2022-10-31 17:20:16.623,0.040167,0.042676
,,,2022-10-31 17:20:17.122,0.038159,0.044684
,,,2022-10-31 17:20:17.622,0.034142,0.044684
,,,2022-10-31 17:20:18.122,0.040837,0.043345
,,,2022-10-31 17:20:18.623,0.03682,0.044015
,,,2022-10-31 17:20:19.123,0.042176,0.045354
,,,2022-10-31 17:20:19.623,0.036151,0.041337
,,,2022-10-31 17:20:20.124,0.041506,0.043345
,,,2022-10-31 17:20:20.624,0.040837,0.045354
,,,2022-10-31 17:20:21.124,0.040167,0.046692
,,,2022-10-31 17:20:21.623,0.036151,0.044015
,,,2022-10-31 17:20:22.122,0.03682,0.042676
,,,2022-10-31 17:20:22.624,0.035481,0.044015
,,,2022-10-31 17:20:23.122,0.042845,0.043345
,,,2022-10-31 17:20:23.623,0.039498,0.043345
,,,2022-10-31 17:20:24.123,0.038828,0.045354
,,,2022-10-31 17:20:24.624,0.038828,0.043345
,,,2022-10-31 17:20:25.123,0.040167,0.042676
,,,2022-10-31 17:20:25.623,0.039498,0.048701
,,,2022-10-31 17:20:26.124,0.042176,0.044015
,,,2022-10-31 17:20:26.623,0.038828,0.044015
,,,2022-10-31 17:20:27.123,0.038159,0.045354
,,,2022-10-31 17:20:27.623,0.044854,0.042006
,,,2022-10-31 17:20:28.123,0.038159,0.043345
,,,2022-10-31 17:20:28.624,0.03749,0.042006
,,,2022-10-31 17:20:29.124,0.034142,0.046023
,,,2022-10-31 17:20:29.623,0.038159,0.044015
,,,2022-10-31 17:20:30.124,0.036151,0.044015
,,,2022-10-31 17:20:30.625,0.040837,0.047362
,,,2022-10-31 17:20:31.123,0.040837,0.047362
,,,2022-10-31 17:20:31.623,0.038159,0.044684
,,,2022-10-31 17:20:32.123,0.042176,0.042676
,,,2022-10-31 17:20:32.625,0.039498,0.048031
,,,2022-10-31 17:20:33.125,0.03749,0.039998
,,,2022-10-31 17:20:33.624,0.036151,0.046692
,,,2022-10-31 17:20:34.123,0.046192,0.044015
,,,2022-10-31 17:20:34.623,0.042845,0.044015
,,,2022-10-31 17:20:35.122,0.036151,0.047362
,,,2022-10-31 17:20:35.622,0.038159,0.045354
,,,2022-10-31 17:20:36.124,0.034812,0.045354
,,,2022-10-31 17:20:36.623,0.038159,0.044684
,,,2022-10-31 17:20:37.780,0.038159,0.044684
,,,2022-10-31 17:20:37.780,0.03682,0.043345
,,,2022-10-31 17:20:38.123,0.038828,0.043345
,,,2022-10-31 17:20:38.624,0.038159,0.046692
,,,2022-10-31 17:20:39.124,0.03682,0.044684
,,,2022-10-31 17:20:39.624,0.042176,0.042006
,,,2022-10-31 17:20:40.125,0.034142,0.046023
,,,2022-10-31 17:20:40.623,0.040167,0.048031
