Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-20 15:12:17.570,0.041045,0.014485
Serial Number:,MY60101365,,2022-10-20 15:12:18.116,0.032577,0.011907
Firmware Version:,07.31.2020012900,,2022-10-20 15:12:18.571,0.037731,0.01338
Start Time:,2022-10-20 15:12:17.570,,2022-10-20 15:12:19.070,0.036627,0.012644
Stop Time:,2022-10-20 15:22:17.570,,2022-10-20 15:12:19.570,0.0381,0.012644
Sample Period:,0.5,,2022-10-20 15:12:20.073,0.038836,0.013012
,,,2022-10-20 15:12:20.571,0.034049,0.013748
,,,2022-10-20 15:12:21.070,0.039572,0.01338
,,,2022-10-20 15:12:21.570,0.038836,0.014485
,,,2022-10-20 15:12:22.070,0.041045,0.013012
,,,2022-10-20 15:12:22.570,0.03589,0.012276
,,,2022-10-20 15:12:23.070,0.036259,0.013012
,,,2022-10-20 15:12:23.570,0.036259,0.011539
,,,2022-10-20 15:12:24.070,0.04215,0.012276
,,,2022-10-20 15:12:24.571,0.0381,0.011907
,,,2022-10-20 15:12:25.070,0.045096,0.012644
,,,2022-10-20 15:12:25.571,0.040677,0.014117
,,,2022-10-20 15:12:26.069,0.042518,0.013012
,,,2022-10-20 15:12:26.570,0.040309,0.014117
,,,2022-10-20 15:12:27.070,0.041782,0.013012
,,,2022-10-20 15:12:27.570,0.041045,0.013748
,,,2022-10-20 15:12:28.071,0.03589,0.010435
,,,2022-10-20 15:12:28.569,0.036627,0.011171
,,,2022-10-20 15:12:29.070,0.039941,0.011907
,,,2022-10-20 15:12:29.571,0.039204,0.014853
,,,2022-10-20 15:12:30.070,0.034786,0.015589
,,,2022-10-20 15:12:30.570,0.040309,0.013012
,,,2022-10-20 15:12:31.070,0.043623,0.014117
,,,2022-10-20 15:12:31.570,0.034418,0.01338
,,,2022-10-20 15:12:32.070,0.041782,0.013748
,,,2022-10-20 15:12:32.570,0.036995,0.011907
,,,2022-10-20 15:12:33.069,0.041045,0.013012
,,,2022-10-20 15:12:33.569,0.036995,0.012644
,,,2022-10-20 15:12:34.070,0.041413,0.012644
,,,2022-10-20 15:12:34.570,0.038468,0.012276
,,,2022-10-20 15:12:35.070,0.038836,0.011171
,,,2022-10-20 15:12:35.569,0.034786,0.014485
,,,2022-10-20 15:12:36.069,0.04215,0.013012
,,,2022-10-20 15:12:36.570,0.035154,0.011907
,,,2022-10-20 15:12:37.070,0.037731,0.013748
,,,2022-10-20 15:12:37.570,0.034786,0.011539
,,,2022-10-20 15:12:38.069,0.038836,0.012276
,,,2022-10-20 15:12:38.570,0.036259,0.013012
,,,2022-10-20 15:12:39.069,0.040309,0.010435
,,,2022-10-20 15:12:39.569,0.039941,0.012276
,,,2022-10-20 15:12:40.068,0.036995,0.011171
,,,2022-10-20 15:12:40.569,0.041782,0.012276
,,,2022-10-20 15:12:41.069,0.034786,0.01338
,,,2022-10-20 15:12:41.568,0.0381,0.008594
,,,2022-10-20 15:12:42.069,0.039941,0.011539
,,,2022-10-20 15:12:42.569,0.041782,0.013012
,,,2022-10-20 15:12:43.069,0.039572,0.013012
,,,2022-10-20 15:12:43.570,0.036995,0.012644
,,,2022-10-20 15:12:44.069,0.043254,0.014117
,,,2022-10-20 15:12:44.569,0.040309,0.00933
,,,2022-10-20 15:12:45.070,0.037363,0.012276
,,,2022-10-20 15:12:45.571,0.032945,0.013748
,,,2022-10-20 15:12:46.070,0.029263,0.010435
,,,2022-10-20 15:12:46.570,0.041782,0.013012
,,,2022-10-20 15:12:47.069,0.041413,0.012276
,,,2022-10-20 15:12:47.571,0.039941,0.011171
,,,2022-10-20 15:12:48.070,0.035154,0.013012
,,,2022-10-20 15:12:48.570,0.039941,0.012644
,,,2022-10-20 15:12:49.071,0.038836,0.011539
,,,2022-10-20 15:12:49.569,0.037363,0.012644
,,,2022-10-20 15:12:50.069,0.043254,0.012644
,,,2022-10-20 15:12:50.569,0.039204,0.014853
,,,2022-10-20 15:12:51.069,0.044359,0.011171
,,,2022-10-20 15:12:51.569,0.040677,0.012276
,,,2022-10-20 15:12:52.070,0.035522,0.011907
,,,2022-10-20 15:12:52.571,0.041413,0.01338
,,,2022-10-20 15:12:53.070,0.038468,0.010803
,,,2022-10-20 15:12:53.570,0.043623,0.015589
,,,2022-10-20 15:12:54.071,0.038468,0.012276
,,,2022-10-20 15:12:54.568,0.041413,0.011171
,,,2022-10-20 15:12:55.069,0.037363,0.012276
,,,2022-10-20 15:12:55.570,0.038836,0.011907
,,,2022-10-20 15:12:56.071,0.0381,0.010435
,,,2022-10-20 15:12:56.570,0.041782,0.012644
,,,2022-10-20 15:12:57.070,0.043623,0.011907
,,,2022-10-20 15:12:57.569,0.037731,0.011171
,,,2022-10-20 15:12:58.070,0.038836,0.010803
,,,2022-10-20 15:12:58.569,0.044359,0.013012
,,,2022-10-20 15:12:59.070,0.042518,0.01338
,,,2022-10-20 15:12:59.570,0.036259,0.01338
,,,2022-10-20 15:13:00.071,0.036259,0.012644
,,,2022-10-20 15:13:00.570,0.041045,0.012644
,,,2022-10-20 15:13:01.071,0.042518,0.012276
,,,2022-10-20 15:13:01.572,0.038836,0.013748
,,,2022-10-20 15:13:02.070,0.039941,0.013748
,,,2022-10-20 15:13:02.571,0.038468,0.012644
,,,2022-10-20 15:13:03.069,0.03589,0.012276
,,,2022-10-20 15:13:03.569,0.043623,0.012644
