Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 11:06:07.719,-0.041841,-0.071967
Serial Number:,MY60101365,,2022-11-22 11:06:08.424,-0.060251,-0.070293
Firmware Version:,<Unknown Revision>,,2022-11-22 11:06:13.043,-0.043515,-0.120502
Start Time:,2022-11-22 11:06:07.719,,2022-11-22 11:06:13.659,-0.075314,-0.060251
Stop Time:,2022-11-22 11:16:07.664,,2022-11-22 11:06:14.276,-0.07364,-0.100418
Sample Period:,0.5,,2022-11-22 11:06:14.894,-0.063598,-0.102092
,,,2022-11-22 11:06:15.511,-0.085356,-0.107113
,,,2022-11-22 11:06:16.127,-0.053556,-0.07364
,,,2022-11-22 11:06:16.742,-0.053556,-0.095397
,,,2022-11-22 11:06:17.359,-0.035146,-0.088703
,,,2022-11-22 11:06:17.974,-0.083682,-0.105439
,,,2022-11-22 11:06:18.589,-0.07364,-0.076987
,,,2022-11-22 11:06:19.205,-0.061925,-0.118828
,,,2022-11-22 11:06:19.822,-0.075314,-0.087029
,,,2022-11-22 11:06:20.437,-0.071967,-0.087029
,,,2022-11-22 11:06:21.057,-0.083682,-0.097071
,,,2022-11-22 11:06:21.671,-0.05523,-0.082008
,,,2022-11-22 11:06:22.286,-0.035146,-0.09205
,,,2022-11-22 11:06:22.900,-0.075314,-0.070293
,,,2022-11-22 11:06:23.515,-0.046862,-0.070293
,,,2022-11-22 11:06:24.131,-0.07364,-0.065272
,,,2022-11-22 11:06:24.747,-0.070293,-0.118828
,,,2022-11-22 11:06:25.361,-0.080335,-0.088703
,,,2022-11-22 11:06:25.975,-0.065272,-0.071967
,,,2022-11-22 11:06:26.590,-0.043515,-0.112134
,,,2022-11-22 11:06:27.205,-0.078661,-0.085356
,,,2022-11-22 11:06:27.839,-0.066946,-0.075314
,,,2022-11-22 11:06:28.456,-0.07364,-0.066946
,,,2022-11-22 11:06:29.071,-0.05523,-0.066946
,,,2022-11-22 11:06:29.687,-0.050209,-0.071967
,,,2022-11-22 11:06:30.305,-0.082008,-0.102092
,,,2022-11-22 11:06:30.921,-0.078661,-0.065272
,,,2022-11-22 11:06:31.536,-0.071967,-0.061925
,,,2022-11-22 11:06:32.153,-0.063598,-0.117155
,,,2022-11-22 11:06:32.769,-0.035146,-0.122176
,,,2022-11-22 11:06:33.385,-0.053556,-0.075314
,,,2022-11-22 11:06:34.002,-0.05523,-0.087029
,,,2022-11-22 11:06:34.620,-0.082008,-0.093724
,,,2022-11-22 11:06:35.236,-0.068619,-0.085356
,,,2022-11-22 11:06:35.852,-0.071967,-0.063598
,,,2022-11-22 11:06:36.468,-0.041841,-0.150628
,,,2022-11-22 11:06:37.087,-0.083682,-0.107113
,,,2022-11-22 11:06:37.701,-0.043515,-0.060251
,,,2022-11-22 11:06:38.321,-0.070293,-0.060251
,,,2022-11-22 11:06:38.934,-0.045188,-0.058577
,,,2022-11-22 11:06:39.549,-0.097071,-0.093724
,,,2022-11-22 11:06:40.164,-0.061925,-0.108787
,,,2022-11-22 11:06:40.780,-0.090377,-0.07364
,,,2022-11-22 11:06:41.399,-0.098745,-0.078661
,,,2022-11-22 11:06:42.016,-0.071967,-0.070293
,,,2022-11-22 11:06:42.651,-0.040167,-0.080335
,,,2022-11-22 11:06:43.276,-0.080335,-0.058577
,,,2022-11-22 11:06:43.899,-0.053556,-0.102092
,,,2022-11-22 11:06:44.517,-0.068619,-0.065272
,,,2022-11-22 11:06:45.134,-0.105439,-0.088703
,,,2022-11-22 11:06:45.752,-0.102092,-0.085356
,,,2022-11-22 11:06:46.366,-0.103766,-0.083682
,,,2022-11-22 11:06:46.982,-0.046862,-0.082008
,,,2022-11-22 11:06:47.599,-0.088703,-0.087029
,,,2022-11-22 11:06:48.212,-0.095397,-0.080335
,,,2022-11-22 11:06:48.828,-0.066946,-0.070293
,,,2022-11-22 11:06:49.446,-0.066946,-0.071967
,,,2022-11-22 11:06:50.062,-0.07364,-0.087029
,,,2022-11-22 11:06:50.677,-0.043515,-0.108787
,,,2022-11-22 11:06:51.294,-0.063598,-0.065272
,,,2022-11-22 11:06:51.915,-0.061925,-0.09205
,,,2022-11-22 11:06:52.532,-0.093724,-0.063598
,,,2022-11-22 11:06:53.146,-0.071967,-0.071967
,,,2022-11-22 11:06:53.763,-0.041841,-0.087029
,,,2022-11-22 11:06:54.378,-0.041841,-0.066946
,,,2022-11-22 11:06:54.998,-0.117155,-0.095397
,,,2022-11-22 11:06:55.613,-0.070293,-0.122176
,,,2022-11-22 11:06:56.229,-0.082008,-0.105439
,,,2022-11-22 11:06:56.852,-0.068619,-0.066946
,,,2022-11-22 11:06:57.465,-0.078661,-0.100418
,,,2022-11-22 11:06:58.080,-0.048536,-0.125523
,,,2022-11-22 11:06:58.694,-0.107113,-0.078661
,,,2022-11-22 11:06:59.308,-0.085356,-0.108787
,,,2022-11-22 11:06:59.929,-0.045188,-0.083682
,,,2022-11-22 11:07:00.552,-0.075314,-0.082008
,,,2022-11-22 11:07:01.166,-0.05523,-0.076987
,,,2022-11-22 11:07:01.781,-0.043515,-0.103766
,,,2022-11-22 11:07:02.395,-0.076987,-0.115481
,,,2022-11-22 11:07:03.009,-0.112134,-0.082008
,,,2022-11-22 11:07:03.626,-0.053556,-0.088703
,,,2022-11-22 11:07:04.240,-0.066946,-0.076987
,,,2022-11-22 11:07:04.855,-0.095397,-0.080335
,,,2022-11-22 11:07:05.470,-0.066946,-0.105439
,,,2022-11-22 11:07:06.092,-0.053556,-0.105439
,,,2022-11-22 11:07:06.708,-0.087029,-0.065272
,,,2022-11-22 11:07:07.322,-0.060251,-0.076987
,,,2022-11-22 11:07:07.938,-0.105439,-0.068619
,,,2022-11-22 11:07:08.566,-0.09205,-0.097071
,,,2022-11-22 11:07:09.181,-0.117155,-0.100418
,,,2022-11-22 11:07:09.799,-0.083682,-0.07364
,,,2022-11-22 11:07:10.414,-0.103766,-0.083682
,,,2022-11-22 11:07:11.030,-0.05523,-0.105439
,,,2022-11-22 11:07:11.645,-0.05523,-0.098745
,,,2022-11-22 11:07:12.263,-0.061925,-0.137238
,,,2022-11-22 11:07:12.882,-0.050209,-0.142259
,,,2022-11-22 11:07:13.498,-0.061925,-0.065272
,,,2022-11-22 11:07:14.240,-0.033473,-0.061925
,,,2022-11-22 11:07:14.863,-0.095397,-0.140586
,,,2022-11-22 11:07:15.476,-0.071967,-0.093724
,,,2022-11-22 11:07:16.091,-0.033473,-0.061925
,,,2022-11-22 11:07:16.708,-0.026778,-0.080335
,,,2022-11-22 11:07:17.323,-0.063598,-0.083682
,,,2022-11-22 11:07:17.938,-0.097071,-0.078661
,,,2022-11-22 11:07:18.554,-0.05523,-0.09205
,,,2022-11-22 11:07:19.171,-0.050209,-0.113808
,,,2022-11-22 11:07:19.788,-0.025105,-0.11046
,,,2022-11-22 11:07:20.439,-0.048536,-0.120502
,,,2022-11-22 11:07:21.062,-0.05523,-0.108787
,,,2022-11-22 11:07:21.691,-0.068619,-0.087029
,,,2022-11-22 11:07:22.305,-0.046862,-0.118828
,,,2022-11-22 11:07:22.920,-0.076987,-0.093724
,,,2022-11-22 11:07:23.536,-0.068619,-0.085356
,,,2022-11-22 11:07:24.153,-0.046862,-0.120502
,,,2022-11-22 11:07:24.766,-0.035146,-0.065272
,,,2022-11-22 11:07:25.381,-0.09205,-0.133891
,,,2022-11-22 11:07:26.000,-0.061925,-0.09205
,,,2022-11-22 11:07:26.618,-0.041841,-0.127197
,,,2022-11-22 11:07:27.243,-0.105439,-0.12887
,,,2022-11-22 11:07:27.866,-0.107113,-0.087029
,,,2022-11-22 11:07:28.482,-0.085356,-0.169038
,,,2022-11-22 11:07:29.101,-0.065272,-0.11046
,,,2022-11-22 11:07:29.715,-0.01841,-0.078661
,,,2022-11-22 11:07:30.331,-0.060251,-0.138912
,,,2022-11-22 11:07:30.945,-0.03682,-0.095397
,,,2022-11-22 11:07:31.561,-0.056904,-0.063598
,,,2022-11-22 11:07:32.175,-0.046862,-0.100418
,,,2022-11-22 11:07:32.790,-0.107113,-0.076987
,,,2022-11-22 11:07:33.413,-0.105439,-0.097071
,,,2022-11-22 11:07:34.031,-0.065272,-0.076987
,,,2022-11-22 11:07:34.649,-0.026778,-0.115481
,,,2022-11-22 11:07:35.264,-0.088703,-0.097071
,,,2022-11-22 11:07:35.879,-0.090377,-0.080335
,,,2022-11-22 11:07:36.492,-0.095397,-0.083682
,,,2022-11-22 11:07:37.106,-0.035146,-0.082008
,,,2022-11-22 11:07:37.720,-0.085356,-0.127197
,,,2022-11-22 11:07:38.336,-0.03682,-0.070293
,,,2022-11-22 11:07:38.957,-0.093724,-0.082008
,,,2022-11-22 11:07:39.573,-0.076987,-0.103766
,,,2022-11-22 11:07:40.188,-0.075314,-0.071967
,,,2022-11-22 11:07:40.810,-0.075314,-0.105439
,,,2022-11-22 11:07:41.428,-0.060251,-0.09205
,,,2022-11-22 11:07:42.048,-0.078661,-0.083682
,,,2022-11-22 11:07:42.663,-0.080335,-0.071967
,,,2022-11-22 11:07:43.278,-0.05523,-0.100418
,,,2022-11-22 11:07:43.901,-0.075314,-0.097071
,,,2022-11-22 11:07:44.527,-0.076987,-0.108787
,,,2022-11-22 11:07:45.146,-0.071967,-0.137238
,,,2022-11-22 11:07:45.781,-0.040167,-0.060251
,,,2022-11-22 11:07:46.396,-0.043515,-0.103766
,,,2022-11-22 11:07:47.013,-0.105439,-0.12887
,,,2022-11-22 11:07:47.628,-0.050209,-0.09205
,,,2022-11-22 11:07:48.247,-0.082008,-0.12887
,,,2022-11-22 11:07:48.862,-0.010042,-0.060251
,,,2022-11-22 11:07:49.478,-0.051883,-0.105439
,,,2022-11-22 11:07:50.100,-0.09205,-0.082008
,,,2022-11-22 11:07:50.714,-0.075314,-0.120502
