Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 13:12:00.748,-0.112134,-0.087029
Serial Number:,MY60101365,,2022-11-22 13:12:01.366,-0.078661,-0.065272
Firmware Version:,<Unknown Revision>,,2022-11-22 13:12:01.993,-0.070293,-0.061925
Start Time:,2022-11-22 13:12:00.748,,2022-11-22 13:12:02.610,-0.09205,-0.080335
Stop Time:,2022-11-22 13:22:00.711,,2022-11-22 13:12:03.232,-0.043515,-0.117155
Sample Period:,0.5,,2022-11-22 13:12:03.847,-0.107113,-0.063598
,,,2022-11-22 13:12:04.462,-0.112134,-0.093724
,,,2022-11-22 13:12:05.077,-0.083682,-0.070293
,,,2022-11-22 13:12:05.692,-0.071967,-0.082008
,,,2022-11-22 13:12:06.310,-0.098745,-0.058577
,,,2022-11-22 13:12:06.925,-0.080335,-0.068619
,,,2022-11-22 13:12:07.546,-0.051883,-0.080335
,,,2022-11-22 13:12:08.161,-0.103766,-0.097071
,,,2022-11-22 13:12:08.776,-0.090377,-0.075314
,,,2022-11-22 13:12:12.982,-0.102092,-0.066946
,,,2022-11-22 13:12:13.603,-0.103766,-0.058577
,,,2022-11-22 13:12:14.217,-0.100418,-0.060251
,,,2022-11-22 13:12:14.835,-0.095397,-0.063598
,,,2022-11-22 13:12:15.452,-0.137238,-0.068619
,,,2022-11-22 13:12:16.065,-0.095397,-0.078661
,,,2022-11-22 13:12:16.680,-0.087029,-0.058577
,,,2022-11-22 13:12:17.295,-0.118828,-0.078661
,,,2022-11-22 13:12:17.908,-0.063598,-0.090377
,,,2022-11-22 13:12:18.526,-0.078661,-0.083682
,,,2022-11-22 13:12:19.139,-0.082008,-0.066946
,,,2022-11-22 13:12:19.754,-0.083682,-0.113808
,,,2022-11-22 13:12:20.372,-0.09205,-0.060251
,,,2022-11-22 13:12:20.995,-0.115481,-0.078661
,,,2022-11-22 13:12:21.609,-0.058577,-0.070293
,,,2022-11-22 13:12:22.222,-0.035146,-0.071967
,,,2022-11-22 13:12:22.839,-0.093724,-0.060251
,,,2022-11-22 13:12:23.453,-0.076987,-0.07364
,,,2022-11-22 13:12:24.104,-0.090377,-0.071967
,,,2022-11-22 13:12:24.719,-0.095397,-0.09205
,,,2022-11-22 13:12:25.335,-0.051883,-0.097071
,,,2022-11-22 13:12:25.977,-0.085356,-0.060251
,,,2022-11-22 13:12:26.596,-0.083682,-0.065272
,,,2022-11-22 13:12:27.488,-0.082008,-0.058577
,,,2022-11-22 13:12:28.120,-0.127197,-0.080335
,,,2022-11-22 13:12:28.769,-0.142259,-0.060251
,,,2022-11-22 13:12:29.389,-0.097071,-0.082008
,,,2022-11-22 13:12:30.004,-0.095397,-0.075314
,,,2022-11-22 13:12:30.621,-0.060251,-0.065272
,,,2022-11-22 13:12:31.238,-0.063598,-0.065272
,,,2022-11-22 13:12:31.885,-0.093724,-0.066946
,,,2022-11-22 13:12:32.502,-0.008368,-0.060251
,,,2022-11-22 13:12:33.119,-0.150628,-0.078661
,,,2022-11-22 13:12:33.733,-0.046862,-0.068619
,,,2022-11-22 13:12:34.352,-0.025105,-0.071967
,,,2022-11-22 13:12:34.969,-0.061925,-0.07364
,,,2022-11-22 13:12:35.584,-0.05523,-0.065272
,,,2022-11-22 13:12:36.202,-0.078661,-0.061925
,,,2022-11-22 13:12:36.825,-0.097071,-0.078661
,,,2022-11-22 13:12:37.440,-0.118828,-0.070293
,,,2022-11-22 13:12:38.056,-0.065272,-0.058577
,,,2022-11-22 13:12:38.669,-0.112134,-0.071967
,,,2022-11-22 13:12:39.284,-0.103766,-0.060251
,,,2022-11-22 13:12:39.918,-0.112134,-0.066946
,,,2022-11-22 13:12:40.532,-0.085356,-0.075314
,,,2022-11-22 13:12:41.147,-0.075314,-0.060251
,,,2022-11-22 13:12:41.765,-0.053556,-0.09205
,,,2022-11-22 13:12:42.382,-0.095397,-0.058577
,,,2022-11-22 13:12:43.005,-0.102092,-0.070293
,,,2022-11-22 13:12:43.619,-0.048536,-0.063598
,,,2022-11-22 13:12:44.232,-0.100418,-0.063598
,,,2022-11-22 13:12:44.847,-0.083682,-0.065272
,,,2022-11-22 13:12:45.463,-0.085356,-0.080335
,,,2022-11-22 13:12:46.080,-0.117155,-0.063598
,,,2022-11-22 13:12:46.693,-0.098745,-0.060251
,,,2022-11-22 13:12:47.313,-0.115481,-0.058577
,,,2022-11-22 13:12:47.928,-0.11046,-0.060251
,,,2022-11-22 13:12:48.543,-0.088703,-0.071967
,,,2022-11-22 13:12:49.158,-0.076987,-0.061925
,,,2022-11-22 13:12:49.772,-0.132218,-0.083682
,,,2022-11-22 13:12:50.388,-0.085356,-0.083682
,,,2022-11-22 13:12:51.002,-0.046862,-0.061925
,,,2022-11-22 13:12:51.618,-0.063598,-0.061925
,,,2022-11-22 13:12:52.233,-0.097071,-0.063598
,,,2022-11-22 13:12:52.853,-0.143933,-0.100418
,,,2022-11-22 13:12:53.469,-0.11046,-0.063598
,,,2022-11-22 13:12:54.084,-0.05523,-0.076987
,,,2022-11-22 13:12:54.701,-0.093724,-0.058577
,,,2022-11-22 13:12:55.326,-0.117155,-0.095397
,,,2022-11-22 13:12:55.942,-0.105439,-0.060251
,,,2022-11-22 13:12:56.560,-0.095397,-0.09205
,,,2022-11-22 13:12:57.175,-0.127197,-0.07364
,,,2022-11-22 13:12:57.816,-0.117155,-0.058577
,,,2022-11-22 13:12:58.442,-0.061925,-0.085356
,,,2022-11-22 13:12:59.057,-0.075314,-0.065272
,,,2022-11-22 13:12:59.674,-0.117155,-0.071967
,,,2022-11-22 13:13:00.291,-0.080335,-0.065272
,,,2022-11-22 13:13:00.935,-0.061925,-0.065272
