Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 13:25:05.972,-0.097071,-0.061925
Serial Number:,MY60101365,,2022-11-22 13:25:06.655,-0.090377,-0.075314
Firmware Version:,<Unknown Revision>,,2022-11-22 13:25:07.272,-0.071967,-0.058577
Start Time:,2022-11-22 13:25:05.972,,2022-11-22 13:25:07.889,-0.132218,-0.061925
Stop Time:,2022-11-22 13:35:05.432,,2022-11-22 13:25:08.510,-0.122176,-0.095397
Sample Period:,0.5,,2022-11-22 13:25:09.271,-0.085356,-0.095397
,,,2022-11-22 13:25:09.885,-0.088703,-0.071967
,,,2022-11-22 13:25:10.500,-0.076987,-0.095397
,,,2022-11-22 13:25:11.115,-0.070293,-0.078661
,,,2022-11-22 13:25:11.731,-0.035146,-0.058577
,,,2022-11-22 13:25:12.349,-0.137238,-0.066946
,,,2022-11-22 13:25:12.967,-0.120502,-0.076987
,,,2022-11-22 13:25:13.586,-0.063598,-0.061925
,,,2022-11-22 13:25:14.201,-0.048536,-0.075314
,,,2022-11-22 13:25:14.819,-0.082008,-0.060251
,,,2022-11-22 13:25:15.432,-0.070293,-0.07364
,,,2022-11-22 13:25:16.050,-0.100418,-0.070293
,,,2022-11-22 13:25:16.666,-0.118828,-0.082008
,,,2022-11-22 13:25:17.281,-0.098745,-0.071967
,,,2022-11-22 13:25:17.896,-0.061925,-0.075314
,,,2022-11-22 13:25:18.513,-0.083682,-0.058577
,,,2022-11-22 13:25:19.141,-0.05523,-0.088703
,,,2022-11-22 13:25:19.760,-0.11046,-0.090377
,,,2022-11-22 13:25:20.375,-0.105439,-0.058577
,,,2022-11-22 13:25:20.989,-0.05523,-0.058577
,,,2022-11-22 13:25:21.604,-0.140586,-0.078661
,,,2022-11-22 13:25:22.223,-0.097071,-0.078661
,,,2022-11-22 13:25:22.842,-0.07364,-0.082008
,,,2022-11-22 13:25:23.466,-0.063598,-0.056904
,,,2022-11-22 13:25:24.082,-0.028452,-0.068619
,,,2022-11-22 13:25:24.699,-0.093724,-0.080335
,,,2022-11-22 13:25:25.314,-0.095397,-0.060251
,,,2022-11-22 13:25:25.929,-0.093724,-0.07364
,,,2022-11-22 13:25:26.545,-0.135565,-0.093724
,,,2022-11-22 13:25:27.163,-0.097071,-0.071967
,,,2022-11-22 13:25:27.780,-0.117155,-0.088703
,,,2022-11-22 13:25:28.395,-0.050209,-0.107113
,,,2022-11-22 13:25:29.010,-0.010042,-0.061925
,,,2022-11-22 13:25:29.625,-0.082008,-0.07364
,,,2022-11-22 13:25:30.244,-0.083682,-0.090377
,,,2022-11-22 13:25:30.864,-0.103766,-0.095397
,,,2022-11-22 13:25:31.478,-0.083682,-0.063598
,,,2022-11-22 13:25:32.094,-0.090377,-0.083682
,,,2022-11-22 13:25:32.711,-0.07364,-0.070293
,,,2022-11-22 13:25:33.326,-0.122176,-0.071967
,,,2022-11-22 13:25:33.943,-0.063598,-0.070293
,,,2022-11-22 13:25:34.559,-0.117155,-0.060251
,,,2022-11-22 13:25:35.187,-0.060251,-0.058577
,,,2022-11-22 13:25:35.810,-0.07364,-0.066946
,,,2022-11-22 13:25:36.465,-0.07364,-0.076987
,,,2022-11-22 13:25:37.078,-0.098745,-0.068619
,,,2022-11-22 13:25:37.693,-0.063598,-0.056904
,,,2022-11-22 13:25:38.309,-0.120502,-0.098745
,,,2022-11-22 13:25:38.926,-0.132218,-0.090377
,,,2022-11-22 13:25:39.541,-0.07364,-0.060251
,,,2022-11-22 13:25:40.164,-0.088703,-0.066946
,,,2022-11-22 13:25:40.780,-0.127197,-0.088703
,,,2022-11-22 13:25:41.394,-0.103766,-0.071967
,,,2022-11-22 13:25:42.010,-0.090377,-0.085356
,,,2022-11-22 13:25:42.625,-0.071967,-0.061925
,,,2022-11-22 13:25:43.240,-0.038494,-0.070293
,,,2022-11-22 13:25:43.857,-0.087029,-0.088703
,,,2022-11-22 13:25:44.471,-0.045188,-0.083682
,,,2022-11-22 13:25:45.087,-0.142259,-0.061925
,,,2022-11-22 13:25:45.709,-0.075314,-0.068619
,,,2022-11-22 13:25:46.323,-0.105439,-0.071967
,,,2022-11-22 13:25:46.947,-0.065272,-0.082008
,,,2022-11-22 13:25:47.562,-0.132218,-0.068619
,,,2022-11-22 13:25:48.193,-0.090377,-0.075314
,,,2022-11-22 13:25:48.813,-0.100418,-0.061925
,,,2022-11-22 13:25:49.428,-0.105439,-0.065272
,,,2022-11-22 13:25:50.042,-0.095397,-0.065272
,,,2022-11-22 13:25:50.655,-0.103766,-0.066946
,,,2022-11-22 13:25:51.275,-0.070293,-0.058577
