Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 13:37:23.938,-0.087029,-0.071967
Serial Number:,MY60101365,,2022-11-22 13:37:24.554,-0.135565,-0.068619
Firmware Version:,<Unknown Revision>,,2022-11-22 13:37:25.208,-0.182427,-0.066946
Start Time:,2022-11-22 13:37:23.938,,2022-11-22 13:37:25.877,-0.127197,-0.058577
Stop Time:,2022-11-22 13:47:23.479,,2022-11-22 13:37:26.515,-0.085356,-0.066946
Sample Period:,0.5,,2022-11-22 13:37:27.145,-0.082008,-0.061925
,,,2022-11-22 13:37:27.767,-0.120502,-0.078661
,,,2022-11-22 13:37:28.384,-0.145607,-0.060251
,,,2022-11-22 13:37:29.009,-0.078661,-0.07364
,,,2022-11-22 13:37:29.761,-0.117155,-0.058577
,,,2022-11-22 13:37:30.397,-0.076987,-0.093724
,,,2022-11-22 13:37:31.011,-0.103766,-0.075314
,,,2022-11-22 13:37:31.628,-0.083682,-0.080335
,,,2022-11-22 13:37:32.243,-0.058577,-0.066946
,,,2022-11-22 13:37:32.867,-0.068619,-0.087029
,,,2022-11-22 13:37:33.488,-0.080335,-0.076987
,,,2022-11-22 13:37:34.106,-0.100418,-0.087029
,,,2022-11-22 13:37:34.743,-0.090377,-0.061925
,,,2022-11-22 13:37:35.371,-0.095397,-0.056904
,,,2022-11-22 13:37:35.989,-0.130544,-0.078661
,,,2022-11-22 13:37:36.606,-0.087029,-0.108787
,,,2022-11-22 13:37:37.222,-0.102092,-0.063598
,,,2022-11-22 13:37:37.845,-0.048536,-0.071967
,,,2022-11-22 13:37:38.461,-0.125523,-0.097071
,,,2022-11-22 13:37:39.089,-0.075314,-0.068619
,,,2022-11-22 13:37:39.704,-0.167364,-0.060251
,,,2022-11-22 13:37:40.343,-0.046862,-0.066946
,,,2022-11-22 13:37:40.970,-0.075314,-0.065272
,,,2022-11-22 13:37:41.587,-0.090377,-0.071967
,,,2022-11-22 13:37:42.201,-0.164017,-0.068619
,,,2022-11-22 13:37:42.843,-0.108787,-0.066946
,,,2022-11-22 13:37:43.465,-0.093724,-0.083682
,,,2022-11-22 13:37:44.080,-0.189121,-0.095397
,,,2022-11-22 13:37:44.703,-0.098745,-0.090377
,,,2022-11-22 13:37:45.354,-0.132218,-0.070293
,,,2022-11-22 13:37:45.973,-0.098745,-0.061925
,,,2022-11-22 13:37:46.596,-0.115481,-0.070293
,,,2022-11-22 13:37:47.211,-0.09205,-0.098745
,,,2022-11-22 13:37:47.851,-0.117155,-0.065272
,,,2022-11-22 13:37:48.486,-0.120502,-0.060251
,,,2022-11-22 13:37:49.101,-0.078661,-0.058577
,,,2022-11-22 13:37:49.718,-0.117155,-0.061925
,,,2022-11-22 13:37:50.357,-0.100418,-0.058577
,,,2022-11-22 13:37:50.973,-0.076987,-0.071967
,,,2022-11-22 13:37:51.593,-0.013389,-0.058577
,,,2022-11-22 13:37:52.209,-0.068619,-0.071967
,,,2022-11-22 13:37:52.850,-0.068619,-0.058577
,,,2022-11-22 13:37:53.472,-0.075314,-0.061925
