Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 13:49:05.732,-0.076987,-0.080335
Serial Number:,MY60101365,,2022-11-22 13:49:06.348,-0.125523,-0.058577
Firmware Version:,<Unknown Revision>,,2022-11-22 13:49:06.978,-0.066946,-0.087029
Start Time:,2022-11-22 13:49:05.732,,2022-11-22 13:49:07.595,-0.105439,-0.060251
Stop Time:,2022-11-22 13:59:05.358,,2022-11-22 13:49:08.217,-0.117155,-0.068619
Sample Period:,0.5,,2022-11-22 13:49:08.837,-0.07364,-0.063598
,,,2022-11-22 13:49:13.886,-0.058577,-0.07364
,,,2022-11-22 13:49:14.527,-0.143933,-0.082008
,,,2022-11-22 13:49:15.143,-0.108787,-0.063598
,,,2022-11-22 13:49:15.758,-0.175732,-0.076987
,,,2022-11-22 13:49:16.401,-0.088703,-0.09205
,,,2022-11-22 13:49:17.027,-0.09205,-0.058577
,,,2022-11-22 13:49:17.640,-0.075314,-0.103766
,,,2022-11-22 13:49:18.258,-0.105439,-0.065272
,,,2022-11-22 13:49:18.877,-0.130544,-0.066946
,,,2022-11-22 13:49:19.491,-0.148954,-0.082008
,,,2022-11-22 13:49:20.111,-0.19749,-0.070293
,,,2022-11-22 13:49:20.725,-0.125523,-0.085356
,,,2022-11-22 13:49:21.363,-0.132218,-0.070293
,,,2022-11-22 13:49:21.990,-0.083682,-0.071967
,,,2022-11-22 13:49:22.606,-0.040167,-0.083682
,,,2022-11-22 13:49:23.222,-0.078661,-0.071967
,,,2022-11-22 13:49:23.857,-0.063598,-0.075314
,,,2022-11-22 13:49:24.481,-0.115481,-0.058577
,,,2022-11-22 13:49:25.099,-0.090377,-0.061925
,,,2022-11-22 13:49:25.714,-0.071967,-0.082008
,,,2022-11-22 13:49:26.356,-0.076987,-0.070293
,,,2022-11-22 13:49:27.013,-0.152301,-0.103766
,,,2022-11-22 13:49:27.639,-0.087029,-0.108787
,,,2022-11-22 13:49:28.256,-0.070293,-0.060251
,,,2022-11-22 13:49:28.873,-0.153975,-0.083682
,,,2022-11-22 13:49:29.490,-0.095397,-0.076987
,,,2022-11-22 13:49:30.119,-0.182427,-0.087029
,,,2022-11-22 13:49:30.737,-0.105439,-0.058577
,,,2022-11-22 13:49:31.355,-0.11046,-0.066946
,,,2022-11-22 13:49:31.973,-0.087029,-0.080335
,,,2022-11-22 13:49:32.586,-0.113808,-0.063598
,,,2022-11-22 13:49:33.202,-0.105439,-0.083682
,,,2022-11-22 13:49:33.840,-0.075314,-0.060251
,,,2022-11-22 13:49:34.479,-0.107113,-0.071967
,,,2022-11-22 13:49:35.095,-0.108787,-0.107113
,,,2022-11-22 13:49:35.721,-0.12887,-0.071967
,,,2022-11-22 13:49:36.361,-0.11046,-0.065272
,,,2022-11-22 13:49:36.982,-0.118828,-0.07364
,,,2022-11-22 13:49:37.595,-0.098745,-0.063598
,,,2022-11-22 13:49:38.208,-0.095397,-0.061925
,,,2022-11-22 13:49:38.849,-0.152301,-0.070293
,,,2022-11-22 13:49:39.469,-0.083682,-0.078661
,,,2022-11-22 13:49:40.090,-0.12887,-0.065272
,,,2022-11-22 13:49:40.704,-0.122176,-0.058577
,,,2022-11-22 13:49:41.366,-0.095397,-0.075314
,,,2022-11-22 13:49:41.989,-0.120502,-0.068619
,,,2022-11-22 13:49:42.604,-0.093724,-0.066946
,,,2022-11-22 13:49:43.219,-0.05523,-0.078661
,,,2022-11-22 13:49:43.853,-0.167364,-0.075314
,,,2022-11-22 13:49:44.480,-0.120502,-0.061925
,,,2022-11-22 13:49:45.097,-0.174059,-0.076987
,,,2022-11-22 13:49:45.716,-0.090377,-0.076987
,,,2022-11-22 13:49:46.344,-0.145607,-0.080335
,,,2022-11-22 13:49:46.959,-0.082008,-0.063598
,,,2022-11-22 13:49:47.577,-0.05523,-0.065272
,,,2022-11-22 13:49:48.192,-0.127197,-0.07364
,,,2022-11-22 13:49:48.833,-0.100418,-0.056904
,,,2022-11-22 13:49:49.464,-0.120502,-0.080335
,,,2022-11-22 13:49:50.079,-0.11046,-0.070293
,,,2022-11-22 13:49:50.697,-0.133891,-0.075314
,,,2022-11-22 13:49:51.316,-0.125523,-0.07364
,,,2022-11-22 13:49:51.963,-0.1841,-0.056904
,,,2022-11-22 13:49:52.582,-0.066946,-0.060251
,,,2022-11-22 13:49:53.203,-0.087029,-0.056904
,,,2022-11-22 13:49:53.841,-0.107113,-0.058577
,,,2022-11-22 13:49:54.473,-0.066946,-0.085356
,,,2022-11-22 13:49:55.088,-0.085356,-0.066946
,,,2022-11-22 13:49:55.704,-0.100418,-0.078661
,,,2022-11-22 13:49:56.355,-0.102092,-0.083682
,,,2022-11-22 13:49:56.980,-0.153975,-0.063598
,,,2022-11-22 13:49:57.632,-0.010042,-0.060251
,,,2022-11-22 13:49:58.262,-0.108787,-0.082008
,,,2022-11-22 13:49:58.967,-0.120502,-0.09205
,,,2022-11-22 13:49:59.596,-0.107113,-0.060251
,,,2022-11-22 13:50:00.227,-0.143933,-0.056904
,,,2022-11-22 13:50:00.845,-0.053556,-0.088703
,,,2022-11-22 13:50:01.461,-0.097071,-0.097071
,,,2022-11-22 13:50:02.078,-0.130544,-0.07364
,,,2022-11-22 13:50:02.694,-0.070293,-0.078661
,,,2022-11-22 13:50:03.319,-0.132218,-0.065272
,,,2022-11-22 13:50:03.979,-0.083682,-0.082008
,,,2022-11-22 13:50:04.594,-0.070293,-0.07364
,,,2022-11-22 13:50:05.217,-0.088703,-0.071967
,,,2022-11-22 13:50:05.862,-0.082008,-0.085356
,,,2022-11-22 13:50:06.529,-0.100418,-0.095397
,,,2022-11-22 13:50:07.163,-0.058577,-0.060251
,,,2022-11-22 13:50:07.777,-0.080335,-0.070293
,,,2022-11-22 13:50:08.402,-0.130544,-0.058577
,,,2022-11-22 13:50:09.064,-0.093724,-0.068619
,,,2022-11-22 13:50:09.870,-0.140586,-0.068619
,,,2022-11-22 13:50:10.594,-0.098745,-0.060251
,,,2022-11-22 13:50:11.392,-0.046862,-0.065272
,,,2022-11-22 13:50:12.211,-0.095397,-0.102092
,,,2022-11-22 13:50:13.083,-0.103766,-0.070293
,,,2022-11-22 13:50:13.874,-0.105439,-0.068619
,,,2022-11-22 13:50:14.529,-0.120502,-0.088703
,,,2022-11-22 13:50:15.142,-0.150628,-0.068619
,,,2022-11-22 13:50:15.756,-0.132218,-0.083682
,,,2022-11-22 13:50:16.390,-0.137238,-0.076987
,,,2022-11-22 13:50:17.008,-0.138912,-0.083682
,,,2022-11-22 13:50:17.639,-0.078661,-0.063598
,,,2022-11-22 13:50:18.263,-0.118828,-0.066946
,,,2022-11-22 13:50:18.892,-0.107113,-0.068619
,,,2022-11-22 13:50:19.506,-0.097071,-0.076987
,,,2022-11-22 13:50:20.128,-0.095397,-0.066946
,,,2022-11-22 13:50:20.745,-0.118828,-0.068619
,,,2022-11-22 13:50:21.362,-0.145607,-0.112134
,,,2022-11-22 13:50:21.988,-0.107113,-0.063598
,,,2022-11-22 13:50:22.605,-0.09205,-0.078661
,,,2022-11-22 13:50:23.220,-0.09205,-0.061925
,,,2022-11-22 13:50:23.841,-0.040167,-0.058577
,,,2022-11-22 13:50:24.473,-0.09205,-0.07364
,,,2022-11-22 13:50:25.087,-0.152301,-0.061925
,,,2022-11-22 13:50:25.701,-0.12887,-0.076987
,,,2022-11-22 13:50:26.342,-0.070293,-0.078661
,,,2022-11-22 13:50:26.971,-0.09205,-0.061925
,,,2022-11-22 13:50:27.589,-0.102092,-0.103766
,,,2022-11-22 13:50:28.206,-0.117155,-0.056904
,,,2022-11-22 13:50:28.847,-0.098745,-0.061925
,,,2022-11-22 13:50:29.468,-0.093724,-0.080335
,,,2022-11-22 13:50:30.084,-0.010042,-0.063598
,,,2022-11-22 13:50:30.713,-0.12887,-0.060251
,,,2022-11-22 13:50:31.341,-0.113808,-0.095397
,,,2022-11-22 13:50:31.954,-0.102092,-0.075314
,,,2022-11-22 13:50:32.569,-0.137238,-0.056904
,,,2022-11-22 13:50:33.182,-0.087029,-0.071967
,,,2022-11-22 13:50:33.850,-0.076987,-0.076987
,,,2022-11-22 13:50:34.466,-0.008368,-0.060251
,,,2022-11-22 13:50:35.086,-0.142259,-0.061925
,,,2022-11-22 13:50:35.716,-0.12887,-0.061925
,,,2022-11-22 13:50:36.352,-0.076987,-0.100418
,,,2022-11-22 13:50:36.977,-0.11046,-0.070293
,,,2022-11-22 13:50:37.592,-0.088703,-0.085356
,,,2022-11-22 13:50:38.207,-0.083682,-0.065272
,,,2022-11-22 13:50:38.872,-0.105439,-0.071967
,,,2022-11-22 13:50:39.496,-0.122176,-0.097071
,,,2022-11-22 13:50:40.115,-0.090377,-0.066946
,,,2022-11-22 13:50:40.730,-0.07364,-0.063598
,,,2022-11-22 13:50:41.353,-0.071967,-0.060251
,,,2022-11-22 13:50:41.971,-0.133891,-0.060251
,,,2022-11-22 13:50:42.609,-0.058577,-0.068619
,,,2022-11-22 13:50:43.228,-0.090377,-0.083682
,,,2022-11-22 13:50:43.849,-0.158996,-0.061925
,,,2022-11-22 13:50:44.464,-0.093724,-0.078661
,,,2022-11-22 13:50:45.079,-0.167364,-0.080335
,,,2022-11-22 13:50:45.696,-0.112134,-0.087029
,,,2022-11-22 13:50:46.348,-0.127197,-0.083682
,,,2022-11-22 13:50:46.980,-0.125523,-0.083682
,,,2022-11-22 13:50:47.601,-0.11046,-0.078661
,,,2022-11-22 13:50:48.248,-0.085356,-0.068619
,,,2022-11-22 13:50:48.864,-0.105439,-0.076987
,,,2022-11-22 13:50:49.480,-0.143933,-0.056904
,,,2022-11-22 13:50:50.103,-0.087029,-0.07364
,,,2022-11-22 13:50:50.720,-0.008368,-0.061925
,,,2022-11-22 13:50:51.339,-0.068619,-0.071967
,,,2022-11-22 13:50:51.957,-0.078661,-0.063598
,,,2022-11-22 13:50:52.583,-0.135565,-0.078661
,,,2022-11-22 13:50:53.197,-0.070293,-0.066946
,,,2022-11-22 13:50:53.837,-0.087029,-0.075314
,,,2022-11-22 13:50:54.460,-0.097071,-0.07364
,,,2022-11-22 13:50:55.077,-0.075314,-0.071967
,,,2022-11-22 13:50:55.693,-0.107113,-0.070293
,,,2022-11-22 13:50:56.317,-0.132218,-0.060251
,,,2022-11-22 13:50:56.963,-0.068619,-0.07364
,,,2022-11-22 13:50:57.585,-0.157322,-0.071967
,,,2022-11-22 13:50:58.203,-0.112134,-0.071967
,,,2022-11-22 13:50:58.856,-0.103766,-0.066946
,,,2022-11-22 13:50:59.475,-0.123849,-0.087029
,,,2022-11-22 13:51:00.094,-0.07364,-0.060251
,,,2022-11-22 13:51:00.717,-0.085356,-0.080335
,,,2022-11-22 13:51:01.347,-0.127197,-0.087029
,,,2022-11-22 13:51:01.974,-0.125523,-0.065272
,,,2022-11-22 13:51:02.612,-0.083682,-0.09205
,,,2022-11-22 13:51:03.375,-0.157322,-0.075314
,,,2022-11-22 13:51:04.082,-0.11046,-0.060251
,,,2022-11-22 13:51:04.857,-0.150628,-0.068619
,,,2022-11-22 13:51:05.574,-0.080335,-0.063598
,,,2022-11-22 13:51:06.247,-0.065272,-0.061925
,,,2022-11-22 13:51:06.964,-0.115481,-0.061925
,,,2022-11-22 13:51:07.606,-0.122176,-0.065272
,,,2022-11-22 13:51:08.222,-0.113808,-0.070293
,,,2022-11-22 13:51:08.898,-0.065272,-0.088703
,,,2022-11-22 13:51:13.254,-0.093724,-0.066946
,,,2022-11-22 13:51:13.888,-0.132218,-0.066946
,,,2022-11-22 13:51:14.503,-0.093724,-0.060251
,,,2022-11-22 13:51:15.119,-0.100418,-0.058577
,,,2022-11-22 13:51:15.737,-0.118828,-0.060251
,,,2022-11-22 13:51:16.354,-0.063598,-0.070293
,,,2022-11-22 13:51:16.969,-0.076987,-0.065272
,,,2022-11-22 13:51:17.586,-0.056904,-0.09205
,,,2022-11-22 13:51:18.202,-0.076987,-0.070293
,,,2022-11-22 13:51:18.843,-0.066946,-0.060251
,,,2022-11-22 13:51:19.468,-0.063598,-0.085356
,,,2022-11-22 13:51:20.086,-0.11046,-0.071967
,,,2022-11-22 13:51:20.702,-0.080335,-0.060251
,,,2022-11-22 13:51:21.346,-0.122176,-0.066946
,,,2022-11-22 13:51:21.967,-0.070293,-0.078661
,,,2022-11-22 13:51:22.584,-0.14728,-0.063598
,,,2022-11-22 13:51:23.200,-0.125523,-0.058577
,,,2022-11-22 13:51:23.850,-0.090377,-0.063598
,,,2022-11-22 13:51:24.467,-0.102092,-0.070293
,,,2022-11-22 13:51:25.087,-0.117155,-0.061925
,,,2022-11-22 13:51:25.718,-0.120502,-0.066946
,,,2022-11-22 13:51:26.337,-0.097071,-0.080335
,,,2022-11-22 13:51:26.955,-0.11046,-0.070293
,,,2022-11-22 13:51:27.570,-0.118828,-0.085356
,,,2022-11-22 13:51:28.190,-0.112134,-0.066946
,,,2022-11-22 13:51:28.836,-0.085356,-0.063598
,,,2022-11-22 13:51:29.464,-0.056904,-0.095397
,,,2022-11-22 13:51:30.082,-0.097071,-0.088703
,,,2022-11-22 13:51:30.710,-0.095397,-0.076987
,,,2022-11-22 13:51:31.333,-0.125523,-0.063598
,,,2022-11-22 13:51:31.964,-0.132218,-0.080335
,,,2022-11-22 13:51:32.583,-0.087029,-0.083682
,,,2022-11-22 13:51:33.207,-0.100418,-0.068619
,,,2022-11-22 13:51:33.848,-0.11046,-0.058577
,,,2022-11-22 13:51:34.470,-0.07364,-0.058577
,,,2022-11-22 13:51:35.084,-0.100418,-0.066946
,,,2022-11-22 13:51:35.698,-0.065272,-0.080335
,,,2022-11-22 13:51:36.346,-0.148954,-0.070293
,,,2022-11-22 13:51:36.962,-0.082008,-0.063598
,,,2022-11-22 13:51:37.579,-0.140586,-0.07364
,,,2022-11-22 13:51:38.197,-0.103766,-0.070293
,,,2022-11-22 13:51:38.815,-0.082008,-0.070293
,,,2022-11-22 13:51:39.496,-0.097071,-0.063598
,,,2022-11-22 13:51:40.111,-0.082008,-0.075314
,,,2022-11-22 13:51:40.728,-0.107113,-0.065272
,,,2022-11-22 13:51:41.349,-0.12887,-0.056904
,,,2022-11-22 13:51:41.968,-0.090377,-0.063598
,,,2022-11-22 13:51:42.581,-0.058577,-0.071967
,,,2022-11-22 13:51:43.204,-0.100418,-0.061925
,,,2022-11-22 13:51:43.831,-0.132218,-0.065272
,,,2022-11-22 13:51:44.451,-0.090377,-0.061925
,,,2022-11-22 13:51:45.068,-0.142259,-0.060251
,,,2022-11-22 13:51:45.683,-0.118828,-0.060251
,,,2022-11-22 13:51:46.346,-0.150628,-0.060251
,,,2022-11-22 13:51:46.984,-0.123849,-0.058577
,,,2022-11-22 13:51:47.601,-0.130544,-0.088703
,,,2022-11-22 13:51:48.216,-0.150628,-0.063598
,,,2022-11-22 13:51:48.832,-0.142259,-0.07364
,,,2022-11-22 13:51:49.445,-0.010042,-0.060251
,,,2022-11-22 13:51:50.059,-0.102092,-0.088703
,,,2022-11-22 13:51:50.675,-0.177406,-0.071967
,,,2022-11-22 13:51:51.329,-0.12887,-0.088703
,,,2022-11-22 13:51:51.984,-0.140586,-0.068619
,,,2022-11-22 13:51:52.608,-0.108787,-0.080335
,,,2022-11-22 13:51:53.227,-0.087029,-0.070293
,,,2022-11-22 13:51:53.843,-0.132218,-0.083682
,,,2022-11-22 13:51:54.456,-0.076987,-0.070293
,,,2022-11-22 13:51:55.073,-0.070293,-0.076987
