Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 14:01:35.316,-0.098745,-0.060251
Serial Number:,MY60101365,,2022-11-22 14:01:35.933,-0.080335,-0.087029
Firmware Version:,<Unknown Revision>,,2022-11-22 14:01:36.551,-0.097071,-0.060251
Start Time:,2022-11-22 14:01:35.316,,2022-11-22 14:01:37.168,-0.090377,-0.058577
Stop Time:,2022-11-22 14:11:35.237,,2022-11-22 14:01:37.787,-0.083682,-0.102092
Sample Period:,0.5,,2022-11-22 14:01:38.400,-0.113808,-0.068619
,,,2022-11-22 14:01:39.014,-0.122176,-0.065272
,,,2022-11-22 14:01:39.631,-0.013389,-0.065272
,,,2022-11-22 14:01:40.247,-0.145607,-0.061925
,,,2022-11-22 14:01:40.883,-0.090377,-0.065272
,,,2022-11-22 14:01:41.497,-0.09205,-0.09205
,,,2022-11-22 14:01:42.113,-0.070293,-0.063598
,,,2022-11-22 14:01:42.730,-0.075314,-0.061925
,,,2022-11-22 14:01:43.347,-0.085356,-0.060251
,,,2022-11-22 14:01:43.963,-0.127197,-0.056904
,,,2022-11-22 14:01:44.578,-0.095397,-0.066946
,,,2022-11-22 14:01:45.196,-0.098745,-0.058577
,,,2022-11-22 14:01:45.813,-0.035146,-0.075314
,,,2022-11-22 14:01:46.448,-0.097071,-0.058577
,,,2022-11-22 14:01:47.063,-0.065272,-0.060251
,,,2022-11-22 14:01:47.678,-0.160669,-0.078661
,,,2022-11-22 14:01:48.292,-0.09205,-0.060251
,,,2022-11-22 14:01:48.908,-0.071967,-0.097071
,,,2022-11-22 14:01:49.527,-0.132218,-0.090377
,,,2022-11-22 14:01:50.144,-0.11046,-0.060251
,,,2022-11-22 14:01:50.760,-0.170711,-0.058577
,,,2022-11-22 14:01:51.383,-0.140586,-0.070293
,,,2022-11-22 14:01:51.997,-0.123849,-0.065272
,,,2022-11-22 14:01:52.611,-0.097071,-0.068619
,,,2022-11-22 14:01:53.224,-0.102092,-0.060251
,,,2022-11-22 14:01:53.840,-0.088703,-0.078661
,,,2022-11-22 14:01:54.456,-0.076987,-0.056904
,,,2022-11-22 14:01:55.072,-0.088703,-0.087029
,,,2022-11-22 14:01:55.713,-0.098745,-0.060251
,,,2022-11-22 14:01:56.327,-0.130544,-0.070293
,,,2022-11-22 14:01:56.942,-0.115481,-0.058577
,,,2022-11-22 14:01:57.558,-0.122176,-0.058577
,,,2022-11-22 14:01:58.173,-0.07364,-0.082008
,,,2022-11-22 14:01:58.792,-0.122176,-0.060251
,,,2022-11-22 14:01:59.410,-0.135565,-0.061925
,,,2022-11-22 14:02:00.025,-0.090377,-0.058577
,,,2022-11-22 14:02:00.641,-0.061925,-0.066946
,,,2022-11-22 14:02:01.256,-0.117155,-0.085356
,,,2022-11-22 14:02:01.877,-0.180753,-0.07364
,,,2022-11-22 14:02:02.494,-0.130544,-0.058577
,,,2022-11-22 14:02:03.117,-0.008368,-0.063598
,,,2022-11-22 14:02:03.733,-0.045188,-0.083682
