Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-22 16:26:05.714,-0.087029,-0.071967
Serial Number:,MY60101365,,2022-11-22 16:26:06.415,-0.14728,-0.065272
Firmware Version:,<Unknown Revision>,,2022-11-22 16:26:07.114,-0.093724,-0.11046
Start Time:,2022-11-22 16:26:05.714,,2022-11-22 16:26:07.739,-0.132218,-0.065272
Stop Time:,2022-11-22 16:36:05.667,,2022-11-22 16:26:08.359,-0.108787,-0.09205
Sample Period:,0.5,,2022-11-22 16:26:09.035,-0.050209,-0.088703
,,,2022-11-22 16:26:09.768,-0.138912,-0.068619
,,,2022-11-22 16:26:10.640,-0.105439,-0.093724
,,,2022-11-22 16:26:13.779,-0.048536,-0.133891
,,,2022-11-22 16:26:14.399,-0.082008,-0.061925
,,,2022-11-22 16:26:15.012,-0.09205,-0.123849
,,,2022-11-22 16:26:15.629,-0.138912,-0.07364
,,,2022-11-22 16:26:16.247,-0.076987,-0.080335
,,,2022-11-22 16:26:16.864,-0.102092,-0.087029
,,,2022-11-22 16:26:17.478,-0.117155,-0.11046
,,,2022-11-22 16:26:18.094,-0.083682,-0.068619
,,,2022-11-22 16:26:18.712,-0.085356,-0.148954
,,,2022-11-22 16:26:19.368,-0.180753,-0.105439
,,,2022-11-22 16:26:19.981,-0.065272,-0.087029
,,,2022-11-22 16:26:20.594,-0.095397,-0.09205
,,,2022-11-22 16:26:21.210,-0.123849,-0.115481
,,,2022-11-22 16:26:21.826,-0.118828,-0.087029
,,,2022-11-22 16:26:22.442,-0.070293,-0.100418
,,,2022-11-22 16:26:23.059,-0.103766,-0.138912
,,,2022-11-22 16:26:23.679,-0.127197,-0.107113
,,,2022-11-22 16:26:24.301,-0.065272,-0.105439
,,,2022-11-22 16:26:24.922,-0.122176,-0.118828
,,,2022-11-22 16:26:25.536,-0.108787,-0.112134
,,,2022-11-22 16:26:26.149,-0.097071,-0.093724
,,,2022-11-22 16:26:26.777,-0.060251,-0.085356
,,,2022-11-22 16:26:27.390,-0.083682,-0.071967
,,,2022-11-22 16:26:28.004,-0.070293,-0.083682
,,,2022-11-22 16:26:28.626,-0.112134,-0.095397
,,,2022-11-22 16:26:29.240,-0.060251,-0.075314
,,,2022-11-22 16:26:29.852,-0.107113,-0.14728
,,,2022-11-22 16:26:30.465,-0.160669,-0.078661
,,,2022-11-22 16:26:31.079,-0.12887,-0.09205
,,,2022-11-22 16:26:31.690,-0.082008,-0.076987
,,,2022-11-22 16:26:32.301,-0.075314,-0.065272
,,,2022-11-22 16:26:32.913,-0.123849,-0.108787
,,,2022-11-22 16:26:33.525,-0.158996,-0.068619
,,,2022-11-22 16:26:34.140,-0.125523,-0.060251
,,,2022-11-22 16:26:34.751,-0.130544,-0.102092
,,,2022-11-22 16:26:35.375,-0.145607,-0.112134
,,,2022-11-22 16:26:35.990,-0.097071,-0.082008
,,,2022-11-22 16:26:36.602,-0.07364,-0.113808
,,,2022-11-22 16:26:37.217,-0.200837,-0.065272
,,,2022-11-22 16:26:37.832,-0.16569,-0.075314
,,,2022-11-22 16:26:38.446,-0.080335,-0.097071
,,,2022-11-22 16:26:39.062,-0.153975,-0.082008
,,,2022-11-22 16:26:39.674,-0.112134,-0.070293
,,,2022-11-22 16:26:40.326,-0.120502,-0.078661
,,,2022-11-22 16:26:40.941,-0.09205,-0.130544
,,,2022-11-22 16:26:41.560,-0.045188,-0.071967
,,,2022-11-22 16:26:42.172,-0.122176,-0.137238
,,,2022-11-22 16:26:42.792,-0.108787,-0.125523
,,,2022-11-22 16:26:43.404,-0.130544,-0.150628
,,,2022-11-22 16:26:44.018,-0.105439,-0.080335
,,,2022-11-22 16:26:44.636,-0.103766,-0.12887
,,,2022-11-22 16:26:45.251,-0.143933,-0.082008
,,,2022-11-22 16:26:45.874,-0.152301,-0.100418
,,,2022-11-22 16:26:46.487,-0.137238,-0.095397
,,,2022-11-22 16:26:47.101,-0.120502,-0.066946
,,,2022-11-22 16:26:47.718,-0.090377,-0.065272
,,,2022-11-22 16:26:48.334,-0.010042,-0.065272
,,,2022-11-22 16:26:48.950,-0.127197,-0.105439
,,,2022-11-22 16:26:49.564,-0.087029,-0.118828
,,,2022-11-22 16:26:50.179,-0.113808,-0.075314
,,,2022-11-22 16:26:50.791,-0.097071,-0.093724
,,,2022-11-22 16:26:51.403,-0.048536,-0.066946
,,,2022-11-22 16:26:52.020,-0.138912,-0.088703
,,,2022-11-22 16:26:52.633,-0.082008,-0.118828
,,,2022-11-22 16:26:53.245,-0.140586,-0.060251
,,,2022-11-22 16:26:53.916,-0.083682,-0.080335
,,,2022-11-22 16:26:54.528,-0.100418,-0.132218
,,,2022-11-22 16:26:55.142,-0.061925,-0.105439
,,,2022-11-22 16:26:55.758,-0.05523,-0.07364
,,,2022-11-22 16:26:56.372,-0.112134,-0.085356
,,,2022-11-22 16:26:56.984,-0.085356,-0.083682
,,,2022-11-22 16:26:57.602,-0.028452,-0.060251
,,,2022-11-22 16:26:58.213,-0.127197,-0.105439
,,,2022-11-22 16:26:58.828,-0.100418,-0.087029
,,,2022-11-22 16:26:59.443,-0.098745,-0.095397
,,,2022-11-22 16:27:00.055,-0.05523,-0.087029
,,,2022-11-22 16:27:00.678,-0.097071,-0.135565
,,,2022-11-22 16:27:01.289,-0.078661,-0.093724
,,,2022-11-22 16:27:01.904,-0.12887,-0.107113
,,,2022-11-22 16:27:02.521,-0.118828,-0.090377
,,,2022-11-22 16:27:03.145,-0.100418,-0.066946
,,,2022-11-22 16:27:03.759,-0.117155,-0.063598
,,,2022-11-22 16:27:04.374,-0.095397,-0.061925
