Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-23 09:23:32.745,-0.12385,-0.117155
Serial Number:,MY60101365,,2022-11-23 09:23:33.357,-0.13054,-0.071967
Firmware Version:,<Unknown Revision>,,2022-11-23 09:23:33.970,-0.13724,-0.082008
Start Time:,2022-11-23 09:23:32.745,,2022-11-23 09:23:34.586,-0.14393,-0.065272
Stop Time:,2022-11-23 09:33:32.247,,2022-11-23 09:23:35.197,-0.18075,-0.087029
Sample Period:,0.5,,2022-11-23 09:23:35.810,-0.09038,-0.087029
,,,2022-11-23 09:23:36.432,-0.18745,-0.066946
,,,2022-11-23 09:23:37.047,-0.11381,-0.076987
,,,2022-11-23 09:23:37.661,-0.13054,-0.065272
,,,2022-11-23 09:23:38.278,-0.1841,-0.115481
,,,2022-11-23 09:23:38.894,-0.11715,-0.105439
,,,2022-11-23 09:23:39.508,-0.10042,-0.07364
,,,2022-11-23 09:23:40.123,-0.1841,-0.071967
,,,2022-11-23 09:23:40.743,-0.1205,-0.060251
,,,2022-11-23 09:23:41.358,-0.18745,-0.076987
,,,2022-11-23 09:23:41.973,-0.19749,-0.122176
,,,2022-11-23 09:23:42.590,-0.11046,-0.127197
,,,2022-11-23 09:23:43.201,-0.06695,-0.103766
,,,2022-11-23 09:23:43.825,-0.14059,-0.07364
,,,2022-11-23 09:23:44.442,-0.15063,-0.075314
,,,2022-11-23 09:23:45.053,-0.14393,-0.078661
,,,2022-11-23 09:23:45.667,-0.13724,-0.105439
,,,2022-11-23 09:23:46.284,-0.14393,-0.083682
,,,2022-11-23 09:23:46.898,-0.13724,-0.138912
,,,2022-11-23 09:23:47.516,-0.15063,-0.068619
,,,2022-11-23 09:23:48.133,-0.15063,-0.090377
,,,2022-11-23 09:23:48.746,-0.09707,-0.076987
,,,2022-11-23 09:23:49.418,-0.13389,-0.083682
,,,2022-11-23 09:23:50.033,-0.10042,-0.068619
,,,2022-11-23 09:23:50.676,-0.14059,-0.065272
,,,2022-11-23 09:23:51.308,-0.14059,-0.07364
