Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-23 13:32:16.625,-0.169038,-0.060251
Serial Number:,MY60101365,,2022-11-23 13:32:17.234,-0.103766,-0.076987
Firmware Version:,<Unknown Revision>,,2022-11-23 13:32:17.857,-0.082008,-0.060251
Start Time:,2022-11-23 13:32:16.625,,2022-11-23 13:32:18.480,-0.097071,-0.070293
Stop Time:,2022-11-23 13:42:16.516,,2022-11-23 13:32:19.119,-0.145607,-0.061925
Sample Period:,0.5,,2022-11-23 13:32:19.740,-0.137238,-0.087029
,,,2022-11-23 13:32:20.351,-0.14728,-0.063598
,,,2022-11-23 13:32:20.995,-0.071967,-0.061925
,,,2022-11-23 13:32:21.612,-0.12887,-0.065272
,,,2022-11-23 13:32:22.232,-0.013389,-0.066946
,,,2022-11-23 13:32:22.854,-0.113808,-0.070293
,,,2022-11-23 13:32:23.463,-0.093724,-0.066946
,,,2022-11-23 13:32:24.075,-0.097071,-0.066946
,,,2022-11-23 13:32:24.685,-0.148954,-0.075314
,,,2022-11-23 13:32:25.305,-0.07364,-0.075314
,,,2022-11-23 13:32:25.916,-0.097071,-0.061925
,,,2022-11-23 13:32:26.545,-0.127197,-0.063598
,,,2022-11-23 13:32:27.159,-0.112134,-0.071967
,,,2022-11-23 13:32:27.773,-0.097071,-0.080335
,,,2022-11-23 13:32:28.389,-0.098745,-0.060251
,,,2022-11-23 13:32:29.001,-0.157322,-0.095397
,,,2022-11-23 13:32:29.625,-0.102092,-0.060251
,,,2022-11-23 13:32:30.235,-0.013389,-0.061925
,,,2022-11-23 13:32:30.858,-0.148954,-0.063598
,,,2022-11-23 13:32:31.470,-0.127197,-0.065272
,,,2022-11-23 13:32:32.083,-0.098745,-0.068619
,,,2022-11-23 13:32:32.694,-0.164017,-0.058577
,,,2022-11-23 13:32:33.303,-0.085356,-0.060251
,,,2022-11-23 13:32:33.921,-0.082008,-0.063598
,,,2022-11-23 13:32:34.532,-0.010042,-0.066946
,,,2022-11-23 13:32:35.142,-0.07364,-0.060251
,,,2022-11-23 13:32:35.753,-0.088703,-0.087029
,,,2022-11-23 13:32:36.368,-0.118828,-0.083682
,,,2022-11-23 13:32:36.980,-0.142259,-0.065272
,,,2022-11-23 13:32:37.589,-0.108787,-0.058577
,,,2022-11-23 13:32:38.198,-0.097071,-0.082008
,,,2022-11-23 13:32:38.808,-0.127197,-0.107113
,,,2022-11-23 13:32:39.419,-0.132218,-0.078661
,,,2022-11-23 13:32:40.030,-0.100418,-0.066946
,,,2022-11-23 13:32:40.641,-0.083682,-0.061925
,,,2022-11-23 13:32:41.255,-0.123849,-0.068619
,,,2022-11-23 13:32:41.865,-0.010042,-0.056904
,,,2022-11-23 13:32:42.506,-0.115481,-0.065272
,,,2022-11-23 13:32:43.127,-0.015063,-0.082008
,,,2022-11-23 13:32:43.737,-0.088703,-0.083682
,,,2022-11-23 13:32:44.355,-0.097071,-0.061925
,,,2022-11-23 13:32:44.965,-0.135565,-0.060251
,,,2022-11-23 13:32:45.575,-0.11046,-0.060251
,,,2022-11-23 13:32:46.184,-0.068619,-0.066946
,,,2022-11-23 13:32:46.794,-0.076987,-0.082008
,,,2022-11-23 13:32:47.404,-0.167364,-0.063598
,,,2022-11-23 13:32:48.014,-0.103766,-0.100418
