Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-23 14:01:22.008,-0.11046,-0.070293
Serial Number:,MY60101365,,2022-11-23 14:01:22.622,-0.083682,-0.065272
Firmware Version:,<Unknown Revision>,,2022-11-23 14:01:23.232,-0.17908,-0.070293
Start Time:,2022-11-23 14:01:22.008,,2022-11-23 14:01:23.843,-0.105439,-0.071967
Stop Time:,2022-11-23 14:11:21.920,,2022-11-23 14:01:24.453,-0.1841,-0.070293
Sample Period:,0.5,,2022-11-23 14:01:25.184,-0.135565,-0.071967
,,,2022-11-23 14:01:25.811,-0.123849,-0.07364
,,,2022-11-23 14:01:26.474,-0.085356,-0.080335
,,,2022-11-23 14:01:27.089,-0.152301,-0.100418
,,,2022-11-23 14:01:27.699,-0.112134,-0.070293
,,,2022-11-23 14:01:28.318,-0.167364,-0.076987
,,,2022-11-23 14:01:28.927,-0.125523,-0.071967
,,,2022-11-23 14:01:29.540,-0.170711,-0.093724
,,,2022-11-23 14:01:30.153,-0.085356,-0.088703
,,,2022-11-23 14:01:30.773,-0.140586,-0.060251
,,,2022-11-23 14:01:31.389,-0.12887,-0.060251
,,,2022-11-23 14:01:32.001,-0.010042,-0.061925
,,,2022-11-23 14:01:32.611,-0.189121,-0.070293
,,,2022-11-23 14:01:33.220,-0.080335,-0.087029
,,,2022-11-23 14:01:33.833,-0.152301,-0.058577
,,,2022-11-23 14:01:34.444,-0.010042,-0.058577
,,,2022-11-23 14:01:35.052,-0.180753,-0.066946
,,,2022-11-23 14:01:35.661,-0.095397,-0.076987
,,,2022-11-23 14:01:36.270,-0.013389,-0.060251
,,,2022-11-23 14:01:36.880,-0.153975,-0.061925
,,,2022-11-23 14:01:37.495,-0.148954,-0.068619
,,,2022-11-23 14:01:38.105,-0.210879,-0.075314
,,,2022-11-23 14:01:38.713,-0.153975,-0.066946
,,,2022-11-23 14:01:39.328,-0.148954,-0.061925
,,,2022-11-23 14:01:39.937,-0.19749,-0.068619
,,,2022-11-23 14:01:40.550,-0.145607,-0.07364
,,,2022-11-23 14:01:41.161,-0.155649,-0.078661
,,,2022-11-23 14:01:41.784,-0.145607,-0.063598
,,,2022-11-23 14:01:42.400,-0.097071,-0.063598
,,,2022-11-23 14:01:43.015,-0.177406,-0.063598
,,,2022-11-23 14:01:43.630,-0.155649,-0.066946
