Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 15:16:02.672,-0.058758
Serial Number:,MY60101365,,2022-11-15 15:16:03.299,-0.048515
Firmware Version:,07.31.2020012900,,2022-11-15 15:16:03.936,-0.067293
Start Time:,2022-11-15 15:16:02.672,,2022-11-15 15:16:04.594,-0.04567
Stop Time:,2022-11-15 15:26:02.117,,2022-11-15 15:16:05.248,-0.054205
Sample Period:,0.5,,2022-11-15 15:16:05.901,-0.046239
,,,2022-11-15 15:16:06.553,-0.04567
,,,2022-11-15 15:16:07.207,-0.05136
,,,2022-11-15 15:16:07.856,9.9E+37
,,,2022-11-15 15:16:08.514,-0.046239
,,,2022-11-15 15:16:09.172,-0.04567
,,,2022-11-15 15:16:09.824,-0.068431
,,,2022-11-15 15:16:10.477,-0.050791
,,,2022-11-15 15:16:11.134,9.9E+37
,,,2022-11-15 15:16:11.788,-0.053067
,,,2022-11-15 15:16:12.452,-0.057051
,,,2022-11-15 15:16:13.110,-0.050791
,,,2022-11-15 15:16:13.757,-0.052498
,,,2022-11-15 15:16:14.410,-0.047946
,,,2022-11-15 15:16:15.057,-0.046808
,,,2022-11-15 15:16:15.707,-0.046239
,,,2022-11-15 15:16:16.360,-0.05136
,,,2022-11-15 15:16:17.014,-0.060465
,,,2022-11-15 15:16:17.676,-0.067862
,,,2022-11-15 15:16:18.331,-0.050791
,,,2022-11-15 15:16:18.987,9.9E+37
,,,2022-11-15 15:16:19.635,-0.05136
,,,2022-11-15 15:16:20.294,-0.063879
,,,2022-11-15 15:16:20.958,-0.060465
,,,2022-11-15 15:16:21.623,-0.047377
,,,2022-11-15 15:16:22.276,-0.082088
,,,2022-11-15 15:16:22.931,-0.072415
,,,2022-11-15 15:16:23.592,-0.061034
,,,2022-11-15 15:16:24.254,-0.047377
,,,2022-11-15 15:16:24.903,-0.062741
,,,2022-11-15 15:16:25.557,-0.085502
,,,2022-11-15 15:16:26.212,-0.054205
,,,2022-11-15 15:16:26.872,-0.057051
,,,2022-11-15 15:16:27.539,-0.061034
,,,2022-11-15 15:16:28.203,-0.046239
,,,2022-11-15 15:16:28.844,-0.061034
,,,2022-11-15 15:16:29.499,-0.045101
,,,2022-11-15 15:16:30.159,-0.065017
,,,2022-11-15 15:16:30.815,-0.056481
,,,2022-11-15 15:16:31.475,-0.046808
,,,2022-11-15 15:16:32.138,-0.054774
,,,2022-11-15 15:16:32.784,-0.050222
,,,2022-11-15 15:16:33.426,-0.046808
,,,2022-11-15 15:16:34.082,-0.047377
,,,2022-11-15 15:16:34.759,-0.067293
,,,2022-11-15 15:16:35.449,-0.047946
,,,2022-11-15 15:16:36.104,-0.069
,,,2022-11-15 15:16:36.770,-0.046239
,,,2022-11-15 15:16:37.420,-0.052498
,,,2022-11-15 15:16:38.075,-0.046239
,,,2022-11-15 15:16:38.711,-0.051929
,,,2022-11-15 15:16:39.370,-0.059896
,,,2022-11-15 15:16:40.033,-0.047377
,,,2022-11-15 15:16:40.679,-0.047377
,,,2022-11-15 15:16:41.326,-0.050222
,,,2022-11-15 15:16:41.976,-0.085502
,,,2022-11-15 15:16:42.636,-0.075829
,,,2022-11-15 15:16:43.290,-0.060465
,,,2022-11-15 15:16:43.949,-0.067862
,,,2022-11-15 15:16:44.600,-0.065017
,,,2022-11-15 15:16:45.250,-0.047946
,,,2022-11-15 15:16:45.905,-0.049653
,,,2022-11-15 15:16:46.562,-0.066724
,,,2022-11-15 15:16:47.219,-0.053636
,,,2022-11-15 15:16:47.865,-0.061034
,,,2022-11-15 15:16:48.517,-0.054205
,,,2022-11-15 15:16:49.173,-0.050222
,,,2022-11-15 15:16:49.833,-0.074122
,,,2022-11-15 15:16:50.479,-0.058189
,,,2022-11-15 15:16:51.132,-0.053636
,,,2022-11-15 15:16:51.781,-0.055343
,,,2022-11-15 15:16:52.437,-0.052498
,,,2022-11-15 15:16:53.100,-0.048515
,,,2022-11-15 15:16:53.739,-0.049084
,,,2022-11-15 15:16:54.390,-0.081519
,,,2022-11-15 15:16:55.038,-0.060465
,,,2022-11-15 15:16:55.696,-0.049084
,,,2022-11-15 15:16:56.357,-0.050222
,,,2022-11-15 15:16:57.012,-0.047377
,,,2022-11-15 15:16:57.673,-0.04567
,,,2022-11-15 15:16:58.329,-0.04567
,,,2022-11-15 15:16:58.985,-0.051929
,,,2022-11-15 15:16:59.646,-0.04567
,,,2022-11-15 15:17:00.295,-0.047377
,,,2022-11-15 15:17:00.955,-0.059896
,,,2022-11-15 15:17:01.617,-0.066155
,,,2022-11-15 15:17:02.271,-0.058189
,,,2022-11-15 15:17:02.936,-0.067293
,,,2022-11-15 15:17:03.588,-0.060465
,,,2022-11-15 15:17:04.221,-0.053067
,,,2022-11-15 15:17:04.868,9.9E+37
,,,2022-11-15 15:17:05.526,-0.052498
,,,2022-11-15 15:17:06.174,-0.082657
,,,2022-11-15 15:17:06.823,-0.048515
,,,2022-11-15 15:17:07.481,-0.068431
,,,2022-11-15 15:17:08.128,-0.060465
,,,2022-11-15 15:17:08.785,-0.045101
,,,2022-11-15 15:17:09.441,-0.055343
,,,2022-11-15 15:17:10.095,-0.068431
,,,2022-11-15 15:17:10.749,-0.053636
,,,2022-11-15 15:17:11.408,-0.057051
,,,2022-11-15 15:17:12.060,-0.05136
,,,2022-11-15 15:17:12.713,-0.078105
,,,2022-11-15 15:17:13.371,-0.053636
,,,2022-11-15 15:17:14.033,-0.04567
,,,2022-11-15 15:17:14.690,-0.053636
,,,2022-11-15 15:17:15.347,-0.047377
,,,2022-11-15 15:17:16.010,-0.061034
,,,2022-11-15 15:17:16.663,-0.04567
,,,2022-11-15 15:17:17.321,-0.053067
,,,2022-11-15 15:17:17.981,-0.061034
,,,2022-11-15 15:17:18.645,-0.046808
,,,2022-11-15 15:17:19.302,-0.050222
,,,2022-11-15 15:17:19.966,-0.053636
,,,2022-11-15 15:17:20.632,-0.066155
,,,2022-11-15 15:17:21.260,-0.060465
,,,2022-11-15 15:17:21.919,-0.054205
,,,2022-11-15 15:17:22.585,-0.059896
,,,2022-11-15 15:17:23.236,-0.050791
,,,2022-11-15 15:17:23.897,-0.060465
,,,2022-11-15 15:17:24.554,-0.051929
,,,2022-11-15 15:17:25.217,-0.088917
,,,2022-11-15 15:17:25.874,-0.04567
,,,2022-11-15 15:17:26.528,-0.048515
,,,2022-11-15 15:17:27.204,-0.053636
,,,2022-11-15 15:17:27.858,-0.046239
,,,2022-11-15 15:17:28.518,-0.05762
,,,2022-11-15 15:17:29.178,-0.065017
,,,2022-11-15 15:17:29.831,-0.053067
,,,2022-11-15 15:17:30.500,-0.053067
,,,2022-11-15 15:17:31.168,-0.046239
,,,2022-11-15 15:17:31.835,-0.051929
,,,2022-11-15 15:17:32.501,-0.067293
,,,2022-11-15 15:17:33.157,-0.051929
,,,2022-11-15 15:17:33.823,-0.04567
,,,2022-11-15 15:17:34.473,-0.061034
,,,2022-11-15 15:17:35.127,-0.047377
,,,2022-11-15 15:17:35.765,-0.074122
,,,2022-11-15 15:17:36.445,-0.048515
,,,2022-11-15 15:17:37.128,-0.046808
,,,2022-11-15 15:17:37.807,-0.053067
,,,2022-11-15 15:17:38.485,-0.059327
,,,2022-11-15 15:17:39.147,-0.082088
,,,2022-11-15 15:17:39.798,-0.046239
,,,2022-11-15 15:17:40.458,-0.053636
,,,2022-11-15 15:17:41.129,-0.046239
,,,2022-11-15 15:17:41.776,-0.066724
,,,2022-11-15 15:17:42.436,-0.082088
,,,2022-11-15 15:17:43.091,9.9E+37
,,,2022-11-15 15:17:43.754,-0.046808
,,,2022-11-15 15:17:44.409,-0.052498
,,,2022-11-15 15:17:45.074,-0.047946
,,,2022-11-15 15:17:45.730,-0.046239
,,,2022-11-15 15:17:46.391,-0.045101
,,,2022-11-15 15:17:47.063,-0.05136
,,,2022-11-15 15:17:47.728,-0.050791
,,,2022-11-15 15:17:48.394,-0.060465
,,,2022-11-15 15:17:49.048,-0.045101
,,,2022-11-15 15:17:49.709,-0.059896
,,,2022-11-15 15:17:50.369,-0.047377
,,,2022-11-15 15:17:51.030,-0.079243
,,,2022-11-15 15:17:51.687,-0.061034
,,,2022-11-15 15:17:52.346,-0.059896
,,,2022-11-15 15:17:53.012,9.9E+37
,,,2022-11-15 15:17:53.677,-0.072984
,,,2022-11-15 15:17:54.338,-0.05136
,,,2022-11-15 15:17:55.001,-0.051929
,,,2022-11-15 15:17:55.661,-0.052498
,,,2022-11-15 15:17:56.331,-0.061603
,,,2022-11-15 15:17:56.986,-0.074122
,,,2022-11-15 15:17:57.649,-0.067293
,,,2022-11-15 15:17:58.319,-0.082657
,,,2022-11-15 15:17:58.979,-0.050791
,,,2022-11-15 15:17:59.648,-0.052498
,,,2022-11-15 15:18:00.305,-0.059327
,,,2022-11-15 15:18:00.975,-0.050791
,,,2022-11-15 15:18:01.632,-0.089486
,,,2022-11-15 15:18:02.299,-0.060465
,,,2022-11-15 15:18:02.958,-0.059896
,,,2022-11-15 15:18:03.629,-0.089486
,,,2022-11-15 15:18:04.277,-0.046808
,,,2022-11-15 15:18:04.940,-0.074122
,,,2022-11-15 15:18:05.600,9.9E+37
,,,2022-11-15 15:18:06.257,-0.04567
,,,2022-11-15 15:18:06.914,-0.046239
,,,2022-11-15 15:18:07.571,-0.053636
,,,2022-11-15 15:18:08.233,-0.086071
,,,2022-11-15 15:18:08.890,-0.060465
,,,2022-11-15 15:18:09.549,-0.05136
,,,2022-11-15 15:18:10.210,-0.058758
,,,2022-11-15 15:18:10.871,-0.061034
,,,2022-11-15 15:18:11.533,-0.061603
,,,2022-11-15 15:18:12.199,-0.050222
,,,2022-11-15 15:18:12.857,-0.055343
,,,2022-11-15 15:18:13.516,-0.050222
,,,2022-11-15 15:18:14.179,-0.067293
,,,2022-11-15 15:18:14.838,-0.050222
,,,2022-11-15 15:18:15.527,-0.065017
,,,2022-11-15 15:18:16.192,-0.049084
,,,2022-11-15 15:18:16.853,-0.071846
,,,2022-11-15 15:18:17.520,9.9E+37
,,,2022-11-15 15:18:18.186,-0.062741
,,,2022-11-15 15:18:18.845,-0.046239
,,,2022-11-15 15:18:19.508,-0.061034
,,,2022-11-15 15:18:20.171,-0.066155
,,,2022-11-15 15:18:20.836,-0.053067
,,,2022-11-15 15:18:21.502,-0.05136
,,,2022-11-15 15:18:22.168,-0.059896
,,,2022-11-15 15:18:22.830,-0.074122
,,,2022-11-15 15:18:23.500,-0.057051
,,,2022-11-15 15:18:24.169,-0.054774
,,,2022-11-15 15:18:24.834,-0.049084
,,,2022-11-15 15:18:25.501,-0.061034
,,,2022-11-15 15:18:26.169,-0.05136
,,,2022-11-15 15:18:26.834,-0.053067
,,,2022-11-15 15:18:27.497,-0.060465
,,,2022-11-15 15:18:28.158,-0.076967
,,,2022-11-15 15:18:28.816,-0.059896
,,,2022-11-15 15:18:29.489,-0.058758
,,,2022-11-15 15:18:30.141,-0.047377
,,,2022-11-15 15:18:30.798,-0.07526
,,,2022-11-15 15:18:31.463,-0.051929
,,,2022-11-15 15:18:32.129,-0.046239
,,,2022-11-15 15:18:32.788,-0.060465
,,,2022-11-15 15:18:33.448,-0.082657
,,,2022-11-15 15:18:34.119,-0.047946
,,,2022-11-15 15:18:34.874,-0.047377
,,,2022-11-15 15:18:35.538,-0.057051
,,,2022-11-15 15:18:36.203,-0.052498
,,,2022-11-15 15:18:36.886,-0.059896
,,,2022-11-15 15:18:37.561,-0.058758
,,,2022-11-15 15:18:38.267,-0.054774
,,,2022-11-15 15:18:38.999,-0.089486
,,,2022-11-15 15:18:39.656,-0.047377
,,,2022-11-15 15:18:40.331,-0.047946
,,,2022-11-15 15:18:41.001,-0.046808
,,,2022-11-15 15:18:41.663,-0.053067
,,,2022-11-15 15:18:42.328,-0.049653
,,,2022-11-15 15:18:42.996,-0.067293
,,,2022-11-15 15:18:43.678,-0.052498
,,,2022-11-15 15:18:44.328,-0.05136
,,,2022-11-15 15:18:44.994,-0.073553
,,,2022-11-15 15:18:45.661,9.9E+37
,,,2022-11-15 15:18:46.334,-0.056481
,,,2022-11-15 15:18:46.997,-0.067293
,,,2022-11-15 15:18:47.662,-0.04567
,,,2022-11-15 15:18:48.326,-0.04567
,,,2022-11-15 15:18:48.991,-0.046239
,,,2022-11-15 15:18:49.663,-0.047946
,,,2022-11-15 15:18:50.327,-0.050791
,,,2022-11-15 15:18:50.993,-0.051929
,,,2022-11-15 15:18:51.659,-0.060465
,,,2022-11-15 15:18:52.328,-0.045101
,,,2022-11-15 15:18:52.991,-0.055912
,,,2022-11-15 15:18:53.658,-0.04567
,,,2022-11-15 15:18:54.325,-0.060465
,,,2022-11-15 15:18:54.989,-0.053636
,,,2022-11-15 15:18:55.658,-0.054205
,,,2022-11-15 15:18:56.320,-0.04567
,,,2022-11-15 15:18:56.989,-0.054205
,,,2022-11-15 15:18:57.657,-0.052498
,,,2022-11-15 15:18:58.309,-0.047377
,,,2022-11-15 15:18:58.976,-0.066724
,,,2022-11-15 15:18:59.639,-0.049084
,,,2022-11-15 15:19:00.310,-0.049653
,,,2022-11-15 15:19:00.973,-0.059896
,,,2022-11-15 15:19:01.638,-0.053067
,,,2022-11-15 15:19:02.296,-0.04567
,,,2022-11-15 15:19:02.958,-0.053067
,,,2022-11-15 15:19:03.634,-0.046808
,,,2022-11-15 15:19:04.264,-0.065586
,,,2022-11-15 15:19:04.937,-0.074691
,,,2022-11-15 15:19:05.618,-0.046239
,,,2022-11-15 15:19:06.240,-0.050791
,,,2022-11-15 15:19:06.903,-0.073553
,,,2022-11-15 15:19:07.571,-0.057051
,,,2022-11-15 15:19:08.246,-0.054774
,,,2022-11-15 15:19:08.920,-0.056481
,,,2022-11-15 15:19:09.587,-0.071276
,,,2022-11-15 15:19:10.246,-0.046239
,,,2022-11-15 15:19:10.911,-0.04567
,,,2022-11-15 15:19:11.579,-0.065586
,,,2022-11-15 15:19:12.230,-0.046239
,,,2022-11-15 15:19:12.901,-0.046808
,,,2022-11-15 15:19:13.554,-0.081519
,,,2022-11-15 15:19:14.231,-0.046808
,,,2022-11-15 15:19:14.894,-0.047377
,,,2022-11-15 15:19:15.568,-0.082088
,,,2022-11-15 15:19:16.230,-0.046239
,,,2022-11-15 15:19:16.928,-0.055912
,,,2022-11-15 15:19:17.595,-0.07526
,,,2022-11-15 15:19:18.260,-0.047946
,,,2022-11-15 15:19:18.932,-0.066724
,,,2022-11-15 15:19:19.599,-0.046808
