Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 13:25:39.245,-0.043515
Serial Number:,MY60101365,,2022-11-15 13:25:39.746,-0.044184
Firmware Version:,07.31.2020012900,,2022-11-15 13:25:40.245,-0.042176
Start Time:,2022-11-15 13:25:39.245,,2022-11-15 13:25:40.745,-0.042845
Stop Time:,2022-11-15 13:35:39.245,,2022-11-15 13:25:41.245,-0.045523
Sample Period:,0.5,,2022-11-15 13:25:41.744,-0.043515
,,,2022-11-15 13:25:42.244,-0.040837
,,,2022-11-15 13:25:42.744,-0.003347
,,,2022-11-15 13:25:43.245,-0.043515
,,,2022-11-15 13:25:43.744,-0.041506
,,,2022-11-15 13:25:44.245,-0.050879
,,,2022-11-15 13:25:44.744,-0.044184
,,,2022-11-15 13:25:45.244,-0.042176
,,,2022-11-15 13:25:45.745,-0.046192
,,,2022-11-15 13:25:46.244,-0.045523
,,,2022-11-15 13:25:46.743,-0.053556
,,,2022-11-15 13:25:47.244,-0.044854
,,,2022-11-15 13:25:47.744,-0.068285
,,,2022-11-15 13:25:48.244,-0.043515
,,,2022-11-15 13:25:48.744,-0.046192
,,,2022-11-15 13:25:49.245,-0.044854
,,,2022-11-15 13:25:49.746,-0.062929
,,,2022-11-15 13:25:50.244,-0.041506
,,,2022-11-15 13:25:50.743,-0.052218
,,,2022-11-15 13:25:51.243,-0.045523
,,,2022-11-15 13:25:51.744,-0.041506
,,,2022-11-15 13:25:52.245,-0.040837
,,,2022-11-15 13:25:52.744,-0.060251
,,,2022-11-15 13:25:53.244,-0.046862
,,,2022-11-15 13:25:53.744,-0.040837
,,,2022-11-15 13:25:54.244,-0.046192
,,,2022-11-15 13:25:54.745,-0.043515
,,,2022-11-15 13:25:55.245,-0.046862
,,,2022-11-15 13:25:55.744,-0.059582
,,,2022-11-15 13:25:56.244,-0.041506
,,,2022-11-15 13:25:56.745,-0.042176
,,,2022-11-15 13:25:57.245,-0.044184
,,,2022-11-15 13:25:57.745,-0.050209
,,,2022-11-15 13:25:58.245,-0.044184
,,,2022-11-15 13:25:58.744,-0.06159
,,,2022-11-15 13:25:59.244,-0.045523
,,,2022-11-15 13:25:59.744,-0.040837
,,,2022-11-15 13:26:00.244,-0.046192
,,,2022-11-15 13:26:00.744,-0.044854
,,,2022-11-15 13:26:01.245,-0.060251
,,,2022-11-15 13:26:01.746,-0.081674
,,,2022-11-15 13:26:02.244,-0.043515
,,,2022-11-15 13:26:02.745,-0.044854
,,,2022-11-15 13:26:03.244,-0.046862
,,,2022-11-15 13:26:03.745,-0.050879
,,,2022-11-15 13:26:04.245,-0.046192
,,,2022-11-15 13:26:04.744,-0.045523
,,,2022-11-15 13:26:05.245,-0.058243
,,,2022-11-15 13:26:05.745,-0.042176
,,,2022-11-15 13:26:06.245,-0.046862
,,,2022-11-15 13:26:06.743,-0.048201
,,,2022-11-15 13:26:07.244,-0.042845
,,,2022-11-15 13:26:07.744,-0.063598
,,,2022-11-15 13:26:08.246,-0.046192
,,,2022-11-15 13:26:08.746,-0.046192
,,,2022-11-15 13:26:09.245,-0.042845
,,,2022-11-15 13:26:09.746,-0.046192
,,,2022-11-15 13:26:10.246,-0.043515
,,,2022-11-15 13:26:10.744,-0.066946
,,,2022-11-15 13:26:11.245,-0.041506
,,,2022-11-15 13:26:11.745,-0.046862
,,,2022-11-15 13:26:12.245,-0.046862
,,,2022-11-15 13:26:12.747,-0.041506
,,,2022-11-15 13:26:13.245,-0.041506
,,,2022-11-15 13:26:13.745,-0.042845
,,,2022-11-15 13:26:14.244,-0.054895
,,,2022-11-15 13:26:14.744,-0.044184
,,,2022-11-15 13:26:15.245,-0.041506
,,,2022-11-15 13:26:15.746,-0.047531
,,,2022-11-15 13:26:16.246,-0.041506
,,,2022-11-15 13:26:16.745,-0.003347
,,,2022-11-15 13:26:17.245,-0.045523
,,,2022-11-15 13:26:17.745,-0.045523
,,,2022-11-15 13:26:18.245,-0.044184
,,,2022-11-15 13:26:18.745,-0.045523
,,,2022-11-15 13:26:19.246,-0.043515
,,,2022-11-15 13:26:19.745,-0.045523
,,,2022-11-15 13:26:20.245,-0.050879
,,,2022-11-15 13:26:20.745,-0.043515
,,,2022-11-15 13:26:21.245,-0.060251
,,,2022-11-15 13:26:21.746,-0.046862
,,,2022-11-15 13:26:22.245,-0.046192
,,,2022-11-15 13:26:22.744,-0.04954
,,,2022-11-15 13:26:23.245,-0.046192
,,,2022-11-15 13:26:23.745,-0.051548
,,,2022-11-15 13:26:24.244,-0.052218
,,,2022-11-15 13:26:24.745,-0.043515
,,,2022-11-15 13:26:25.245,-0.052887
,,,2022-11-15 13:26:25.745,-0.045523
,,,2022-11-15 13:26:26.245,-0.044854
,,,2022-11-15 13:26:26.745,-0.041506
,,,2022-11-15 13:26:27.245,-0.07364
,,,2022-11-15 13:26:27.744,-0.046192
,,,2022-11-15 13:26:28.245,-0.044854
,,,2022-11-15 13:26:28.745,-0.047531
,,,2022-11-15 13:26:29.244,-0.042845
,,,2022-11-15 13:26:29.745,-0.043515
,,,2022-11-15 13:26:30.245,-0.040837
,,,2022-11-15 13:26:30.744,-0.045523
,,,2022-11-15 13:26:31.245,-0.046862
,,,2022-11-15 13:26:31.745,-0.052887
,,,2022-11-15 13:26:32.244,-0.042845
,,,2022-11-15 13:26:32.745,-0.044184
,,,2022-11-15 13:26:33.246,-0.042845
,,,2022-11-15 13:26:33.744,-0.043515
,,,2022-11-15 13:26:34.244,-0.041506
,,,2022-11-15 13:26:34.746,-0.044184
,,,2022-11-15 13:26:35.245,9.9E+37
,,,2022-11-15 13:26:35.746,-0.042845
,,,2022-11-15 13:26:36.245,-0.044854
,,,2022-11-15 13:26:36.746,-0.041506
,,,2022-11-15 13:26:37.245,-0.042845
,,,2022-11-15 13:26:37.746,-0.044854
,,,2022-11-15 13:26:38.244,-0.042845
,,,2022-11-15 13:26:38.744,-0.010042
,,,2022-11-15 13:26:39.245,-0.052887
,,,2022-11-15 13:26:39.745,-0.044184
,,,2022-11-15 13:26:40.244,-0.072301
,,,2022-11-15 13:26:40.744,-0.058912
,,,2022-11-15 13:26:41.245,-0.045523
,,,2022-11-15 13:26:41.745,-0.043515
,,,2022-11-15 13:26:42.245,-0.045523
,,,2022-11-15 13:26:42.745,-0.041506
,,,2022-11-15 13:26:43.244,-0.042176
,,,2022-11-15 13:26:43.746,-0.045523
,,,2022-11-15 13:26:44.245,-0.051548
,,,2022-11-15 13:26:44.745,-0.04954
,,,2022-11-15 13:26:45.243,-0.041506
,,,2022-11-15 13:26:45.744,-0.046192
,,,2022-11-15 13:26:46.245,-0.040837
,,,2022-11-15 13:26:46.746,-0.042176
,,,2022-11-15 13:26:47.245,-0.044184
,,,2022-11-15 13:26:47.745,-0.046192
,,,2022-11-15 13:26:48.244,-0.046862
,,,2022-11-15 13:26:48.745,-0.044854
,,,2022-11-15 13:26:49.244,-0.057573
,,,2022-11-15 13:26:49.745,9.9E+37
,,,2022-11-15 13:26:50.244,-0.058912
,,,2022-11-15 13:26:50.744,-0.053556
,,,2022-11-15 13:26:51.244,-0.041506
,,,2022-11-15 13:26:51.745,-0.044184
,,,2022-11-15 13:26:52.245,-0.044184
,,,2022-11-15 13:26:52.745,9.9E+37
,,,2022-11-15 13:26:53.245,-0.060251
,,,2022-11-15 13:26:53.744,-0.042176
,,,2022-11-15 13:26:54.245,-0.042845
,,,2022-11-15 13:26:54.745,-0.050209
,,,2022-11-15 13:26:55.245,-0.04954
,,,2022-11-15 13:26:55.744,-0.044184
,,,2022-11-15 13:26:56.244,-0.046862
,,,2022-11-15 13:26:56.745,-0.042176
,,,2022-11-15 13:26:57.244,-0.046192
,,,2022-11-15 13:26:57.744,-0.04887
,,,2022-11-15 13:26:58.244,-0.068285
,,,2022-11-15 13:26:58.745,-0.044854
,,,2022-11-15 13:26:59.245,-0.045523
,,,2022-11-15 13:26:59.746,-0.060921
,,,2022-11-15 13:27:00.246,-0.046862
,,,2022-11-15 13:27:00.746,-0.051548
,,,2022-11-15 13:27:01.245,-0.045523
,,,2022-11-15 13:27:01.746,-0.07431
,,,2022-11-15 13:27:02.246,-0.043515
,,,2022-11-15 13:27:02.745,-0.041506
,,,2022-11-15 13:27:03.244,-0.052218
,,,2022-11-15 13:27:03.746,-0.042176
,,,2022-11-15 13:27:04.245,-0.043515
,,,2022-11-15 13:27:04.745,-0.043515
,,,2022-11-15 13:27:05.245,-0.044854
,,,2022-11-15 13:27:05.745,-0.054226
,,,2022-11-15 13:27:06.245,-0.042845
,,,2022-11-15 13:27:06.745,-0.050879
,,,2022-11-15 13:27:07.244,-0.052887
,,,2022-11-15 13:27:07.745,-0.044184
,,,2022-11-15 13:27:08.245,-0.044184
