Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-28 12:12:36.094,-0.034142,-0.025105
Serial Number:,MY60101365,,2022-11-28 12:12:36.774,-0.034142,-0.023431
Firmware Version:,07.31.2020012900,,2022-11-28 12:12:37.385,-0.013389,-0.016736
Start Time:,2022-11-28 12:12:36.094,,2022-11-28 12:12:37.997,-0.034142,-0.023431
Stop Time:,2022-11-28 12:22:35.626,,2022-11-28 12:12:38.607,-0.018075,-0.016736
Sample Period:,0.5,,2022-11-28 12:12:39.230,-0.026778,-0.030126
,,,2022-11-28 12:12:39.841,-0.01205,-0.021757
,,,2022-11-28 12:12:40.479,-0.01272,-0.021757
,,,2022-11-28 12:12:41.090,-0.032803,-0.025105
,,,2022-11-28 12:12:41.700,-0.033473,-0.046862
,,,2022-11-28 12:12:42.325,-0.020084,-0.005021
,,,2022-11-28 12:12:42.936,-0.041506,-0.016736
,,,2022-11-28 12:12:43.547,-0.014728,-0.026778
,,,2022-11-28 12:12:44.160,-0.013389,-0.01841
,,,2022-11-28 12:12:44.781,-0.006695,-0.016736
,,,2022-11-28 12:12:45.394,-0.013389,-0.028452
,,,2022-11-28 12:12:46.011,-0.026778,-0.01841
,,,2022-11-28 12:12:46.633,-0.006695,-0.020084
,,,2022-11-28 12:12:47.244,-0.048201,-0.010042
,,,2022-11-28 12:12:47.878,-0.020084,-0.016736
,,,2022-11-28 12:12:48.497,-0.019414,-0.023431
,,,2022-11-28 12:12:49.110,-0.020084,-0.015063
,,,2022-11-28 12:12:49.727,-0.016067,-0.01841
,,,2022-11-28 12:12:50.341,-0.014059,-0.01841
,,,2022-11-28 12:12:50.969,-0.01205,-0.023431
,,,2022-11-28 12:12:51.581,-0.020753,-0.023431
,,,2022-11-28 12:12:52.267,-0.013389,-0.010042
,,,2022-11-28 12:12:52.878,-0.019414,-0.013389
,,,2022-11-28 12:12:53.492,-0.01272,-0.016736
,,,2022-11-28 12:12:54.104,-0.007364,-0.025105
,,,2022-11-28 12:12:54.719,-0.019414,-0.016736
,,,2022-11-28 12:12:55.334,-0.034142,-0.030126
,,,2022-11-28 12:12:55.944,-0.034142,-0.040167
,,,2022-11-28 12:12:56.556,-0.025439,-0.006695
,,,2022-11-28 12:12:57.167,-0.023431,-0.023431
,,,2022-11-28 12:12:57.779,-0.01272,-0.025105
,,,2022-11-28 12:12:58.400,-0.018075,-0.046862
,,,2022-11-28 12:12:59.014,-0.020753,-0.023431
,,,2022-11-28 12:12:59.625,-0.02477,-0.038494
,,,2022-11-28 12:13:00.241,-0.026109,-0.051883
,,,2022-11-28 12:13:00.861,-0.020084,-0.033473
,,,2022-11-28 12:13:01.472,-0.027448,-0.030126
,,,2022-11-28 12:13:02.085,-0.018075,-0.043515
,,,2022-11-28 12:13:02.697,-0.01272,-0.006695
,,,2022-11-28 12:13:03.309,-0.020753,-0.05523
,,,2022-11-28 12:13:03.931,-0.029456,-0.045188
,,,2022-11-28 12:13:04.542,-0.032803,-0.045188
,,,2022-11-28 12:13:05.154,-0.050879,-0.016736
,,,2022-11-28 12:13:05.773,-0.013389,-0.011715
,,,2022-11-28 12:13:06.388,-0.019414,-0.033473
,,,2022-11-28 12:13:06.999,-0.007364,-0.01841
,,,2022-11-28 12:13:07.609,-0.028117,-0.011715
,,,2022-11-28 12:13:08.229,-0.019414,-0.010042
,,,2022-11-28 12:13:08.840,-0.032134,-0.025105
,,,2022-11-28 12:13:09.453,-0.019414,-0.023431
,,,2022-11-28 12:13:10.063,-0.021423,-0.016736
,,,2022-11-28 12:13:10.674,-0.006695,-0.023431
,,,2022-11-28 12:13:11.287,-0.013389,-0.030126
,,,2022-11-28 12:13:11.897,-0.013389,-0.021757
,,,2022-11-28 12:13:12.507,-0.01272,-0.023431
,,,2022-11-28 12:13:13.124,-0.020084,-0.051883
,,,2022-11-28 12:13:13.734,-0.015397,-0.025105
,,,2022-11-28 12:13:14.345,-0.018745,-0.010042
,,,2022-11-28 12:13:14.955,-0.013389,-0.023431
,,,2022-11-28 12:13:15.567,-0.013389,-0.025105
,,,2022-11-28 12:13:16.180,-0.042176,-0.025105
,,,2022-11-28 12:13:16.792,-0.020753,-0.03682
,,,2022-11-28 12:13:17.410,-0.019414,-0.021757
,,,2022-11-28 12:13:18.020,-0.01205,-0.010042
,,,2022-11-28 12:13:18.648,-0.022092,-0.015063
,,,2022-11-28 12:13:19.266,-0.01205,-0.030126
,,,2022-11-28 12:13:19.936,-0.01272,-0.025105
,,,2022-11-28 12:13:20.551,-0.006695,-0.025105
,,,2022-11-28 12:13:21.161,-0.01205,-0.045188
,,,2022-11-28 12:13:21.772,-0.032134,-0.025105
,,,2022-11-28 12:13:22.382,-0.019414,-0.016736
,,,2022-11-28 12:13:22.992,-0.026778,-0.016736
,,,2022-11-28 12:13:23.612,-0.029456,-0.045188
,,,2022-11-28 12:13:24.223,-0.013389,-0.026778
,,,2022-11-28 12:13:24.832,-0.031464,-0.045188
