Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-02 11:31:59.341,2.75E-08,2.77E-08
Serial Number:,MY60101365,,2022-12-02 11:31:59.971,3.02E-08,2.69E-08
Firmware Version:,07.31.2020012900,,2022-12-02 11:32:00.603,2.86E-08,3.25E-08
Start Time:,2022-12-02 11:31:59.341,,2022-12-02 11:32:01.301,2.72E-08,3.22E-08
Stop Time:,2022-12-02 11:41:58.872,,2022-12-02 11:32:01.960,4.05E-08,2.89E-08
Sample Period:,0.5,,2022-12-02 11:32:02.622,3.11E-08,2.98E-08
,,,2022-12-02 11:32:03.281,3.19E-08,2.88E-08
,,,2022-12-02 11:32:03.937,2.8E-08,2.92E-08
,,,2022-12-02 11:32:04.592,3.02E-08,2.75E-08
,,,2022-12-02 11:32:05.244,3E-08,3.45E-08
,,,2022-12-02 11:32:05.901,3E-08,2.94E-08
,,,2022-12-02 11:32:06.553,3.13E-08,2.98E-08
,,,2022-12-02 11:32:07.222,3.13E-08,2.61E-08
,,,2022-12-02 11:32:07.870,3E-08,3.31E-08
,,,2022-12-02 11:32:08.521,3.22E-08,2.97E-08
,,,2022-12-02 11:32:09.176,2.94E-08,2.7E-08
,,,2022-12-02 11:32:09.824,2.72E-08,2.73E-08
,,,2022-12-02 11:32:10.470,3E-08,3.31E-08
,,,2022-12-02 11:32:11.121,3.14E-08,3.63E-08
,,,2022-12-02 11:32:11.775,3.25E-08,2.92E-08
,,,2022-12-02 11:32:12.431,3.02E-08,2.94E-08
,,,2022-12-02 11:32:13.091,6.3E-08,2.97E-08
,,,2022-12-02 11:32:13.746,3.02E-08,3.25E-08
,,,2022-12-02 11:32:14.393,4.13E-08,2.92E-08
,,,2022-12-02 11:32:15.058,3.19E-08,3.34E-08
,,,2022-12-02 11:32:15.717,2.83E-08,3E-08
,,,2022-12-02 11:32:16.369,3.41E-08,2.91E-08
,,,2022-12-02 11:32:17.010,3.02E-08,2.72E-08
,,,2022-12-02 11:32:17.664,3.05E-08,2.77E-08
,,,2022-12-02 11:32:18.313,3.19E-08,2.84E-08
,,,2022-12-02 11:32:18.960,3.06E-08,3.03E-08
,,,2022-12-02 11:32:19.611,9.9E+37,2.94E-08
,,,2022-12-02 11:32:20.250,3.06E-08,2.73E-08
,,,2022-12-02 11:32:20.920,4.48E-08,3.59E-08
,,,2022-12-02 11:32:21.571,3.52E-08,2.97E-08
,,,2022-12-02 11:32:22.224,2.97E-08,2.94E-08
,,,2022-12-02 11:32:22.879,2.78E-08,3.3E-08
,,,2022-12-02 11:32:23.524,2.97E-08,2.7E-08
,,,2022-12-02 11:32:24.177,3.25E-08,2.95E-08
,,,2022-12-02 11:32:24.831,2.8E-08,2.98E-08
,,,2022-12-02 11:32:25.487,3.75E-08,3.27E-08
,,,2022-12-02 11:32:26.146,2.83E-08,3.05E-08
,,,2022-12-02 11:32:26.799,3.16E-08,3.25E-08
,,,2022-12-02 11:32:27.451,3E-08,2.97E-08
,,,2022-12-02 11:32:28.147,2.78E-08,2.91E-08
,,,2022-12-02 11:32:28.805,2.69E-08,3.31E-08
,,,2022-12-02 11:32:29.468,2.69E-08,3.75E-08
,,,2022-12-02 11:32:30.127,2.7E-08,2.92E-08
,,,2022-12-02 11:32:30.802,3.41E-08,2.92E-08
,,,2022-12-02 11:32:31.470,3.03E-08,2.89E-08
,,,2022-12-02 11:32:32.126,2.98E-08,2.92E-08
,,,2022-12-02 11:32:32.773,2.73E-08,3.3E-08
,,,2022-12-02 11:32:33.425,3.03E-08,3.28E-08
,,,2022-12-02 11:32:34.086,3.09E-08,2.95E-08
,,,2022-12-02 11:32:34.750,2.97E-08,2.72E-08
,,,2022-12-02 11:32:35.406,2.97E-08,2.95E-08
,,,2022-12-02 11:32:36.058,3.17E-08,2.92E-08
,,,2022-12-02 11:32:36.721,2.75E-08,2.97E-08
,,,2022-12-02 11:32:37.374,3.08E-08,3.31E-08
,,,2022-12-02 11:32:38.026,9.9E+37,3.03E-08
,,,2022-12-02 11:32:38.682,2.98E-08,2.66E-08
,,,2022-12-02 11:32:39.331,3.08E-08,2.73E-08
,,,2022-12-02 11:32:39.975,2.72E-08,2.98E-08
,,,2022-12-02 11:32:40.630,3.05E-08,2.92E-08
,,,2022-12-02 11:32:41.281,4.55E-08,2.98E-08
,,,2022-12-02 11:32:41.927,4.8E-08,2.73E-08
,,,2022-12-02 11:32:42.577,2.97E-08,2.75E-08
,,,2022-12-02 11:32:43.235,3.05E-08,2.97E-08
,,,2022-12-02 11:32:43.890,3.19E-08,2.92E-08
,,,2022-12-02 11:32:44.545,2.75E-08,2.7E-08
,,,2022-12-02 11:32:45.206,3.25E-08,3.31E-08
,,,2022-12-02 11:32:45.850,2.81E-08,2.75E-08
,,,2022-12-02 11:32:46.501,3.25E-08,2.83E-08
,,,2022-12-02 11:32:47.141,2.81E-08,2.97E-08
,,,2022-12-02 11:32:47.797,2.5E-08,2.78E-08
,,,2022-12-02 11:32:48.454,3.27E-08,2.98E-08
,,,2022-12-02 11:32:49.110,2.73E-08,2.72E-08
,,,2022-12-02 11:32:49.778,3.14E-08,3.25E-08
,,,2022-12-02 11:32:50.436,3E-08,2.95E-08
,,,2022-12-02 11:32:51.085,2.91E-08,3.27E-08
,,,2022-12-02 11:32:51.737,3.08E-08,2.95E-08
,,,2022-12-02 11:32:52.396,2.72E-08,2.88E-08
,,,2022-12-02 11:32:53.053,2.7E-08,3.06E-08
,,,2022-12-02 11:32:53.698,3E-08,2.64E-08
,,,2022-12-02 11:32:54.349,2.95E-08,3E-08
,,,2022-12-02 11:32:55.006,3.13E-08,2.91E-08
,,,2022-12-02 11:32:55.653,3.05E-08,2.94E-08
,,,2022-12-02 11:32:56.301,2.78E-08,7.64E-08
,,,2022-12-02 11:32:56.955,2.75E-08,2.73E-08
,,,2022-12-02 11:32:57.610,3.05E-08,3.67E-08
,,,2022-12-02 11:32:58.284,2.91E-08,2.64E-08
,,,2022-12-02 11:32:58.938,9.9E+37,2.97E-08
,,,2022-12-02 11:32:59.595,3E-08,3.25E-08
,,,2022-12-02 11:33:00.254,3E-08,2.97E-08
,,,2022-12-02 11:33:00.888,3.14E-08,2.73E-08
,,,2022-12-02 11:33:01.534,3.02E-08,3.28E-08
,,,2022-12-02 11:33:02.185,2.75E-08,2.8E-08
,,,2022-12-02 11:33:02.830,2.72E-08,2.81E-08
,,,2022-12-02 11:33:03.470,2.83E-08,2.89E-08
,,,2022-12-02 11:33:04.130,2.7E-08,2.92E-08
,,,2022-12-02 11:33:04.783,3.08E-08,2.94E-08
,,,2022-12-02 11:33:05.442,2.77E-08,2.91E-08
,,,2022-12-02 11:33:06.102,3.03E-08,3.27E-08
,,,2022-12-02 11:33:06.760,3.19E-08,2.88E-08
,,,2022-12-02 11:33:07.410,3.02E-08,2.78E-08
,,,2022-12-02 11:33:08.060,1.06E-08,3.3E-08
,,,2022-12-02 11:33:08.714,3.05E-08,3.64E-08
,,,2022-12-02 11:33:09.375,2.44E-08,2.78E-08
,,,2022-12-02 11:33:10.039,3.03E-08,2.89E-08
,,,2022-12-02 11:33:10.733,2.8E-08,2.63E-08
,,,2022-12-02 11:33:11.385,3.23E-08,2.95E-08
,,,2022-12-02 11:33:12.056,3.14E-08,2.75E-08
,,,2022-12-02 11:33:12.720,3E-08,3.31E-08
,,,2022-12-02 11:33:13.374,2.77E-08,2.89E-08
,,,2022-12-02 11:33:14.042,4.47E-08,2.94E-08
,,,2022-12-02 11:33:14.715,3.02E-08,2.84E-08
,,,2022-12-02 11:33:15.370,3.06E-08,2.97E-08
,,,2022-12-02 11:33:16.028,3.19E-08,3.2E-08
,,,2022-12-02 11:33:16.674,4.58E-08,2.98E-08
,,,2022-12-02 11:33:17.318,2.75E-08,3.64E-08
,,,2022-12-02 11:33:17.974,2.92E-08,3.33E-08
,,,2022-12-02 11:33:18.630,3.05E-08,2.67E-08
,,,2022-12-02 11:33:19.286,2.94E-08,2.98E-08
,,,2022-12-02 11:33:19.939,3.2E-08,2.84E-08
,,,2022-12-02 11:33:20.591,2.78E-08,2.64E-08
,,,2022-12-02 11:33:21.238,2.97E-08,2.81E-08
,,,2022-12-02 11:33:21.898,2.75E-08,2.66E-08
,,,2022-12-02 11:33:22.562,2.88E-08,2.75E-08
,,,2022-12-02 11:33:23.219,2.78E-08,3E-08
,,,2022-12-02 11:33:23.870,3.05E-08,2.89E-08
,,,2022-12-02 11:33:24.534,3.09E-08,3.02E-08
,,,2022-12-02 11:33:25.181,2.78E-08,2.91E-08
,,,2022-12-02 11:33:25.841,4.52E-08,3.08E-08
,,,2022-12-02 11:33:26.501,3.02E-08,2.91E-08
,,,2022-12-02 11:33:27.159,3.02E-08,2.95E-08
,,,2022-12-02 11:33:27.823,2.7E-08,3.02E-08
,,,2022-12-02 11:33:28.475,3.02E-08,2.84E-08
,,,2022-12-02 11:33:29.143,3E-08,2.73E-08
,,,2022-12-02 11:33:29.822,3.2E-08,2.95E-08
,,,2022-12-02 11:33:30.475,2.7E-08,2.55E-08
,,,2022-12-02 11:33:31.131,3.13E-08,2.61E-08
,,,2022-12-02 11:33:31.801,2.73E-08,3E-08
,,,2022-12-02 11:33:32.466,2.78E-08,2.75E-08
,,,2022-12-02 11:33:33.122,3.19E-08,2.77E-08
,,,2022-12-02 11:33:33.776,2.78E-08,2.91E-08
,,,2022-12-02 11:33:34.428,3E-08,2.92E-08
,,,2022-12-02 11:33:35.084,3.02E-08,2.8E-08
,,,2022-12-02 11:33:35.746,2.86E-08,2.8E-08
,,,2022-12-02 11:33:36.399,3.11E-08,2.81E-08
,,,2022-12-02 11:33:37.059,2.75E-08,2.97E-08
,,,2022-12-02 11:33:37.731,2.8E-08,2.78E-08
,,,2022-12-02 11:33:38.384,2.83E-08,2.95E-08
,,,2022-12-02 11:33:39.038,3E-08,3.25E-08
,,,2022-12-02 11:33:39.693,3E-08,3.22E-08
,,,2022-12-02 11:33:40.346,6.84E-08,2.52E-08
,,,2022-12-02 11:33:41.002,3.23E-08,2.67E-08
,,,2022-12-02 11:33:41.652,2.83E-08,2.75E-08
,,,2022-12-02 11:33:42.328,3.45E-08,3.22E-08
,,,2022-12-02 11:33:42.982,2.7E-08,2.73E-08
,,,2022-12-02 11:33:43.648,2.73E-08,2.95E-08
,,,2022-12-02 11:33:44.300,2.75E-08,2.73E-08
,,,2022-12-02 11:33:44.955,3.19E-08,2.84E-08
,,,2022-12-02 11:33:45.597,9.9E+37,2.56E-08
,,,2022-12-02 11:33:46.258,3.16E-08,3.22E-08
,,,2022-12-02 11:33:46.910,3.11E-08,2.67E-08
,,,2022-12-02 11:33:47.561,2.98E-08,2.94E-08
,,,2022-12-02 11:33:48.251,3.19E-08,2.97E-08
