Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-01 16:13:43.887,9E-10,1.47E-08
Serial Number:,MY60101365,,2022-12-01 16:13:44.509,2E-09,1.44E-08
Firmware Version:,07.31.2020012900,,2022-12-01 16:13:45.147,2.2E-09,1.39E-08
Start Time:,2022-12-01 16:13:43.887,,2022-12-01 16:13:45.820,-2E-09,1.23E-08
Stop Time:,2022-12-01 16:23:43.357,,2022-12-01 16:13:46.486,-2E-10,1.05E-08
Sample Period:,0.5,,2022-12-01 16:13:47.136,-6E-10,3.67E-08
,,,2022-12-01 16:13:47.801,1.4E-09,1.63E-08
,,,2022-12-01 16:13:48.477,2E-09,1.58E-08
,,,2022-12-01 16:13:49.134,8E-10,1.59E-08
,,,2022-12-01 16:13:49.791,1.4E-09,1.2E-08
,,,2022-12-01 16:13:50.440,0,3.1E-09
,,,2022-12-01 16:13:51.091,1.1E-09,1.73E-08
,,,2022-12-01 16:13:51.739,6E-10,9.9E+37
,,,2022-12-01 16:13:52.384,9E-10,1.55E-08
,,,2022-12-01 16:13:53.035,1.4E-09,2.14E-08
,,,2022-12-01 16:13:53.685,6E-10,1.73E-08
,,,2022-12-01 16:13:54.346,1.3E-09,-3.45E-08
,,,2022-12-01 16:13:54.983,8E-10,1.78E-08
,,,2022-12-01 16:13:55.630,9E-10,-3.58E-08
,,,2022-12-01 16:13:56.281,1.6E-09,1.41E-08
,,,2022-12-01 16:13:56.930,1.1E-09,1.45E-08
,,,2022-12-01 16:13:57.582,5E-10,9.9E+37
,,,2022-12-01 16:13:58.231,8E-10,1.25E-08
,,,2022-12-01 16:13:58.879,8E-10,1.48E-08
,,,2022-12-01 16:13:59.529,1.4E-09,-1.33E-08
,,,2022-12-01 16:14:00.153,9E-10,1.73E-08
,,,2022-12-01 16:14:00.809,1.6E-09,1.41E-08
,,,2022-12-01 16:14:01.448,8E-10,1.23E-08
,,,2022-12-01 16:14:02.096,8E-10,9.9E+37
,,,2022-12-01 16:14:02.747,1.1E-09,1.55E-08
,,,2022-12-01 16:14:03.393,1.6E-09,1.53E-08
,,,2022-12-01 16:14:04.035,3E-10,8.4E-09
,,,2022-12-01 16:14:04.688,6E-10,1.58E-08
,,,2022-12-01 16:14:05.338,2.5E-09,1.11E-08
,,,2022-12-01 16:14:05.977,1.1E-09,1.31E-08
,,,2022-12-01 16:14:06.642,8E-10,1.36E-08
,,,2022-12-01 16:14:07.291,8E-10,9.9E+37
,,,2022-12-01 16:14:07.943,2E-10,1.36E-08
,,,2022-12-01 16:14:08.591,1.6E-09,9.9E+37
,,,2022-12-01 16:14:09.245,1.7E-09,1.34E-08
,,,2022-12-01 16:14:09.887,1.7E-09,2.03E-08
,,,2022-12-01 16:14:10.534,3.1E-09,2.19E-08
,,,2022-12-01 16:14:11.177,1.6E-09,1.42E-08
,,,2022-12-01 16:14:11.827,-2E-10,-4.53E-08
,,,2022-12-01 16:14:12.486,3E-10,-1.97E-08
,,,2022-12-01 16:14:13.135,3.1E-09,1.75E-08
,,,2022-12-01 16:14:13.797,-3E-10,-4.58E-08
,,,2022-12-01 16:14:14.441,2.3E-09,-3.48E-08
,,,2022-12-01 16:14:15.091,8E-10,1.67E-08
,,,2022-12-01 16:14:15.748,-1.1E-09,1.42E-08
,,,2022-12-01 16:14:16.401,-2E-10,4.72E-08
,,,2022-12-01 16:14:17.042,2.2E-09,1.58E-08
,,,2022-12-01 16:14:17.682,1.9E-09,1.31E-08
,,,2022-12-01 16:14:18.325,1.4E-09,1.7E-08
,,,2022-12-01 16:14:18.968,8E-10,-1.39E-08
,,,2022-12-01 16:14:19.614,1.6E-09,1.33E-08
,,,2022-12-01 16:14:20.263,-8E-10,9.9E+37
,,,2022-12-01 16:14:20.909,-6E-10,2.47E-08
,,,2022-12-01 16:14:21.557,2.2E-09,1.59E-08
,,,2022-12-01 16:14:22.203,2.7E-09,1.39E-08
,,,2022-12-01 16:14:22.849,-8E-10,1.27E-08
,,,2022-12-01 16:14:23.499,3E-10,1.44E-08
,,,2022-12-01 16:14:24.140,5E-10,-4.84E-08
,,,2022-12-01 16:14:24.787,2E-10,1.63E-08
,,,2022-12-01 16:14:25.433,1.1E-09,9.9E+37
,,,2022-12-01 16:14:26.090,-3E-10,1.41E-08
,,,2022-12-01 16:14:26.738,6E-10,9.9E+37
,,,2022-12-01 16:14:27.387,-8E-10,9.9E+37
,,,2022-12-01 16:14:28.039,9E-10,-4.02E-08
,,,2022-12-01 16:14:28.689,1.3E-09,1.73E-08
,,,2022-12-01 16:14:29.343,8E-10,1.17E-08
,,,2022-12-01 16:14:29.988,1.6E-09,2.08E-08
,,,2022-12-01 16:14:30.636,2E-10,-3.63E-08
,,,2022-12-01 16:14:31.288,3E-10,1.39E-08
,,,2022-12-01 16:14:31.934,-6E-10,-2.48E-08
,,,2022-12-01 16:14:32.571,1.6E-09,9.2E-09
,,,2022-12-01 16:14:33.219,2E-09,1.44E-08
,,,2022-12-01 16:14:33.863,9E-10,-2.34E-08
,,,2022-12-01 16:14:34.510,1.7E-09,-4.5E-08
,,,2022-12-01 16:14:35.167,3E-10,-3.9E-09
,,,2022-12-01 16:14:35.814,-9E-10,1.3E-08
,,,2022-12-01 16:14:36.467,5E-10,4.69E-08
,,,2022-12-01 16:14:37.128,1.6E-09,1.38E-08
,,,2022-12-01 16:14:37.752,3.6E-09,1.66E-08
,,,2022-12-01 16:14:38.410,-3E-10,4.22E-08
,,,2022-12-01 16:14:39.057,1.6E-09,1.52E-08
,,,2022-12-01 16:14:39.702,1.7E-09,1.45E-08
,,,2022-12-01 16:14:40.468,3E-10,1.61E-08
,,,2022-12-01 16:14:41.121,5E-10,1.33E-08
,,,2022-12-01 16:14:41.768,1.9E-09,1.45E-08
,,,2022-12-01 16:14:42.416,-8E-10,1.94E-08
,,,2022-12-01 16:14:43.085,-3E-10,-2.3E-08
,,,2022-12-01 16:14:43.731,-2E-10,9.9E+37
,,,2022-12-01 16:14:44.384,1.4E-09,1.34E-08
,,,2022-12-01 16:14:45.032,2.2E-09,1.03E-08
,,,2022-12-01 16:14:45.678,9E-10,1.59E-08
,,,2022-12-01 16:14:46.339,8E-10,-5.2E-09
,,,2022-12-01 16:14:46.988,1.4E-09,1.48E-08
,,,2022-12-01 16:14:47.657,1.6E-09,1.44E-08
,,,2022-12-01 16:14:48.316,8E-10,1.45E-08
,,,2022-12-01 16:14:48.967,1.3E-09,1.27E-08
,,,2022-12-01 16:14:49.613,5E-10,1.45E-08
,,,2022-12-01 16:14:50.263,1.1E-09,1.53E-08
,,,2022-12-01 16:14:50.907,9E-10,1.52E-08
,,,2022-12-01 16:14:51.573,8E-10,1.44E-08
,,,2022-12-01 16:14:52.231,-5E-10,1.47E-08
,,,2022-12-01 16:14:52.855,1.6E-09,2.02E-08
,,,2022-12-01 16:14:53.514,6E-10,2.13E-08
,,,2022-12-01 16:14:54.163,-2E-10,-3.44E-08
,,,2022-12-01 16:14:54.813,8E-10,-4.08E-08
,,,2022-12-01 16:14:55.467,2E-10,1.34E-08
,,,2022-12-01 16:14:56.120,3.1E-09,1.52E-08
,,,2022-12-01 16:14:56.777,0,1.47E-08
,,,2022-12-01 16:14:57.435,1.3E-09,1.69E-08
