Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-01 13:33:07.398,3E-10,-3.3E-09
Serial Number:,MY60101365,,2022-12-01 13:33:08.090,0,-4.77E-08
Firmware Version:,07.31.2020012900,,2022-12-01 13:33:08.713,1.3E-09,-4.7E-09
Start Time:,2022-12-01 13:33:07.398,,2022-12-01 13:33:09.393,1.6E-09,-2.5E-09
Stop Time:,2022-12-01 13:43:07.033,,2022-12-01 13:33:10.059,1.7E-09,-3.4E-09
Sample Period:,0.5,,2022-12-01 13:33:10.708,-2E-10,3.98E-08
,,,2022-12-01 13:33:11.353,1.3E-09,-4.5E-09
,,,2022-12-01 13:33:12.009,6E-10,-4.8E-09
,,,2022-12-01 13:33:12.678,-2E-10,-4.41E-08
,,,2022-12-01 13:33:13.330,1.6E-09,-4.4E-09
,,,2022-12-01 13:33:13.975,8E-10,-3E-10
,,,2022-12-01 13:33:14.626,9E-10,-6E-10
,,,2022-12-01 13:33:15.271,3E-10,-4.53E-08
,,,2022-12-01 13:33:15.920,0,-1.6E-09
,,,2022-12-01 13:33:16.565,2E-09,-8E-10
,,,2022-12-01 13:33:17.210,1.3E-09,-2.5E-09
,,,2022-12-01 13:33:17.858,3E-10,-9E-10
,,,2022-12-01 13:33:18.507,1.6E-09,-1.3E-09
,,,2022-12-01 13:33:19.153,1.7E-09,2E-10
,,,2022-12-01 13:33:19.801,3.1E-09,-3.9E-09
,,,2022-12-01 13:33:20.447,3.1E-09,-3.8E-09
,,,2022-12-01 13:33:21.092,8E-10,-1.4E-09
,,,2022-12-01 13:33:21.733,3E-10,-4.7E-08
,,,2022-12-01 13:33:22.380,1.1E-09,1.7E-09
,,,2022-12-01 13:33:23.031,1.9E-09,1.9E-09
,,,2022-12-01 13:33:23.671,1.4E-09,-1.9E-09
,,,2022-12-01 13:33:24.319,3E-10,-1.84E-08
,,,2022-12-01 13:33:24.967,2E-10,-2.3E-09
,,,2022-12-01 13:33:25.615,-2E-10,-4.5E-09
,,,2022-12-01 13:33:26.264,1.1E-09,-4.5E-09
,,,2022-12-01 13:33:26.919,1.3E-09,-3E-09
,,,2022-12-01 13:33:27.556,1.3E-09,-2.2E-09
,,,2022-12-01 13:33:28.202,2E-09,2E-09
,,,2022-12-01 13:33:28.854,1.4E-09,-6E-10
,,,2022-12-01 13:33:29.499,8E-10,-2E-10
,,,2022-12-01 13:33:30.147,-2E-10,-4.2E-09
,,,2022-12-01 13:33:30.799,1.9E-09,-4.1E-09
,,,2022-12-01 13:33:31.450,1.7E-09,-2.2E-09
,,,2022-12-01 13:33:32.071,3.6E-09,-1.3E-09
,,,2022-12-01 13:33:32.722,1.3E-09,-3E-09
,,,2022-12-01 13:33:33.363,3E-10,-4.41E-08
,,,2022-12-01 13:33:34.023,5E-10,-2.97E-08
,,,2022-12-01 13:33:34.672,6E-10,0
,,,2022-12-01 13:33:35.326,5E-10,-3.48E-08
,,,2022-12-01 13:33:35.979,1.6E-09,-3.9E-09
,,,2022-12-01 13:33:36.629,5E-10,-1.4E-09
,,,2022-12-01 13:33:37.279,1.4E-09,-4.2E-09
,,,2022-12-01 13:33:37.929,1.7E-09,1.4E-09
,,,2022-12-01 13:33:38.583,8E-10,-4.7E-09
,,,2022-12-01 13:33:39.228,3.1E-09,-1.6E-09
,,,2022-12-01 13:33:39.879,1.7E-09,-5E-09
,,,2022-12-01 13:33:40.528,2.3E-09,-2.7E-09
,,,2022-12-01 13:33:41.175,1.9E-09,-4.1E-09
,,,2022-12-01 13:33:41.824,3.3E-09,5E-10
,,,2022-12-01 13:33:42.468,2.2E-09,-3.4E-09
,,,2022-12-01 13:33:43.092,9E-10,-3.6E-09
,,,2022-12-01 13:33:43.715,1.3E-09,-3.1E-09
,,,2022-12-01 13:33:44.372,1.6E-09,-4.5E-09
,,,2022-12-01 13:33:45.026,8E-10,-4.5E-09
,,,2022-12-01 13:33:45.675,3E-10,-4.11E-08
,,,2022-12-01 13:33:46.331,0,-2.58E-08
,,,2022-12-01 13:33:46.981,3E-10,3E-10
,,,2022-12-01 13:33:47.631,1.1E-09,5E-09
,,,2022-12-01 13:33:48.283,1.4E-09,-2.3E-09
,,,2022-12-01 13:33:48.941,2E-10,-1.9E-09
,,,2022-12-01 13:33:49.590,8E-10,-4.7E-09
,,,2022-12-01 13:33:50.236,1.6E-09,-2E-09
,,,2022-12-01 13:33:50.861,1.4E-09,-1.7E-09
,,,2022-12-01 13:33:51.508,-2E-10,-6.3E-09
,,,2022-12-01 13:33:52.149,9E-10,-4.47E-08
,,,2022-12-01 13:33:52.809,2E-09,-1.1E-09
,,,2022-12-01 13:33:53.458,6E-10,-4.78E-08
,,,2022-12-01 13:33:54.102,3E-10,1.1E-09
,,,2022-12-01 13:33:54.748,1.4E-09,-2.3E-09
,,,2022-12-01 13:33:55.407,5E-10,-1.7E-09
,,,2022-12-01 13:33:56.054,6E-10,-8E-10
,,,2022-12-01 13:33:56.690,3E-10,-1.69E-08
,,,2022-12-01 13:33:57.334,3E-10,-2.2E-09
,,,2022-12-01 13:33:57.979,2.2E-09,-1.4E-09
,,,2022-12-01 13:33:58.627,1.6E-09,-1.9E-09
,,,2022-12-01 13:33:59.287,1.1E-09,-6.1E-09
,,,2022-12-01 13:33:59.941,3E-10,-4.1E-09
,,,2022-12-01 13:34:00.591,0,1.41E-08
,,,2022-12-01 13:34:01.244,6E-10,-4.52E-08
,,,2022-12-01 13:34:01.902,9E-10,4.84E-08
,,,2022-12-01 13:34:02.552,5E-10,-2.3E-09
,,,2022-12-01 13:34:03.214,2.8E-09,-4.2E-09
