Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-02 14:59:10.015,2.75E-08,2.97E-08
Serial Number:,MY60101365,,2022-12-02 14:59:10.705,3.03E-08,3.03E-08
Firmware Version:,07.31.2020012900,,2022-12-02 14:59:11.331,3E-08,2.91E-08
Start Time:,2022-12-02 14:59:10.015,,2022-12-02 14:59:12.025,3.38E-08,2.81E-08
Stop Time:,2022-12-02 15:09:09.386,,2022-12-02 14:59:12.675,3E-08,2.72E-08
Sample Period:,0.5,,2022-12-02 14:59:13.331,3.09E-08,2.88E-08
,,,2022-12-02 14:59:13.995,3.09E-08,2.97E-08
,,,2022-12-02 14:59:14.675,2.72E-08,2.88E-08
,,,2022-12-02 14:59:15.314,3.22E-08,2.63E-08
,,,2022-12-02 14:59:15.963,3E-08,2.88E-08
,,,2022-12-02 14:59:16.615,2.66E-08,2.88E-08
,,,2022-12-02 14:59:17.276,3.09E-08,2.63E-08
,,,2022-12-02 14:59:17.915,2.69E-08,2.84E-08
,,,2022-12-02 14:59:18.578,3E-08,2.81E-08
,,,2022-12-02 14:59:19.228,3E-08,2.81E-08
,,,2022-12-02 14:59:19.873,3.03E-08,2.91E-08
,,,2022-12-02 14:59:20.521,2.94E-08,2.88E-08
,,,2022-12-02 14:59:21.168,2.81E-08,2.75E-08
,,,2022-12-02 14:59:21.814,2.72E-08,2.91E-08
,,,2022-12-02 14:59:22.457,2.75E-08,2.84E-08
,,,2022-12-02 14:59:23.118,3.16E-08,2.97E-08
,,,2022-12-02 14:59:23.777,2.94E-08,2.97E-08
,,,2022-12-02 14:59:24.425,2.66E-08,2.91E-08
,,,2022-12-02 14:59:25.073,3.03E-08,2.91E-08
,,,2022-12-02 14:59:25.728,3E-08,3.22E-08
,,,2022-12-02 14:59:26.390,3.03E-08,2.78E-08
,,,2022-12-02 14:59:27.038,2.97E-08,2.66E-08
,,,2022-12-02 14:59:27.692,2.81E-08,2.94E-08
,,,2022-12-02 14:59:28.342,2.72E-08,2.72E-08
,,,2022-12-02 14:59:28.984,3.06E-08,2.81E-08
,,,2022-12-02 14:59:29.711,2.88E-08,2.81E-08
,,,2022-12-02 14:59:30.360,3.09E-08,2.97E-08
,,,2022-12-02 14:59:31.008,2.66E-08,3.25E-08
,,,2022-12-02 14:59:31.698,2.66E-08,2.81E-08
,,,2022-12-02 14:59:32.351,2.78E-08,2.84E-08
,,,2022-12-02 14:59:33.000,2.72E-08,2.78E-08
,,,2022-12-02 14:59:33.640,3.06E-08,2.91E-08
,,,2022-12-02 14:59:34.285,2.88E-08,2.94E-08
,,,2022-12-02 14:59:34.936,3E-08,3.28E-08
,,,2022-12-02 14:59:35.593,2.75E-08,2.94E-08
,,,2022-12-02 14:59:36.249,3.13E-08,2.91E-08
,,,2022-12-02 14:59:36.896,2.72E-08,2.94E-08
,,,2022-12-02 14:59:37.546,3.06E-08,2.84E-08
,,,2022-12-02 14:59:38.194,2.97E-08,2.91E-08
,,,2022-12-02 14:59:38.840,2.72E-08,2.97E-08
,,,2022-12-02 14:59:39.493,3E-08,2.78E-08
,,,2022-12-02 14:59:40.168,2.75E-08,2.63E-08
,,,2022-12-02 14:59:40.821,2.94E-08,2.94E-08
,,,2022-12-02 14:59:41.464,2.69E-08,2.84E-08
,,,2022-12-02 14:59:42.108,3.03E-08,2.88E-08
,,,2022-12-02 14:59:42.755,3.06E-08,3E-08
,,,2022-12-02 14:59:43.409,3.16E-08,2.78E-08
,,,2022-12-02 14:59:44.067,2.88E-08,2.84E-08
,,,2022-12-02 14:59:44.722,2.94E-08,2.88E-08
,,,2022-12-02 14:59:45.375,2.69E-08,2.91E-08
,,,2022-12-02 14:59:46.031,2.81E-08,2.66E-08
,,,2022-12-02 14:59:46.673,3.28E-08,2.81E-08
,,,2022-12-02 14:59:47.320,3.69E-08,2.94E-08
,,,2022-12-02 14:59:47.973,3.06E-08,2.94E-08
,,,2022-12-02 14:59:48.629,2.66E-08,2.78E-08
,,,2022-12-02 14:59:49.298,3E-08,2.91E-08
,,,2022-12-02 14:59:49.947,8.13E-08,2.78E-08
,,,2022-12-02 14:59:50.595,2.66E-08,2.78E-08
,,,2022-12-02 14:59:51.246,2.75E-08,3E-08
,,,2022-12-02 14:59:51.911,3.03E-08,2.66E-08
,,,2022-12-02 14:59:52.575,3.16E-08,3.31E-08
,,,2022-12-02 14:59:53.227,2.88E-08,2.59E-08
,,,2022-12-02 14:59:53.899,3.09E-08,2.91E-08
,,,2022-12-02 14:59:54.558,2.78E-08,3E-08
,,,2022-12-02 14:59:55.223,2.75E-08,2.97E-08
,,,2022-12-02 14:59:55.869,2.69E-08,2.94E-08
,,,2022-12-02 14:59:56.543,3E-08,2.75E-08
,,,2022-12-02 14:59:57.208,3.03E-08,2.72E-08
,,,2022-12-02 14:59:57.861,2.78E-08,2.94E-08
,,,2022-12-02 14:59:58.510,2.72E-08,3.22E-08
,,,2022-12-02 14:59:59.145,3.09E-08,2.97E-08
,,,2022-12-02 14:59:59.793,1.16E-08,2.88E-08
,,,2022-12-02 15:00:00.444,3E-08,2.94E-08
,,,2022-12-02 15:00:01.093,2.75E-08,2.88E-08
,,,2022-12-02 15:00:01.755,2.97E-08,2.94E-08
,,,2022-12-02 15:00:02.409,3.09E-08,2.81E-08
,,,2022-12-02 15:00:03.060,3.09E-08,2.91E-08
,,,2022-12-02 15:00:03.710,2.72E-08,2.94E-08
,,,2022-12-02 15:00:04.358,3E-08,2.94E-08
,,,2022-12-02 15:00:05.007,3.09E-08,2.97E-08
,,,2022-12-02 15:00:05.650,2.81E-08,2.81E-08
,,,2022-12-02 15:00:06.307,3E-08,-4.38E-08
,,,2022-12-02 15:00:06.959,2.97E-08,2.88E-08
,,,2022-12-02 15:00:07.611,3.03E-08,3E-08
,,,2022-12-02 15:00:08.273,3.09E-08,2.91E-08
,,,2022-12-02 15:00:08.925,2.88E-08,2.69E-08
,,,2022-12-02 15:00:09.572,2.75E-08,2.94E-08
,,,2022-12-02 15:00:10.221,2.69E-08,2.91E-08
,,,2022-12-02 15:00:10.873,3.03E-08,2.94E-08
,,,2022-12-02 15:00:11.504,2.66E-08,2.88E-08
,,,2022-12-02 15:00:12.156,2.75E-08,3.25E-08
,,,2022-12-02 15:00:12.802,2.72E-08,2.66E-08
,,,2022-12-02 15:00:13.450,1.225E-07,2.97E-08
,,,2022-12-02 15:00:14.103,3.13E-08,2.91E-08
,,,2022-12-02 15:00:14.756,2.91E-08,2.72E-08
,,,2022-12-02 15:00:15.421,2.94E-08,2.63E-08
,,,2022-12-02 15:00:16.072,2.75E-08,2.75E-08
,,,2022-12-02 15:00:16.719,2.81E-08,2.84E-08
,,,2022-12-02 15:00:17.357,2.97E-08,3E-08
,,,2022-12-02 15:00:18.002,2.69E-08,2.78E-08
,,,2022-12-02 15:00:18.639,3.34E-08,2.63E-08
,,,2022-12-02 15:00:19.292,3.09E-08,2.94E-08
,,,2022-12-02 15:00:19.952,2.72E-08,2.88E-08
,,,2022-12-02 15:00:20.602,5.06E-08,2.94E-08
,,,2022-12-02 15:00:21.254,3E-08,2.88E-08
,,,2022-12-02 15:00:21.906,3.03E-08,2.88E-08
,,,2022-12-02 15:00:22.544,3.09E-08,2.88E-08
,,,2022-12-02 15:00:23.187,2.75E-08,2.97E-08
,,,2022-12-02 15:00:23.839,3E-08,3.25E-08
,,,2022-12-02 15:00:24.481,2.97E-08,2.84E-08
,,,2022-12-02 15:00:25.135,2.72E-08,2.94E-08
,,,2022-12-02 15:00:25.777,2.72E-08,3E-08
,,,2022-12-02 15:00:26.430,2.81E-08,2.97E-08
,,,2022-12-02 15:00:27.077,3E-08,2.78E-08
,,,2022-12-02 15:00:27.734,3.13E-08,2.94E-08
,,,2022-12-02 15:00:28.387,3.03E-08,2.91E-08
,,,2022-12-02 15:00:29.044,3.41E-08,2.88E-08
,,,2022-12-02 15:00:29.691,2.69E-08,2.91E-08
,,,2022-12-02 15:00:30.366,5.13E-08,2.69E-08
,,,2022-12-02 15:00:31.023,3.03E-08,2.81E-08
,,,2022-12-02 15:00:31.672,3.06E-08,2.91E-08
,,,2022-12-02 15:00:32.334,3.13E-08,5.03E-08
,,,2022-12-02 15:00:32.986,2.69E-08,2.75E-08
,,,2022-12-02 15:00:33.634,2.84E-08,3.28E-08
,,,2022-12-02 15:00:34.287,3.03E-08,2.94E-08
,,,2022-12-02 15:00:34.932,3.03E-08,2.91E-08
,,,2022-12-02 15:00:35.579,2.66E-08,3.28E-08
,,,2022-12-02 15:00:36.227,2.69E-08,2.91E-08
,,,2022-12-02 15:00:36.869,3E-08,3E-08
,,,2022-12-02 15:00:37.516,3E-08,2.78E-08
,,,2022-12-02 15:00:38.154,2.69E-08,2.69E-08
,,,2022-12-02 15:00:38.810,2.66E-08,2.84E-08
,,,2022-12-02 15:00:39.463,2.88E-08,2.78E-08
,,,2022-12-02 15:00:40.113,3.63E-08,2.97E-08
,,,2022-12-02 15:00:40.764,2.66E-08,2.88E-08
,,,2022-12-02 15:00:41.419,2.69E-08,2.75E-08
,,,2022-12-02 15:00:42.071,2.97E-08,-5.6E-09
,,,2022-12-02 15:00:42.715,2.75E-08,2.97E-08
