Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-13 14:22:40.696,-0.01541,-0.001718
Serial Number:,MY60101365,,2022-12-13 14:22:41.196,-0.008715,-0.005735
Firmware Version:,07.31.2020012900,,2022-12-13 14:22:41.697,-0.014405,-0.00607
Start Time:,2022-12-13 14:22:40.696,,2022-12-13 14:22:42.197,-0.015075,-0.009082
Stop Time:,2022-12-13 14:32:40.696,,2022-12-13 14:22:42.696,-0.010054,-0.010756
Sample Period:,0.5,,2022-12-13 14:22:43.196,-0.005702,-0.00607
,,,2022-12-13 14:22:43.696,-0.008715,-0.006404
,,,2022-12-13 14:22:44.196,-0.013066,-0.009752
,,,2022-12-13 14:22:44.695,-0.004698,-0.013099
,,,2022-12-13 14:22:45.195,-0.013736,-0.006404
,,,2022-12-13 14:22:45.695,-0.008715,-0.001718
,,,2022-12-13 14:22:46.195,-0.00905,-0.005735
,,,2022-12-13 14:22:46.695,-0.009719,-0.001718
,,,2022-12-13 14:22:47.196,-0.013401,-0.005735
,,,2022-12-13 14:22:47.696,-0.009719,-0.005735
,,,2022-12-13 14:22:48.196,-0.01474,-0.00607
,,,2022-12-13 14:22:48.696,-0.009719,-0.005065
,,,2022-12-13 14:22:49.196,-0.011728,-0.009752
,,,2022-12-13 14:22:49.696,-0.01474,-0.00607
,,,2022-12-13 14:22:50.198,-0.004698,-0.005735
,,,2022-12-13 14:22:50.698,-0.00905,-0.009752
,,,2022-12-13 14:22:51.198,-0.011728,-0.005735
,,,2022-12-13 14:22:51.696,-0.007041,-0.001718
,,,2022-12-13 14:22:52.195,-0.014071,-0.001718
,,,2022-12-13 14:22:52.695,-0.020096,-0.015107
,,,2022-12-13 14:22:53.196,-0.008715,-0.007074
,,,2022-12-13 14:22:53.696,-0.007041,-0.002053
,,,2022-12-13 14:22:54.196,-0.00905,-0.012764
,,,2022-12-13 14:22:54.697,-0.011728,-0.007408
,,,2022-12-13 14:22:55.197,-0.008046,-0.010421
,,,2022-12-13 14:22:55.697,-0.015075,-0.004061
,,,2022-12-13 14:22:56.196,-0.013736,-0.009082
,,,2022-12-13 14:22:56.699,-0.005033,-0.007743
,,,2022-12-13 14:22:57.197,-0.011728,-0.002388
,,,2022-12-13 14:22:57.698,-0.00838,-0.006404
,,,2022-12-13 14:22:58.197,-0.012062,-0.002053
,,,2022-12-13 14:22:58.697,-0.014071,-0.015107
,,,2022-12-13 14:22:59.198,-0.00838,-0.005735
,,,2022-12-13 14:22:59.697,-0.008715,-0.001718
,,,2022-12-13 14:23:00.198,-0.013736,-0.005065
