Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-13 14:36:13.676,-0.010723,-0.00607
Serial Number:,MY60101365,,2022-12-13 14:36:14.176,-0.011058,-0.004396
Firmware Version:,07.31.2020012900,,2022-12-13 14:36:14.676,-0.00905,-0.00607
Start Time:,2022-12-13 14:36:13.676,,2022-12-13 14:36:15.177,-0.008715,-0.005735
Stop Time:,2022-12-13 14:46:13.676,,2022-12-13 14:36:15.677,-0.005033,-0.0054
Sample Period:,0.5,,2022-12-13 14:36:16.175,-0.017418,-0.002053
,,,2022-12-13 14:36:16.676,-0.008715,-0.002053
,,,2022-12-13 14:36:17.176,-0.005033,-0.006404
,,,2022-12-13 14:36:17.676,-0.012062,-0.005735
,,,2022-12-13 14:36:18.175,-0.00838,-0.014103
,,,2022-12-13 14:36:18.676,-0.010054,-0.010086
,,,2022-12-13 14:36:19.177,-0.007376,-0.007408
,,,2022-12-13 14:36:19.677,-0.00905,-0.002053
,,,2022-12-13 14:36:20.177,-0.013066,-0.011425
,,,2022-12-13 14:36:20.676,-0.016414,-0.001718
,,,2022-12-13 14:36:21.177,-0.013066,-0.008413
,,,2022-12-13 14:36:21.677,-0.00838,-0.009417
,,,2022-12-13 14:36:22.175,-0.00905,-0.005735
,,,2022-12-13 14:36:22.676,-0.009719,-0.008413
,,,2022-12-13 14:36:23.176,-0.01474,-0.020128
,,,2022-12-13 14:36:23.676,-0.005368,-0.006404
,,,2022-12-13 14:36:24.175,-0.009719,-0.00607
,,,2022-12-13 14:36:24.676,-0.011728,-0.014772
,,,2022-12-13 14:36:25.176,-0.01541,-0.002053
,,,2022-12-13 14:36:25.676,-0.009719,-0.0054
,,,2022-12-13 14:36:26.175,-0.005033,-0.00607
,,,2022-12-13 14:36:26.675,-0.015744,-0.01745
,,,2022-12-13 14:36:27.175,-0.01541,-0.002053
,,,2022-12-13 14:36:27.674,-0.011728,-0.00607
,,,2022-12-13 14:36:28.175,-0.00905,-0.006404
,,,2022-12-13 14:36:28.676,-0.00905,-0.002053
,,,2022-12-13 14:36:29.175,-0.005033,-0.005735
,,,2022-12-13 14:36:29.676,-0.004698,-0.009752
,,,2022-12-13 14:36:30.176,-0.005702,-0.00607
,,,2022-12-13 14:36:30.676,-0.015075,-0.005735
,,,2022-12-13 14:36:31.176,-0.018757,-0.002053
,,,2022-12-13 14:36:31.676,-0.010389,-0.015107
,,,2022-12-13 14:36:32.175,-0.00905,-0.006404
,,,2022-12-13 14:36:32.675,-0.013401,-0.012095
,,,2022-12-13 14:36:33.175,-0.006037,-0.009417
,,,2022-12-13 14:36:33.676,-0.022439,-0.014438
,,,2022-12-13 14:36:34.176,-0.014071,-0.015107
,,,2022-12-13 14:36:34.677,-0.009384,-0.010421
,,,2022-12-13 14:36:35.176,-0.010389,-0.006739
,,,2022-12-13 14:36:35.675,-0.011728,-0.00607
,,,2022-12-13 14:36:36.176,-0.00905,-0.009752
,,,2022-12-13 14:36:36.676,-0.00905,-0.010086
,,,2022-12-13 14:36:37.177,-0.017418,-0.0054
,,,2022-12-13 14:36:37.677,-0.016079,-0.010421
,,,2022-12-13 14:36:38.176,-0.013736,-0.009752
,,,2022-12-13 14:36:38.676,-0.013066,-0.010756
,,,2022-12-13 14:36:39.176,-0.00905,-0.006404
,,,2022-12-13 14:36:39.676,-0.00905,-0.002053
,,,2022-12-13 14:36:40.175,-0.005033,-0.00607
,,,2022-12-13 14:36:40.675,-0.009384,-0.009752
,,,2022-12-13 14:36:41.175,-0.012397,-0.00607
,,,2022-12-13 14:36:41.675,-0.013401,-0.005735
,,,2022-12-13 14:36:42.175,-0.010054,-0.00607
,,,2022-12-13 14:36:42.675,-0.011728,-0.010086
,,,2022-12-13 14:36:43.177,-0.005368,-0.005735
,,,2022-12-13 14:36:43.676,-0.010389,-0.008747
,,,2022-12-13 14:36:44.178,-0.012397,-0.00607
,,,2022-12-13 14:36:44.677,-0.012397,-0.001718
,,,2022-12-13 14:36:45.176,-0.019092,-0.00607
,,,2022-12-13 14:36:45.676,-0.013066,-0.001718
,,,2022-12-13 14:36:46.176,-0.00905,-0.00607
,,,2022-12-13 14:36:46.678,-0.00905,-0.012095
,,,2022-12-13 14:36:47.177,-0.013066,-0.00607
,,,2022-12-13 14:36:47.677,-0.010389,-0.008078
,,,2022-12-13 14:36:48.176,-0.008715,-0.012095
,,,2022-12-13 14:36:48.675,-0.011393,-0.010756
,,,2022-12-13 14:36:49.176,-0.009384,-0.00607
,,,2022-12-13 14:36:49.675,-0.023443,-0.005735
,,,2022-12-13 14:36:50.177,-0.009384,-0.006739
,,,2022-12-13 14:36:50.676,-0.00905,-0.002388
,,,2022-12-13 14:36:51.175,-0.014071,-0.002053
,,,2022-12-13 14:36:51.676,-0.005368,-0.01109
,,,2022-12-13 14:36:52.176,-0.015075,-0.0054
,,,2022-12-13 14:36:52.676,-0.012397,-0.002053
,,,2022-12-13 14:36:53.176,-0.014405,-0.014438
,,,2022-12-13 14:36:53.676,-0.009719,-0.006739
,,,2022-12-13 14:36:54.176,-0.013736,-0.005735
,,,2022-12-13 14:36:54.676,-0.00905,-0.006404
,,,2022-12-13 14:36:55.177,-0.015075,-0.011425
,,,2022-12-13 14:36:55.676,-0.009719,-0.011425
,,,2022-12-13 14:36:56.176,-0.012397,-0.001718
,,,2022-12-13 14:36:56.676,-0.024782,-0.002053
,,,2022-12-13 14:36:57.177,-0.012062,-0.010756
,,,2022-12-13 14:36:57.676,-0.013066,-0.009417
,,,2022-12-13 14:36:58.176,-0.00838,-0.005735
,,,2022-12-13 14:36:58.676,-0.011728,-0.001718
,,,2022-12-13 14:36:59.176,-0.009384,-0.0054
,,,2022-12-13 14:36:59.676,-0.017753,-0.023475
,,,2022-12-13 14:37:00.176,-0.009719,-0.012429
,,,2022-12-13 14:37:00.675,-0.021769,-0.005735
,,,2022-12-13 14:37:01.176,-0.008715,-0.002053
,,,2022-12-13 14:37:01.676,-0.008715,-0.001718
,,,2022-12-13 14:37:02.176,-0.009384,-0.012095
