Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-13 14:47:19.824,-0.00838,-0.002053
Serial Number:,MY60101365,,2022-12-13 14:47:20.323,-0.013736,-0.006404
Firmware Version:,07.31.2020012900,,2022-12-13 14:47:20.824,-0.008715,-0.005735
Start Time:,2022-12-13 14:47:19.824,,2022-12-13 14:47:21.323,-0.009384,-0.005735
Stop Time:,2022-12-13 14:57:19.824,,2022-12-13 14:47:21.824,-0.013066,-0.008413
Sample Period:,0.5,,2022-12-13 14:47:22.323,-0.012397,-0.002053
,,,2022-12-13 14:47:22.823,-0.011393,-0.010086
,,,2022-12-13 14:47:23.323,-0.011058,-0.005735
,,,2022-12-13 14:47:23.823,-0.008715,-0.005735
,,,2022-12-13 14:47:24.323,-0.009719,-0.002388
,,,2022-12-13 14:47:24.824,-0.006037,-0.008413
,,,2022-12-13 14:47:25.323,-0.015744,-0.006404
,,,2022-12-13 14:47:25.823,-0.005368,-0.010086
,,,2022-12-13 14:47:26.323,-0.013736,-0.010086
,,,2022-12-13 14:47:26.823,-0.00905,-0.0054
,,,2022-12-13 14:47:27.323,-0.009719,-0.008078
,,,2022-12-13 14:47:27.824,-0.005033,-0.002053
,,,2022-12-13 14:47:28.323,-0.010054,-0.015107
,,,2022-12-13 14:47:28.823,-0.016748,-0.010756
,,,2022-12-13 14:47:29.324,-0.012732,-0.001718
,,,2022-12-13 14:47:29.823,-0.009719,-0.009752
,,,2022-12-13 14:47:30.323,-0.018757,-0.002053
,,,2022-12-13 14:47:30.823,-0.017753,-0.006739
,,,2022-12-13 14:47:31.324,-0.013401,-0.007408
,,,2022-12-13 14:47:31.823,-0.01541,-0.009082
,,,2022-12-13 14:47:32.322,-0.005033,-0.007074
,,,2022-12-13 14:47:32.823,-0.008715,-0.01109
,,,2022-12-13 14:47:33.323,-0.00905,-0.001718
,,,2022-12-13 14:47:33.825,-0.00905,-0.010086
,,,2022-12-13 14:47:34.322,-0.018087,-0.011425
,,,2022-12-13 14:47:34.822,-0.014071,-0.010086
,,,2022-12-13 14:47:35.323,-0.009384,-0.007074
,,,2022-12-13 14:47:35.824,-0.009384,-0.015442
,,,2022-12-13 14:47:36.323,-0.012062,-0.0054
,,,2022-12-13 14:47:36.823,-0.014071,-0.00607
,,,2022-12-13 14:47:37.323,-0.010054,-0.00607
,,,2022-12-13 14:47:37.823,-0.014071,-0.01109
,,,2022-12-13 14:47:38.323,-0.00905,-0.009752
,,,2022-12-13 14:47:38.822,-0.00905,-0.00607
,,,2022-12-13 14:47:39.322,-0.011728,-0.010421
,,,2022-12-13 14:47:39.824,-0.008715,-0.012095
,,,2022-12-13 14:47:40.324,-0.011058,-0.005065
,,,2022-12-13 14:47:40.823,-0.019761,-0.006739
,,,2022-12-13 14:47:41.323,-0.009719,-0.005735
,,,2022-12-13 14:47:41.824,-0.012062,-0.00607
,,,2022-12-13 14:47:42.323,-0.013066,-0.029166
,,,2022-12-13 14:47:42.823,-0.013736,-0.005735
,,,2022-12-13 14:47:43.323,-0.008715,-0.001718
,,,2022-12-13 14:47:43.822,-0.009719,-0.00607
,,,2022-12-13 14:47:44.323,-0.009719,-0.010756
,,,2022-12-13 14:47:44.823,-0.00905,-0.001718
,,,2022-12-13 14:47:45.322,-0.013736,-0.002053
,,,2022-12-13 14:47:45.823,-0.006037,-0.005065
,,,2022-12-13 14:47:46.323,-0.00905,-0.019124
,,,2022-12-13 14:47:46.823,-0.005033,-0.0054
,,,2022-12-13 14:47:47.325,-0.00905,-0.006404
,,,2022-12-13 14:47:47.823,-0.013401,-0.010086
,,,2022-12-13 14:47:48.323,-0.013736,-0.005065
,,,2022-12-13 14:47:48.825,-0.010054,-0.005735
,,,2022-12-13 14:47:49.323,-0.013066,-0.00607
,,,2022-12-13 14:47:49.823,-0.005033,-0.0054
,,,2022-12-13 14:47:50.323,-0.009384,-0.004731
,,,2022-12-13 14:47:50.825,-0.025451,-0.007743
,,,2022-12-13 14:47:51.322,-0.013736,-0.005735
,,,2022-12-13 14:47:51.823,-0.008715,-0.0054
,,,2022-12-13 14:47:52.324,-0.005033,-0.005735
,,,2022-12-13 14:47:52.824,-0.012397,-0.010421
,,,2022-12-13 14:47:53.324,-0.00838,-0.015442
,,,2022-12-13 14:47:53.823,-0.010054,-0.001718
,,,2022-12-13 14:47:54.323,-0.005033,-0.009752
,,,2022-12-13 14:47:54.824,-0.00905,-0.005065
,,,2022-12-13 14:47:55.324,-0.005368,-0.009752
,,,2022-12-13 14:47:55.822,-0.010054,-0.002053
,,,2022-12-13 14:47:56.323,-0.00838,-0.006404
,,,2022-12-13 14:47:56.823,-0.014071,-0.025484
,,,2022-12-13 14:47:57.323,-0.00905,-0.0054
,,,2022-12-13 14:47:57.823,-0.013066,-0.005735
,,,2022-12-13 14:47:58.325,-0.014071,-0.005735
,,,2022-12-13 14:47:58.823,-0.010723,-0.0054
,,,2022-12-13 14:47:59.323,-0.017083,-0.015107
,,,2022-12-13 14:47:59.824,-0.014071,-0.005735
,,,2022-12-13 14:48:00.323,-0.009384,-0.002053
,,,2022-12-13 14:48:00.823,-0.009384,-0.009752
,,,2022-12-13 14:48:01.323,-0.017753,-0.005065
,,,2022-12-13 14:48:01.823,-0.005368,-0.009082
,,,2022-12-13 14:48:02.322,-0.00905,-0.006739
,,,2022-12-13 14:48:02.822,-0.013066,-0.010756
,,,2022-12-13 14:48:03.322,-0.009384,-0.002053
,,,2022-12-13 14:48:03.822,-0.005368,-0.002053
,,,2022-12-13 14:48:04.322,-0.00838,-0.0054
,,,2022-12-13 14:48:04.822,-0.00838,-0.005735
,,,2022-12-13 14:48:05.322,-0.00905,-0.009752
,,,2022-12-13 14:48:05.823,-0.010054,-0.005735
,,,2022-12-13 14:48:06.323,-0.012732,-0.007074
,,,2022-12-13 14:48:06.822,-0.008715,-0.006404
,,,2022-12-13 14:48:07.323,-0.00905,-0.013099
,,,2022-12-13 14:48:07.823,-0.014071,-0.014103
,,,2022-12-13 14:48:08.324,-0.011728,-0.005735
,,,2022-12-13 14:48:08.823,-0.009384,-0.009752
,,,2022-12-13 14:48:09.324,-0.009384,-0.028496
,,,2022-12-13 14:48:09.823,-0.013736,-0.0054
,,,2022-12-13 14:48:10.325,-0.009384,-0.002053
,,,2022-12-13 14:48:10.823,-0.027125,-0.010421
,,,2022-12-13 14:48:11.323,-0.005033,-0.014772
,,,2022-12-13 14:48:11.823,-0.009384,-0.00607
,,,2022-12-13 14:48:12.324,-0.009384,-0.014438
,,,2022-12-13 14:48:12.823,-0.013736,-0.005735
,,,2022-12-13 14:48:13.322,-0.013066,-0.010086
,,,2022-12-13 14:48:13.823,-0.013401,-0.010421
,,,2022-12-13 14:48:14.323,-0.010389,-0.00607
,,,2022-12-13 14:48:14.823,-0.010389,-0.010421
,,,2022-12-13 14:48:15.324,-0.009384,-0.004061
,,,2022-12-13 14:48:15.823,-0.009384,-0.008413
,,,2022-12-13 14:48:16.323,-0.013736,-0.010086
,,,2022-12-13 14:48:16.824,-0.013401,-0.010756
,,,2022-12-13 14:48:17.322,-0.00905,-0.006404
